synset_id	concept	gloss	wordnet21id	supersense	supersense_src	n_member_lemmas	n_tokens	member_lemmas_slp1	decode_src
96832	indeed	in truth (often tends to intensify); 'they said the car would break down and indeed it did'; 'it is very cold indeed'; 'was indeed grateful'; 'indeed, the rain may still come'; 'he did so do it!'			none	11	2814	eva|id|hi|nAma|ha|cit|u|vE|kila|kuvid|aha	word-senses
42973	Indra	chief god of the Rig-Veda; god of rain and thunder	09389	person	direct	126	2618	indra|Sakra|vAsava|sahasrAkza|puraMdara|Satakratu|maGavan|vajrin|SacIpati|devarAja|vajrapARi|vftrahan|pAkaSAsana|vajraDara|puruhUta|sureSvara|vajraBft|balasUdana|devendra|surapati|kOSika|vajrahasta|deva|devarAj	word-senses
48023	son	a male human offspring; 'their son became a famous judge'; 'his boy is taller than he is'	10464	person	direct	24	2449	putra|suta|Atmaja|tanaya|sUnu|nandana|putraka|Orasa|AtmasamBava|tanUja|kumAra|dAraka|nandivarDana|arBaka|aNgaja|nandikara|AtmaBava|AtmasaMtAna|vatsa|tanuja|SarIraja|puMs|bAlaka|Atmajanman	word-senses
96882	besides	in addition; 'he has a Mercedes, too'			none	6	2400	api|ca|taTA|u|uta|punar	word-senses
63536	gold	a soft yellow malleable ductile (trivalent and univalent) metallic element; occurs mainly as nuggets in rocks and alluvial deposits; does not react with most chemicals but is attacked by chlorine and aqua regia	14444	substance	direct	76	2375	heman|svarRa|kAYcana|suvarRa|kanaka|hiraRya|jAmbUnada|hAwaka|rukma|jAtarUpa|SAtakumBa|pIta|tapanIya|cAmIkara|kArtasvara|mahArajata|suvarRaka|hema|nizka|gANgeya|anala|vasu|agni|karbura	word-senses
95892	be	have the quality of being; (copula, used with an adjective or a predicate noun); 'John is rich'; 'This is not a good answer'			none	3	2366	as|BU|jan	word-senses
127042	or	or			none	4	2256	vA|aTavA|kiMvA|Ahosvit	word-senses
101161	Rākṣasa	an evil being		person	propagated	30	2207	rAkzasa|rakzas|niSAcara|nErfta|rajanIcara|yAtuDAna|naktaMcara|rakza|kzaRadAcara|piSitASana|piSitASin|rajanicara|surAri|kzapAcara|puRyajana|karbura|palAda|niSAvihAra|amarAri|asrapa|ASara|rAtricara|rAtriMcara|yAtu	word-senses
86119	heat	make hot or hotter; 'heat the soup'			none	48	2081	pac|Dam|tap|pAcay|tApay|saMtap|DmApay|vipAcay|DAmay|praDam|dah|pratApay|vipac|pratap|Damay|Barjay|saMtApay|Bfjj|uttap|prapac|pariDam|aBitap|SrI|ADam	word-senses
91626	make	make or cause to be or to become; 'make a mess in one's office'; 'create a furor'			none	12	1981	kf|kAray|prakf|viDA|car|DA|prakalpay|Acar|samAcar|kalpay|atisfj|nirmApay	word-senses
41988	mountain	a land mass that projects well above its surroundings; higher than a hill	09225	object	direct	57	1954	giri|parvata|SEla|acala|adri|naga|mahIDara|DaraRIDara|BUDara|DarADara|Siloccaya|aga|SfNgin|Dara|sAnumant|SiKarin|BUmiDara|mahIBft|dantin|himavant|kzitiDara|kzitiBft|kawakin|BUBft	word-senses
37644	juice	the liquid part that can be extracted from fruits and vegetables		food	propagated	21	1858	rasa|drava|drAva|toya|ambu|nIra|jala|vAri|niryAsa|amBas|udaka|salila|payas|vAr|ap|niryAsaka|sadyorasa|kIlAla|niryUha|druti|kzAraka	word-senses
85114	become	enter or assume a certain state or condition; 'He became annoyed when he heard the bad news'; 'It must be getting more serious'; 'her face went red with anger'; 'She went into ecstasy'; 'Get going!'			none	12	1856	BU|jan|as|prajan|saMjan|sampad|samBU|saMvft|aBijan|aBivft|upasTA|samupajan	word-senses
64492	water	a clear colorless odorless tasteless liquid; 'he asked for a drink of water'		substance	propagated	25	1748	jala|udaka|ap|toya|salila|ambu|vAri|amBas|pAnIya|uda|nIra|payas|vAr|udan|rasa|ka|pratipAna|payaska|kIlAla|arRas|Apa|Apas|pATas|bfbUka	word-senses
43002	Vishnu	the Sustainer; a Hindu divinity worshipped as the preserver of worlds	09393	person	direct	331	1739	vizRu|hari|nArAyaRa|Bagavant|puruzottama|keSava|janArdana|vAsudeva|devadeva|aja|acyuta|maDusUdana|deveSa|hfzIkeSa|kfzRa|garuqaDvaja|mADava|parameSvara|puRqarIkAkza|ananta|sanAtana|viSvAtman|govinda|padmanABa	word-senses
65905	day	time for Earth to make a complete rotation on its axis; 'two days later they left'; 'they put on two performances every day'; 'there are 30,000 passangers per day'		time	propagated	16	1691	dina|aha|ahar|divasa|rAtra|ahorAtra|vAsara|divArAtra|diva|Gasra|dinEka|aharniSa|rAtri|parvan|rAtriMdivasa|ahaka	word-senses
59913	three	the cardinal number that is the sum of one and one and one	13563	quantity	direct	9	1669	tri|traya|tritaya|vahni|BU|trika|agni|guRa|SiKin	word-senses
58576	fire	the process of combustion of inflammable materials producing heat and light and (often) smoke; 'fire was one of our ancestors' first discoveries'	13307	process	direct	51	1656	agni|vahni|pAvaka|anala|jvalana|hutASana|jvAlA|viBAvasu|SiKin|hutASa|dahana|tejas|vESvAnara|arcis|jAtavedas|kfSAnu|kfzRavartman|SiKA|hutaBuj|Socis|DUmaketu|kfzRagati|haras|vahnikA	word-senses
67940	best	(superlative of `good') having the most positive qualities; 'the best film of the year'; 'the best solution'; 'the best time for planting'; 'wore his best suit'			none	26	1654	SrezWa|uttama|vara|para|parama|sattama|muKya|pravara|anuttama|agrya|varizWa|SrezWatama|praDAna|utkfzwa|varya|jyezWa|uttamottama|upama|vasizWa|balavattara|agra|parArDya|sAratama|praTama	word-senses
44611	Brahmin	a member of the highest of the four Hindu castes; 'originally all Brahmins were priests'		person	propagated	30	1644	dvija|brAhmaRa|vipra|brahman|dvijottama|dvijAti|dvijasattama|dvijaSrezWa|dvijamuKya|dvijavara|dvijanman|dvijAgrya|dvijarzaBa|dvijendra|agrajanman|Srotriya|mahIsura|muni|BUsura|zawkarman|BUdeva|BUmideva|vAqaba|DaraRIsura	word-senses
60234	part	something determined in relation to something that includes it; 'he wanted to feel a part of something bigger than himself'; 'I read a portion of the manuscript'; 'the smaller component is hard to reach'	13628	relation	direct	7	1598	aMSa|BAga|aMSaka|BAgaka|banDa|kalA|viBAga	word-senses
128322	etc.	for expressions such as ādi (ifc.)		event	propagated	3	1571	Adi|praBfti|muKa	word-senses
43010	Sita	wife of Ramachandra		person	propagated	7	1538	sItA|vEdehI|mETilI|janakAtmajA|jAnakI|janakasutA|janakanandini	word-senses
102189	Deva	the good gods (as opposed to Dānavas, Asuras, ...)		person	propagated	13	1529	deva|sura|devatA|amara|tridaSa|vibuDa|dEvata|divOkas|vasu|leKa|suDABuj|divOkasa|tridaSAlaya	word-senses
42311	sun	a typical star that is the source of light and heat for the planets in the solar system; 'the sun contains 99.85% of the mass in the solar system'	09314	object	direct	129	1491	arka|sUrya|Aditya|BAskara|divAkara|ravi|svar|BAnu|BAnumant|aMSumant|sUra|savitf|sahasrAMSu|vivasvant|sahasraraSmi|dinakara|tapana|BAsvant|braDna|pataMga|saptasapti|aMSumAlin|uzRAMSu|mArtaRqa	word-senses
61365	disease	an impairment of health or a condition of abnormal functioning	13883	state	direct	27	1468	roga|vyADi|Amaya|gada|doza|vikAra|Arti|rujA|ruj|amIvA|AtaNka|arti|vikfti|rapas|yakzma|yakzman|duHKa|jvara|vyApad|pariBava|amIva|mahAgada|upatApa|vikriyA	word-senses
13628	arrow	a projectile with a straight thin shaft and an arrowhead on one end and stabilizing vanes on the other; intended to be shot from a bow	02717	artifact	direct	28	1460	Sara|bARa|sAyaka|izu|viSiKa|mArgaRa|pattrin|patatrin|ajihmaga|ASuga|pfzatka|Saru|karRin|didyu|SilImuKa|astra|ayomuKa|Salya|nArAca|suparvan|SaryA|Kagama|didyut|kARqa	word-senses
74567	like	equal in amount or value; 'like amounts'; 'equivalent amounts'; 'the same amount'; 'gave one six blows and the other a like number'; 'an equal number'; 'the same number'			none	9	1452	sama|tulya|samAna|tulyaka|saMtulya|sAmya|upama|samaka|sAmAnya	word-senses
88645	describe	give a description of; 'He drew an elaborate plan of attack'			none	61	1405	vac|ah|pravac|kaTay|vad|prakIrtay|nigad|nirdiS|parikIrtay|Iray|darSay|aBiDA|kIrtay|varRay|smf|udAhf|vinirdiS|KyA|brU|sampravac|gad|diS|uddiS|samAKyA	word-senses
63596	sulfur	an abundant tasteless odorless multivalent nonmetallic element; best known in yellow crystals; occurs in many sulphide and sulphate minerals and even in native form (especially in volcanic regions)	14462	substance	direct	48	1397	ganDaka|ganDa|bali|ganDASman|ganDapAzARa|balivasA|sOganDika|lelitaka|balin|dEtyendra|suganDaka|ganDamAdana|pUtiganDa|vEganDa|kuzWAri|atiganDa|pawu|kIwaGna|navanItaka|asura|vawa|rasaganDaka|DAtumArin|pAmAri	word-senses
132736	he,she,it (pers. pron.)	as a pronoun			none	5	1385	tad|idam|enad|etad|taka	word-senses
592	state	the way something is with respect to its main attributes; 'the current state of knowledge'; 'his state of health'; 'in a weak financial state'	00023	Tops	direct	9	1307	tva|tA|BAva|avasTA|daSA|BUya|pada|Bava|sTAna	word-senses
96839	again	anew; 'she tried again'; 'they rehearsed the scene again'			none	4	1302	punar|muhur|BUyas|dvitA	word-senses
79020	one	used of a single unit or thing; not two or more; '`ane' is Scottish'			none	6	1298	eka|ekEka|ekaguRa|tva|nema|ekaviDa	word-senses
103442	Rāvaṇa	name of the demonical ruler of Laṅkā			none	19	1262	rAvaRa|daSagrIva|rAkzaseSvara|daSAnana|rakzaHpati|laNkeSa|pOlastya|laNkeSvara|vESravaRa|daSakaRWa|viMSadbAhu|lokakaRwaka|laNkADipati|vESravaRAnuja|amararAjaSatru|daSakanDara|daSavadana|daSamuKa|daSAsya	word-senses
103024	Lakṣmaṇa	the younger brother of Rāma			none	9	1245	lakzmaRa|sOmitri|raGunandana|kAkutsTa|rAGava|rAmAnuja|dASaraTi|sOmitra|raGusuta	word-senses
56963	tree	a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms	12934	plant	direct	38	1236	druma|vfkza|pAdapa|taru|vanaspati|naga|mahIruha|SAKin|viwapin|BUruha|vana|vanin|agama|anokaha|aNGripa|jagatIruha|mahIja|dru|haritacCada|SAla|kzitiruha|aga|parRin|kuja	word-senses
85940	grind	reduce to small pieces or particles by pounding or abrading; 'grind the spices in a mortar'; 'mash the garlic'			none	49	1218	piz|marday|pezay|mfd|vimarday|Gfz|saMmarday|sampiz|Garzay|vicUrRay|prapezay|saMpezay|parimarday|cUrRay|nizpiz|saMGfz|pramarday|retay|carv|vimfd|pizwIkf|sammfd|niGfz|saMcUrRay	word-senses
42431	forest	land that is covered with trees and shrubs	09151	object	direct	12	1214	vana|araRya|kAnana|kAntAra|awavI|vipina|dAva|araRyaka|araRyAni|araRyAnI|upavana|gahana	word-senses
132720	I	pronoun of the first person			none	1	1209	mad	word-senses
42961	Brahma	the Creator; one of the three major deities in the later Hindu pantheon	09388	person	direct	127	1174	brahman|pitAmaha|svayamBu|paramezWin|lokapitAmaha|viSvasfj|viriYca|aja|viSvAtman|prajApati|DAtf|veDas|hiraRyagarBa|caturmuKa|deveSa|devadeva|padmasaMBava|brahmaka|padmayoni|lokaguru|viDi|padmaja|lokeSa|kamalodBava	word-senses
59910	two	the cardinal number that is the sum of one and one or a numeral representing this number	13562	quantity	direct	18	1165	dvi|dvaya|dvitaya|yugma|netra|dvaMdva|yuga|yugmaka|kara|locana|yama|pakza|aSvin|yugala|yuj|dvApara|dvitva|akzi	word-senses
63524	copper	a ductile malleable reddish-brown corrosion-resistant diamagnetic metallic element; occurs in various minerals but is the only metal that occurs abundantly in large masses; used as an electrical and thermal conductor	14441	substance	direct	45	1162	tAmra|Sulba|Sulva|arka|ravi|tAmraka|kamala|BAnu|BAskara|BAsvant|mlecCamuKa|Odumbara|aruRa|udumbara|tryambaka|Sulvaka|rakta|raktaDAtu|ravipriya|taraRi|heli|mihira|nepAla|raktaDAtuka	word-senses
91067	put	put into a certain place: 'Put your things here'; 'Set the tray down'; 'Set the dogs on the scent of the mising children'; also with abstract objects and locations: 'Place emphasis on a certain point'			none	66	1133	kzip|dA|sTApay|niDA|DA|nikzip|nyas|ruD|vinikzip|niveSay|kf|vinyas|saMsTApay|niDApay|Df|prakzip|ADA|Aropay|muc|DAray|dApay|saMniveSay|pradA|viniDA	word-senses
12361	elephant	five-toed pachyderm	02480	animal	direct	31	1129	gaja|nAga|hastin|kuYjara|mAtaMga|dvirada|dvipa|vAraRa|iBa|karin|dantin|anekapa|zazwihAyana|padmin|kumBin|dantAvala|kareRu|mataMga|mahAkAya|stamberama|kapi|karaBa|karIndra|karawin	word-senses
92041	perform	to act or perform an action; 'John did the painting, the weeding, and he cleaned out the gutters'			none	40	1111	kf|dA|pradApay|viDA|kAray|car|Acar|prakf|samAcar|pradA|sADay|dApay|tan|AsTA|samAsTA|nirmA|prakalpay|anvAs|nizev|prayuj|sampAday|prakAray|racay|prayojay	word-senses
88820	name	assign a specified name to; 'They named their son David'; 'The new school was named after the famous Civil Rights leader'; 'Call me Boris'			none	48	1088	vac|pravac|smf|KyA|man|kaTay|udAhf|aBiDA|parikIrtay|Iray|prakIrtay|kIrtay|samAKyA|viKyA|ah|nigad|Acakz|nirdiS|uddiS|vad|AKyA|udIray|prAh|sampravac	word-senses
73171	curative	tending to cure or restore to health; 'curative powers of herbal remedies'; 'her gentle healing hand'; 'remedial surgery'; 'a sanative environment of mountains and fresh air'; 'a therapeutic agent'; 'therapeutic diets'			none	54	1071	Gna|hara|apaha|nud|nASana|jit|hft|vinASana|hArin|han|nASin|praRud|nikfntana|apahArin|ropaRa|hantf|vinASin|nivAraRa|nibarhaRa|apahAraka|Bezaja|unmUlana|jetf|Samana	word-senses
100732	Arjuna	name of a warrior; one of the heroes of the MBh			none	54	1057	arjuna|pArTa|DanaMjaya|kirIwin|kOnteya|Palguna|bIBatsu|SvetavAhana|SvetASva|savyasAcin|jizRu|gARqIvaDanvan|kfzRasAraTi|vAsavi|vijaya|pAkaSAsana|guqAkeSa|kapiDvaja|jaya|kapiketana|vAnaraDvaja|Sakranandana|kirIwamAlin|Sakrasuta	word-senses
96793	very	intensifiers; 'she was very gifted'; 'he played very well'; 'a really enjoyable evening'; (`real' is sometimes used informally for `really' as in 'I'm real sorry about it'; `rattling' is informal as in 'a rattling good yarn')			none	16	1040	su|ati|atIva|BfSam|mahat|param|atyarTam|sutarAm|nitarAm|atyantam|parama|puru|bahu|dfQam|tarAm|tuvi	word-senses
63592	silver	a soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal; occurs in argentite and in free form; used in coins and jewelry and tableware and photography	14461	substance	direct	49	1027	tAra|rUpya|rajata|rOpya|sita|candra|Sveta|rUpyaka|SaSin|rAjata|tAraka|sODa|kupya|rucira|vasuSrezWa|candrahAsa|kalaDOta|Svetaka|Sukla|SuBra|candraBUti|kalaDUta|DOta|indu	word-senses
25712	body	the entire physical structure of an organism (especially an animal or human being); 'he felt as if his whole body were on fire'		Tops	propagated	19	1019	deha|SarIra|kAya|tanu|aNga|tanU|vapus|gAtra|piRqa|vigraha|kalevara|Atman|SarIraka|Gawa|aNgaka|BUtAvAsa|dravya|kzetra|purI	word-senses
38488	army	an organization of military land forces		group	propagated	20	1016	sEnya|bala|senA|anIka|vAhinI|camU|DvajinI|varUTinI|pftanA|anIkinI|akzOhiRI|balakAya|cakra|kawaka|patAkinI|saMgrAma|saMGa|BawabalAgra|krandas|pOMsya	word-senses
97557	surely	definitely or positively; 'the results are surely encouraging'; 'she certainly is a hard worker'; 'it's going to be a good day for sure'; 'they are coming, for certain'; 'they thought he had been killed sure enough'; 'he'll win sure as shooting'; (`sure'			none	19	1004	vE|Kalu|Druvam|api|niScitam|alam|nUnam|niyatam|avaSyam|eva|kuvid|asaMSayam|tu|SaSvat|BfSam|asaMdeham|viniScitena|viniScitam|bAQam	word-senses
132719	you	used to address in the second person			none	1	1002	tvad	word-senses
65211	powder	a solid substance in the form of tiny loose particles		Tops	propagated	14	996	cUrRa|rajas|cUrRaka|pizwa|pizwi|pizwI|nizpizwi|cunna|reRu|pizwikA|pizwaka|parAga|kzoda|pAMSu	word-senses
11608	horse	solid-hoofed herbivorous quadruped domesticated since prehistoric times	02352	animal	direct	30	990	aSva|haya|vAjin|turaga|hari|turaMga|vAha|turaMgama|arvant|arvan|sapti|sEnDava|atya|patatrin|javana|ganDarva|vIti|braDna|Gowaka|etaSa|SrIBrAtf|DArAwa|Durya|vAhanaSrezWa	word-senses
89808	knead	make uniform, as of dough or clay			none	17	990	marday|mfd|vimarday|piz|saMmarday|lolay|sampiz|pezay|piRqay|pramarday|parimarday|maT|vimfd|Amarday|samBid|aBivimarday|aBimarday	word-senses
42413	ocean	a large body of water constituting a principal part of the hydrosphere	09241	object	direct	40	989	sAgara|samudra|arRava|udaDi|varuRAlaya|abDi|lavaRAmBas|mahodaDi|sinDu|nadIpati|ambuDi|vAriDi|lavaRArRava|saritpati|payoDi|apAmpati|amburASi|amBoDi|ratnAkara|Urva|UrmimAlin|udanvant|mahArRava|lavaRajala	word-senses
93877	see	perceive by sight; 'You have to be a good observer to see all the details'; 'Can you see the bird in that tree?'			none	21	988	dfS|paS|samIkz|saMdfS|samprekz|vIkz|saMpaS|prapaS|lakzay|vilokay|Ikz|darSay|avekz|Alokay|prekz|anvavekz|aBiprekz|avalokay|upalakzay|parIkz|saMnirIkz	word-senses
129834	abhra	a mineral; 'talc'		substance	propagated	41	975	aBra|aBraka|gagana|vyoman|Gana|Ka|kuwila|ambara|Beka|vajra|meGa|AkASa|varapItaka|Kaga|gOrItejas|ananta|antarikza|pawala|payoDara|BfNga|maRqUka|amala|nirmala|naBas	word-senses
90259	kill	cause to die; put to death; 'This man has killed several people when he tried to rob a bank'			none	44	966	han|nihan|vaD|nipAtay|pAtay|GAtay|mAray|vinihan|hiMs|nizUday|vinASay|nASay|jiGAMs|pramaT|vinipAtay|sUday|aBihan|kzi|Samay|pramApay|poTay|viDvaMsay|vimarday|vyApAday	word-senses
88613	say	utter aloud; 'She said 'Hello' to everyone in the office'			none	18	958	vac|BAz|prAh|vyAhf|aBiBAz|kaTay|gad|udAhf|aBiDA|pravac|nigad|samudAhf|vad|BaR|prativac|pratyaBiDA|samIray|aBivac	word-senses
46592	man	the generic use of the word to refer to any human being; 'it was every man for himself'	10135	person	direct	29	945	nara|nf|puruza|manuzya|mAnava|martya|dehin|mAnuza|jantu|manuja|SarIrin|marta|puMs|prARin|jana|pUruza|prajA|manus|manu|pArTiva|cetana|BUsTa|BUspfS|BUmija	word-senses
92595	go	move away from a place into another direction; 'Go away before I start to cry'; 'The train departs at noon'			none	26	945	gam|yA|i|prayA|gA|vraj|aBigam|upagam|apakram|samprasTA|upayA|prakram|kram|cal|Sri|prasTA|saMyA|Ir|vI|upasaMkram|nirgam|viniDvaMs|vinizkram|samAyA	word-senses
63546	iron	a heavy ductile magnetic metallic element; is silver-white in pure form but readily rusts; used in construction and tools and armament; plays a role in the transport of oxygen by the blood	14448	substance	direct	36	944	loha|ayas|lOha|Ayasa|aSmasAra|kfzRAyasa|kAlAyasa|Sastra|sAra|lohaka|tIkzRa|piRqa|Gana|kfzRaloha|kfzRAyas|vIra|muRqa|kuzWa|kfzRa|adrisAra|kArzRAyasa|kAlaloha|rakzaRa|pAraSava	word-senses
85257	add	make an addition (to); join with others; increase by another or several; 'We added two students to that dorm room'; 'She added a personal note to her letter'; 'Add insult to injury'			none	29	930	dA|kzip|dApay|prakzip|nikzip|vinikzip|niyojay|pradA|pradApay|yojay|kf|yuj|atiric|varDay|niDA|viDA|saMyojay|nivApay|nI|muc|aBivarDay|aBizu|kzepay|upasfj	word-senses
131414	with	dt. mit			none	2	910	sa|saha	word-senses
26077	eye	the organ of sight (`peeper' is an informal term for `eye')		body	propagated	15	893	netra|akza|locana|IkzaRa|cakzus|akzi|nayana|dfzwi|dfS|cakzas|vilocana|akzaka|darSana|prekzaRa|cakzu	word-senses
78363	other	not the same one or ones already mentioned or implied; 'today isn't any other day'- the White Queen; 'the construction of highways and other public works'; 'he asked for other employment'; 'any other person would tell the truth'; 'his other books are stil			none	9	892	anya|apara|para|itara|antara|anyaka|dvitIya|anyatara|Seza	word-senses
90919	mix	to bring or combine together or with something else: 'resourcefully he mingled music and dance'			none	66	884	yuj|saMyuj|miSray|yojay|upe|ekIkf|melay|samAyuj|mil|vimiSray|saMsfj|AvApay|saMyojay|vApay|aYj|nikzip|same|gAlay|saMmiSray|saMyu|kzip|vartay|anuvyaD|samAvartay	word-senses
95963	originate	come into existence or develop: 'A new religious movement originated in that country' 'a love that sprang up from friendship,' 'the idea for the book grew out of a short story'			none	36	865	jan|BU|samBU|as|utTA|pravft|saMjan|utpad|samutpad|prajan|upajan|udBU|samudBU|nizpad|ABU|samutTA|aBijan|mUrC|udi|upasTA|praBU|prasU|samupajan|prAduras	word-senses
128654	enter (a state)	...			none	43	854	gam|yA|vraj|AyA|i|Ap|prAp|Apad|upe|fC|Agam|avAp|upagam|upAgam|aDigam|Baj|upayA|prayA|laB|pratipad|gA|samupAgam|aS|samprAp	word-senses
27498	method	a way of doing something, esp. a systematic one; implies an orderly logical arrangement (usually in steps)		cognition	propagated	21	854	viDi|yoga|viDAna|prakAra|krama|yukti|kalpa|upAya|mArga|prayoga|rIti|paTa|aDvan|upakrama|vartman|karman|nyAya|diS|tantra|bIja|paTin	word-senses
24922	strength	the property of being physically or mentally strong; 'fatigue sapped his strength'	04970	attribute	direct	15	849	bala|ojas|vIrya|sahas|Savas|Urj|tavizI|praBAva|dArQya|vayas|parAkrama|ABUti|sTErya|SarIra|prAya	word-senses
89894	smear	spread or daub over			none	30	845	lip|lepay|pralepay|aYj|vilip|vilepay|pralip|dih|Alip|saMlip|aByaYj|pradih|parilepay|avalip|Alepay|saMlepay|carcay|parilip|anulip|aBiGAray|AYj|upalip|pratyaBiGAray|saMyuj	word-senses
43007	Krishna	8th and most important avatar of Vishnu; incarnated as a handsome young man playing a flute	09393	person	direct	86	842	kfzRa|vAsudeva|janArdana|keSava|hari|mADava|govinda|maDusUdana|vArzReya|hfzIkeSa|SOri|dASArha|puRqarIkAkza|acyuta|Bagavant|puruzottama|kaMsAri|maDuripu|garuqaDvaja|murAri|yadunandana|SArNgaDanvan|dAmodara|aDokzaja	word-senses
130008	fill into	fill into			none	40	834	kzip|ruD|vinikzip|nikzip|dA|prakzip|niDA|kf|niveSay|sTApay|niDApay|niroDay|vinyas|niruD|parikzip|muc|roDay|viniveSay|saMsTApay|rakzay|dApay|viDA|viniDA|saMniveSay	word-senses
74560	like	resembling or similar; having the same or some of the same characteristics; often used in combination; 'suits of like design'; 'a limited circle of like minds'; 'members of the cat family have like dispositions'; 'as like as two peas in a pod'; 'doglike d			none	19	831	upama|sama|saMniBa|sadfSa|niBa|ABa|tulya|pratima|samAna|kalpa|sadfS|prakASa|pratirUpa|anurUpa|sapraBa|upamAna|juz|taTArUpa|saMtulya	word-senses
26502	blood	the fluid (red in vertebrates) that is pumped by the heart; 'blood carries oxygen and nutrients to the tissues and carries waste products away'; 'the ancients believed that blood was the seat of the emotions'	05335	body	direct	14	829	SoRita|rakta|ruDira|asfj|asra|kzataja|lohita|kIlAla|carmaja|loha|tvagja|SoRa|kzatodBava|raktaka	word-senses
12249	monkey	any of various long-tailed primates (excluding the prosimians)	02461	animal	direct	13	828	vAnara|hari|kapi|plavaMgama|plavaga|vanOkas|fkza|markawa|SAKAmfga|plavaMga|kAnanOkas|valImuKa|harin	word-senses
126636	sattva	Ausfluss aus Metallen bei Erhitzen mit Borax usw.		artifact	propagated	2	823	sattva|sattvaka	word-senses
24565	color	a visual attribute of things that results from the light they emit or transmit or reflect; 'white is the coolest summer color'		attribute	propagated	18	814	varRa|praBA|rAga|CAyA|Cavi|saMkASa|ABAsa|raNga|dyuti|aYji|avaBAsa|kAnti|ruc|rUpa|DAman|varcas|varRaka|tviz	word-senses
48716	woman	an adult female person (as opposed to a man); 'the woman kept house while the man hunted'	10626	person	direct	33	814	strI|nArI|aNganA|yozit|kAminI|vanitA|yozA|pramadA|abalA|sImantinI|vaDU|mAnuzI|yuvati|lalanA|mahilA|jani|janI|menA|puraMDrI|nArIkA|kAntA|natANgI|vASitA|yozitA	word-senses
59917	seven	the cardinal number that is the sum of six and one	13563	quantity	direct	10	809	saptan|saptaka|muni|adri|svara|aga|BUmiDara|nAga|naga|vAjin	word-senses
87036	know	be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about; 'I know that the President lied to the people'; 'I want to know who is winning the game!'; 'I know it's time'			none	12	807	vid|jYA|vijYA|prajYA|aBijYA|saMvid|avagam|nibuD|ave|upalakzay|parijYA|samave	word-senses
22634	vessel	an object used as a container (especially for liquids)	04476	artifact	direct	18	806	pAtra|BARqa|BAjana|pAtraka|BARqaka|pAtrI|ADAra|amatra|ASaya|saraka|koSa|sampuwa|BARqika|udara|Avapana|droRI|supAtra|suBAjana	word-senses
