rank	lemma_slp1	deva	iast	gloss	core_rank	coverage_pct	cumulative_pct	lesson	card_href
31	prAp	प्राप्	prāp	prā p ( pra-√āp ) P. Ā. prā pnoti ( irreg. Pot. prā peyam), to attain to; reach, arrive at, meet wi…	39	0.158659	10.6951	1	../../w/pr_41p.html
32	tA	ता	tā	tā f. Lakṣmī, L.	40	0.158539	10.8536	1	../../w/t_41.html
33	puruza	पुरुष	puruṣa	puruṣa m. ( mc. also pūr˚ ; prob. fr. √ pṝ and connected with puru , pūru ifc. f( ā ). , rarely f(…	41	0.156259	11.0099	1	../../w/puruza.html
34	kAma	काम	kāma	kāma &c. See s.v.	42	0.154999	11.1649	1	../../w/k_41ma.html
35	nara	नर	nara	nara m. ( cf. nṛ ) a man, a male, a person ( pl. men, people), TS. &c. &c.	45	0.150348	11.3152	1	../../w/nara.html
36	Sata	शत	śata	śata n. (rarely m. ; ifc. f( ī ). ) a hundred (used with other numerals thus, ekā DikaM Satam, or e…	47	0.143688	11.4589	1	../../w/_53ata.html
37	fzi	ऋषि	ṛṣi	ṛṣi m. (√ 2. ṛṣ Comm. on Uṇ. iv, 119 ; ṛṣati jñānena saṃsāra-pāram , T. ; perhaps fr. an obsolete √…	48	0.141437	11.6004	1	../../w/fzi.html
38	bahu	बहु	bahu	bahu mf( vī or u )n. much, many, frequent, abundant, numerous, great or considerable in quantity (…	49	0.140057	11.7404	1	../../w/bahu.html
39	doza	दोष	doṣa	1. doṣa m. evening, darkness (only BhP. , where personified as one of the 8 Vasus and husband of Ni…	50	0.136787	11.8772	1	../../w/doza.html
40	jYA	ज्ञा	jñā	1. jñā cl. 9. P. Ā. jānāti , ˚nīte ( cf. Pāṇ. i, 3, 76 ; Subj. ˚nāt ; Impv. ˚nītāt , 2. sg. ˚nīhi ,…	52	0.136547	12.0137	1	../../w/j_59_41.html
41	yoga	योग	yoga	yoga &c. See pp. 856, 858.	53	0.135797	12.1495	1	../../w/yoga.html
42	Bagavant	भगवन्त्	bhagavant	bhagavant (von bhaga ) adj. gutbegabt, glücklich, glückselig : sūyavasādbhabhagavatī hi bhūyā atho…	54	0.134657	12.2842	1	../../w/_42agavant.html
43	muni	मुनि	muni	muni m. ( accord. to Uṇ. iv, 122 fr. √ man ) impulse, eagerness (?), RV. vii, 56, 8	55	0.132046	12.4162	1	../../w/muni.html
44	tapas	तपस्	tapas	tapas n. warmth, heat ( pañca tapāṃsi , the 5 fires to which a devotee exposes himself in the hot s…	56	0.131716	12.548	1	../../w/tapas.html
45	go	गो	go	go gaus ( acc. gām instr. gavā dat. gave , gen. abl. gos loc. gavi ; du. gāvā [ Ved. ], gāvau ; pl.…	57	0.129586	12.6775	1	../../w/go.html
46	grah	ग्रह्	grah	grah [ RV. in a few passages only, AV. &c.] or grabh [ RV. ; rarely, AV. ] cl. 9. P. gṛbhṇāti , gṛh…	58	0.129076	12.8066	1	../../w/grah.html
47	BUta	भूत	bhūta	bhūta mf( ā )n. become, been, gone, past ( n. the past), RV. &c. &c.	59	0.125895	12.9325	1	../../w/_42_55ta.html
48	sahasra	सहस्र	sahasra	sa—hasra See below.	61	0.124035	13.0566	1	../../w/sahasra.html
49	parama	परम	parama	parama mf( ā )n. ( superl. of para ) most distant, remotest, extreme, last, RV. &c. &c.	62	0.123795	13.1803	1	../../w/parama.html
50	man	मन्	man	man in comp. for 1. mad .	63	0.123465	13.3038	1	../../w/man.html
51	uttama	उत्तम	uttama	ut-tama mfn. (superlative fr. 1. ud ; opposed to avama , adhama , &c.; cf. an-uttama ), uppermost,…	64	0.122925	13.4267	2	../../w/uttama.html
52	Sara	शर	śara	śara m. ( fr. √ śṝ ‘to rend’ or ‘destroy’) a sort of reed or grass, Saccharum Sara (used for arrows…	65	0.120795	13.5475	2	../../w/_53ara.html
53	smf	स्मृ	smṛ	1. smṛ , v.l. for √ spṛ , q.v.	66	0.118935	13.6665	2	../../w/smf.html
54	anta	अन्त	anta	anta m. end, limit, boundary, term	67	0.118095	13.7846	2	../../w/anta.html
55	ja	ज	ja	1. ja the 3rd palatal letter (having the sound of j in jump ).	68	0.117524	13.9021	2	../../w/ja.html
56	namas	नमस्	namas	namas n. bow, obeisance, reverential salutation, adoration (by gesture or word; often with dat. , e…	71	0.114434	14.0165	2	../../w/namas.html
57	Agam	आगम्	āgam	ā-√gam P. -gacchati ( Impv. -gacchatāt , ŚBr. xiv ; 2. sg. -gahi [frequently, in RV. ], once -gadhi…	72	0.113624	14.1301	2	../../w/_41gam.html
58	dvi	द्वि	dvi	dvi du. two ( nom. dvau See dva ).	73	0.113534	14.2437	2	../../w/dvi.html
59	yajYa	यज्ञ	yajña	yajña m. worship, devotion, prayer, praise	75	0.112304	14.356	2	../../w/yaj_59a.html
60	strI	स्त्री	strī	strī f. (perhaps for sūtrī , or sotrī , ‘bearer of children’, fr. √ 2. sū ; accord. to some connect…	76	0.112124	14.4681	2	../../w/str_49.html
61	paYcan	पञ्चन्	pañcan	pañcan pl. (said to be fr. √ 1. pac , to spread out the hand with its five fingers; nom. acc. pañca…	77	0.111524	14.5796	2	../../w/pa_59can.html
62	vana	वन	vana	1. vana n. (once m. , R. v, 50, 2 ; for 2. See ) a forest, wood, grove, thicket, quantity of lotuse…	78	0.109693	14.6893	2	../../w/vana.html
63	pARqava	पाण्डव	pāṇḍava	pāṇḍava m. a son or descendant of Pāṇḍu or a partisan of the Pāṇḍavas	79	0.109663	14.799	2	../../w/p_41_52qava.html
64	vAta	वात	vāta	1. vāta mfn. (for 2. See ) blown &c.	80	0.109033	14.908	2	../../w/v_41ta.html
65	rAma	राम	rāma	rāma mf( ā )n. ( prob. ‘causing rest’, and in most meanings fr. √ ram ) dark, dark-coloured, black…	81	0.108463	15.0165	2	../../w/r_41ma.html
66	jana	जन	jana	jana mf( ī )n. ‘generating’, see puraṃ-	83	0.105583	15.1221	2	../../w/jana.html
67	tejas	तेजस्	tejas	tejas n. (often pl. ) the sharp edge (of a knife &c.), point or top of a flame or ray, glow, glare,…	85	0.104173	15.2262	2	../../w/tejas.html
68	pati	पति	pati	1. pati m. ( cf. √ 1. pat ; when uncompounded and meaning ‘husband’ instr. patyā ; dat. patye ; gen…	86	0.102823	15.3291	2	../../w/pati.html
69	kaTay	कथय्	kathay	!√ kathay , kathayati DHĀTUP. 35,1 . episch auch med. ; acakathat P. 7,4,93 , Sch. [Page2-0044] auc…	89	0.0998523	15.4289	2	../../w/ka_54ay.html
70	varRa	वर्ण	varṇa	varṇa m. (or n. g. ardharcā di, prob. fr. √ 1. vṛ ; ifc. f( ā ). ) a covering, cloak, mantle, L.	90	0.0989822	15.5279	2	../../w/var_52a.html
71	prARa	प्राण	prāṇa	1. prāṇa mfn. (for 2. See .) filled, full, L.	91	0.0985621	15.6265	2	../../w/pr_41_52a.html
72	saptan	सप्तन्	saptan	saptan sg. and pl. ( nom. acc. sapta ; instr. ˚tabhis ; dat. abl. ˚tabhyas ; gen. ˚tānām loc. ˚tasu…	92	0.0984421	15.7249	2	../../w/saptan.html
73	nfpa	नृप	nṛpa	nṛ—pa See p. 568. col. 2.	93	0.0984121	15.8233	2	../../w/nfpa.html
74	suta	सुत	suta	1. suta mfn. impelled, urged, ŚBr.	94	0.0984121	15.9217	2	../../w/suta.html
75	pAda	पाद	pāda	pāda m. ( ifc. f( ā ). , rarely f( ī ). ) the foot (of men and animals), RV. &c. &c. (the pl. somet…	95	0.0982021	16.0199	2	../../w/p_41da.html
76	ji	जि	ji	1. ji cl. 1. jayati , ˚te ( impf. ajayat ; aor. ajaiṣīt , Ved. ajais , 1. pl. ajaiṣma , jeṣma , 2.…	96	0.097962	16.1179	2	../../w/ji.html
77	Bavat	भवत्	bhavat	bhavat mf( antī )n. being, present, RV. &c. &c.	97	0.097902	16.2158	2	../../w/_42avat.html
78	devI	देवी	devī	devī ( ī ), f. See s.v.	98	0.097752	16.3135	2	../../w/dev_49.html
79	muc	मुच्	muc	1. muc cl. 1. Ā. mocate , to cheat, Dhātup. vi, 12 (= √ mac , q.v. )	99	0.0957718	16.4093	2	../../w/muc.html
80	catur	चतुर्	catur	catur ˚tvāras m. pl. , ˚tvāri n. pl. , 4 ( acc. m. ˚turas instr. ˚turbhis [for f. , R. iv, 39, 33 ]…	101	0.0953817	16.5047	2	../../w/catur.html
81	mUla	मूल	mūla	mūla n. (or m. g. ardharcā di; ifc. f( ā or ī ). ; prob. for 3. mūra See above) ‘firmly fixed’, a r…	102	0.0950217	16.5997	2	../../w/m_55la.html
82	vAc	वाच्	vāc	vāc f. ( fr. √ vac ) speech, voice, talk, language (also of animals), sound (also of inanimate obje…	103	0.0938515	16.6936	2	../../w/v_41c.html
83	laB	लभ्	labh	labh ( cf. √ rabh ) cl. 1. Ā. ( Dhātup. xxiii, 6 ) labhate ( ep. also ˚ti and lambhate ; pf. lebhe…	104	0.0931014	16.7867	2	../../w/la_42.html
84	jYAna	ज्ञान	jñāna	jñāna n. knowing, becoming acquainted with, knowledge, ( esp. ) the higher knowledge (derived from…	105	0.0930714	16.8797	2	../../w/j_59_41na.html
85	pravac	प्रवच्	pravac	pra-√vac P. -vakti ( inf. -vāce , RV. ix, 95, 2 ), to proclaim, announce, praise, commend, mention,…	107	0.0926214	16.9724	2	../../w/pravac.html
86	pitta	पित्त	pitta	pitta n. ( etym. unknown) bile, the bilious humour (one of the three humours [ cf. kapha and vāyu ]…	108	0.0925914	17.065	2	../../w/pitta.html
87	Bagavat	भगवत्	bhagavat	bhagavat &c. See .	109	0.0921413	17.1571	2	../../w/_42agavat.html
88	duHKa	दुःख	duḥkha	1. duḥkha mfn. (according to grammarians properly written duṣ-kha and said to be from dus and kha […	111	0.0917813	17.2489	2	../../w/du_48_4ba.html
89	paS	पश्	paś	1. paś only Pres. P. Ā. paśyati , ˚te ( cf. √ dṛś and Pāṇ. vii, 3, 78 ), to see (with na ‘to be bli…	112	0.0917513	17.3406	2	../../w/pa_53.html
90	car	चर्	car	car cl. 1. carati , rarely ˚te ( Subj. carat , 3. pl. carān , RV. ; perf. cacāra [ AV. &c.], 2. sg.…	113	0.0916613	17.4323	2	../../w/car.html
91	karRa	कर्ण	karṇa	karṇa m. (√ kṛt , Nir. ; √ 1. kṝ , Uṇ. iii, 10 ), the ear, RV. ; AV. ; TS. ; Suśr. ( api karṇe , be…	114	0.0911512	17.5234	2	../../w/kar_52a.html
92	vad	वद्	vad	vad cl. 1. P. Ā. ( Dhātup. xxiii, 40 ) vadati , ˚te ( ep. mc. also vādati ; Pot. udeyam , AV. ; pf.…	115	0.0908212	17.6143	2	../../w/vad.html
93	sTa	स्थ	stha	stha . See .	117	0.089681	17.7039	2	../../w/s_54a.html
94	gaRa	गण	gaṇa	gaṇa as , m. a flock, troop, multitude, number, tribe, series, class (of animate or inanimate being…	118	0.089411	17.7934	2	../../w/ga_52a.html
95	Baya	भय	bhaya	bhaya n. (√ bhī ) fear, alarm, dread apprehension	119	0.089351	17.8827	2	../../w/_42aya.html
96	kula	कुल	kula	kula am , n. ( ifc. f( ā ). ) a herd, troop, flock, assemblage, multitude, number, &c. (of quadrupe…	121	0.0888709	17.9716	2	../../w/kula.html
97	daSan	दशन्	daśan	daśan pl. ( g. svasr-ādi , Gaṇar. 42 ) ten ( nom. acc. daśa , RV. &c.; instr. [ daśa , x, 101, 10 &…	122	0.0886009	18.0602	2	../../w/da_53an.html
98	jala	जल	jala	1. jala mfn. = jaḍa ( cf. √ jal ), stupid ( cf. ˚lā dkipa, ˚lā Saya), ŚārṅgP. xxi ( v.l. )	123	0.0885709	18.1487	2	../../w/jala.html
99	pada	पद	pada	pada n. (rarely m. ) a step, pace, stride	126	0.0872807	18.236	2	../../w/pada.html
100	budDi	बुद्धि	buddhi	buddhi f. the power of forming and retaining conceptions and general notions, intelligence, reason,…	127	0.0869807	18.323	2	../../w/bud_44i.html
101	anna	अन्न	anna	anna mfn. (√ ad ), eaten, L.	129	0.0867407	18.4097	3	../../w/anna.html
102	BAga	भाग	bhāga	1. bhāga m. (√ bhaj ) a part, portion, share, allotment, inheritance (in Ved. also = lot, esp. fort…	130	0.0865906	18.4963	3	../../w/_42_41ga.html
103	Sabda	शब्द	śabda	śabda m. (in DhyānabUp. also n. ifc. f( ā ). perhaps connected with √ 3. śap cf. also 2. śap ) soun…	131	0.0865006	18.5828	3	../../w/_53abda.html
104	rAja	राज	rāja	1. rāja m. ( ifc. ) = 1. rājan , a king, sovereign, chief or best of its kind, MBh. ; Kāv. &c.	132	0.0864406	18.6693	3	../../w/r_41ja.html
105	mantra	मन्त्र	mantra	mantra m. (rarely n. ; ifc. f( ā ). ), ‘instrument of thought’, speech, sacred text or speech, a pr…	133	0.0859306	18.7552	3	../../w/mantra.html
106	soma	सोम	soma	1. soma m. ( fr. √ 3. su ) juice, extract, ( esp. ) the juice of the Soma plant, (also) the Soma pl…	134	0.0852105	18.8404	3	../../w/soma.html
107	BAva	भाव	bhāva	bhāva m. (√ bhū ) becoming, being, existing, occurring, appearance, ŚvetUp. ; KātyŚr. &c.	135	0.0850304	18.9255	3	../../w/_42_41va.html
108	viDi	विधि	vidhi	1. vidhi m. (for 2. See ) a worshipper, one who does homage, AitBr.	136	0.0848504	19.0103	3	../../w/vi_44i.html
109	gfha	गृह	gṛha	gṛha m. an assistant, servant, RV. x, 119, 13	137	0.0847604	19.0951	3	../../w/gfha.html
110	vacana	वचन	vacana	vacana mfn. speaking, a speaker, eloquent, RV.	138	0.0847604	19.1798	3	../../w/vacana.html
111	dvija	द्विज	dvija	dvi—ja See dvija .	139	0.0847004	19.2645	3	../../w/dvija.html
112	vizRu	विष्णु	viṣṇu	viṣṇu m. ( prob. fr. √ viṣ , ‘All-pervader’ or ‘Worker’) N. of one of the principal Hindū deities (…	140	0.0845804	19.3491	3	../../w/viz_52u.html
113	brahman	ब्रह्मन्	brahman	brahman n. ( lit. ‘growth’, ‘expansion’, ‘evolution’, ‘development’ ‘swelling of the spirit or soul…	141	0.0841903	19.4333	3	../../w/brahman.html
114	vAkya	वाक्य	vākya	vākya &c. See .	142	0.0834402	19.5167	3	../../w/v_41kya.html
115	vIrya	वीर्य	vīrya	vīrya n. ( ifc. f( ā ). ) manliness, valour, strength, power, energy, RV. &c. &c.	143	0.0834102	19.6001	3	../../w/v_49rya.html
116	pat	पत्	pat	1. pat cl. 4. Ā. ( Dhātup. xxvi, 50 ) patyate , to be master, reign, rule, govern, control, own, po…	144	0.0832602	19.6834	3	../../w/pat.html
117	bAhu	बाहु	bāhu	1. bāhu m. f. ( f. , L. ) ( fr. √ bah , baṃh ; for 2. bāhu See col. 3) the arm, ( esp. ) the forear…	145	0.0831402	19.7665	3	../../w/b_41hu.html
118	SarIra	शरीर	śarīra	śarīra n. (once in R. m. ; ifc. f( ā ). ; either fr. √ śri and orig. = ‘support or supporter’, cf.…	147	0.0825401	19.8491	3	../../w/_53ar_49ra.html
119	SrezWa	श्रेष्ठ	śreṣṭha	śreṣṭha mf( ā )n. most splendid or beautiful, most beautiful of or among (with gen. ), RV. ; AV. ;…	149	0.0817	19.9308	3	../../w/_53rez_57a.html
120	mAtra	मात्र	mātra	mātra m. a Brāhman of the lowest order i.e. only by birth, Hcat.	150	0.08167	20.0125	3	../../w/m_41tra.html
121	kArya	कार्य	kārya	kārya mfn. ( fut. p.p. √ 1. kṛ ), to be made or done or practised or performed, practicable, feasib…	151	0.08143	20.0939	3	../../w/k_41rya.html
122	yuDizWira	युधिष्ठिर	yudhiṣṭhira	yudhi—ṣṭhira m. (for -sthira ) ‘firm or steady in battle’, N. of the eldest of the 5 reputed sons o…	152	0.0804999	20.1744	3	../../w/yu_44iz_57ira.html
123	nAman	नामन्	nāman	nāman n. ( prob. neither fr. √ jñā nor fr. √ mnā [ cf. Uṇ. iv, 150 ]; ifc. f. either = m. or ˚mnī )…	153	0.0800198	20.2544	3	../../w/n_41man.html
124	Siras	शिरस्	śiras	śiras n. ( prob. originally śaras = karas ; and connected with karaṅka , q.v. ) the head, skull ( a…	154	0.0796598	20.3341	3	../../w/_53iras.html
125	hA	हा	hā	hā ( ā ), f. coition	156	0.0782496	20.4123	3	../../w/h_41.html
126	BUmi	भूमि	bhūmi	bhūmi f. ( Ved. also nom. bhūmī gen. abl. ˚myās loc. ˚myām ) the earth, soil, ground, RV. &c. &c.	157	0.0777395	20.4901	3	../../w/_42_55mi.html
127	ap	अप्	ap	1. ap n. ( gen. apas ), work (according to NBD. ), RV. i, 151, 4.	158	0.0774995	20.5676	3	../../w/ap.html
128	deha	देह	deha	deha m. n. (√ dih , to plaster, mould, fashion) the body, TĀr. ; KātyŚr. ; Mn. &c.	159	0.0766594	20.6442	3	../../w/deha.html
129	vAyu	वायु	vāyu	1. vāyu m. ( fr. √ 2. vā ) wind, air (as one of the 5 elements; in MBh. 7 winds are reckoned), RV.…	161	0.0765394	20.7208	3	../../w/v_41yu.html
130	ISvara	ईश्वर	īśvara	īśvara mfn. able to do, capable of (with gen. of Vedic inf. , or with common inf. ), liable, expose…	162	0.0764794	20.7972	3	../../w/_49_53vara.html
131	sUrya	सूर्य	sūrya	sūrya m. the sun or its deity (in the Veda the name Sūrya is generally distinguished from Savitṛ […	163	0.0764194	20.8736	3	../../w/s_55rya.html
132	div	दिव्	div	1. div cl. 1. P. -devati cl. 10. P. -devayati , to cause to lament, to pain, vex; to ask, beg; to g…	164	0.0762694	20.9499	3	../../w/div.html
133	ganDa	गन्ध	gandha	gandha as , m. smell, odour (nine kinds are enumerated, viz. iṣṭa , aniṣṭa , madhura , kaṭu , nirhā…	165	0.0762094	21.0261	3	../../w/gan_44a.html
134	deSa	देश	deśa	deśa m. (√ 1. diś ) point, region, spot, place, part, portion, VS. ; AitBr. ; Śr. & GṛS. ; Mn. &c.	166	0.0761494	21.1023	3	../../w/de_53a.html
135	viza	विष	viṣa	viṣa m. a servant, attendant, RV.	167	0.0761494	21.1784	3	../../w/viza.html
136	lakzaRa	लक्षण	lakṣaṇa	lakṣaṇa mfn. indicating, expressing indirectly, Vedāntas.	169	0.0759693	21.2544	3	../../w/lakza_52a.html
137	kaPa	कफ	kapha	kapha m. phlegm (as one of the three humors of the body See also vāyu and pitta ), Suśr.	170	0.0759393	21.3303	3	../../w/ka_50a.html
138	yudDa	युद्ध	yuddha	yuddha mfn. fought, encountered, conquered, subdued, MBh.	172	0.0752192	21.4056	3	../../w/yud_44a.html
139	veda	वेद	veda	1. veda m. ( fr. √ 1. vid , q.v. ) knowledge, true or sacred knowledge or lore, knowledge of ritual…	173	0.0750692	21.4806	3	../../w/veda.html
140	aSva	अश्व	aśva	1. aśva m. (2. rarely 3 RV. ) (√ 1. aś , Uṇ. ) ifc. f. a horse, stallion, RV. &c.	174	0.0750092	21.5556	3	../../w/a_53va.html
141	pfTivI	पृथिवी	pṛthivī	pṛthivī f. (= pṛthvī f. of pṛthu ) the earth or wide world (‘the broad and extended One’, personifi…	176	0.0748292	21.6305	3	../../w/pf_54iv_49.html
142	rudra	रुद्र	rudra	rudra mfn. ( prob. ) crying, howling, roaring, dreadful, terrific, terrible, horrible (applied to t…	177	0.0747692	21.7052	3	../../w/rudra.html
143	raRa	रण	raṇa	1. raṇa m. delight, pleasure, gladness, joy, RV. ; VS. ; AV.	178	0.0747092	21.7799	3	../../w/ra_52a.html
144	tIrTa	तीर्थ	tīrtha	tīrtha n. (rarely m. , MBh. ) a passage, way, road, ford, stairs for landing or for descent into a…	180	0.0740191	21.854	3	../../w/t_49r_54a.html
145	gati	गति	gati	gati f. going, moving, gait, deportment, motion in general, RV. v, 64, 3 ; VS. ; TS. &c.	182	0.073359	21.9273	3	../../w/gati.html
146	pracC	प्रच्छ्	pracch	pracch 6 P. ( pṛcchati, papraccha , aprākṣīt, prakṣyati, praṣṭuṃ, pṛṣṭa ; caus. pracchayati ; pass.…	183	0.073059	22.0004	3	../../w/prac_43.html
147	kAraRa	कारण	kāraṇa	1. kāraṇa n. cause, reason, the cause of anything ( gen. , also often loc. ), KātyŚr. ; MBh. ; Mn.…	184	0.0727289	22.0731	3	../../w/k_41ra_52a.html
148	hetu	हेतु	hetu	hetu &c. See .	185	0.0724589	22.1456	3	../../w/hetu.html
149	pArTa	पार्थ	pārtha	1. pārtha m. ( fr. pṛthi ) patr. of Tānva, RAnukr.	188	0.0715588	22.2171	3	../../w/p_41r_54a.html
150	kzip	क्षिप्	kṣip	1. kṣip cl. 6. P. kṣipati Ā. kṣipate ( MBh. &c.; cl. 4. P. kṣipyati , only, Bhaṭṭ. ; Subj. kṣipat ;…	190	0.0713488	22.2885	3	../../w/kzip.html
151	viDA	विधा	vidhā	vi-√dhā P. Ā. -dadhāti , -dhatte , to distribute, apportion, grant, bestow, RV. &c. &c. (with kāmam…	191	0.0712287	22.3597	4	../../w/vi_44_41.html
152	mf	मृ	mṛ	mṛ cl. 6. Ā. ( Dhātup. xxviii, 110 ) mriyate ( ep. and mc. also P. ˚ti ; cl. 1. P. Ā. marati , mara…	192	0.0711687	22.4309	4	../../w/mf.html
153	dina	दिन	dina	1. dina mfn. (√ do ) cut, divided, mowed, RV. viii, 67, 10 ( cf. svayaṃ- ).	193	0.0706587	22.5015	4	../../w/dina.html
154	Gfta	घृत	ghṛta	1. ghṛta mfn. sprinkled, L.	194	0.0703886	22.5719	4	../../w/_47fta.html
155	BIzma	भीष्म	bhīṣma	bhīṣma mfn. terrible, dreadful, ŚBr. &c. &c.	195	0.0699386	22.6419	4	../../w/_42_49zma.html
156	darSana	दर्शन	darśana	darśana mf( ī )n. showing, Pāṇ. v, 2, 6	196	0.0699086	22.7118	4	../../w/dar_53ana.html
157	aMSa	अंश	aṃśa	aṃśa m. (probably fr. √ 1. aś , perf. ān-aṃśa , and not from the above √ aṃś fictitiously formed to…	197	0.0696986	22.7815	4	../../w/a_4d_53a.html
158	dravya	द्रव्य	dravya	1. dravya n. a substance, thing, object, Up. ; Mn. ; MBh. &c.	198	0.0695785	22.851	4	../../w/dravya.html
