lemma_slp1	layer	sense_id	sense_gloss	count_estimated	method	confidence	provenance
Darma	mw	Darma#7	the ethical precepts of Buddhism (or the principal Darma called sUtra , as distinguished from the aB	11773	mfs	0.963	estimated
punar	mw	punar#3	again and again, repeatedly, ib. (mostly pu/naH p˚ which with na = nevermore)	11141	mfs	0.856	estimated
dA	mw	dA#13	to give up, cede ( Asanam , ‘one's seat’), Mn. iv, 54 ;	10803	mfs	0.3485	estimated
indra	mw	indra#2	the Indian Jupiter Pluvius or lord of rain (who in Vedic mythology reigns over the deities of the in	10684	mfs	0.8496	estimated
anya	mw	anya#2	2. anya/ as , A , at other, different	10537	mfs	1.0	estimated
putra	mw	putra#4	N. of a son of Brahmiṣṭha , Ragh.	10455	mfs	0.9915	estimated
tva	mw	tva#1	1. tva mfn. ( tvad ). one, several, RV.	10172	mfs	1.0	estimated
Sru	mw	Sru#17	to wish or like to hear ( acc. ), desire to attend or listen to ( dat. ), RV. &c. &c.;	9836	mfs	0.7428	estimated
brahman	mw	brahman#2	the sacred word (as opp. to vAc , the word of man), the Veda , a sacred text, a text or Mantra used 	9587	mfs	0.5403	estimated
yat	mw	yat#9	to endeavour to reach, strive after, be eager or anxious for (with loc. dat. acc. with or without pr	9441	mfs	0.6839	estimated
sva	mw	sva#6	one's own goods, property, wealth, riches (in this sense said to be also m. ), RV. &c. &c.	9356	mfs	0.6	estimated
karman	mw	karman#6	action consisting in motion (as the third among the seven categories of the Nyāya philosophy; of the	9200	mfs	0.501	estimated
brU	mw	brU#3	to speak, say, tell (either intrans. ; or with acc. of pers. or thing; or with acc. of thing and acc	9138	mfs	0.8947	estimated
ah	mw	ah#8	to acknowledge, accept, state, AitBr. ; Mn. &c.;	9037	mfs	0.3827	estimated
han	mw	han#17	to cause to be slain or killed, kill, slay, put to death, punish, Mn. ; MBh. &c.;	8983	mfs	0.6792	estimated
para	mw	para#8	better or worse than, superior or inferior to, best or worst, highest, supreme, chief (in the compar	8850	mfs	0.4871	estimated
sTA	mw	sTA#4	to stay, remain, continue in any condition or action ( e.g. with kanyA , ‘to remain a girl or unmarr	8771	mfs	0.4509	estimated
rUpa	mw	rUpa#1	rUpa/ n. (perhaps connected with varpa , varpas ; ifc. f.( A ) , rarely ( I )) any outward appearanc	8352	mfs	0.6362	estimated
ha	mw	ha#1	1. ha the thirty-third and last consonant of the Nāgarī alphabet (in Pāṇini 's system belonging to t	8214	mfs	0.75	estimated
jan	mw	jan#8	to be born or produced, come into existence, RV. ; AV. &c.;	8145	mfs	0.5576	estimated
tri	mw	tri#2	tri [ cf. τρεῖς , Lat. tres ; Goth. threis ; &c.]	8059	mfs	1.0	estimated
kAla	mw	kAla#37	time (as leading to events, the causes of which are imperceptible to the mind of man), destiny, fate	7979	mfs	0.4243	estimated
yajYa	mw	yajYa#1	yajYa/ m. worship, devotion, prayer, praise	7829	mfs	0.9818	estimated
tadA	mw	tadA#5	yadA — tadA (both repeated or the verb being repeated), at any time when — then, Hit.	7555	mfs	0.6784	estimated
pitf	mw	pitf#4	a father and his brothers, father and uncles, paternal ancestors, Mn. ii, 151 &c.; R. ; Kathās.	7178	mfs	0.9529	estimated
atra	mw	atra#1	1. a/-tra (or Ved. a/-trA ), ind. ( fr. pronominal base a ; often used in sense of loc. case asmin )	6966	mfs	0.9842	estimated
tasmAt	mw	tasmAt#1	ta/smAt ind. ( abl. of 2. ta/ ) from that, on that account, therefore (correlative of ya/d , yasmAt 	6955	mfs	1.0	estimated
manas	mw	manas#1	ma/nas n. mind (in its widest sense as applied to all the mental powers), intellect, intelligence, u	6881	mfs	0.9751	estimated
rasa	mw	rasa#11	mercury, quicksilver (sometimes regarded as a kind of quintessence of the human body, else where as 	6809	mfs	0.5099	estimated
bala	mw	bala#1	bala n. (or m. g. arDarcA di ) power, strength, might, vigour, force, validity, RV. &c. &c. ( balAt 	6756	mfs	0.6901	estimated
kAma	mw	kAma#2	kA/ma m. ( fr. √ 2. kam ; once kAma/ , VS. xx, 60 ), wish, desire, longing ( kAmo me BuYjIta BavAn ,	6697	mfs	0.7547	estimated
yaj	mw	yaj#6	( Ā. ) to sacrifice with a view to ( acc. ), RV. ;	6623	mfs	0.7857	estimated
grah	mw	grah#24	‘to take into the mouth’, mention, name, RV. i, 191, 13 & x, 145, 4 ; AV. ; TS. &c.;	6592	mfs	0.5799	estimated
saha	mw	saha#15	2. saha/ ind. ( prob. fr. 7. sa + DA , which in Veda may become Da ; cf. 1. saDa ) together with, al	6542	mfs	0.9174	estimated
iha	mw	iha#1	iha/ ind. ( fr. pronom. base 3. i ), in this place, here	6499	mfs	0.6915	estimated
yadi	mw	yadi#1	ya/di ind. (in Veda also ya/dI , sometimes yadi cit , yadi ha vE , ya/dI/ t , ya/dy u , yady u vE ) 	6440	mfs	0.8889	estimated
hu	mw	hu#8	Desid. juhUzati , to wish to sacrifice, MBh. ; R. :	6319	mfs	0.8384	estimated
puruza	mw	puruza#1	pu/ruza m. ( mc. also pU/r˚ ; prob. fr. √ pF and connected with puru , pUru ifc. f( A ). , rarely f(	6159	mfs	0.7533	estimated
raTa	mw	raTa#1	1. ra/Ta m. (√ 4. f ) ‘goer’, a chariot, car, esp. a two-wheeled war-chariot (lighter and swifter th	6136	mfs	0.7524	estimated
brAhmaRa	mw	brAhmaRa#6	brA/hmaRa n. that which is divine, the divine, AV.	6000	mfs	0.48	estimated
adas	mw	adas#2	adas ( adas ) ind. thus, so, there.	5725	mfs	1.0	estimated
Pala	mw	Pala#2	the kernel or seed of a fruit, Amar.	5717	mfs	0.7292	estimated
prAp	mw	prAp#7	to extend, stretch, reach to ( Ā. ), Pāṇ. v, 2, 8 ;	5702	mfs	0.6711	estimated
A	mw	A#12	towards (only in asma/d A/ , ‘towards us’), RV.	5623	mfs	0.6301	estimated
yuj	mw	yuj#44	to mix (food) with ( instr. ), Mn. vii, 218 ;	5565	mfs	0.3444	estimated
pUrva	mw	pUrva#7	foregoing, aforesaid, mentioned before ( abl. ), Mn. ; MBh. ; Pāṇ.	5523	mfs	0.4356	estimated
prARa	mw	prARa#2	2. prA Ra/ m. ( ifc. f( A ). ; for 1. See under √ prA , p. 701) the breath of life, breath, respirat	5499	mfs	0.6631	estimated
guRa	mw	guRa#15	a quality, peculiarity, attribute or property, Lāṭy. ; ŚāṅkhGṛ. ; Mn. iii , ix , &c.	5381	mfs	0.4294	estimated
Sata	mw	Sata#1	Sata/ n. (rarely m. ; ifc. f( I ). ) a hundred (used with other numerals thus, ekA DikaM Satam , or 	5377	mfs	0.911	estimated
soma	mw	soma#1	1. so/ma m. ( fr. √ 3. su ) juice, extract, ( esp. ) the juice of the Soma plant, (also) the Soma pl	5335	mfs	0.7918	estimated
yA	mw	yA#8	to go away, withdraw, retire, MBh. ; Kāv. &c.;	5314	mfs	0.3894	estimated
vAc	mw	vAc#1	vA/c f. ( fr. √ vac ) speech, voice, talk, language (also of animals), sound (also of inanimate obje	5282	mfs	0.757	estimated
pA	mw	pA#5	to drink, quaff, suck, sip, swallow (with acc. , rarely gen. ), RV. &c. &c.;	5216	mfs	0.7891	estimated
paSu	mw	paSu#2	2. paSu/ or pa/Su , m. ( instr. paSu/nA or ˚Sva ; dat. pa/Sve or paSa/ve ; gen. paSva/s or ˚Sos ; du	5179	mfs	0.4253	estimated
ap	mw	ap#2	2. a/p f. (in Ved. used in sing. and pl. , but in the classical language only in pl. , A/pas ) water	5171	mfs	1.0	estimated
go	mw	go#22	go/ f. an offering in the shape of a cow (= Denu , q.v. ), W.	5113	mfs	0.7519	estimated
u	mw	u#6	This particle may serve to give emphasis, like id and eva , especially after prepositions or demonst	5036	mfs	0.9355	estimated
vara	mw	vara#7	va/ra ( va/ra ), mf( A )n. ‘select’, choicest, valuable, precious, best, most excellent or eminent a	5026	mfs	0.7032	estimated
iz	mw	iz#10	to desire, wish, long for, request;	5017	mfs	0.7907	estimated
bahu	mw	bahu#3	large, great, mighty, AV. &c. &c.	4993	mfs	0.9633	estimated
namas	mw	namas#1	na/mas n. bow, obeisance, reverential salutation, adoration (by gesture or word; often with dat. , e	4936	mfs	1.0	estimated
SrI	mw	SrI#9	N. of Lakṣmī (as goddess of prosperity or beauty and wife of Viṣṇu , produced at the churning of the	4814	mfs	0.2909	estimated
nAma	mw	nAma#2	indeed, certainly, really, of course, ib.	4796	mfs	0.8	estimated
fzi	mw	fzi#20	fzi [ cf. Hib. arsan , ‘a sage, a man old in wisdom’; arrach , ‘old, ancient, aged’.]	4792	mfs	0.9911	estimated
yatra	mw	yatra#1	ya/tra ind. (in Veda also ya/trA ; fr. 3. ya , correlative of ta/tra , and often used for the loc. o	4733	mfs	0.9787	estimated
tapas	mw	tapas#3	religious austerity, bodily mortification, penance, severe meditation, special observance ( e.g. ‘sa	4712	mfs	0.9234	estimated
sahasra	mw	sahasra#2	saha/sra n. (rarely) m. (perhaps fr. 7. sa + hasra = Gk. χίλιοι for χεσλοι ; cf. Pers. hazār ) a tho	4684	mfs	0.8852	estimated
dvi	mw	dvi#1	dvi du. two ( nom. dvO See dva ).	4681	mfs	1.0	estimated
DA	mw	DA#9	to put, place, set, lay in or on ( loc. ), RV. &c. &c. (with daRqam , to inflict punishment on [with	4667	mfs	0.392	estimated
mA	mw	mA#11	or with the Impv. (in RV. only viii, 103, 6 , mA no hfRItAm [ SV. hfRItAs ] agni/H , may Agni not be	4656	mfs	0.7817	estimated
jYA	mw	jYA#2	to know, have knowledge, become acquainted with ( acc. ; rarely gen. MBh. iii, 2154 ; Hariv. 7095 ),	4647	mfs	0.8934	estimated
anta	mw	anta#2	end of a texture	4640	mfs	0.6921	estimated
muKa	mw	muKa#4	the mouth or spout of a vessel, KātyŚr.	4631	mfs	0.6672	estimated
sama	mw	sama#4	same, equal, similar, like, equivalent, like to or identical or homogeneous with ( instr. , e.g. may	4599	mfs	0.8002	estimated
paS	mw	paS#12	2. pa/S f. (only instr. pl. paqBi/s ), sight or eye, RV. iv, 2, 12.	4531	mfs	0.4895	estimated
guru	mw	guru#1	guru/ mf( vI )n. ( cf. giri/ ; comp. ga/rIyas , once ˚yas-tara , guru-tara , superl. garizWa , gurut	4522	mfs	0.5777	estimated
nara	mw	nara#1	na/ra m. ( cf. nf ) a man, a male, a person ( pl. men, people), TS. &c. &c.	4520	mfs	0.919	estimated
uttama	mw	uttama#3	best, excellent, RV. ; AV. ; AitBr. ; Mn. ; Pañcat. &c. (often ifc. , e.g. dvijo ttama , best of the	4463	mfs	0.8394	estimated
Agam	mw	Agam#13	Desid. ( p. -jigamizat ) to be about to come, ĀśvGṛ.	4377	mfs	0.5771	estimated
BUta	mw	BUta#17	BUta/ n. ( cf. above) that which is or exists, any living being (divine, human, animal, and even veg	4352	mfs	0.6258	estimated
anna	mw	anna#2	a/nna ( a/nnam ), n. food or victuals, especially boiled rice	4343	mfs	0.9392	estimated
paYcan	mw	paYcan#1	pa/Ycan pl. (said to be fr. √ 1. pac , to spread out the hand with its five fingers; nom. acc. pa/Yc	4342	mfs	0.9981	estimated
man	mw	man#18	to reflect upon, consider, examine, investigate, AV. ; Br. &c.;	4307	mfs	0.4038	estimated
priya	mw	priya#2	priya/ mf( A )n. beloved, dear to ( gen. loc. dat. or comp. ), liked, favourite, wanted, own, RV. &c	4291	mfs	0.6429	estimated
parama	mw	parama#3	best, most excellent, worst ( ˚meRa cetasA , with all the heart; ˚ma-kaRWena , ‘with all the throat’	4234	mfs	0.4516	estimated
prajA	mw	prajA#5	people, subjects (of a prince), ib.	4226	mfs	0.4711	estimated
catur	mw	catur#2	catur [ cf. τέσσαρες , τέτταρες , Aeol. πίσυρες ; Goth. fidvor ; Lat. quatuor ; Cambro-Brit. pedwar 	4144	mfs	1.0	estimated
satya	mw	satya#17	speaking the truth, sincerity, veracity, KenUp. ; Mn. ; R. &c.	4143	mfs	0.5033	estimated
viSva	mw	viSva#5	N. of a class of gods, cf. below	4135	mfs	0.9206	estimated
svAhA	mw	svAhA#1	sv-A/hA ind. ( prob. fr. 5. su and √ ah ; cf. dur-AhA ) hail! hail to! may a blessing rest on! (with	4122	mfs	1.0	estimated
pati	mw	pati#1	1. pa/ti m. ( cf. √ 1. pat ; when uncompounded and meaning ‘husband’ instr. pa/tyA ; dat. pa/tye ; g	4109	mfs	0.8264	estimated
muni	mw	muni#3	a saint, sage, seer, ascetic, monk, devotee, hermit ( esp. one who has taken the vow of silence), ŚB	4102	mfs	0.8882	estimated
yoga	mw	yoga#9	a means, expedient, device, way, manner, method, MBh. ; Kāv. &c.	4099	mfs	0.3049	estimated
uttara	mw	uttara#4	later, following, subsequent, latter, concluding, posterior, future, RV. ; AV. ; KātyŚr. ; MBh. ; Ra	4039	mfs	0.2322	estimated
tejas	mw	tejas#1	te/jas n. (often pl. ) the sharp edge (of a knife &c.), point or top of a flame or ray, glow, glare,	4026	mfs	0.6708	estimated
kfzRa	mw	kfzRa#42	black pepper, L.	3978	mfs	0.6153	estimated
doza	mw	doza#7	alteration, affection, morbid element, disease ( esp. of the 3 humours of the body, viz. pitta , vAy	3973	mfs	0.6667	estimated
pApa	mw	pApa#7	pApa/ n. sin, vice, crime, guilt, Br. ; Mn. ; MBh. &c.	3947	mfs	0.4343	estimated
kaTam	mw	kaTam#3	with nu it is sometimes = kimu , or kutas ( e.g. kaTaM nu , how much more! na kaTaM nu , how much le	3862	mfs	1.0	estimated
maDya	mw	maDya#1	ma/Dya mf( A )n. middle (used like medius , e.g. ma/Dye samudre/ , ‘in the midst of the sea’), RV. ;	3849	mfs	0.3414	estimated
pfTivI	mw	pfTivI#3	earth regarded as one of the elements, Prab. ; Suśr.	3824	mfs	0.93	estimated
ji	mw	ji#4	to conquer (the passions), overcome or remove (any desire or difficulties or diseases), Mn. ; MBh. &	3821	mfs	0.6053	estimated
atas	mw	atas#4	from this or that cause or reason.	3819	mfs	0.9206	estimated
car	mw	car#1	car cl. 1. ca/rati , rarely ˚te ( Subj. ca/rat , 3. pl. ca/rAn , RV. ; perf. cacA/ra [ AV. &c.], 2. 	3816	mfs	0.4242	estimated
smf	mw	smf#4	to remember, recollect, bear in mind, call to mind, think of, be mindful of ( gen. or acc. ; the act	3802	mfs	0.791	estimated
aNga	mw	aNga#17	a mental organ, the mind, L.	3780	mfs	0.3883	estimated
div	mw	div#17	3. di/v , dyu/ ( nom. dyO/s ; voc. dyOs [ RV. vi, 51, 5 ; AV. vi, 4, 3 ]; acc. dyA/m , di/vam ; inst	3772	mfs	0.8517	estimated
diS	mw	diS#18	2. diS f. quarter or region pointed at, direction, cardinal point, RV. ; AV. ; ŚBr. &c. (four in num	3771	mfs	0.6624	estimated
vIra	mw	vIra#1	vIra/ m. a man, ( esp. ) a brave or eminent man, hero, chief (sometimes applied to gods, as to Indra	3766	mfs	0.9801	estimated
jana	mw	jana#4	a common person, one of the people, Kir. ii, 42 and 47	3746	mfs	0.8328	estimated
strI	mw	strI#1	strI/ f. (perhaps for sUtrI , or sotrI , ‘bearer of children’, fr. √ 2. sU ; accord. to some connect	3735	mfs	0.9136	estimated
vad	mw	vad#11	( Ā. ) to say, tell, speak to ( acc. ), ŚBr. &c. &c.;	3723	mfs	0.6983	estimated
ati	mw	ati#5	excessively, too	3699	mfs	0.8557	estimated
an	mw	an#2	2. an cl. 2. P. a/niti or a/nati , Ana , anizyati , A/nIt [ RV. x, 129, 2 ], to breathe, respire, ga	3665	mfs	0.6667	estimated
ahar	mw	ahar#3	day personified as one of the eight Vasu s, MBh. i, 2582 seqq.	3616	mfs	0.8795	estimated
muc	mw	muc#9	to send forth, shed, emit, utter, discharge, throw, cast, hurl, shoot (‘at or upon’ loc. dat. , or a	3596	mfs	0.383	estimated
devI	mw	devI#1	devI/ ( I/ ), f. See s.v.	3528	mfs	0.5874	estimated
yAvat	mw	yAvat#13	yAvad or yAvad-A samApanAt , ‘until the completion’	3527	mfs	0.9906	estimated
i	mw	i#1	1. i the third vowel of the alphabet, corresponding to i short, and pronounced as that letter in kil	3520	mfs	0.3856	estimated
vIrya	mw	vIrya#1	vIrya^ n. ( ifc. f( A ). ) manliness, valour, strength, power, energy, RV. &c. &c.	3504	mfs	0.4679	estimated
pARqava	mw	pARqava#2	( pl. ) the 5 reputed sons of Pāṇḍu ( Yudhiṣṭhira , Bhīma , Arjuna , Nakula and Saha-deva ; cf. Kunt	3490	mfs	0.9911	estimated
adya	mw	adya#6	now.	3485	mfs	0.7592	estimated
vizRu	mw	vizRu#1	vi/zRu m. ( prob. fr. √ viz , ‘All-pervader’ or ‘Worker’) N. of one of the principal Hindū deities (	3443	mfs	0.9791	estimated
divya	mw	divya#10	di/vya n. the divine world or anything d˚	3436	mfs	0.9038	estimated
gfha	mw	gfha#5	gfha/ m. pl. a house as containing several rooms, RV. ; AV. &c.	3420	mfs	0.9757	estimated
Sara	mw	Sara#2	an arrow, shaft, MuṇḍUp. ; Mn. ; MBh. &c.	3419	mfs	0.9725	estimated
ja	mw	ja#2	2. ja mf( A )n. (√ jan ) ifc. born or descended from, produced or caused by, born or produced in or 	3416	mfs	0.9896	estimated
antara	mw	antara#5	different from	3376	mfs	0.5105	estimated
suKa	mw	suKa#8	suKa ( am ), n. ease, easiness, comfort, prosperity, pleasure, happiness (in m. personified as a chi	3376	mfs	0.5895	estimated
vAta	mw	vAta#4	wind emitted from the body, MBh. iv, 117	3364	mfs	0.7871	estimated
pada	mw	pada#14	a word or an inflected word or the stem of a noun in the middle cases and before some Taddhita s, Pā	3356	mfs	0.4021	estimated
saptan	mw	saptan#1	sapta/n sg. and pl. ( nom. acc. sapta/ ; instr. ˚ta/Bis ; dat. abl. ˚ta/Byas ; gen. ˚tAnA/m loc. ˚ta	3329	mfs	0.9987	estimated
nfpa	mw	nfpa#2	nf-pa m. (√ 3. pA ) protector of men, prince, king, sovereign, ŚāṅkhŚr. ; Mn. ; MBh. &c.	3303	mfs	1.0	estimated
vrata	mw	vrata#5	a religious vow or practice, any pious observance, meritorious act of devotion or austerity, solemn 	3270	mfs	0.8529	estimated
mantra	mw	mantra#4	a mystical verse or magical formula (sometimes personified), incantation, charm, spell ( esp. in mod	3269	mfs	0.8705	estimated
devatA	mw	devatA#3	image of a deity, idol, Mn. iv, 130 ; MBh. ; Pur. ( ifc. -ka , Kull. viii, 105 )	3256	mfs	0.7442	estimated
sattva	mw	sattva#3	true essence, nature, disposition of mind, character, PañcavBr. ; MBh. &c.	3240	mfs	0.25	estimated
maya	mw	maya#1	1. maya m. (√ 3. mA ) N. of an Asura (the artificer or architect of the Daitya s, also versed in mag	3228	mfs	1.0	estimated
kula	mw	kula#6	a noble or eminent family or race, Mn. ; MBh. &c.	3227	mfs	0.8199	estimated
pAda	mw	pAda#5	the foot or root of a tree, Var.	3204	mfs	0.5057	estimated
suta	mw	suta#6	suta m. ( ifc. f( A ). ) a son, child, offspring ( sutO du. = ‘son and daughter’), Mn. ; MBh. &c.	3203	mfs	0.9734	estimated
jYAna	mw	jYAna#1	jYAna n. knowing, becoming acquainted with, knowledge, ( esp. ) the higher knowledge (derived from m	3194	mfs	0.9677	estimated
aSva	mw	aSva#1	1. a/Sva m. (2. rarely 3 RV. ) (√ 1. aS , Uṇ. ) ifc. f. a horse, stallion, RV. &c.	3190	mfs	0.9975	estimated
laB	mw	laB#5	to gain possession of, obtain, receive, conceive, get, receive (‘from’ abl. ; ‘as’ acc. ), recover, 	3190	mfs	0.8503	estimated
daSan	mw	daSan#1	daSan pl. ( g. svasr-Adi , Gaṇar. 42 ) ten ( nom. acc. da/Sa , RV. &c.; instr. [ da/Sa , x, 101, 10 	3131	mfs	1.0	estimated
indriya	mw	indriya#8	faculty of sense, sense, organ of sense, AV. ; Suśr. ; Mn. ; Ragh. ; Kir. &c.	3129	mfs	0.6767	estimated
agra	mw	agra#4	tip	3120	mfs	0.5325	estimated
sma	mw	sma#1	sma , smA , (or zma , zmA ), ind. a particle perhaps originally equivalent to ‘ever’, ‘always’;	3120	mfs	1.0	estimated
kara	mw	kara#1	1. kara/ mf( I , rarely A )n. (for 2. See p. 254, col. 3 ) (√ 1. kf ), a doer, maker, causer, doing,	3112	mfs	0.6475	estimated
Sabda	mw	Sabda#1	Sa/bda m. (in DhyānabUp. also n. ifc. f( A ). perhaps connected with √ 3. Sap cf. also 2. Sap ) soun	3108	mfs	0.5641	estimated
nAman	mw	nAman#2	name, appellation, RV. &c. &c.	3103	mfs	0.8958	estimated
Baya	mw	Baya#1	Baya/ n. (√ BI ) fear, alarm, dread apprehension	3098	mfs	0.9034	estimated
sUrya	mw	sUrya#2	a symbolical expression for the number ‘twelve’ (in allusion to the sun in the 12 signs of the zodia	3093	mfs	0.8861	estimated
Bagavat	mw	Bagavat#5	glorious, illustrious, divine, adorable, venerable, AV. &c. &c.	3088	mfs	0.625	estimated
puRya	mw	puRya#1	pu/Rya mf( A )n. (perhaps fr. √ 2. puz , according to Uṇ. v, 15 from √ pU ; see also √ puR ) auspici	3067	mfs	0.782	estimated
duHKa	mw	duHKa#2	duHKa/ n. ( ifc. f( A ). ) uneasiness, pain, sorrow, trouble, difficulty, ŚBr. xiv, 7, 2, 15 ; Mn. ;	3062	mfs	0.8487	estimated
vana	mw	vana#1	1. va/na n. (once m. , R. v, 50, 2 ; for 2. See p. 919, col. 1 ) a forest, wood, grove, thicket, qua	3046	mfs	0.9929	estimated
karRa	mw	karRa#1	ka/rRa m. (√ kft , Nir. ; √ 1. kF , Uṇ. iii, 10 ), the ear, RV. ; AV. ; TS. ; Suśr. ( a/pi ka/rRe , 	3029	mfs	0.5185	estimated
vipra	mw	vipra#3	a sage, seer, singer, poet, learned theologian, RV. ; VS. ; ŚBr.	3022	mfs	0.6562	estimated
mUla	mw	mUla#1	mU/la n. (or m. g. arDarcA di ; ifc. f( A or I ). ; prob. for 3. mU/ra See above) ‘firmly fixed’, a 	3021	mfs	0.9053	estimated
