card	lemma_slp1	group_id	status	shape	method	score	witnesses	flags	failure_class	pwg_sense_ids	pwg_gloss	mw_sense_ids	mw_gloss	apte_sense_ids	apte_gloss	md_sense_ids	md_gloss	skd_sense_ids	skd_gloss	vcp_sense_ids	vcp_gloss	note	stratum	stratum_eligible	population_share	synthetic
C013	saMtAnaka	saMtAnaka#2	aligned	1-1-0-0-0-0	ls	0.333	mbh			pwg:104610:10	N. pr. einer der Mütter im Gefolge Skanda ʼs	mw:231243:1	m. one of the five trees of Indra 's heaven, the Kalpa tree or its flower, ; &amp;c									shared literary witness, weighted 1/df within the lemma	lo <0.40|ls	722	0.105248	no
C014	pura	pura#3	aligned	0-1-1-0-0-0	gloss	1.000						mw:125868:1	1. (for 2. See p. 635), in comp. for	ap90:19120:16	Comp							shared literary witness, weighted 1/df within the lemma	hi >=0.70|gloss	1320	0.192420	no
C015	hastin	hastin#3	aligned	0-1-1-0-0-0	gloss	0.667						mw:262432:1	(with , ‘the animal with a h˚ i.e. with a trunk’, an elephant; cf. )	ap90:31344:42	an elephant's trunk							shared literary witness, weighted 1/df within the lemma	mid 0.40-0.69|gloss	1273	0.185569	no
C016	aRu	aRu#5	aligned	0-1-1-0-0-0	gloss	0.333						mw:2413:1	( ), m. an atom of matter	ap90:476:12	a. [ ] of the size of an atom							shared literary witness, weighted 1/df within the lemma	lo <0.40|gloss	688	0.100292	no
C017	ahi	ahi#3	aligned	0-1-1-0-0-0	gloss	1.000						mw:21804:1	water	ap90:5686:11	9 Water							shared literary witness, weighted 1/df within the lemma	hi >=0.70|gloss	1320	0.192420	no
C018	sita	sita#9	aligned	0-1-0-1-0-0	gloss	0.364						mw:244059:1	3. mf( )n. ( prob. formed fr. as fr. ; for 1. and 2. See p. 1213, col. 1 ; for 4. See √ 1. ) white, pale, bright, light (said of a day in the light half of a month and of the waxing moon), ; &amp;c			md:19384:1	2. sita, a. [ fr. as-ita, black, misunderstood as a negative ] white; pale; bright, light ( day or month during the moonʼs increase ); m. bright half ( of a lunar month ): ā, f. sugar					shared literary witness, weighted 1/df within the lemma	lo <0.40|gloss	688	0.100292	no
C019	pAvana	pAvana#7	aligned	0-1-1-0-0-0	gloss	0.500						mw:123292:1	penance, atonement	ap90:18873:12	2 Penance							shared literary witness, weighted 1/df within the lemma	mid 0.40-0.69|gloss	1273	0.185569	no
C020	pratizWA	pratizWA#9	aligned	1-1-0-0-0-0	ls	0.333	vs			pwg:48646:2	das Stehenbleiben, Stillstand; das Bleiben, Beharren in	mw:133263:1	2. f. ( ifc. f( ). ) standing still, resting, remaining, steadfastness, stability, perseverance in ( comp. ), &amp;c. &amp;c									shared literary witness, weighted 1/df within the lemma	lo <0.40|ls	722	0.105248	no
C021	pAda	pAda#3	aligned	1-1-0-0-0-0	ls	0.311	mbh susr			pwg:44311:8	Viertel (Fuss des vierfüssigen Thieres); die vier Stücke; erforderlichen Dinge	mw:121873:1	a quarter, a fourth part (the f˚ of a quadruped being one out of 4), ; ; &amp;c. ( pl. the 4 parts i.e. all things required for [ gen. ] )									shared literary witness, weighted 1/df within the lemma	lo <0.40|ls	722	0.105248	no
C022	sAra	sAra#14	aligned	1-1-0-0-0-0	ls	0.500	yajn			pwg:108632:5	Werth; werthvoll, kostbar; von geringem Werth; werthlos geworden, nichtig	mw:242816:1	worth, value ( , ‘in consideration of’, ‘according to’), ; &amp;c									shared literary witness, weighted 1/df within the lemma	mid 0.40-0.69|ls	1600	0.233236	no
C023	sUkzma	sUkzma#1	aligned	1-1-1-0-0-0	gloss+ls	0.400	mbh samkhyak			pwg:112049:6	Atom, Urstoff; ein unfassbares Ding	mw:250903:1	subtle, atomic, intangible, ; ; &amp;c	ap90:30421:2	1 Subtle, minute, atomic							shared literary witness, weighted 1/df within the lemma	mid 0.40-0.69|gloss+ls	350	0.051020	no
C024	DaraRa	DaraRa#4	aligned	0-1-1-0-0-0	gloss	1.000						mw:99774:1	rice-corn	ap90:15965:7	5 Rice, corn							shared literary witness, weighted 1/df within the lemma	hi >=0.70|gloss	1320	0.192420	no
C025	vac	vac#3	aligned	1-1-0-0-0-0	ls	0.583	samk sarvad			pwg:87302:12	gemeint sein; was man im Sinne hat, gemeint, beabsichtigt; nicht ausdrücklich gemeint; was nicht zu urgiren ist, unwesentlich, worauf es nicht weiter ankommt; das Gemeintsein; weil das; wesentlich ist, in bestimmter Absicht gebraucht worden ist	mw:184615:13	( Pass. ) to be meant									shared literary witness, weighted 1/df within the lemma	mid 0.40-0.69|ls	1600	0.233236	no
C026	kala	kala#8	aligned	1-0-0-0-1-0	attrib	0.500	skdr			pwg:15605:10	Judendorn							skd:6773:1	kala , ṅa saṅkhyārutoḥ . iti kavikalpadrumaḥ .. (bhvāṃ ātmaṃ sakaṃ akaṃ ca seṭ .) ṅa kalate divasaṃ vṛddhaḥ gaṇayatītyarthaḥ . rut śabdaḥ . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	mid 0.40-0.69|attrib*	33	0.004810	no
C027	nAgara	nAgara#12	aligned	0-1-1-0-0-0	gloss	0.421						mw:105228:1	(= ) a prince engaged in war under partic. circumstances ( opp. to &amp;c. and also applied to planets opposed to each other)	ap90:16446:16	7 A term applied to a prince engaged in war under certain circumstances and also to a planet when in opposition to other planets (in ( pb ) astrol. )							shared literary witness, weighted 1/df within the lemma	mid 0.40-0.69|gloss	1273	0.185569	no
C028	kriyA	kriyA#11	aligned	0-1-1-0-0-0	gloss	0.333						mw:57990:1	religious action, worship	ap90:11714:12	11 Worship							shared literary witness, weighted 1/df within the lemma	lo <0.40|gloss	688	0.100292	no
C029	sTala	sTala#4	aligned	1-1-0-0-0-0	ls	0.333	ts			pwg:113888:5	Erdaufschüttung	mw:255212:1	dry land ( opp. to damp low-land), firm earth ( opp. to water), &amp;c. &amp;c									shared literary witness, weighted 1/df within the lemma	lo <0.40|ls	722	0.105248	no
C030	kfta	kfta#11	aligned	1-0-1-0-0-0	ls	0.500	kull			pwg:18582:8	am Ende eines comp. in Verbindung mit dem obj. , also in verstellter Ordnung: = . verweist auf den gaṇa zu . Ueber den Accent eines solchen comp. s			ap90:11375:8	6 N. of the first of the four Yugas of the world extending over 1728000 years of men; (see and thereon); but, according to , over 4800 years of men							shared literary witness, weighted 1/df within the lemma	mid 0.40-0.69|ls	1600	0.233236	no
C031	niSAcara	niSAcara#2	aligned	1-1-0-0-0-0	ls	0.333	susr			pwg:39878:5	Schakal	mw:110478:1	a jackal									shared literary witness, weighted 1/df within the lemma	lo <0.40|ls	722	0.105248	no
C032	vIra	vIra#2	aligned	1-1-1-0-0-0	gloss+ls	0.367	av rv			pwg:94451:7	männliches Kind, Sohn; männliche Nachkommenschaft	mw:203568:1	a male child, son ( collect. male progeny)	ap90:26814:64	2 the mother of a male child							shared literary witness, weighted 1/df within the lemma	lo <0.40|gloss+ls	43	0.006268	no
C033	kesara	kesara#2	aligned	1-1-0-0-0-0	ls	0.750	pancat sak			pwg:19165:3	Mähne	mw:56111:1	(in classical literature usually ) m. or n. (?), the mane (of a horse or lion), ; ; &amp;c									shared literary witness, weighted 1/df within the lemma	hi >=0.70|ls	538	0.078426	no
C034	sita	sita#1	aligned	0-1-1-0-0-0	gloss	1.000						mw:244061:1	m. white (the colour)	ap90:30284:8	1 White colour							shared literary witness, weighted 1/df within the lemma	hi >=0.70|gloss	1320	0.192420	no
C035	viSAKa	viSAKa#4	aligned	1-1-0-0-0-0	ls	0.333	susr			pwg:93238:13	Manifestation; eines den Kindern gefährlichen Dämons	mw:193577.20:1	N. of a demon dangerous to, children (held to be a manifestation of Sk˚ )									shared literary witness, weighted 1/df within the lemma	lo <0.40|ls	722	0.105248	no
C036	tad	tad#1	aligned	1-1-1-0-0-0	gloss+ls	1.000	das mbh pancat			pwg:28513:6	da, auf diese Weise, damit, darum; in Bezug darauf, in Verbindung damit; darum, deshalb, demnach, also; da — deshalb, so	mw:82046.35:1	on that account, for that reason, therefore, consequently (sometimes correlative of , , , ‘because’, ; ; &amp;c.), ; &amp;c	ap90:14340:10	3 For that reason, therefore, consequently							shared literary witness, weighted 1/df within the lemma	hi >=0.70|gloss+ls	231	0.033673	no
C037	paruza	paruza#1	aligned	1-0-1-0-0-0	ls	0.667	git r			pwg:43358:7	rauh; rauh, hart, barsch; rauhe, harte, barsche Reden; Milde und Strenge (Barschheit); barsch, grob, roh			ap90:18369:3	2 Harsh, abusive, severe, unkind, cruel, stern (as words); ( ) ; ; said also of a person							shared literary witness, weighted 1/df within the lemma	mid 0.40-0.69|ls	1600	0.233236	no
C038	suraBi	suraBi#14	aligned	0-1-1-0-0-0	gloss	0.333						mw:249626:1	any cow ( accord. to ‘a brown cow’)	ap90:30394:27	7 A cow							shared literary witness, weighted 1/df within the lemma	lo <0.40|gloss	688	0.100292	no
C039	dIpana	dIpana#5	aligned	1-1-0-0-0-0	ls	0.500	sarvad			pwg:75782:2	das Anzünden; eines best. Processes, dem Mineralien; Quecksilber; unterworfen werden; eines best. Verfahrens mit einem Zauberspruche	mw:92857:1	a partic. process to which minerals are subjected									shared literary witness, weighted 1/df within the lemma	mid 0.40-0.69|ls	1600	0.233236	no
C040	arha	arha#3	aligned	0-1-1-0-0-0	gloss	1.000						mw:16487.1:1	m. a N. of Indra	ap90:4221:8	1 N. of Indra							shared literary witness, weighted 1/df within the lemma	hi >=0.70|gloss	1320	0.192420	no
C041	rajas	rajas#9	aligned	1-1-0-0-0-0	gloss+ls	0.930	mbh susr			pwg:83044:11	Dunst, Staub; Unreinigkeit, kleine Partikeln irgend eines Stoffes; Staubkörnchen	mw:228765:1	close union or combination, collection, cluster, heap, mass, multitude, ; &amp;c									shared literary witness, weighted 1/df within the lemma	hi >=0.70|gloss+ls	0	0.000000	no
C042	rAma	rAma#2	aligned	0-1-1-0-0-0	gloss	1.000						mw:177267:1	m. a kind of deer	ap90:24122:8	2 A kind of deer							shared literary witness, weighted 1/df within the lemma	hi >=0.70|gloss	1320	0.192420	no
C043	sevya	sevya#8	aligned	0-1-1-0-0-0	gloss	0.375						mw:252329:1	to be waited upon or served or obeyed, a master (as opp. to ‘a servant’), ; &amp;c	ap90:30553:2	1 To be served or waited upon							shared literary witness, weighted 1/df within the lemma	lo <0.40|gloss	688	0.100292	no
C044	varUTa	varUTa#3	aligned	1-1-0-0-0-0	ls	0.333	r			pwg:88345:10	m. N. pr. eines Grāma , ( )	mw:186755:1	N. of a Grāma									shared literary witness, weighted 1/df within the lemma	lo <0.40|ls	722	0.105248	no
C045	AvApa	AvApa#10	aligned	0-1-1-0-0-0	gloss	0.600						mw:26983:1	(in med. ) throwing additional ingredients into any mixture in course of preparation	ap90:6903:6	4 Especially, throwing additional ingredients into a compound in course of preparation							shared literary witness, weighted 1/df within the lemma	mid 0.40-0.69|gloss	1273	0.185569	no
C046	Gawa	Gawa#3	aligned	1-0-0-0-1-0	attrib	0.333	skdr			pwg:23884:15	Menge, Masse							skd:11673:1	ghaṭa , i ki dyutau . iti kavikalpadrumaḥ .. (curāṃ- pakṣe bhvāṃ-paraṃ-akaṃ-seṭ .) i, bhāve ghaṇṭyate . ki, ghaṇṭayati ghaṇṭati . dyutirdīptiḥ . dyutyarthatvena pākṣikacurāditve siddhe ki karaṇamarthāntare'pi pākṣikacurāditvārtham . tathāca, kriyāvācitvamākhyātuṃ prasiddho…			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	lo <0.40|attrib*	19	0.002770	no
C047	deva	deva#10	aligned	0-1-1-0-0-0	gloss	0.375						mw:95523:1	N. of Indra as the god of the sky and giver of rain, ; &amp;c	ap90:15626:7	2 ( a ) The god of rain, an epithet of Indra; as in . ( b ) A cloud							shared literary witness, weighted 1/df within the lemma	lo <0.40|gloss	688	0.100292	no
C048	harita	harita#2	aligned	1-1-0-0-0-0	ls	0.533	av kath			pwg:116181:2	falb, gelblich; grünlich, grün; verdorrten Kraut; frischer Kuhmist; gelb; gelb; bleich; gelbbraun	mw:261419:1	gold									shared literary witness, weighted 1/df within the lemma	mid 0.40-0.69|ls	1600	0.233236	no
C049	sahas	sahas#1	aligned	1-1-1-0-0-0	gloss+ls	1.000	naigh			pwg:107594:5	Gewalt, Macht; Sieg; Gewalt des Schusses; Kraft	mw:240013:1	n. water	ap90:29946:9	5 Water							shared literary witness, weighted 1/df within the lemma	hi >=0.70|gloss+ls	231	0.033673	no
C050	jizRu	jizRu#4	aligned	0-1-1-0-0-0	gloss	1.000						mw:79422:1	Indra	ap90:13940:7	2 N. of Indra							shared literary witness, weighted 1/df within the lemma	hi >=0.70|gloss	1320	0.192420	no
C051	SUnya	SUnya#7	aligned	1-1-0-0-0-0	ls	0.500	ganit			pwg:100599:14	Null und das [Page7-0280] Zeichen dafür; cifra	mw:220086:1	(in arithm. ) nought, a cypher, ; ( cf. )									shared literary witness, weighted 1/df within the lemma	mid 0.40-0.69|ls	1600	0.233236	no
C052	sADana	sADana#4	aligned	1-1-0-0-0-0	ls	0.750	kir pancat			pwg:108184:11	das in — seine — Gewalt — Bringen, Bewältigen, Besiegen; das sich zu-Willen-Machen, Citiren	mw:241530:1	( ), n. ( ifc. f( ). ) the act of mastering, overpowering, subduing									shared literary witness, weighted 1/df within the lemma	hi >=0.70|ls	538	0.078426	no
C053	vid	vid#4	aligned	0-1-1-0-0-0	gloss	0.667						mw:195626:11	to feel, experience, ; &amp;c	ap90:25920:8	3 To feel, experience; II. 4 A. ( )							shared literary witness, weighted 1/df within the lemma	mid 0.40-0.69|gloss	1273	0.185569	no
C054	kamala	kamala#7	aligned	1-1-0-0-0-0	ls	0.333	rajat			pwg:15001:13	N. pr. einer von Kamalā erbauten Stadt	mw:43815:1	N. of a town built by Kamalā									shared literary witness, weighted 1/df within the lemma	lo <0.40|ls	722	0.105248	no
C055	kfzRa	kfzRa#17	aligned	0-1-1-0-0-0	gloss	0.333						mw:55197:1	black Agallochum	ap90:11443:33	5 Black pepper							shared literary witness, weighted 1/df within the lemma	lo <0.40|gloss	688	0.100292	no
C056	kuwa	kuwa#1	aligned	1-0-0-0-1-0	attrib	1.000	skdr			pwg:17512:6	Baum							skd:7906:1	kuṭa i vaikalye . iti kavikalpadrumaḥ .. (bhvāṃ paraṃ sakaṃ seṭ . idit .) pañcamasvarī . i kuṇṭyate . vaikalyamiha vikalīkaraṇam . kuṇṭati janaṃ śokaḥ . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	hi >=0.70|attrib*	43	0.006268	no
C057	mudrA	mudrA#5	aligned	0-1-1-0-0-0	gloss	0.571						mw:165539:1	a stamped coin, piece of money, rupee, cash, medal	ap90:23275:5	4 A stamped coin, coin, piece of money							shared literary witness, weighted 1/df within the lemma	mid 0.40-0.69|gloss	1273	0.185569	no
C058	amfta	amfta#24	aligned	0-1-1-0-0-0	gloss	0.333						mw:14198.60:1	anything sweet, a sweetmeat	ap90:3852:32	15 Any thing sweet, any thing lovely or charming; a sweetmeat							shared literary witness, weighted 1/df within the lemma	lo <0.40|gloss	688	0.100292	no
C059	jIvaka	jIvaka#6	aligned	0-1-1-0-0-0	gloss	0.333						mw:79789:1	‘living on others’, a servant	ap90:13982:6	2 A servant							shared literary witness, weighted 1/df within the lemma	lo <0.40|gloss	688	0.100292	no
C060	avi	avi#4	aligned	0-1-1-0-0-0	gloss	1.000						mw:18611:1	a wall or enclosure	ap90:4989:13	11 A wall, enclosure							shared literary witness, weighted 1/df within the lemma	hi >=0.70|gloss	1320	0.192420	no
C061	pataMga	pataMga#1	aligned	1-1-0-0-0-0	ls	1.000	mahidh say			pwg:41796:8	Funke	mw:114717:1	a spark ( ; ‘a Piśāca ’, )									shared literary witness, weighted 1/df within the lemma	hi >=0.70|ls	538	0.078426	no
