rank	lemma_slp1	lemma_iast	model	kind	bucket	core_rank	n_attested_cells	corpus_count	pct	cumulative_pct	lesson
135	BIzma	bhīṣma	m_a	nominal	a-stems	195	8	25	0.0034	11.08	2
136	BIzma	bhīṣma	n_a	nominal	a-stems	195	1	3	0.0004	11.08	2
137	darSana	darśana	m_a	nominal	a-stems	196	7	168	0.0226	11.1	2
138	darSana	darśana	n_a	nominal	a-stems	196	10	427	0.0576	11.16	2
139	aMSa	aṃśa	m_a	nominal	a-stems	197	11	102	0.0138	11.18	2
140	dravya	dravya	m_a	nominal	a-stems	198	3	29	0.0039	11.18	2
141	dravya	dravya	n_a	nominal	a-stems	198	12	120	0.0162	11.2	2
142	vrata	vrata	m_a	nominal	a-stems	201	16	729	0.0983	11.29	2
143	vrata	vrata	n_a	nominal	a-stems	201	15	1243	0.1676	11.46	2
144	hasta	hasta	m_a	nominal	a-stems	203	20	993	0.1339	11.6	2
145	hasta	hasta	n_a	nominal	a-stems	203	4	220	0.0297	11.63	2
146	tattva	tattva	n_a	nominal	a-stems	205	7	73	0.0098	11.64	2
147	roga	roga	m_a	nominal	a-stems	209	11	70	0.0094	11.64	2
148	fzaBa	ṛṣabha	m_a	nominal	a-stems	213	16	294	0.0396	11.68	2
149	Dana	dhana	m_a	nominal	a-stems	214	8	230	0.031	11.72	2
150	Dana	dhana	n_a	nominal	a-stems	214	14	519	0.07	11.79	2
151	kzIra	kṣīra	m_a	nominal	a-stems	215	2	39	0.0053	11.79	2
152	kzIra	kṣīra	n_a	nominal	a-stems	215	7	118	0.0159	11.81	2
153	prajA	prajā	f_A	nominal	a-stems	216	15	2562	0.3454	12.15	2
154	puzpa	puṣpa	m_a	nominal	a-stems	217	3	11	0.0015	12.15	2
155	puzpa	puṣpa	n_a	nominal	a-stems	217	12	226	0.0305	12.18	2
156	Gora	ghora	m_a	nominal	a-stems	220	14	103	0.0139	12.2	2
157	Gora	ghora	n_a	nominal	a-stems	220	8	100	0.0135	12.21	2
158	vajra	vajra	m_a	nominal	a-stems	221	16	577	0.0778	12.29	2
159	vajra	vajra	n_a	nominal	a-stems	221	4	588	0.0793	12.37	2
160	agra	agra	m_a	nominal	a-stems	223	10	1161	0.1565	12.52	2
161	agra	agra	n_a	nominal	a-stems	223	15	2665	0.3593	12.88	2
162	sTAna	sthāna	m_a	nominal	a-stems	226	5	163	0.022	12.91	2
163	sTAna	sthāna	n_a	nominal	a-stems	226	13	517	0.0697	12.98	2
164	dAna	dāna	m_a	nominal	a-stems	227	5	80	0.0108	12.99	2
165	dAna	dāna	n_a	nominal	a-stems	227	13	335	0.0452	13.03	2
166	bIja	bīja	m_a	nominal	a-stems	228	3	11	0.0015	13.03	2
167	bIja	bīja	n_a	nominal	a-stems	228	10	143	0.0193	13.05	2
168	ratna	ratna	m_a	nominal	a-stems	233	8	230	0.031	13.08	2
169	ratna	ratna	n_a	nominal	a-stems	233	14	670	0.0903	13.17	2
170	astra	astra	m_a	nominal	a-stems	234	2	2	0.0003	13.17	2
171	astra	astra	n_a	nominal	a-stems	234	9	67	0.009	13.18	2
172	kzaya	kṣaya	m_a	nominal	a-stems	236	10	236	0.0318	13.21	2
173	kzaya	kṣaya	n_a	nominal	a-stems	236	2	50	0.0067	13.22	2
174	Adya	ādya	m_a	nominal	a-stems	237	11	168	0.0226	13.24	2
175	Adya	ādya	n_a	nominal	a-stems	237	9	119	0.016	13.26	2
176	pattra	pattra	m_a	nominal	a-stems	238	3	12	0.0016	13.26	2
177	pattra	pattra	n_a	nominal	a-stems	238	6	27	0.0036	13.27	2
178	rAjya	rājya	m_a	nominal	a-stems	241	4	82	0.0111	13.28	2
179	rAjya	rājya	n_a	nominal	a-stems	241	11	453	0.0611	13.34	2
180	Barata	bharata	m_a	nominal	a-stems	244	10	49	0.0066	13.34	2
181	garBa	garbha	m_a	nominal	a-stems	245	16	605	0.0816	13.43	2
182	tEla	taila	m_a	nominal	a-stems	246	3	18	0.0024	13.43	2
183	tEla	taila	n_a	nominal	a-stems	246	5	45	0.0061	13.43	2
184	saMSaya	saṃśaya	m_a	nominal	a-stems	248	9	88	0.0119	13.45	2
185	cUrRa	cūrṇa	n_a	nominal	a-stems	250	10	128	0.0173	13.46	2
186	sura	sura	m_a	nominal	a-stems	253	7	54	0.0073	13.47	2
187	tulya	tulya	m_a	nominal	a-stems	255	9	55	0.0074	13.48	2
188	tulya	tulya	n_a	nominal	a-stems	255	4	48	0.0065	13.48	2
189	mAMsa	māṃsa	m_a	nominal	a-stems	256	3	123	0.0166	13.5	2
190	mAMsa	māṃsa	n_a	nominal	a-stems	256	14	359	0.0484	13.55	2
191	mAsa	māsa	m_a	nominal	a-stems	258	19	655	0.0883	13.64	2
192	mAsa	māsa	n_a	nominal	a-stems	258	2	86	0.0116	13.65	2
193	arjuna	arjuna	m_a	nominal	a-stems	259	15	93	0.0125	13.66	2
194	arjuna	arjuna	n_a	nominal	a-stems	259	3	14	0.0019	13.66	2
195	Gna	ghna	m_a	nominal	a-stems	260	9	51	0.0069	13.67	2
196	Gna	ghna	n_a	nominal	a-stems	260	8	53	0.0071	13.68	2
197	kriyA	kriyā	f_A	nominal	a-stems	261	12	126	0.017	13.69	2
198	jvara	jvara	m_a	nominal	a-stems	264	8	37	0.005	13.7	2
199	loha	loha	m_a	nominal	a-stems	266	4	9	0.0012	13.7	2
200	loha	loha	n_a	nominal	a-stems	266	9	22	0.003	13.7	2
201	citta	citta	m_a	nominal	a-stems	267	9	454	0.0612	13.77	2
202	citta	citta	n_a	nominal	a-stems	267	13	901	0.1215	13.89	2
203	droRa	droṇa	m_a	nominal	a-stems	268	7	26	0.0035	13.89	2
204	droRa	droṇa	n_a	nominal	a-stems	268	4	34	0.0046	13.89	2
205	svarga	svarga	m_a	nominal	a-stems	269	10	484	0.0652	13.96	2
206	svarga	svarga	n_a	nominal	a-stems	269	1	166	0.0224	13.98	2
207	viSeza	viśeṣa	m_a	nominal	a-stems	270	12	156	0.021	14.0	2
208	viSeza	viśeṣa	n_a	nominal	a-stems	270	2	22	0.003	14.01	2
209	asura	asura	m_a	nominal	a-stems	271	15	637	0.0859	14.09	2
210	asura	asura	n_a	nominal	a-stems	271	2	17	0.0023	14.09	2
211	mUtra	mūtra	n_a	nominal	a-stems	272	10	85	0.0115	14.11	2
212	liNga	liṅga	m_a	nominal	a-stems	273	6	40	0.0054	14.11	2
213	liNga	liṅga	n_a	nominal	a-stems	273	11	77	0.0104	14.12	2
214	jYa	jña	m_a	nominal	a-stems	276	13	268	0.0361	14.16	2
215	jYa	jña	n_a	nominal	a-stems	276	1	18	0.0024	14.16	2
216	kanyA	kanyā	f_A	nominal	a-stems	278	14	330	0.0445	14.2	2
217	Sakra	śakra	m_a	nominal	a-stems	281	11	205	0.0276	14.23	2
218	alpa	alpa	m_a	nominal	a-stems	282	12	127	0.0171	14.25	2
219	alpa	alpa	n_a	nominal	a-stems	282	7	162	0.0218	14.27	2
220	Beda	bheda	m_a	nominal	a-stems	287	12	83	0.0112	14.28	2
221	parvata	parvata	m_a	nominal	a-stems	290	15	290	0.0391	14.32	2
222	parvata	parvata	n_a	nominal	a-stems	290	2	69	0.0093	14.33	2
223	da	da	m_a	nominal	a-stems	291	11	106	0.0143	14.35	2
224	da	da	n_a	nominal	a-stems	291	3	52	0.007	14.35	2
225	sneha	sneha	m_a	nominal	a-stems	292	10	82	0.0111	14.36	2
226	sneha	sneha	n_a	nominal	a-stems	292	3	25	0.0034	14.37	2
227	Soka	śoka	m_a	nominal	a-stems	293	11	87	0.0117	14.38	2
228	Soka	śoka	n_a	nominal	a-stems	293	1	15	0.002	14.38	2
229	hfdaya	hṛdaya	m_a	nominal	a-stems	294	7	255	0.0344	14.41	2
230	hfdaya	hṛdaya	n_a	nominal	a-stems	294	14	640	0.0863	14.5	2
231	vidyA	vidyā	f_A	nominal	a-stems	295	14	326	0.0439	14.54	2
232	daRqa	daṇḍa	m_a	nominal	a-stems	298	14	340	0.0458	14.59	2
233	daRqa	daṇḍa	n_a	nominal	a-stems	298	3	172	0.0232	14.61	2
234	kroDa	krodha	m_a	nominal	a-stems	299	13	63	0.0085	14.62	2
235	dakziRa	dakṣiṇa	m_a	nominal	a-stems	300	14	805	0.1085	14.73	2
236	dakziRa	dakṣiṇa	n_a	nominal	a-stems	300	8	940	0.1267	14.86	2
237	SAstra	śāstra	n_a	nominal	a-stems	301	11	82	0.0111	14.87	2
238	vijYA	vijñā	f_A	nominal	a-stems	302	2	2	0.0003	14.87	2
239	bARa	bāṇa	m_a	nominal	a-stems	303	9	110	0.0148	14.88	2
240	devatA	devatā	f_A	nominal	a-stems	304	21	2617	0.3528	15.24	2
241	sahita	sahita	m_a	nominal	a-stems	306	9	81	0.0109	15.25	2
242	sahita	sahita	n_a	nominal	a-stems	306	4	30	0.004	15.25	2
243	tala	tala	m_a	nominal	a-stems	307	12	231	0.0311	15.28	2
244	tala	tala	n_a	nominal	a-stems	307	7	259	0.0349	15.32	2
245	vaDa	vadha	m_a	nominal	a-stems	308	12	254	0.0342	15.35	2
246	cakra	cakra	m_a	nominal	a-stems	313	9	249	0.0336	15.39	2
247	cakra	cakra	n_a	nominal	a-stems	313	15	494	0.0666	15.45	2
248	BAryA	bhāryā	f_A	nominal	a-stems	314	12	284	0.0383	15.49	2
249	kzaRa	kṣaṇa	m_a	nominal	a-stems	315	6	244	0.0329	15.52	2
250	kzaRa	kṣaṇa	n_a	nominal	a-stems	315	1	132	0.0178	15.54	2
251	dvaya	dvaya	m_a	nominal	a-stems	317	4	109	0.0147	15.56	2
252	dvaya	dvaya	n_a	nominal	a-stems	317	8	199	0.0268	15.58	2
253	vega	vega	m_a	nominal	a-stems	319	9	61	0.0082	15.59	2
254	antara	antara	m_a	nominal	a-stems	322	12	494	0.0666	15.66	2
255	antara	antara	n_a	nominal	a-stems	322	14	1045	0.1409	15.8	2
256	pAtra	pātra	m_a	nominal	a-stems	323	5	315	0.0425	15.84	2
257	pAtra	pātra	n_a	nominal	a-stems	323	17	1631	0.2199	16.06	2
258	viviDa	vividha	m_a	nominal	a-stems	324	4	47	0.0063	16.07	2
259	viviDa	vividha	n_a	nominal	a-stems	324	7	78	0.0105	16.08	2
260	mAyA	māyā	f_A	nominal	a-stems	325	14	316	0.0426	16.12	2
261	yama	yama	m_a	nominal	a-stems	330	15	370	0.0499	16.17	2
262	yama	yama	n_a	nominal	a-stems	330	3	127	0.0171	16.19	2
263	mitra	mitra	m_a	nominal	a-stems	332	13	567	0.0764	16.26	2
264	mitra	mitra	n_a	nominal	a-stems	332	7	389	0.0524	16.32	2
265	udaka	udaka	n_a	nominal	a-stems	333	15	681	0.0918	16.41	2
266	Aditya	āditya	m_a	nominal	a-stems	336	20	1393	0.1878	16.6	2
267	Aditya	āditya	n_a	nominal	a-stems	336	4	385	0.0519	16.65	2
268	vizaya	viṣaya	m_a	nominal	a-stems	337	14	154	0.0208	16.67	2
269	SUra	śūra	m_a	nominal	a-stems	338	13	240	0.0324	16.7	2
270	manuzya	manuṣya	m_a	nominal	a-stems	347	15	797	0.1074	16.81	2
271	manuzya	manuṣya	n_a	nominal	a-stems	347	3	52	0.007	16.82	2
272	ASrama	āśrama	m_a	nominal	a-stems	349	8	65	0.0088	16.82	2
273	sattama	sattama	m_a	nominal	a-stems	350	8	83	0.0112	16.84	2
274	vastra	vastra	m_a	nominal	a-stems	352	5	43	0.0058	16.84	2
275	vastra	vastra	n_a	nominal	a-stems	352	9	174	0.0235	16.86	2
276	praTama	prathama	m_a	nominal	a-stems	353	15	667	0.0899	16.95	2
277	praTama	prathama	n_a	nominal	a-stems	353	13	828	0.1116	17.07	2
278	anvita	anvita	m_a	nominal	a-stems	355	8	124	0.0167	17.08	2
279	anvita	anvita	n_a	nominal	a-stems	355	4	36	0.0049	17.09	2
280	arka	arka	m_a	nominal	a-stems	360	11	188	0.0253	17.11	2
281	arka	arka	n_a	nominal	a-stems	360	1	48	0.0065	17.12	2
282	SUla	śūla	m_a	nominal	a-stems	361	4	25	0.0034	17.12	2
283	SUla	śūla	n_a	nominal	a-stems	361	7	37	0.005	17.13	2
284	traya	traya	m_a	nominal	a-stems	362	6	60	0.0081	17.14	2
285	traya	traya	n_a	nominal	a-stems	362	7	109	0.0147	17.15	2
286	snigDa	snigdha	m_a	nominal	a-stems	364	5	11	0.0015	17.15	2
287	snigDa	snigdha	n_a	nominal	a-stems	364	6	20	0.0027	17.15	2
288	pala	pala	n_a	nominal	a-stems	366	4	8	0.0011	17.16	2
289	ganDarva	gandharva	m_a	nominal	a-stems	370	16	222	0.0299	17.19	2
290	duryoDana	duryodhana	m_a	nominal	a-stems	371	3	9	0.0012	17.19	2
291	aDika	adhika	m_a	nominal	a-stems	377	11	63	0.0085	17.2	2
292	aDika	adhika	n_a	nominal	a-stems	377	7	88	0.0119	17.21	2
293	tAta	tāta	m_a	nominal	a-stems	378	8	255	0.0344	17.24	2
294	yuga	yuga	n_a	nominal	a-stems	379	12	311	0.0419	17.28	2
295	puwa	puṭa	m_a	nominal	a-stems	385	9	74	0.01	17.29	2
296	puwa	puṭa	n_a	nominal	a-stems	385	3	32	0.0043	17.3	2
297	gaja	gaja	m_a	nominal	a-stems	389	9	36	0.0049	17.3	2
298	sUta	sūta	m_a	nominal	a-stems	390	8	60	0.0081	17.31	2
299	vfkza	vṛkṣa	m_a	nominal	a-stems	391	15	299	0.0403	17.35	2
300	mfga	mṛga	m_a	nominal	a-stems	394	10	100	0.0135	17.36	2
301	samara	samara	m_a	nominal	a-stems	396	5	62	0.0084	17.37	2
302	samara	samara	n_a	nominal	a-stems	396	2	54	0.0073	17.38	2
303	upama	upama	m_a	nominal	a-stems	397	12	228	0.0307	17.41	2
304	upama	upama	n_a	nominal	a-stems	397	9	208	0.028	17.44	2
305	prasAda	prasāda	m_a	nominal	a-stems	398	11	146	0.0197	17.46	2
306	mArga	mārga	m_a	nominal	a-stems	399	11	160	0.0216	17.48	2
307	mArga	mārga	n_a	nominal	a-stems	399	2	29	0.0039	17.48	2
308	pakza	pakṣa	m_a	nominal	a-stems	406	19	316	0.0426	17.53	2
309	pakza	pakṣa	n_a	nominal	a-stems	406	1	3	0.0004	17.53	2
310	pitAmaha	pitāmaha	m_a	nominal	a-stems	410	13	169	0.0228	17.55	2
311	maRqala	maṇḍala	m_a	nominal	a-stems	411	10	146	0.0197	17.57	2
312	maRqala	maṇḍala	n_a	nominal	a-stems	411	13	257	0.0346	17.6	2
313	kzatriya	kṣatriya	m_a	nominal	a-stems	417	14	204	0.0275	17.63	2
314	kzatriya	kṣatriya	n_a	nominal	a-stems	417	1	79	0.0107	17.64	2
315	Sastra	śastra	m_a	nominal	a-stems	418	8	47	0.0063	17.65	2
316	Sastra	śastra	n_a	nominal	a-stems	418	15	279	0.0376	17.69	2
317	pramARa	pramāṇa	m_a	nominal	a-stems	419	7	133	0.0179	17.7	2
318	pramARa	pramāṇa	n_a	nominal	a-stems	419	9	249	0.0336	17.74	2
319	nitya	nitya	m_a	nominal	a-stems	422	11	155	0.0209	17.76	2
320	nitya	nitya	n_a	nominal	a-stems	422	7	144	0.0194	17.78	2
321	saMjYA	saṃjñā	f_A	nominal	a-stems	426	8	212	0.0286	17.81	2
322	prayA	prayā	f_A	nominal	a-stems	430	1	1	0.0001	17.81	2
323	BImasena	bhīmasena	m_a	nominal	a-stems	431	7	12	0.0016	17.81	2
324	Asana	āsana	n_a	nominal	a-stems	433	15	531	0.0716	17.88	2
325	vaSa	vaśa	m_a	nominal	a-stems	434	10	198	0.0267	17.91	2
326	vaSa	vaśa	n_a	nominal	a-stems	434	3	105	0.0142	17.92	2
327	padma	padma	m_a	nominal	a-stems	435	12	56	0.0075	17.93	2
328	padma	padma	n_a	nominal	a-stems	435	8	104	0.014	17.94	2
329	Atmaka	ātmaka	m_a	nominal	a-stems	442	10	93	0.0125	17.95	2
330	Atmaka	ātmaka	n_a	nominal	a-stems	442	5	79	0.0107	17.97	2
331	samudra	samudra	m_a	nominal	a-stems	443	15	514	0.0693	18.03	2
332	samudra	samudra	n_a	nominal	a-stems	443	2	168	0.0226	18.06	2
333	kAya	kāya	m_a	nominal	a-stems	447	12	292	0.0394	18.1	2
334	kAya	kāya	n_a	nominal	a-stems	447	5	171	0.0231	18.12	2
335	dIrGa	dīrgha	m_a	nominal	a-stems	451	9	150	0.0202	18.14	2
336	dIrGa	dīrgha	n_a	nominal	a-stems	451	6	231	0.0311	18.17	2
337	dAnava	dānava	m_a	nominal	a-stems	452	13	102	0.0138	18.19	2
338	dAnava	dānava	n_a	nominal	a-stems	452	2	12	0.0016	18.19	2
339	krama	krama	m_a	nominal	a-stems	453	13	149	0.0201	18.21	2
340	dvitIya	dvitīya	m_a	nominal	a-stems	454	12	410	0.0553	18.26	2
