pack	lemma_slp1	surface	gloss_ru	gloss_en	locus
hitopadesa-0	baka	bako	Бака	a kind of heron or crane; Ardea Nivea (often fig. = a hypocrite); cheat; rogue; Sesbana G…	37
hitopadesa-0	bhavat	bhavat	ты	your honour; your worship; your lordship or ladyship; you (lit. "the gentleman or lady pr…	44
hitopadesa-0	bhaya	bhaya	страх	fear; alarm; fear of; terror; dismay; danger; peril; distress; danger from (abl. or comp.…	25
hitopadesa-0	bheda	bhedaḥ	различие	breaking; splitting; cleaving; rending; tearing; piercing; breaking open; disclosing; div…	9
hitopadesa-0	bho	bho	о	hoiho!!; sir!	40
hitopadesa-0	bhoḥ	bhoḥ	о	hoiho!!	40
hitopadesa-0	bhāgya	bhāgyam	счастье	fate; destiny (resulting from merit or demerit in former existences); fortune; (esp.) goo…	5
hitopadesa-0	bhāgīrathī	bhāgīrathī	Бхагиратхи	name of the Ganges (or of one of the 3 main streams or branches of it)	10
hitopadesa-0	bhājana	bhājane	сосуды	a recipient; receptacle; a vessel; pot; plate; cup; a place or person in which anything i…	8
hitopadesa-0	bhāryā	bhāryā	жена	a wife (or the female of an animal)	14
hitopadesa-0	bhāva	bhāvā	бытие	becoming; being; existing; occurring; appearance; turning or transition into; continuance…	28
hitopadesa-0	bhāvin	bhāvino	будет	becoming; being; existing; wont to be (often ifc.); about to be; future; imminent; predes…	28
hitopadesa-0	bhū	bhavati	будет	to be; to become; to come into being; to happen; to occur; to make up; gedeihen	16
hitopadesa-0	bhūpati	bhūpatir	царь	name of Rudra; name of Indra; name of Baṭukabhairava; name of one of the Viśveḍevāḥ; a ki…	10
hitopadesa-0	brū	abravīt	сказал	to speak; to say; to tell; to speak about any person or thing (acc. with or without prati…	42
hitopadesa-0	bāla	bālo	дети	a child; boy (esp. one under 5 years); (in law) a minor; a fool; simpleton; any young ani…	37
hitopadesa-0	bṛhaspati	bṛhaspatir	Брихаспати	name of a deity; the planet Jupiter; name of the author of a Dharma text	42
hitopadesa-0	ca	ca	и	and; both; also; moreover; as well as	13
hitopadesa-0	cakra	cakreṇa	колесо	a wheel; a potter's wheel; a discus; an oil-mill; an astronomical circle; a diagram; a cy…	30
hitopadesa-0	cakṣus	cakṣuṣā	глаз	faculty of seeing; sight; a look; the eye; aspect	12
hitopadesa-0	candramas	candramās	луна	the moon; the deity of the moon; name of a hero; a kind of Soma	18
hitopadesa-0	catuṣṭaya	catuṣṭayam	четыре	four	11
hitopadesa-0	ced	cen	если	(never found at the beginning of a sentence or verse) = ca; when	29
hitopadesa-0	chala	chalena	словесные ухищрения	fraud; deceit; sham; guise; pretence; delusion; semblance; fiction; feint; trick; fallacy…	8
hitopadesa-0	cintay	cintayāmāsa	подумал	to think; to have a thought or idea; to reflect; to consider; to think about; to reflect…	12
hitopadesa-0	cintā	cintā	мысль	thought; care; anxiety; anxious thought about; consideration; name of a woman	29
hitopadesa-0	daiva	daivaṃ	a religious offering or rite; divine power or will; destiny; fate; chance; a deity; finge…	a religious offering or rite; divine power or will; destiny; fate; chance; a deity; finge…	30
hitopadesa-0	darśaka	darśakam	вызвавший появление	seeing (with gen.); looking at (acc.); ifc. looking for; showing; pointing out; examining	10
hitopadesa-0	dehin	dehinaḥ	воплощенный	a living creature; man; the spirit; soul (enveloped in the body)	27
hitopadesa-0	deva	devaiḥ	боги	a deity; god; (rarely applied to) evil demons; the gods as the heavenly or shining ones;…	42
hitopadesa-0	dhana	dhana	богатство	the prize of a contest or the contest itself (lit. a running match); the thing raced for;…	11
hitopadesa-0	dhanus	dhanus	лук	a bow; a measure of length = 4 Hastas or 1/2000 Gavyūti; (geom.) an Arc or past of a circ…	23
hitopadesa-0	dhanya	dhanyo	счастлив	bringing or bestowing wealth; opulent; rich; fortunate; happy; auspicious; good; virtuous…	21
hitopadesa-0	dharma	dharma	дхарма	that which is established or firm; steadfast decree; statute; ordinance; law; usage; prac…	26
hitopadesa-0	dhā	dhatte	дай	to put; to place; to hold; to put on (clothes); to accept; to conceive; to take; verleihe…	40
hitopadesa-0	dhārmika	dhārmikaḥ	добродетельный	righteous; virtuous; pious; just; resting on right; conformable to justice (mind)	12
hitopadesa-0	dhūrjaṭi	dhūrjaṭeḥ	Дхурджати	name of Rudra-Śiva; name of a poet	1
hitopadesa-0	doṣa	doṣaḥ	зло	fault; vice; deficiency; want; inconvenience; disadvantage; badness; wickedness; sinfulne…	33
hitopadesa-0	draviṇa	draviṇa	богатство	movable property (as opp. to house and field); substance; goods; wealth; money; essence;…	14
hitopadesa-0	dravya	dravyeṣu	субстанция	a substance; thing; object; the ingredients or materials of anything; medicinal substance…	4
hitopadesa-0	durdharṣa	durdharṣaṃ	неодолимый	difficult to be assaulted or laid hold of; inviolable; inaccessible; unconquerable; dange…	5
hitopadesa-0	duḥkha	duḥkha	горе	uneasiness; pain; sorrow; trouble; difficulty (personified as the son of Naraka and Vedan…	13
hitopadesa-0	dvaya	dvayam	два	twofold; double; two things; both; twofold nature; falsehood; the masc. and fem. gender	10
hitopadesa-0	dvi	dve	два	two	7
hitopadesa-0	dvitīya	dvitīyā	второй	forming the 2nd part or half of anything; second	7
hitopadesa-0	dyuti	dyutīḥ	блеск	splendour (as a goddess); brightness; lustre; majesty; dignity; (dram.) a threatening att…	40
hitopadesa-0	dā	dadāti	дает	to give; to offer to; to yield; to give (a daughter) in marriage; to pay; to give up; to…	2
hitopadesa-0	dāna	dāne	дары	the act of giving; giving in marriage; giving up; communicating; imparting; teaching; pay…	17
hitopadesa-0	dīp	dīpyate	пылающий	to blaze; to flare; to shine; to be luminous or illustrious; to glow; to burn	45
hitopadesa-0	dṛś	dṛṣṭvā	увидев	to behold; to look at; to regard; to consider; to see; to wait on; to visit; to see with…	35
hitopadesa-0	eka	eko	один	one; alone; happening only once; single of its kind; excellent; sincere; little; isolated…	18
hitopadesa-0	ekadā	ekadā	однажды	at the same time; at once; sometimes; once; one time; some time ago	10
hitopadesa-0	ekaika	ekaikam	one by one; single; every single one	one by one; single; every single one	11
hitopadesa-0	etad	etāsu	это	this; [gramm.] the pronoun etad; auf diese Weise	24
hitopadesa-0	eva	eva	именно	so; just so; exactly so (in the sense of the later evam); indeed; truly; really (often at…	10
hitopadesa-0	evam	evam	так	thus; in this way; in such a manner; such	34
hitopadesa-0	evambhūta	evambhūto	таким образом	of such a quality or nature; such	40
hitopadesa-0	gam	gatāsv	отправился	to go; to move; to approach; to understand; to reside (as a disease); to elapse (of time)	24
hitopadesa-0	garbha	garbheṣu	зародыш	the womb; the inside; middle; interior of anything; calyx (as of a lotus); an inner apart…	14
hitopadesa-0	garbhasrāva	garbhasrāvo	выкидыше		14
hitopadesa-0	gati	gatir	путь	going; moving; gait; deportment; motion in general; manner or power of going; going away;…	30
hitopadesa-0	gaṇa	gaṇa	сонмы	a flock; troop; multitude; number; tribe; series; class (of animate or inanimate beings);…	16
hitopadesa-0	gaṇanā	gaṇanā	счете	calculation; the being enumerated among (in comp.); considering; supposing; regarding; ta…	16
hitopadesa-0	ghna	ghnaḥ	губит	striking with; killing; killer; murderer; destroying; removing; multiplied by	29
hitopadesa-0	go	gaur	коров	an ox; cattle; a herd of cattle; milk; flesh; skin; hide; leather; bow-string; sinew; the…	24
hitopadesa-0	gotra	gotre	род	protection or shelter for cows; cow-pen; cow-shed; stable for cattle; stable (in general)…	43
hitopadesa-0	grah	gṛhīta	взяв	to seize; to take (by the hand); to grasp; to lay hold of; to arrest; to stop; to catch;…	3
hitopadesa-0	grantha	granthād	книги	tying; binding; stringing together; = granthﾡ; a knot; verse; composition; treatise; lite…	9
hitopadesa-0	grāhay	grāhayituṃ	обучил	to cause to take or seize or lay hold of; to cause to marry; to make acquainted with; to…	42
hitopadesa-0	guru	guru	гуру	any venerable or respectable person; a spiritual parent or preceptor (from whom a youth r…	39
hitopadesa-0	guṇa	guṇa	гуны	a single thread or strand of a cord or twine; string or thread; rope; a garland; an auxil…	10
hitopadesa-0	guṇavat	guṇavān	добродетельный	endowed with the five qualities or attributes of elements; endowed with good qualities or…	23
hitopadesa-0	guṇin	guṇi	элементов	containing parts; cosisisting of parts; endowed with good qualities or merits; auspicious…	16
hitopadesa-0	gāmin	gāminām	не приносящій жертвы	going anywhere	12
hitopadesa-0	han	hanti	убит	to strike; to beat; to pound; to hammer; to strike upon; to smite; to slay; to hit; to ki…	18
hitopadesa-0	hari	hareḥ	Хари	yellow or reddish brown or green (the colour); a horse; steed (esp. of Indra); a lion; th…	28
hitopadesa-0	haṃsa	haṃsa	гуси	a goose; gander; swan; flamingo (or other aquatic bird); the soul or spirit (typified by…	37
hitopadesa-0	hi	hi	ведь	for; because; on account of	27
hitopadesa-0	hitopadeśa	hitopadeśo	friendly advice; salutary instruction; name of a popular collection of fables intermixed…	friendly advice; salutary instruction; name of a popular collection of fables intermixed…	2
hitopadesa-0	hā	hā	оставив	a kind of bīja; a kind of exclamation (au wacker)	24
hitopadesa-0	hāsya	hāsyāya	шутил шутки	to be laughed at; laughable; ridiculous; funny; comical; laughing; laughter; mirth (in rh…	7
hitopadesa-0	i	eti	идет	to go; to walk; to flow; to blow; to advance; to spread; to get about; to go to or toward…	41
hitopadesa-0	idam	'yaṃ	это	this; (near deictic pronoun in Vedic)	2
hitopadesa-0	idānīm	idānīm	теперь	now; at this moment; in this case; just; even	25
hitopadesa-0	iha	iha	здесь	in this place; here; to this place; in this world; in this book or system; in this case;…	8
hitopadesa-0	iti	ity	так	in this manner; thus (in its original signification iti refers to something that has been…	12
hitopadesa-0	iva	iva	как	like; in the same manner as (in this sense = yathā); as it were; as if; in a certain mann…	1
hitopadesa-0	iṣ	icchati	хочу	to seek for; to desire; to intend; to assent; to concede; to choose	34
hitopadesa-0	jan	jātena	родился	to come into existence; to grow (as plants); to be born as; to be by birth or nature; to…	12
hitopadesa-0	janman	janma	рождение	birth; origin; existence; life; nativity; re-birth; birthplace; home; a progenitor; fathe…	26
hitopadesa-0	jña	jñaḥ	знаю	knowing; familiar with (chiefly in comp.); intelligent; having a soul; wise	42
hitopadesa-0	jñāna	jñānaṃ	знание	knowing; becoming acquainted with; knowledge; (esp.) the higher knowledge (derived from m…	25
hitopadesa-0	jāhnavī	jāhnavī	Джахнави	the Gaṅgā	1
hitopadesa-0	jāragarbha	jāragarbha	a child by a paramour; bastard	a child by a paramour; bastard	39
hitopadesa-0	jīvaloka	jīvalokasya	мир живых	the world of living beings (opposed to that of the deceased); living beings; mankind	20
hitopadesa-0	ka	kena	что	who?; what?	10
hitopadesa-0	kalā	kalā	часть	a small part of anything; any single part or portion of a whole; a sixteenth part; a digi…	1
hitopadesa-0	kara	karau	руки	producing; causing; making; helping	13
hitopadesa-0	karin	karī	слон	doing; effecting	20
hitopadesa-0	karman	karma	действия	act; action; performance; business; name office; special duty; occupation; obligation; an…	27
hitopadesa-0	kartṛ	kartā	деятель	the creator of the world; name of Viṣṇu; name of Brahman; name of Śiva; (in Gr.) the agen…	34
hitopadesa-0	katham	katham	как	how?	25
hitopadesa-0	kathay	kathyate	рассказал	to call; to name; to tell; to designate	31
hitopadesa-0	kathā	kathā	рассказ	conversation; speech; talking together; talk; mention; story; tale; fable; feigned story;…	8
hitopadesa-0	kathāmukha	kathāmukham	introduction to a tale; name of the second Lambaka or book of the Kathāsaritsāgara	introduction to a tale; name of the second Lambaka or book of the Kathāsaritsāgara	10
hitopadesa-0	kaścit	keṣāṃcid	никто	someone; something; any	30
hitopadesa-0	kaṭhinī	kaṭhinī	chalk	chalk	16
hitopadesa-0	kevala	kevalam	только	alone; only; mere; sole; excluding others; isolated; absolute; pure; entire; whole; selfi…	12
hitopadesa-0	keśa	keśeṣu	волосы	the hair of the head; the mane (of a horse or lion); a kind of perfume; name of a mineral…	3
hitopadesa-0	kiṃśuka	kiṃśukāḥ	Киншука	Butea frondosa Roxb. [a tree bearing beautiful blossoms]	38
hitopadesa-0	kriyā	kriyā	обряды	doing; performing; performance; occupation with (in comp.); business; act; action; undert…	42
hitopadesa-0	kula	kula	род	a herd; troop; flock; assemblage; multitude; number; a race; family; community; tribe; ca…	21
hitopadesa-0	kutas	kutaḥ	откуда	from whom?; from where? whence?; whereto? in which direction?; where?; wherefore? why? fr…	43
hitopadesa-0	kuśūla	kuśūla			21
hitopadesa-0	kvāpi	kvāpy	где-либо	anywhere	19
hitopadesa-0	kāca	kācaḥ	стекло	glass; crystal or quartz (used as an ornament); alkaline ashes; any salt of potash or sod…	40
hitopadesa-0	kākatālīya	kākatālīya	after the manner of the crow and the palm-fruit; unexpected	after the manner of the crow and the palm-fruit; unexpected	35
hitopadesa-0	kāma	kāma	желание	wish; desire; longing; desire for; longing after; love; affection; object of desire or of…	26
hitopadesa-0	kāpuruṣa	kāpuruṣā	трус	a contemptible man; coward	33
hitopadesa-0	kāray	kāritavān	побуждая	to make someone do something; to put; schlachten lassen	40
hitopadesa-0	kārya	kārya	дело	work or business to be done; duty; affair; a religious action or performance; occupation;…	30
hitopadesa-0	kāñcana	kāñcana	золотой	gold; money; wealth; property; the filament of the lotus	40
hitopadesa-0	kāṇa	kāṇena	одноглазый	one-eyed; pierced; perforated	12
hitopadesa-0	kīdṛśa	kīdṛśī	какова	of what use? i.e. useless; of what kind? what like?	16
hitopadesa-0	kīṭa	kīṭo	насекомых	a worm; insect; the scorpion in the zodiac; an expression of contempt; Laus	44
hitopadesa-0	kṛ	kṛtaṃ	сделал	to make like or similar; to consider equivalent; to reduce anything to; to cause to becom…	19
hitopadesa-0	lag	lagnaḥ	будет ощутим	to stick; to cling or attach one's self to; to adhere; to take effect upon; to meet; to p…	8
hitopadesa-0	lakṣmī	lakṣmīr	Лакшми	a mark; sign; token; a bad sign; impending misfortune; a good sign; good fortune; prosper…	33
hitopadesa-0	lekhā	lekhā	линия	a scratch; streak; line; stroke; stripe; furrow; the pale or faintly discernible streak o…	1
hitopadesa-0	likh	likhyate	чертит	to scratch; to scrape; to furrow; to tear up (the ground); to pick; to peck (said of bird…	9
hitopadesa-0	locana	locanaṃ	глазами	the eye; name of a work; two; a kind of plant; cumin	10
hitopadesa-0	lābha	lābhe	прибыль	meeting with; finding; obtaining; getting; attaining; acquisition; gain; profit; capture;…	17
hitopadesa-0	mad	mama	я	I; we	25
hitopadesa-0	madhya	madhye	среди	the middle; midst; centre; inside; interior; the middle of the sky; space between; midday…	24
hitopadesa-0	mahat	mahatām	великий	great; large; big; huge; ample; extensive; long; abundant; numerous; considerable; import…	28
hitopadesa-0	maithuna	maithunāni	connection; copulation; marriage; sexual intercourse	connection; copulation; marriage; sexual intercourse	25
hitopadesa-0	manas	manāḥ	ум	mind (in its widest sense as applied to all the mental powers); intellect; intelligence;…	12
hitopadesa-0	manoratha	manorathaiḥ	желание	a wish; desire; fancy; illusion; (in dram.) a wish expressed in an indirect manner; hint;…	36
hitopadesa-0	mati	matis	мысль	devotion; prayer; worship; hymn; sacred utterance; thought; design; intention; resolution…	41
hitopadesa-0	maṇi	maṇeḥ	амулет	a jewel; gem; pearl; any ornament or amulet; globule; crystal; a magnet; loadstone; glans…	43
hitopadesa-0	mitra	mitra	Митра	a friend; companion; name of an Āditya (generally invoked together with Varuṇa); the sun;…	9
hitopadesa-0	mokṣa	mokṣāṇām	освобождение	emancipation; liberation; release from; release from worldly existence or transmigration;…	26
hitopadesa-0	mukha	mukhe	лицо	the mouth; face; countenance; the beak of a bird; snout or muzzle of an animal; a directi…	36
hitopadesa-0	māna	māna	гордость	measuring; measure; measuring-cord; standard; dimension; height; length (in space and tim…	47
hitopadesa-0	mānava	mānavaḥ	человек	man; patr. from manu (name of Nābhānediṣṭha); name of a cosmic period; the children of me…	34
hitopadesa-0	mārakata	mārakatīr	belonging to an emerald; having any of the properties or qualities of an emerald; coloure…	belonging to an emerald; having any of the properties or qualities of an emerald; coloure…	40
hitopadesa-0	māsa	māsa	месяц	the moon; a month or the 12th part of the Hindū year	44
hitopadesa-0	mātṛ	mātur	мать	a mother; any mother (applicable to animals); father and mother; parents; the earth (heav…	17
hitopadesa-0	mūrdhan	mūrdhani	голову	the forehead; head in general; skull; (fig.) the highest or first part of anything; top;…	1
hitopadesa-0	mūrkha	mūrkhānām	глупец	stupid; foolish; dull; inexperienced	13
hitopadesa-0	mṛ	mṛta	умирает	to die; to decease; to calcine	13
hitopadesa-0	mṛd	mṛd	глины	earth; soil; clay; loam; [min.] = saurāṣṭrā	34
hitopadesa-0	mṛga	mṛgāḥ	зверей	a forest animal or wild beast; game of any kind; a deer; fawn; antelope; stag; musk-deer;…	36
hitopadesa-0	mṛtyu	mṛtyunā	смерть	death; dying; Death personified; the god of disease (sometimes identified with Yama or wi…	3
hitopadesa-0	na	na	не	not; no; nor; neither; like	10
hitopadesa-0	nadī	nadyaḥ	реки	flowing water; a river (commonly personified as a female); name of 2 kinds of metre; name…	46
hitopadesa-0	nagara	nagaram	город	a town; city; name of several cities; name of a son of Bharadvāja	10
hitopadesa-0	nagna	nagna	нагим	naked; new; bare; desolate; desert	28
hitopadesa-0	nahi	nahi	не	for not; surely not; by no means; not at all (often strengthened by other particles)	36
hitopadesa-0	nara	naraḥ	человек	a man; a male; a person; husband; hero; a man or piece at chess or draughts; the pin or g…	23
hitopadesa-0	narapati	narapatir	царь	a king; name of one of the 4 myth. kings of Jambudvīpa; name of an author	10
hitopadesa-0	nava	nave	новые	new; fresh; recent; young; modern	8
hitopadesa-0	nidhana	nidhanam	смерть	settling down; residence or place of residence; domicile; receptacle; conclusion; end; de…	27
hitopadesa-0	nidhi	nidhim	сокровище	setting down or serving up (food etc.); the bottom of the Ukhā; a receptacle; a store; ho…	35
hitopadesa-0	nidhā	nihitā	сложенные	to put or lay down; to deposit; to lay up; to preserve; to intrust; to commit; to present…	42
hitopadesa-0	nidrā	nidrā	сон	sleep; slumber; sleepiness; sloth; the budding state of a flower; a mystic. name of the l…	25
hitopadesa-0	nihan	nihatya	убит	to strike or fix in; to hurl in or upon or against; to make an attempt upon; to attack; t…	33
hitopadesa-0	nirarthaka	nirarthakam	тщетными	useless; vain; unsuccessful; nonsensical	26
hitopadesa-0	nirgandha	nirgandhā	void of smell; inodorous	void of smell; inodorous	38
hitopadesa-0	nirguṇa	nirguṇaḥ	лишенный свойств	having no qualities; having no cord; bad; vicious; having no epithet	23
hitopadesa-0	nityam	nityam	всегда	always	12
hitopadesa-0	nāma	nāma	имя	by name i.e. named; called; indeed; certainly; really; of course; quasi; only in appearan…	10
hitopadesa-0	nāmadheya	nāmadheyam	имя	a name; title; appellation; the ceremony of giving a name to a child	10
hitopadesa-0	nāman	nāmā	имя	a characteristic mark or sign; form; nature; kind; manner; name; appellation; personal na…	42
hitopadesa-0	nīcagā	nīcagā	a river	a river	5
hitopadesa-0	nīlakaṇṭha	nīlakaṇṭhasya	Синегорлый	a peacock; a wagtail; a sparrow; the blue-necked jay; Ardea Sibirica; a species of plant;…	28
hitopadesa-0	nīti	nīti	политика	leading or bringing; guidance; management; conduct; (esp.) right or wise or moral conduct…	2
hitopadesa-0	nṛpa	nṛpaṃ	царь	protector of men; prince; king; sovereign; (in music) a kind of measure; name of the nume…	5
hitopadesa-0	pada	pade	след	a step; pace; stride; a footstep; trace; vestige; mark; a sign; token; characteristic; a…	13
hitopadesa-0	padya	padya	Находясь у ног	a verse; metre; poetry; name of several hymns	43
hitopadesa-0	para	param	высшее	far; remote; opposite; previous; ancient; following; final; exceeding; better or worse th…	5
hitopadesa-0	parivartin	parivartini	неусыпной	moving round; revolving; ever-recurring; changing; passing into; being or remaining or st…	15
hitopadesa-0	parokṣa	parokṣa	втайне	invisible; unknown; past; mystical; cryptic	10
hitopadesa-0	pat	patati	упал	to fly; to soar; to rush on; to fall down; to descend	16
hitopadesa-0	pauruṣa	pauruṣam	manhood; virility (opp. to strītva); manliness; manly strength or courage or deed; valour…	manhood; virility (opp. to strītva); manliness; manly strength or courage or deed; valour…	33
hitopadesa-0	pañcan	pañca	пять	five	27
hitopadesa-0	pañcatantra	pañcatantrāt	name of the well-known collection of moral stories and fables in 5 books; name of a poem…	name of the well-known collection of moral stories and fables in 5 books; name of a poem…	9
hitopadesa-0	paśu	paśubhir	скот	cattle; kine; a domestic animal (as opp. to mṛga); a mere animal in sacred things i.e. an…	25
hitopadesa-0	paṅka	paṅke	грязь	mud; mire; dirt; clay; ointment; unguent; moral impurity; sin	24
hitopadesa-0	paṇḍita	paṇḍita	мудрые	a scholar; a learned man; teacher; philosopher; a Pandit; name of a man; name of a Brāhma…	40
hitopadesa-0	phalavat	phalavatī	плодами	fruit-bearing; fructiferous; covered or laden with fruits; yielding results; successful;…	42
hitopadesa-0	phena	phena	пену	foam; froth; scum; moisture of the lips; saliva; the bone of the cuttle-fish; a kind of p…	1
hitopadesa-0	pitṛ	pitā	отец	a father; parents; the fathers; forefathers; ancestors; (esp.) the Pitṛs or deceased ance…	21
hitopadesa-0	piṇḍa	piṇḍāt	пинда	any round or roundish mass or heap; a ball; globe; knob; button; clod; lump; piece; a rou…	34
hitopadesa-0	prabhu	prabhu	владыка	excelling; mighty; powerful; rich; abundant; more powerful than (abl.); having power over…	11
hitopadesa-0	pramāṇa	pramāṇam	источник знания	measure; scale; standard; measure of any kind (as size); prosodical length (of a vowel);…	47
hitopadesa-0	prasāda	prasādāt	милость	clearness; brightness; pellucidnees; purity; clearness of style; perspicuity; brightness…	1
hitopadesa-0	prasū	prasūto	размножайтесь	to set in motion; to rouse to activity; to urge; to incite; to impel; to bid; to command;…	23
hitopadesa-0	prath	prathitaṃ	прославленный	to spread; to extend; to become larger or wider; to increase; to spread abroad (as a name…	17
hitopadesa-0	pratipad	pratipadyate	достигает	to set foot upon; to enter; to go or resort to; to arrive at; to resch; to attain; to wal…	34
hitopadesa-0	pratipatti	pratipattaye	постижение	gaining; obtaining; acquiring; perception; observation; ascertainment; knowledge; intelle…	7
hitopadesa-0	pravah	pravahanti	тяжеловозы	to carry forwards; to draw or drag on wards; to carry off in flowing; to wash away; to le…	46
hitopadesa-0	praviś	praviśanti	вошел	to enter; to go into; to resort to (acc. or loc.); to marry; to lay or store up; to depos…	36
hitopadesa-0	pravīṇatā	pravīṇatām	skill; proficiency	skill; proficiency	40
hitopadesa-0	pre	preto	после смерти	to come forth; to appear; to begin; to go on; to proceed; to advance (esp. as a sacrifice…	14
hitopadesa-0	priya	priyā	приятное	beloved; dear to; liked; favourite; wanted; own	20
hitopadesa-0	prājña	prājño	мудрый	intellectual; intelligent	3
hitopadesa-0	prāp	prāptaṃ	достигнув	to attain to; to reach; to arrive at; to meet with; to find; to obtain; to receive; to in…	35
hitopadesa-0	punar	punar	снова	back; home; in an opposite direction; again and again; repeatedly; further; moreover; bes…	40
hitopadesa-0	puraḥsara	puraḥsaram	предшествуемая	going before or in advance	47
