text	date1	date2	n_loci	source_note
AṣṭNigh	800	1000	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Aṣṭādhyāyī	2500	2500	32	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Aṣṭāvakragīta	700	1000	20	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
BCar	100	200	14	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
BKŚS	700	900	28	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
BaudhDhSū	-150	-4	8	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
BaudhGS	-800	-299	9	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
BaudhŚS	-599	-399	5	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
BhPr	1500	1600	5	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Bhadrabāhucarita	2500	2500	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Bhairavastava	975	1025	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
BhallŚ	850	950	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Bhramarāṣṭaka	2500	2500	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
BhāMañj	1010	1060	16	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
BhāgPur	500	1000	119	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
BhārGS	-800	-299	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
BoCA	650	750	10	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Brahmabindūpaniṣat	2500	2500	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
BĀU	-699	-499	47	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
BījaN	2500	2500	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Ca	0	300	82	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
CaTPra zu Ca	1500	2000	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Cakra ? on Suśr zu Su	2500	2500	2	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
CauP	1000	1100	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ChāUp	-699	-499	153	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Comm. on the Kāvyālaṃkāravṛtti zu Kāvyālaṃkāravṛtti	750	850	17	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
DKCar	600	650	14	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Devīmāhātmya	400	600	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
DevīĀgama	2500	2500	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
DhanV	1500	2000	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
DhanvNigh	1000	1100	4	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Divyāv	-200	200	20	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Ekākṣarakoṣa	2500	2500	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
GB	-1000	-599	59	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
GarPur	900	1000	166	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
GarbhOp	2500	2500	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
GautDhS	-300	-100	28	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
GaṇaKār	700	800	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
GaṇaKārṬīkā zu GaṇaKār	900	1000	11	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
GherS	1700	1800	7	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
GobhGṛS	-800	-299	2	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
GokPurS	2500	2500	12	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
GorŚ	1350	1450	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
GītGov	1150	1250	12	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
GṛRĀ	1300	1350	6	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
HBhVil	2500	2500	5	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
HYP	1400	1500	4	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Harṣacarita	2500	2500	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Haṃsadūta	1500	1600	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Haṃsasaṃdeśa	1250	1350	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Hiraṇyakeśigṛhyasūtra	-800	-299	6	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Hitop	900	1200	5	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Hārāṇacandara on Suśr zu Su	1500	2000	2	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Indu ad AHS zu AHS	1000	1500	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
JB	-1000	-599	22	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
JaimGṛS	-800	-299	10	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
JanMVic	1500	2000	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
KAM	1250	1300	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
KDār	2500	2500	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
KSS	1000	1100	28	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
KaiNigh	1400	1450	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Kauśikasūtra	-800	-499	31	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
KauṣUp	-599	-399	2	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
KaṭhUp	-300	0	6	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
KhGṛS	-800	-299	9	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Khādiragṛhyasūtrarudraskandavyākhyā zu KhGṛS	2500	2500	2	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Kir	500	650	18	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
KokSam	1400	1500	2	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
KumSaṃ	350	450	8	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
KāSū	300	399	36	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
KādSvīS	1000	1500	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
KādSvīSComm zu KādSvīS	1500	2000	32	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
KālPur	900	1400	5	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
KātySmṛ	600	700	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
KātyŚS	-599	-399	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
KāvyAl	700	800	6	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Kāvyālaṃkāravṛtti	750	850	2	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
KāvĀ	600	700	2	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Kāśikāvṛtti zu Aṣṭādhyāyī	600	700	45	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
KāṭhGṛSū	-800	-299	2	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
KūPur	700	800	95	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
KṛṣiPar	800	1000	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
KṣNarm	1000	1100	3	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
LAS	300	450	2	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
LalVis	0	100	14	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
LiPur	500	1000	163	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
MBh	-500	500	1995	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
MBhT	1100	1300	14	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
MMadhKār	150	250	14	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
MPur	300	600	175	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
MPālNigh	1300	1400	3	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
MS	-1000	-599	23	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Mahācīnatantra	2500	2500	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ManuS	100	300	12	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
MaṇiMāh	1000	1500	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Megh	350	450	2	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
MuA zu RHT	1500	1800	368	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
MukMā	900	1100	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
MuṇḍUp	-300	0	6	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
MānGS	-800	-299	2	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
MṛgT	700	900	12	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
MṛgṬīkā	900	1000	3	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
MṛgṬīkā zu MṛgT	900	1000	254	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
NarasiṃPur	450	800	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
NiSaṃ zu Su	1100	1200	71	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
NighŚeṣa	1150	1230	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Nirukta	-699	-399	7	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
NyāBh zu NyāSū	450	500	7	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
NyāBi	600	660	2	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
NyāSū	100	200	10	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
NāSmṛ	200	500	22	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Nādabindūpaniṣat	2500	2500	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Nāḍīparīkṣā	1300	1500	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Nāḍīvijñāna	2500	2500	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
NāṭŚ	-200	200	5	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
NŚVi zu NāṭŚ	1000	1500	3	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
PABh	300	500	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
PABh zu PāśupSūtra	300	500	167	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
PB	-1000	-599	24	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
PadCandr zu AHS	1000	1500	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ParDhSmṛti	600	800	12	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ParNāmMālā	1000	1500	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Paraśurāmakalpasūtra	1000	1550	3	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Parāśarasmṛtiṭīkā zu ParDhSmṛti	1000	1500	16	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Prasannapadā zu MMadhKār	550	600	7	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Pāraskaragṛhyasūtra	-800	-299	9	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
PāśupSūtra	300	500	5	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
RAK	2500	2500	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
RAdhy	1200	1350	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
RAdhyṬ zu RAdhy	1200	1350	81	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
RArṇ	1000	1100	18	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
RCint	1400	1600	8	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
RCūM	1100	1350	13	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
RHT	900	1000	19	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
RKDh	1600	1800	3	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
RMañj	1300	1500	10	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
RPSudh	1200	1400	13	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
RRS	1200	1500	18	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
RRSBoṬ zu RRS	1800	1900	188	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
RRSDīp zu RRS	1800	1900	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
RRSṬīkā zu RRS	1800	1900	190	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
RRĀ	1100	1300	39	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
RSK	1400	1500	5	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
RSS	1400	1600	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
RSaṃjīv zu AmaruŚ	2500	2500	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
RTar	1900	1950	3	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
RasPr zu GītGov	2500	2500	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Ratnadīpikā	1300	1400	4	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
RājMār zu YS	1000	1100	15	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
RājNigh	1400	1500	35	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Rām	-500	299	606	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
SBhedaV	0	200	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
SDS	1300	1400	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
