L	vol	col
344	1	27
345	1	28
346	1	28
347	1	28
348	1	28
349	1	28
350	1	29
351	1	29
352	1	29
353	1	29
354	1	29
355	1	29
356	1	29
357	1	29
358	1	30
359	1	30
360	1	30
361	1	30
362	1	30
363	1	30
364	1	30
365	1	30
366	1	30
367	1	30
368	1	30
369	1	30
370	1	30
371	1	30
372	1	30
373	1	30
374	1	30
375	1	30
376	1	30
377	1	30
378	1	30
379	1	30
380	1	31
381	1	31
382	1	31
383	1	31
384	1	31
385	1	31
386	1	31
387	1	31
388	1	31
389	1	31
390	1	31
391	1	31
392	1	31
393	1	31
394	1	31
395	1	31
396	1	31
397	1	31
398	1	31
399	1	31
400	1	31
401	1	32
402	1	32
403	1	32
404	1	32
405	1	32
406	1	32
407	1	32
408	1	32
409	1	32
410	1	32
411	1	32
412	1	32
413	1	32
414	1	32
415	1	32
416	1	32
417	1	32
418	1	32
419	1	32
420	1	32
421	1	32
422	1	32
423	1	32
424	1	33
425	1	33
426	1	33
427	1	33
428	1	33
429	1	33
430	1	33
431	1	33
432	1	33
433	1	33
434	1	33
435	1	33
436	1	33
437	1	33
438	1	33
439	1	33
440	1	33
441	1	33
442	1	33
443	1	33
444	1	33
445	1	34
446	1	34
447	1	34
448	1	34
449	1	34
450	1	34
451	1	34
452	1	34
453	1	34
454	1	34
455	1	34
456	1	34
457	1	34
458	1	34
459	1	34
460	1	34
461	1	34
462	1	34
463	1	34
464	1	34
465	1	34
466	1	34
467	1	35
468	1	35
469	1	35
470	1	35
471	1	35
472	1	35
473	1	35
474	1	35
475	1	35
476	1	35
477	1	35
478	1	36
479	1	36
480	1	36
481	1	36
482	1	36
483	1	36
484	1	36
485	1	36
486	1	36
487	1	36
488	1	36
489	1	36
490	1	36
491	1	37
492	1	37
493	1	37
494	1	37
495	1	37
496	1	37
497	1	37
498	1	37
499	1	37
500	1	37
501	1	37
502	1	37
503	1	37
504	1	37
505	1	37
506	1	37
507	1	37
508	1	38
509	1	38
510	1	38
511	1	38
512	1	38
513	1	38
514	1	38
515	1	38
516	1	38
517	1	38
518	1	38
519	1	38
520	1	38
521	1	39
522	1	39
523	1	39
524	1	40
525	1	40
526	1	40
527	1	40
528	1	40
529	1	40
530	1	40
531	1	40
532	1	40
533	1	40
534	1	40
535	1	40
536	1	40
537	1	40
538	1	41
539	1	41
540	1	41
541	1	41
542	1	41
543	1	41
544	1	41
545	1	41
546	1	41
547	1	41
548	1	41
549	1	41
550	1	41
551	1	41
552	1	41
553	1	41
554	1	41
555	1	41
556	1	41
557	1	41
558	1	41
559	1	41
560	1	41
561	1	41
562	1	42
563	1	42
564	1	42
565	1	42
566	1	42
567	1	42
568	1	42
569	1	42
570	1	42
571	1	42
572	1	42
573	1	42
574	1	42
575	1	42
576	1	43
577	1	43
578	1	43
579	1	43
580	1	43
581	1	43
582	1	43
583	1	43
584	1	43
585	1	43
586	1	43
587	1	43
588	1	43
589	1	43
590	1	43
591	1	44
592	1	44
593	1	44
594	1	44
595	1	44
596	1	44
597	1	44
598	1	44
599	1	44
600	1	44
601	1	44
602	1	44
603	1	44
604	1	44
605	1	45
606	1	45
607	1	45
608	1	45
609	1	45
610	1	45
611	1	45
612	1	45
613	1	45
614	1	45
615	1	45
616	1	45
617	1	45
618	1	45
619	1	45
620	1	45
621	1	45
622	1	46
623	1	46
624	1	46
625	1	46
626	1	47
627	1	47
628	1	47
629	1	47
630	1	47
631	1	47
632	1	47
633	1	47
634	1	47
635	1	47
636	1	47
637	1	48
638	1	48
639	1	48
640	1	48
641	1	48
642	1	48
643	1	48
644	1	48
645	1	48
646	1	48
647	1	48
648	1	48
649	1	48
650	1	48
651	1	49
652	1	49
653	1	49
654	1	49
655	1	49
656	1	49
657	1	49
658	1	49
659	1	49
660	1	49
661	1	49
662	1	49
663	1	49
664	1	49
665	1	49
666	1	49
667	1	49
668	1	49
669	1	50
670	1	50
671	1	51
672	1	51
673	1	51
674	1	51
675	1	51
676	1	51
677	1	51
678	1	51
679	1	51
680	1	51
681	1	52
682	1	52
683	1	52
684	1	52
685	1	52
686	1	52
687	1	52
688	1	52
689	1	52
690	1	52
691	1	52
692	1	52
693	1	52
694	1	52
695	1	52
696	1	52
697	1	52
698	1	52
699	1	53
700	1	53
701	1	53
702	1	53
703	1	53
704	1	53
705	1	53
706	1	53
707	1	53
708	1	53
709	1	53
710	1	53
711	1	53
712	1	53
713	1	53
714	1	53
715	1	53
716	1	53
717	1	54
718	1	54
719	1	54
720	1	54
721	1	54
722	1	54
723	1	54
724	1	54
725	1	54
726	1	54
727	1	54
728	1	54
729	1	54
730	1	54
731	1	54
732	1	54
733	1	54
734	1	54
735	1	54
736	1	54
737	1	54
738	1	54
739	1	55
740	1	55
741	1	56
742	1	56
743	1	56
744	1	56
745	1	56
746	1	56
747	1	56
748	1	56
749	1	56
750	1	56
751	1	56
752	1	56
753	1	56
754	1	56
755	1	56
756	1	57
757	1	57
758	1	57
759	1	57
760	1	57
761	1	57
762	1	57
763	1	57
764	1	57
765	1	57
766	1	57
767	1	57
768	1	58
769	1	58
770	1	58
771	1	58
772	1	58
773	1	58
774	1	58
775	1	58
776	1	58
777	1	58
778	1	58
779	1	58
780	1	58
781	1	58
782	1	58
783	1	58
784	1	58
785	1	58
786	1	58
787	1	58
788	1	58
789	1	59
790	1	59
791	1	59
792	1	59
793	1	60
794	1	60
795	1	60
796	1	60
797	1	60
798	1	60
799	1	60
800	1	60
801	1	60
802	1	60
803	1	60
804	1	60
805	1	60
806	1	60
807	1	60
808	1	60
809	1	60
810	1	60
811	1	60
812	1	61
813	1	61
814	1	61
815	1	61
816	1	61
817	1	61
818	1	61
819	1	61
820	1	61
821	1	61
822	1	61
823	1	61
824	1	61
825	1	61
826	1	61
827	1	61
828	1	62
829	1	62
830	1	62
831	1	62
832	1	62
833	1	62
834	1	62
835	1	62
836	1	62
837	1	63
838	1	63
839	1	63
840	1	63
841	1	63
842	1	63
843	1	63
844	1	63
845	1	63
846	1	63
847	1	63
848	1	64
849	1	64
850	1	64
851	1	64
852	1	64
853	1	64
854	1	64
855	1	64
856	1	64
857	1	64
858	1	64
859	1	64
860	1	64
861	1	64
862	1	64
863	1	64
864	1	64
865	1	65
866	1	65
867	1	65
868	1	65
869	1	65
870	1	65
871	1	65
872	1	66
873	1	66
874	1	67
875	1	67
876	1	67
877	1	67
878	1	67
879	1	67
880	1	67
881	1	67
882	1	67
883	1	67
884	1	67
885	1	67
886	1	67
887	1	67
888	1	67
889	1	68
890	1	68
891	1	68
892	1	68
893	1	68
894	1	68
895	1	68
896	1	68
897	1	68
898	1	68
899	1	68
900	1	68
901	1	68
902	1	68
903	1	68
904	1	68
905	1	68
906	1	68
907	1	68
908	1	68
909	1	69
910	1	69
911	1	69
912	1	69
913	1	69
914	1	69
915	1	69
916	1	69
917	1	69
918	1	69
919	1	69
920	1	69
921	1	69
922	1	69
923	1	69
924	1	69
925	1	69
926	1	69
927	1	69
928	1	70
929	1	70
930	1	70
931	1	70
932	1	70
933	1	70
934	1	70
935	1	70
936	1	70
937	1	70
938	1	70
939	1	70
940	1	70
941	1	70
942	1	70
943	1	70
944	1	70
945	1	70
946	1	71
947	1	71
948	1	71
949	1	71
950	1	71
951	1	71
952	1	71
953	1	71
954	1	71
955	1	71
956	1	71
957	1	71
958	1	71
959	1	71
960	1	71
961	1	71
962	1	71
963	1	71
964	1	71
965	1	71
966	1	72
967	1	72
968	1	72
969	1	72
970	1	72
971	1	72
972	1	72
973	1	72
974	1	72
975	1	72
976	1	72
977	1	72
978	1	72
979	1	72
980	1	72
981	1	72
982	1	73
983	1	73
984	1	73
985	1	73
986	1	73
987	1	73
988	1	73
989	1	73
990	1	73
991	1	73
992	1	73
993	1	73
994	1	73
995	1	73
996	1	73
997	1	73
998	1	73
999	1	74
1000	1	74
1001	1	74
1002	1	74
1003	1	74
1004	1	74
1005	1	74
1006	1	74
1007	1	74
1008	1	74
1009	1	74
1010	1	74
1011	1	74
1012	1	74
1013	1	74
1014	1	74
1015	1	74
1016	1	74
1017	1	74
1018	1	74
1019	1	74
1020	1	75
1021	1	75
1022	1	75
1023	1	75
1024	1	75
1025	1	75
1026	1	75
1027	1	75
1028	1	75
1029	1	75
1030	1	75
1031	1	75
1032	1	75
1033	1	75
1034	1	75
1035	1	75
1036	1	75
1037	1	76
1038	1	76
1039	1	76
1040	1	76
1041	1	76
1042	1	76
1043	1	76
1044	1	76
1045	1	76
1046	1	76
1047	1	76
1048	1	76
1049	1	76
1050	1	76
1051	1	76
1052	1	76
1053	1	78
1054	1	78
1055	1	78
1056	1	79
1057	1	79
1058	1	79
1059	1	79
1060	1	79
1061	1	79
1062	1	79
1063	1	79
1064	1	79
1065	1	79
1066	1	79
1067	1	80
1068	1	80
1069	1	80
1070	1	80
1071	1	80
1072	1	80
1073	1	80
1074	1	80
1075	1	80
1076	1	80
1077	1	81
1078	1	81
1079	1	81
1080	1	81
1081	1	81
1082	1	81
1083	1	81
1084	1	81
1085	1	81
1086	1	81
1087	1	81
1088	1	81
1089	1	82
1090	1	82
1091	1	82
1092	1	82
1093	1	82
1094	1	82
1095	1	82
1096	1	82
1097	1	82
1098	1	82
1099	1	82
1100	1	82
1101	1	82
1102	1	82
1103	1	82
1104	1	82
1105	1	82
1106	1	82
1107	1	82
1108	1	82
1109	1	82
1110	1	82
1111	1	83
1112	1	83
1113	1	83
1114	1	83
1115	1	83
1116	1	83
1117	1	83
1118	1	83
1119	1	83
1120	1	83
1121	1	83
1122	1	83
1123	1	83
1124	1	83
1125	1	83
1126	1	83
1127	1	83
1128	1	83
1129	1	83
1130	1	83
1131	1	83
1132	1	83
1133	1	83
1134	1	83
1135	1	83
1136	1	83
1137	1	84
1138	1	84
1139	1	84
1140	1	84
1141	1	84
1142	1	84
1143	1	84
1144	1	84
1145	1	84
1146	1	84
1147	1	84
1148	1	84
1149	1	84
1150	1	84
1151	1	84
1152	1	84
1153	1	84
1154	1	85
1155	1	85
1156	1	85
1157	1	85
1158	1	85
1159	1	85
1160	1	85
1161	1	85
1162	1	85
1163	1	85
1164	1	85
1165	1	85
1166	1	85
1167	1	85
1168	1	85
1169	1	86
1170	1	86
1171	1	86
1172	1	86
1173	1	86
1174	1	86
1175	1	86
1176	1	86
1177	1	86
1178	1	86
1179	1	86
1180	1	86
1181	1	86
1182	1	86
1183	1	86
1184	1	86
1185	1	86
1186	1	86
1187	1	87
1188	1	87
1189	1	87
1190	1	87
1191	1	87
1192	1	87
1193	1	87
1194	1	87
1195	1	87
1196	1	87
1197	1	87
1198	1	87
1199	1	87
1200	1	87
1201	1	87
1202	1	87
1203	1	88
1204	1	88
1205	1	88
1206	1	88
1207	1	88
1208	1	88
1209	1	88
1210	1	88
1211	1	88
1212	1	89
1213	1	89
1214	1	89
1215	1	89
1216	1	91
1217	1	91
1218	1	91
1219	1	91
1220	1	91
1221	1	91
1222	1	91
1223	1	91
1224	1	91
1225	1	91
1226	1	91
1227	1	91
1228	1	91
1229	1	91
1230	1	91
1231	1	91
1232	1	91
1233	1	92
1234	1	92
1235	1	92
1236	1	92
1237	1	92
1238	1	92
1239	1	92
1240	1	92
1241	1	92
1242	1	92
1243	1	92
1244	1	92
1245	1	92
1246	1	92
1247	1	93
1248	1	93
1249	1	93
1250	1	93
1251	1	93
1252	1	93
1253	1	93
1254	1	93
1255	1	93
1256	1	93
1257	1	93
1258	1	93
1259	1	93
1260	1	93
1261	1	93
1262	1	94
1263	1	94
1264	1	94
1265	1	94
1266	1	94
1267	1	94
1268	1	94
1269	1	94
1270	1	94
1271	1	94
1272	1	94
1273	1	94
1274	1	94
1275	1	94
1276	1	94
1277	1	94
1278	1	94
1279	1	94
1280	1	94
1281	1	94
1282	1	94
1283	1	95
1284	1	95
1285	1	95
1286	1	95
1287	1	95
1288	1	95
1289	1	95
1290	1	95
1291	1	95
1292	1	95
1293	1	95
1294	1	95
1295	1	95
1296	1	95
1297	1	95
1298	1	96
1299	1	96
1300	1	96
1301	1	96
1302	1	96
1303	1	96
1304	1	96
1305	1	96
1306	1	96
1307	1	96
1308	1	96
1309	1	96
1310	1	96
1311	1	96
1312	1	96
1313	1	97
1314	1	97
1315	1	97
1316	1	97
1317	1	97
1318	1	97
1319	1	97
1320	1	97
1321	1	97
1322	1	97
1323	1	97
1324	1	97
1325	1	97
1326	1	97
1327	1	97
1328	1	97
1329	1	98
1330	1	98
1331	1	98
1332	1	98
1333	1	98
1334	1	98
1335	1	98
1336	1	98
1337	1	98
1338	1	98
1339	1	98
1340	1	98
1341	1	98
1342	1	98
1343	1	98
1344	1	98
1345	1	98
1346	1	98
1347	1	98
1348	1	98
1349	1	99
1350	1	99
1351	1	99
1352	1	99
1353	1	99
1354	1	99
1355	1	99
1356	1	99
1357	1	99
1358	1	99
1359	1	99
1360	1	99
1361	1	99
1362	1	99
1363	1	99
1364	1	99
1365	1	99
1366	1	99
1367	1	99
1368	1	100
1369	1	100
1370	1	100
1371	1	100
1372	1	100
1373	1	100
1374	1	100
1375	1	100
1376	1	100
1377	1	100
1378	1	100
1379	1	100
1380	1	100
1381	1	100
1382	1	100
1383	1	100
1384	1	100
1385	1	100
1386	1	100
1387	1	101
1388	1	101
1389	1	101
1390	1	101
1391	1	101
1392	1	101
1393	1	101
1394	1	101
1395	1	101
1396	1	101
1397	1	101
1398	1	101
1399	1	101
1400	1	101
1401	1	101
1402	1	101
1403	1	101
1404	1	101
1405	1	101
1406	1	101
1407	1	101
1408	1	102
1409	1	102
1410	1	102
1411	1	102
1412	1	102
1413	1	102
1414	1	102
1415	1	102
1416	1	102
1417	1	102
1418	1	102
1419	1	102
1420	1	102
1421	1	102
1422	1	102
1423	1	102
1424	1	102
1425	1	102
1426	1	102
1427	1	102
1428	1	102
1429	1	103
1430	1	103
1431	1	103
1432	1	103
1433	1	103
1434	1	103
1435	1	103
1436	1	103
1437	1	103
1438	1	103
1439	1	103
1440	1	103
1441	1	103
1442	1	103
1443	1	103
1444	1	103
1445	1	103
1446	1	103
1447	1	103
1448	1	103
1449	1	103
1450	1	104
1451	1	104
1452	1	104
1453	1	104
1454	1	104
1455	1	104
1456	1	104
1457	1	104
1458	1	104
1459	1	104
1460	1	104
1461	1	104
1462	1	104
1463	1	104
1464	1	105
1465	1	105
1466	1	105
1467	1	105
1468	1	105
1469	1	105
1470	1	105
1471	1	105
1472	1	105
1473	1	105
1474	1	105
1475	1	105
1476	1	105
1477	1	105
1478	1	105
1479	1	105
1480	1	105
1481	1	105
1482	1	105
1483	1	105
1484	1	106
1485	1	106
1486	1	106
1487	1	106
1488	1	106
1489	1	106
1490	1	106
1491	1	106
1492	1	106
1493	1	106
1494	1	106
1495	1	106
1496	1	106
1497	1	106
1498	1	106
1499	1	106
1500	1	106
1501	1	106
1502	1	106
1503	1	106
1504	1	106
1505	1	106
1506	1	106
1507	1	106
1508	1	106
1509	1	106
1510	1	107
1511	1	107
1512	1	107
1513	1	107
1514	1	107
1515	1	107
1516	1	107
1517	1	107
1518	1	107
1519	1	107
1520	1	107
1521	1	107
1522	1	107
1523	1	107
1524	1	107
1525	1	107
1526	1	107
1527	1	107
1528	1	107
1529	1	108
1530	1	108
1531	1	108
1532	1	108
1533	1	108
1534	1	108
1535	1	108
1536	1	108
1537	1	108
1538	1	108
1539	1	108
1540	1	108
1541	1	108
1542	1	108
1543	1	108
1544	1	108
1545	1	108
1546	1	108
1547	1	108
1548	1	108
1549	1	108
1550	1	109
1551	1	109
1552	1	109
1553	1	109
1554	1	109
1555	1	109
1556	1	109
1557	1	109
1558	1	109
1559	1	109
1560	1	109
1561	1	109
1562	1	109
1563	1	109
1564	1	109
1565	1	110
1566	1	110
1567	1	110
1568	1	110
1569	1	110
1570	1	110
1571	1	110
1572	1	110
1573	1	110
1574	1	110
1575	1	110
1576	1	111
1577	1	111
1578	1	111
1579	1	111
1580	1	111
1581	1	111
1582	1	111
1583	1	111
1584	1	111
1585	1	111
1586	1	111
1587	1	111
1588	1	111
1589	1	111
1590	1	111
1591	1	111
1592	1	111
1593	1	111
1594	1	111
1595	1	111
1596	1	112
1597	1	112
1598	1	112
1599	1	112
1600	1	112
1601	1	112
1602	1	112
1603	1	112
1604	1	112
1605	1	112
1606	1	112
1607	1	112
1608	1	113
1609	1	113
1610	1	113
1611	1	113
1612	1	113
1613	1	113
1614	1	113
1615	1	113
1616	1	114
1617	1	114
1618	1	114
1619	1	114
1620	1	114
1621	1	114
1622	1	114
1623	1	114
1624	1	114
1625	1	115
1626	1	115
1627	1	115
1628	1	115
1629	1	115
1630	1	115
1631	1	115
1632	1	115
1633	1	118
1634	1	118
1635	1	118
1636	1	118
1637	1	118
1638	1	118
1639	1	118
1640	1	118
1641	1	118
1642	1	119
1643	1	119
1644	1	119
1645	1	119
1646	1	119
1647	1	120
1648	1	120
1649	1	120
1650	1	120
1651	1	120
1652	1	120
1653	1	120
1654	1	120
1655	1	120
1656	1	121
1657	1	121
1658	1	121
1659	1	121
1660	1	121
1661	1	121
1662	1	121
1663	1	121
1664	1	121
1665	1	121
1666	1	121
1667	1	122
1668	1	122
1669	1	122
1670	1	122
1671	1	122
1672	1	122
1673	1	122
1674	1	122
1675	1	122
1676	1	122
1677	1	122
1678	1	122
1679	1	122
1680	1	122
1681	1	122
1682	1	122
1683	1	122
1684	1	122
1685	1	122
1686	1	123
1687	1	123
1688	1	123
1689	1	123
1690	1	123
1691	1	123
1692	1	123
1693	1	123
1694	1	123
1695	1	124
1696	1	125
1697	1	125
1698	1	125
1699	1	125
1700	1	125
1701	1	125
1702	1	125
1703	1	125
1704	1	125
1705	1	126
1706	1	126
1707	1	126
1708	1	126
1709	1	126
1710	1	126
1711	1	126
1712	1	126
1713	1	126
1714	1	126
1715	1	126
1716	1	126
1717	1	127
1718	1	128
1719	1	128
1720	1	128
1721	1	128
1722	1	128
1723	1	128
1724	1	128
1725	1	128
1726	1	128
1727	1	128
1728	1	128
1729	1	128
1730	1	128
1731	1	128
1732	1	128
1733	1	128
1734	1	128
1735	1	129
1736	1	129
1737	1	129
1738	1	129
1739	1	129
1740	1	129
1741	1	129
1742	1	129
1743	1	129
1744	1	129
1745	1	129
1746	1	129
1747	1	130
1748	1	130
1749	1	130
1750	1	130
1751	1	130
1752	1	130
1753	1	130
1754	1	130
1755	1	130
1756	1	130
1757	1	130
1758	1	130
1759	1	130
1760	1	130
1761	1	130
1762	1	130
1763	1	130
1764	1	131
1765	1	131
1766	1	131
1767	1	131
1768	1	131
1769	1	131
1770	1	131
1771	1	131
1772	1	132
1773	1	132
1774	1	132
1775	1	132
1776	1	132
1777	1	132
1778	1	132
1779	1	132
1780	1	132
1781	1	132
1782	1	132
1783	1	132
1784	1	132
1785	1	132
1786	1	132
1787	1	132
1788	1	132
1789	1	133
1790	1	133
1791	1	133
1792	1	133
1793	1	133
1794	1	133
1795	1	133
1796	1	133
1797	1	133
1798	1	133
1799	1	133
1800	1	133
1801	1	133
1802	1	133
1803	1	134
1804	1	134
1805	1	134
1806	1	134
1807	1	134
1808	1	134
1809	1	134
1810	1	134
1811	1	134
1812	1	134
1813	1	134
1814	1	134
1815	1	134
1816	1	134
1817	1	134
1818	1	134
1819	1	134
1820	1	135
1821	1	135
1822	1	135
1823	1	135
1824	1	135
1825	1	135
1826	1	135
1827	1	135
1828	1	135
1829	1	135
1830	1	135
1831	1	135
1832	1	135
1833	1	135
1834	1	135
1835	1	135
1836	1	135
1837	1	135
1838	1	135
1839	1	135
1840	1	136
1841	1	136
1842	1	136
1843	1	136
1844	1	136
1845	1	136
1846	1	136
1847	1	136
1848	1	136
1849	1	136
1850	1	136
1851	1	136
1852	1	136
1853	1	136
1854	1	136
1855	1	137
1856	1	137
1857	1	137
1858	1	137
1859	1	137
1860	1	137
1861	1	137
1862	1	137
1863	1	137
1864	1	138
1865	1	138
1866	1	138
1867	1	138
1868	1	138
1869	1	138
1870	1	138
1871	1	138
1872	1	139
1873	1	139
1874	1	139
1875	1	139
1876	1	139
1877	1	139
1878	1	139
1879	1	139
1880	1	139
1881	1	139
1882	1	139
1883	1	139
1884	1	139
1885	1	139
1886	1	139
1887	1	139
1888	1	139
1889	1	139
1890	1	139
1891	1	139
1892	1	140
1893	1	140
1894	1	140
1895	1	140
1896	1	140
1897	1	140
1898	1	140
1899	1	140
1900	1	140
1901	1	140
1902	1	140
1903	1	140
1904	1	141
1905	1	141
1906	1	141
1907	1	141
1908	1	141
1909	1	142
1910	1	142
1911	1	142
1912	1	142
1913	1	142
1914	1	142
1915	1	143
1916	1	143
1917	1	143
1918	1	145
1919	1	145
1920	1	145
1921	1	145
1922	1	145
1923	1	145
1924	1	145
1925	1	145
1926	1	146
1927	1	146
1928	1	146
1929	1	146
1930	1	146
1931	1	146
1932	1	146
1933	1	146
1934	1	146
1935	1	146
1936	1	146
1937	1	147
1938	1	147
1939	1	147
1940	1	147
1941	1	147
1942	1	147
1943	1	147
1944	1	147
1945	1	148
1946	1	148
1947	1	148
1948	1	148
1949	1	148
1950	1	148
1951	1	148
1952	1	148
1953	1	148
1954	1	148
1955	1	148
1956	1	148
1957	1	148
1958	1	148
1959	1	148
1960	1	148
1961	1	148
1962	1	149
1963	1	149
1964	1	149
1965	1	149
1966	1	149
1967	1	149
1968	1	149
1969	1	149
1970	1	149
1971	1	149
1972	1	149
1973	1	149
1974	1	149
1975	1	149
1976	1	149
1977	1	150
1978	1	150
1979	1	150
1980	1	150
1981	1	150
1982	1	150
1983	1	150
1984	1	150
1985	1	150
1986	1	150
1987	1	150
1988	1	150
1989	1	150
1990	1	150
1991	1	150
1992	1	150
1993	1	150
1994	1	151
1995	1	151
1996	1	151
1997	1	151
1998	1	151
1999	1	151
2000	1	151
2001	1	151
2002	1	151
2003	1	151
2004	1	151
2005	1	151
2006	1	151
2007	1	151
2008	1	151
2009	1	151
2010	1	152
2011	1	152
2012	1	152
2013	1	152
2014	1	152
2015	1	152
2016	1	152
2017	1	152
2018	1	152
2019	1	152
2020	1	152
2021	1	152
2022	1	152
2023	1	152
2024	1	152
2025	1	152
2026	1	152
2027	1	152
2028	1	152
2029	1	153
2030	1	153
2031	1	153
2032	1	153
2033	1	153
2034	1	153
2035	1	153
2036	1	153
2037	1	154
2038	1	154
2039	1	154
2040	1	154
2041	1	154
2042	1	154
2043	1	154
2044	1	154
2045	1	154
2046	1	154
2047	1	154
2048	1	154
2049	1	154
2050	1	154
2051	1	154
2052	1	154
2053	1	155
2054	1	155
2055	1	155
2056	1	155
2057	1	155
2058	1	155
2059	1	155
2060	1	155
2061	1	155
2062	1	155
2063	1	155
2064	1	155
2065	1	155
2066	1	155
2067	1	155
2068	1	155
2069	1	155
2070	1	155
2071	1	156
2072	1	156
2073	1	156
2074	1	156
2075	1	156
2076	1	156
2077	1	156
2078	1	156
2079	1	156
2080	1	156
2081	1	156
2082	1	156
2083	1	156
2084	1	156
2085	1	156
2086	1	156
2087	1	156
2088	1	156
2089	1	156
2090	1	156
2091	1	157
2092	1	157
2093	1	157
2094	1	157
2095	1	157
2096	1	157
2097	1	157
2098	1	157
2099	1	157
2100	1	158
2101	1	158
2102	1	158
2103	1	158
2104	1	158
2105	1	158
2106	1	158
2107	1	158
2108	1	158
2109	1	158
2110	1	158
2111	1	158
2112	1	158
2113	1	158
2114	1	158
2115	1	158
2116	1	158
2117	1	158
2118	1	158
2119	1	158
2120	1	158
2121	1	158
2122	1	158
2123	1	158
2124	1	158
2125	1	158
2126	1	159
2127	1	159
2128	1	159
2129	1	159
2130	1	159
2131	1	159
2132	1	159
2133	1	159
2134	1	159
2135	1	159
2136	1	159
2137	1	159
2138	1	159
2139	1	159
2140	1	160
