rank	rule	category	count	pct	cumulative_pct	family_size	priority	lesson
50	i e → y e	vowel coalescence	2386	0.418	70.25	10	2919.8	7
51	aḥ b → o b	visarga	2214	0.387	70.63	136	2885.9	8
52	ā i → e	vowel coalescence	2730	0.478	71.11	2	2861.9	8
53	ḥ n → r n	visarga	2458	0.43	71.54	30	2793.1	8
54	m l → ṃ l	anusvāra / nasal	1774	0.31	71.85	37	2742.0	8
55	ḥ r → Ø r	visarga	2289	0.401	72.25	38	2660.2	8
56	n c → ṃś c	anusvāra / nasal	2264	0.396	72.65	2	2637.1	8
57	u a → v a	vowel coalescence	2244	0.393	73.04	6	2609.1	8
58	aḥ j → o j	visarga	1987	0.348	73.39	136	2590.1	8
59	i u → y u	vowel coalescence	2095	0.367	73.76	10	2563.7	8
60	ḥ d → Ø d	visarga	2102	0.368	74.12	38	2442.8	8
61	aḥ dh → o dh	visarga	1772	0.31	74.43	136	2309.8	8
62	n t → ṃs t	anusvāra / nasal	2057	0.36	74.79	1	2270.9	8
63	ḥ t → Ø t	visarga	1927	0.337	75.13	38	2239.5	8
64	ḥ i → r i	visarga	1887	0.33	75.46	30	2144.2	8
65	ḥ d → r d	visarga	1878	0.329	75.79	30	2134.0	8
66	i i → ī	vowel coalescence	1691	0.296	76.09	13	2124.4	8
67	aḥ g → o g	visarga	1627	0.285	76.37	136	2120.8	8
68	s s → ḥ s	consonant / other	2342	0.41	76.78	13	1961.5	8
69	ḥ bh → Ø bh	visarga	1676	0.293	77.07	38	1947.8	8
70	t m → n m	consonant / other	2527	0.442	77.52	5	1923.7	8
71	ā ā → ā	vowel coalescence	1695	0.297	77.81	4	1893.8	8
72	ḥ bh → r bh	visarga	1657	0.29	78.1	30	1882.9	8
73	ḥ a → ḥ '	visarga	1679	0.294	78.4	22	1851.5	8
74	ḥ ā → r ā	visarga	1617	0.283	78.68	30	1837.4	8
75	ḥ y → r y	visarga	1611	0.282	78.96	30	1830.6	8
76	ḥ y → Ø y	visarga	1570	0.275	79.24	38	1824.6	8
77	ḥ e → Ø e	visarga	1547	0.271	79.51	38	1797.8	8
78	ḥ u → r u	visarga	1549	0.271	79.78	30	1760.2	8
79	s p → ḥ p	consonant / other	2088	0.365	80.14	13	1748.7	8
80	ḥ h → Ø h	visarga	1428	0.25	80.39	38	1659.6	9
81	t c → c c	consonant / other	2150	0.376	80.77	5	1636.7	9
82	t d → d d	consonant / other	1779	0.311	81.08	27	1600.9	9
83	ā u → o	vowel coalescence	1519	0.266	81.35	2	1592.4	9
84	t bh → d bh	consonant / other	1713	0.3	81.65	27	1541.5	9
85	iḥ s → Ø s	visarga	1335	0.234	81.88	31	1521.8	9
86	i ā → y ā	vowel coalescence	1223	0.214	82.09	10	1496.6	9
87	ḥ b → r b	visarga	1259	0.22	82.31	30	1430.6	9
88	t n → n n	consonant / other	1863	0.326	82.64	5	1418.2	9
89	t i → d i	consonant / other	1571	0.275	82.92	27	1413.7	9
90	iḥ p → Ø p	visarga	1201	0.21	83.13	31	1369.0	9
91	t y → d y	consonant / other	1505	0.263	83.39	27	1354.3	9
92	a ṛ → ar	vowel coalescence	1350	0.236	83.63	1	1341.3	9
93	iḥ t → Ø t	visarga	1093	0.191	83.82	31	1245.9	9
94	t r → d r	consonant / other	1371	0.24	84.06	27	1233.8	9
95	ḥ b → Ø b	visarga	1039	0.182	84.24	38	1207.5	9
96	t e → d e	consonant / other	1340	0.235	84.47	27	1205.9	9
97	ḥ g → Ø g	visarga	1030	0.18	84.65	38	1197.0	9
98	t b → d b	consonant / other	1257	0.22	84.87	27	1131.2	9
99	iḥ k → Ø k	visarga	983	0.172	85.05	31	1120.5	9
100	t ś → cch	consonant / other	1640	0.287	85.33	1	1086.3	9
101	t ā → d ā	consonant / other	1174	0.205	85.54	27	1056.5	9
102	s k → ḥ k	consonant / other	1255	0.22	85.76	13	1051.1	9
103	ḥ g → r g	visarga	905	0.158	85.92	30	1028.4	9
104	ḥ p → Ø p	visarga	882	0.154	86.07	38	1025.0	9
105	iḥ m → Ø m	visarga	897	0.157	86.23	31	1022.5	9
106	ḥ h → r h	visarga	897	0.157	86.38	30	1019.3	9
107	aḥ l → o l	visarga	759	0.133	86.52	136	989.4	9
108	as a → o '	consonant / other	1045	0.183	86.7	36	966.6	9
109	a ī → e	vowel coalescence	821	0.144	86.84	6	954.6	9
110	iḥ v → Ø v	visarga	835	0.146	86.99	31	951.8	9
111	ḥ j → Ø j	visarga	817	0.143	87.13	38	949.5	9
112	m gh → ṃ gh	anusvāra / nasal	602	0.105	87.24	37	930.5	9
113	t u → d u	consonant / other	1024	0.179	87.42	27	921.5	9
114	iḥ n → Ø n	visarga	766	0.134	87.55	31	873.2	9
115	as v → o v	consonant / other	942	0.165	87.72	36	871.3	9
116	ḥ j → r j	visarga	765	0.134	87.85	30	869.3	9
117	ḥ e → r e	visarga	761	0.133	87.98	30	864.7	9
118	iḥ y → Ø y	visarga	755	0.132	88.12	31	860.6	9
119	ḥ s → Ø s	visarga	734	0.128	88.24	38	853.0	9
120	ḥ c → Ø c	visarga	722	0.126	88.37	38	839.1	9
121	aḥ ayam → o 'yaṃ	visarga	643	0.113	88.48	136	838.1	9
122	ḥ dh → Ø dh	visarga	700	0.123	88.6	38	813.5	9
123	d p → t p	consonant / other	999	0.175	88.78	8	797.0	9
124	ḥ k → Ø k	visarga	680	0.119	88.9	38	790.3	9
125	as d → o d	consonant / other	829	0.145	89.04	36	766.8	9
126	d k → t k	consonant / other	938	0.164	89.21	8	748.3	9
127	ḥ dh → r dh	visarga	648	0.113	89.32	30	736.3	9
128	s ś → ḥ ś	consonant / other	856	0.15	89.47	13	716.9	9
129	t g → d g	consonant / other	773	0.135	89.61	27	695.6	9
130	n ś → ñ ś	consonant / other	994	0.174	89.78	2	694.7	9
131	mpāyanaḥ u → ṃpāyana u	visarga	838	0.147	89.93	1	693.8	9
132	t dh → d dh	consonant / other	755	0.132	90.06	27	679.4	9
133	u i → v i	vowel coalescence	567	0.099	90.16	6	659.2	10
134	iḥ d → Ø d	visarga	574	0.1	90.26	31	654.3	10
135	r p → ḥ p	consonant / other	798	0.14	90.4	7	628.1	10
136	ā ṛ → ar	vowel coalescence	611	0.107	90.51	1	607.1	10
137	aḥ aham → o 'haṃ	visarga	457	0.08	90.59	136	595.7	10
138	as r → o r	consonant / other	628	0.11	90.7	36	580.9	10
139	ḥ ā → Ø ā	visarga	496	0.087	90.78	38	576.4	10
140	a o → au	vowel coalescence	562	0.098	90.88	1	558.4	10
141	d s → t s	consonant / other	699	0.122	91.0	8	557.6	10
142	iḥ ś → Ø ś	visarga	489	0.086	91.09	31	557.4	10
143	u e → v e	vowel coalescence	467	0.082	91.17	6	543.0	10
144	as m → o m	consonant / other	587	0.103	91.27	36	543.0	10
145	e e → a e	vowel coalescence	401	0.07	91.34	9	485.6	10
146	m ph → ṃ ph	anusvāra / nasal	305	0.053	91.4	37	471.4	10
147	iḥ bh → Ø bh	visarga	409	0.072	91.47	31	466.2	10
148	u ā → v ā	vowel coalescence	381	0.067	91.53	6	443.0	10
149	iḥ r → Ø r	visarga	384	0.067	91.6	31	437.7	10
150	m kh → ṃ kh	anusvāra / nasal	283	0.05	91.65	37	437.4	10
151	ḥ l → Ø l	visarga	374	0.065	91.72	38	434.6	10
152	as n → o n	consonant / other	465	0.081	91.8	36	430.1	10
153	e p → ava p	consonant / other	473	0.083	91.88	21	415.4	10
154	m ch → ṃ ch	anusvāra / nasal	265	0.046	91.93	37	409.6	10
155	as y → o y	consonant / other	438	0.077	92.0	36	405.1	10
156	as bh → o bh	consonant / other	438	0.077	92.08	36	405.1	10
157	ama s → e s	consonant / other	440	0.077	92.16	31	401.2	10
158	ḥ ś → Ø ś	visarga	338	0.059	92.22	38	392.8	10
159	t j → j j	consonant / other	587	0.103	92.32	1	388.8	10
160	ama m → e m	consonant / other	421	0.074	92.39	31	383.9	10
161	ḥ a → Ø a	visarga	327	0.057	92.45	38	380.0	10
162	ñ s → an s	consonant / other	428	0.075	92.53	18	370.2	10
163	ama p → e p	consonant / other	404	0.071	92.6	31	368.4	10
164	s c → ś c	consonant / other	520	0.091	92.69	2	363.4	10
165	ama v → e v	consonant / other	392	0.069	92.76	31	357.5	10
166	ñ p → an p	consonant / other	410	0.072	92.83	18	354.6	10
167	n j → ñ j	consonant / other	502	0.088	92.92	2	350.8	10
168	as a → o a	consonant / other	377	0.066	92.98	36	348.7	10
169	e aham → e 'haṃ	anusvāra / nasal	217	0.038	93.02	49	344.3	10
170	as g → o g	consonant / other	369	0.065	93.08	36	341.3	10
171	ī i → ī	vowel coalescence	313	0.055	93.14	2	328.1	10
172	n l → ṃl l	anusvāra / nasal	295	0.052	93.19	1	325.7	10
173	ḥ l → r l	visarga	284	0.05	93.24	30	322.7	10
174	d t → t t	consonant / other	404	0.071	93.31	8	322.3	10
175	e i → a i	vowel coalescence	266	0.047	93.36	9	322.1	10
176	t h → dd h	consonant / other	480	0.084	93.44	1	317.9	10
177	d m → n m	consonant / other	454	0.079	93.52	2	317.3	10
178	e a → avā	vowel coalescence	295	0.052	93.57	1	293.1	10
179	iḥ j → Ø j	visarga	250	0.044	93.62	31	285.0	10
180	a a → a	vowel coalescence	225	0.039	93.66	14	284.8	10
181	iḥ g → Ø g	visarga	249	0.044	93.7	31	283.8	10
182	iḥ b → Ø b	visarga	246	0.043	93.74	31	280.4	10
183	ī u → y u	vowel coalescence	247	0.043	93.79	4	276.0	10
184	ñ v → an v	consonant / other	319	0.056	93.84	18	275.9	10
185	iḥ dh → Ø dh	visarga	234	0.041	93.88	31	266.7	10
186	as aham → o 'haṃ	anusvāra / nasal	173	0.03	93.91	36	266.7	10
187	aḥ gh → o gh	visarga	199	0.035	93.95	136	259.4	10
188	a ū → o	vowel coalescence	214	0.037	93.98	8	256.1	10
189	u u → ū	vowel coalescence	226	0.04	94.02	4	252.5	10
190	au a → āv a	vowel coalescence	213	0.037	94.06	7	251.5	10
191	ḥ ch → ś ch	visarga	282	0.049	94.11	2	246.4	10
192	d n → n n	consonant / other	349	0.061	94.17	2	243.9	10
193	e s → ava s	consonant / other	277	0.048	94.22	21	243.3	10
194	ñ k → an k	consonant / other	276	0.048	94.27	18	238.7	10
195	ā a → m a	vowel coalescence	202	0.035	94.3	7	238.5	10
196	as j → o j	consonant / other	255	0.045	94.35	36	235.9	10
197	ama t → e t	consonant / other	257	0.045	94.39	31	234.4	10
198	ī a → y a	vowel coalescence	205	0.036	94.43	4	229.0	10
199	ama n → e n	consonant / other	250	0.044	94.47	31	228.0	10
200	iḥ h → Ø h	visarga	197	0.034	94.51	31	224.6	10
201	r s → ḥ s	consonant / other	281	0.049	94.56	7	221.2	10
202	ama k → e k	consonant / other	241	0.042	94.6	31	219.8	10
203	ama ś → e ś	consonant / other	235	0.041	94.64	31	214.3	10
204	ā p → ṃ p	anusvāra / nasal	138	0.024	94.66	19	200.0	10
205	as h → o h	consonant / other	214	0.037	94.7	36	197.9	10
206	aham t → 'haṃ t	anusvāra / nasal	135	0.024	94.73	21	197.6	10
207	ḥ ayam → ḥ 'yaṃ	visarga	178	0.031	94.76	22	196.3	10
208	ama b → e b	consonant / other	211	0.037	94.79	31	192.4	10
209	ama bh → e bh	consonant / other	209	0.037	94.83	31	190.6	10
210	t l → l l	consonant / other	287	0.05	94.88	1	190.1	10
211	s e → Ø e	consonant / other	238	0.042	94.92	6	184.5	10
212	as b → o b	consonant / other	199	0.035	94.96	36	184.1	10
213	ñ n → an n	consonant / other	210	0.037	94.99	18	181.6	10
214	ñ d → an d	consonant / other	210	0.037	95.03	18	181.6	10
215	ñ m → an m	consonant / other	208	0.036	95.07	18	179.9	10
216	ḥ ū → Ø ū	visarga	152	0.027	95.09	38	176.6	10
217	ḥ gh → r gh	visarga	155	0.027	95.12	30	176.1	10
218	ama d → e d	consonant / other	192	0.034	95.15	31	175.1	10
219	aḥ api → o 'py	visarga	134	0.023	95.18	136	174.7	10
220	e v → ava v	consonant / other	198	0.035	95.21	21	173.9	10
221	ā s → ṃ s	anusvāra / nasal	116	0.02	95.23	19	168.1	10
222	ā v → ṃ v	anusvāra / nasal	112	0.02	95.25	19	162.3	10
223	t ṛ → d ṛ	consonant / other	179	0.031	95.28	27	161.1	10
224	iḥ c → Ø c	visarga	141	0.025	95.31	31	160.7	10
225	aḥ abravīt → o 'bravīd	visarga	121	0.021	95.33	136	157.7	10
226	aham p → 'haṃ p	anusvāra / nasal	107	0.019	95.35	21	156.6	10
227	ñ y → an y	consonant / other	172	0.03	95.38	18	148.8	10
228	ḥ ṛ → Ø ṛ	visarga	128	0.022	95.4	38	148.8	10
229	ñ a → ann a	consonant / other	185	0.032	95.43	7	145.6	10
230	ā o → au	vowel coalescence	130	0.023	95.46	4	145.2	10
231	ama a → e '	consonant / other	158	0.028	95.48	31	144.1	10
232	m ṣ → ṃ ṣ	anusvāra / nasal	93	0.016	95.5	37	143.7	10
233	ayam m → 'yaṃ m	anusvāra / nasal	98	0.017	95.52	19	142.0	10
234	ḥ gh → Ø gh	visarga	121	0.021	95.54	38	140.6	10
235	d ś → cch	consonant / other	210	0.037	95.57	1	139.1	10
236	ā n → ṃ n	anusvāra / nasal	94	0.016	95.59	19	136.2	10
237	ama r → e r	consonant / other	148	0.026	95.62	31	135.0	10
238	iḥ r → ī r	visarga	136	0.024	95.64	7	133.8	10
239	ayam s → 'yaṃ s	anusvāra / nasal	92	0.016	95.66	19	133.3	10
240	i ī → ī	vowel coalescence	105	0.018	95.68	13	131.9	10
241	e u → a u	vowel coalescence	108	0.019	95.69	9	130.8	10
242	aham s → 'haṃ s	anusvāra / nasal	88	0.015	95.71	21	128.8	10
243	ayam v → 'yaṃ v	anusvāra / nasal	87	0.015	95.72	19	126.1	10
244	iḥ l → Ø l	visarga	110	0.019	95.74	31	125.4	10
245	r t → s t	consonant / other	189	0.033	95.78	1	125.2	10
246	r k → ḥ k	consonant / other	158	0.028	95.8	7	124.4	10
247	r c → ś c	consonant / other	185	0.032	95.84	1	122.5	10
248	k a → g a	consonant / other	141	0.025	95.86	16	120.6	10
249	ayam p → 'yaṃ p	anusvāra / nasal	83	0.015	95.88	19	120.3	10
250	as dh → o dh	consonant / other	130	0.023	95.9	36	120.2	10
251	ñ bh → an bh	consonant / other	134	0.023	95.92	18	115.9	10
252	ḥ ī → r ī	visarga	102	0.018	95.94	30	115.9	10
253	au i → āv i	vowel coalescence	97	0.017	95.96	7	114.5	10
254	ayam t → 'yaṃ t	anusvāra / nasal	79	0.014	95.97	19	114.5	10
255	uḥ r → ū r	visarga	137	0.024	96.0	1	113.4	10
256	au u → āv u	vowel coalescence	96	0.017	96.01	7	113.3	10
257	e k → ava k	consonant / other	129	0.023	96.03	21	113.3	10
258	ām s → īṃ s	anusvāra / nasal	77	0.013	96.05	20	112.2	10
259	iḥ a → Ø a	visarga	96	0.017	96.06	31	109.4	10
260	ā m → ṃ m	anusvāra / nasal	75	0.013	96.08	19	108.7	10
261	ama j → e j	consonant / other	116	0.02	96.1	31	105.8	10
262	ñ r → an r	consonant / other	121	0.021	96.12	18	104.7	10
263	t gh → d gh	consonant / other	116	0.02	96.14	27	104.4	10
264	ayam k → 'yaṃ k	anusvāra / nasal	72	0.013	96.15	19	104.4	10
265	ā d → ṃ d	anusvāra / nasal	72	0.013	96.16	19	104.4	10
266	ama y → e y	consonant / other	114	0.02	96.18	31	104.0	10
267	aham v → 'haṃ v	anusvāra / nasal	71	0.012	96.2	21	103.9	10
268	d j → j j	consonant / other	156	0.027	96.22	1	103.3	10
269	t ś → c ch	consonant / other	135	0.024	96.25	5	102.8	10
270	e anaghaiḥ → e 'nagha	visarga	86	0.015	96.26	49	102.3	10
271	ā t → ṃ t	anusvāra / nasal	69	0.012	96.28	19	100.0	10
272	e ā → av ā	vowel coalescence	98	0.017	96.29	1	97.4	10
273	ā ī → e	vowel coalescence	92	0.016	96.31	2	96.4	10
274	e d → ava d	consonant / other	109	0.019	96.33	21	95.7	10
275	e ā → a ā	vowel coalescence	79	0.014	96.34	9	95.7	10
276	aham m → 'haṃ m	anusvāra / nasal	64	0.011	96.35	21	93.7	10
277	api a → 'py a	consonant / other	125	0.022	96.37	4	93.1	10
278	d c → c c	consonant / other	126	0.022	96.4	3	91.3	10
279	e bh → ava bh	consonant / other	103	0.018	96.41	21	90.5	10
280	aham n → 'haṃ n	anusvāra / nasal	61	0.011	96.43	21	89.3	10
281	ā s → ī s	consonant / other	102	0.018	96.44	20	89.1	10
282	e c → ava c	consonant / other	101	0.018	96.46	21	88.7	10
283	ā k → ṃ k	anusvāra / nasal	61	0.011	96.47	19	88.4	10
284	ḥ aham → ḥ 'haṃ	visarga	80	0.014	96.49	22	88.2	10
285	aham bh → 'haṃ bh	anusvāra / nasal	59	0.01	96.5	21	86.4	10
286	e r → ava r	consonant / other	95	0.017	96.51	21	83.4	10
287	e m → ava m	consonant / other	95	0.017	96.53	21	83.4	10
288	aham k → 'haṃ k	anusvāra / nasal	56	0.01	96.54	21	82.0	10
289	ām t → īṃ t	anusvāra / nasal	56	0.01	96.55	20	81.6	10
290	ayam n → 'yaṃ n	anusvāra / nasal	56	0.01	96.56	19	81.2	10
291	ā c → ṃ c	anusvāra / nasal	56	0.01	96.57	19	81.2	10
292	ñ t → aṃs t	anusvāra / nasal	73	0.013	96.58	1	80.6	10
293	e t → ava t	consonant / other	91	0.016	96.6	21	79.9	10
294	aḥ agniḥ → o 'gnir	visarga	61	0.011	96.61	136	79.5	10
295	e e → a	vowel coalescence	65	0.011	96.62	9	78.7	10
296	ām v → īṃ v	anusvāra / nasal	54	0.009	96.63	20	78.7	10
297	ñ b → an b	consonant / other	89	0.016	96.64	18	77.0	10
298	ñ g → an g	consonant / other	87	0.015	96.66	18	75.3	10
299	aham b → 'haṃ b	anusvāra / nasal	51	0.009	96.67	21	74.6	10
300	ant a → ān a	consonant / other	84	0.015	96.68	20	73.4	10
301	aham d → 'haṃ d	anusvāra / nasal	50	0.009	96.69	21	73.2	10
302	aḥ abhūt → o 'bhūd	visarga	56	0.01	96.7	136	73.0	10
303	ḥ ṛ → r ṛ	visarga	64	0.011	96.71	30	72.7	10
304	r ś → ḥ ś	consonant / other	91	0.016	96.73	7	71.6	10
305	n a → nn a	consonant / other	94	0.016	96.75	5	71.6	10
306	ṇām c → nāṃ c	anusvāra / nasal	51	0.009	96.75	13	71.2	10
307	ayam d → 'yaṃ d	anusvāra / nasal	49	0.009	96.76	19	71.0	10
308	ayam bh → 'yaṃ bh	anusvāra / nasal	49	0.009	96.77	19	71.0	10
309	as l → o l	consonant / other	76	0.013	96.78	36	70.3	10
310	ām p → īṃ p	anusvāra / nasal	48	0.008	96.79	20	69.9	10
311	ama h → e h	consonant / other	75	0.013	96.81	31	68.4	10
312	tīm s → ntīṃ s	anusvāra / nasal	48	0.008	96.81	15	68.0	10
313	aḥ abhavat → o 'bhavad	visarga	50	0.009	96.82	136	65.2	10
314	m naḥ → m asmākaṃ	visarga	63	0.011	96.83	11	64.9	10
315	s v → r v	consonant / other	74	0.013	96.85	17	63.6	10
316	s a → r a	consonant / other	72	0.013	96.86	17	61.9	10
317	k v → g v	consonant / other	72	0.013	96.87	16	61.6	10
318	ā ā → m ā	vowel coalescence	52	0.009	96.88	7	61.4	10
319	ām m → īṃ m	anusvāra / nasal	42	0.007	96.89	20	61.2	10
320	dh p → t p	consonant / other	81	0.014	96.9	4	60.3	10
321	ama g → e g	consonant / other	66	0.012	96.91	31	60.2	10
322	aham y → 'haṃ y	anusvāra / nasal	41	0.007	96.92	21	60.0	10
323	i ṛ → y ṛ	vowel coalescence	49	0.009	96.93	10	60.0	10
324	c a → g a	consonant / other	71	0.012	96.94	13	59.5	10
325	ant i → ān i	consonant / other	68	0.012	96.95	20	59.4	10
326	aḥ atividdhaḥ → o 'tividdho	visarga	45	0.008	96.96	136	58.7	10
327	t ū → d ū	consonant / other	64	0.011	96.97	27	57.6	10
328	ām k → īṃ k	anusvāra / nasal	39	0.007	96.98	20	56.8	10
329	s a → s '	consonant / other	81	0.014	96.99	2	56.6	10
330	ayam y → 'yaṃ y	anusvāra / nasal	39	0.007	97.0	19	56.5	10
331	i ū → y ū	vowel coalescence	46	0.008	97.01	10	56.3	10
332	ḥ ch → Ø ch	visarga	48	0.008	97.02	38	55.8	10
333	ām d → īṃ d	anusvāra / nasal	38	0.007	97.02	20	55.4	10
334	e n → ava n	consonant / other	63	0.011	97.04	21	55.3	10
335	ī ā → y ā	vowel coalescence	49	0.009	97.04	4	54.7	10
336	ñ h → an h	consonant / other	63	0.011	97.06	18	54.5	10
337	m _ → ṃ _	anusvāra / nasal	35	0.006	97.06	37	54.1	10
338	ñ dh → an dh	consonant / other	62	0.011	97.07	18	53.6	10
339	e ś → ava ś	consonant / other	61	0.011	97.08	21	53.6	10
340	ñ ā → ann ā	consonant / other	68	0.012	97.09	7	53.5	10
341	ant p → ān p	consonant / other	60	0.011	97.11	20	52.4	10
342	ā ū → o	vowel coalescence	50	0.009	97.11	2	52.4	10
343	ā y → ṃ y	anusvāra / nasal	36	0.006	97.12	19	52.2	10
344	ā r → ṃ r	anusvāra / nasal	36	0.006	97.13	19	52.2	10
345	aḥ anyaḥ → o 'nyo	visarga	40	0.007	97.13	136	52.1	10
346	d h → dd h	consonant / other	78	0.014	97.15	1	51.7	10
347	m c → a c	anusvāra / nasal	36	0.006	97.15	17	51.6	10
348	e i → ave	vowel coalescence	49	0.009	97.16	2	51.4	10
349	ām ś → īṃ ś	anusvāra / nasal	35	0.006	97.17	20	51.0	10
350	ā e → m e	vowel coalescence	43	0.008	97.18	7	50.8	10
351	s u → Ø u	consonant / other	65	0.011	97.19	6	50.4	10
352	aham ś → 'haṃ ś	anusvāra / nasal	34	0.006	97.19	21	49.8	10
353	ā u → m u	vowel coalescence	42	0.007	97.2	7	49.6	10
354	ā ś → ṃ ś	anusvāra / nasal	34	0.006	97.21	19	49.3	10
355	ā bh → ī bh	consonant / other	56	0.01	97.22	20	48.9	10
356	ant v → ān v	consonant / other	56	0.01	97.23	20	48.9	10
357	ama dh → e dh	consonant / other	53	0.009	97.24	31	48.3	10
358	aḥ naḥ → o 'smākaṃ	visarga	37	0.006	97.24	136	48.2	10
359	ām g → īṃ g	anusvāra / nasal	33	0.006	97.25	20	48.1	10
360	k e → g e	consonant / other	56	0.01	97.26	16	47.9	10
361	au v → yāṃ v	anusvāra / nasal	34	0.006	97.26	13	47.5	10
362	k ā → g ā	consonant / other	55	0.01	97.27	16	47.0	10
363	tīm t → ntīṃ t	anusvāra / nasal	33	0.006	97.28	15	46.7	10
364	e a → e'	vowel coalescence	47	0.008	97.29	1	46.7	10
365	a → n a	vowel coalescence	47	0.008	97.3	1	46.7	10
366	ā p → ī p	consonant / other	53	0.009	97.3	20	46.3	10
367	au e → āv e	vowel coalescence	39	0.007	97.31	7	46.0	10
368	e ayam → e 'yaṃ	anusvāra / nasal	29	0.005	97.32	49	46.0	10
369	m s → a s	anusvāra / nasal	32	0.006	97.32	17	45.9	10
370	ām c → īṃ c	anusvāra / nasal	31	0.005	97.33	20	45.2	10
371	t ī → d ī	consonant / other	50	0.009	97.34	27	45.0	10
372	āt s → ataḥ s	consonant / other	60	0.011	97.35	4	44.7	10
373	ḥ a → n a	visarga	41	0.007	97.35	19	44.6	10
374	ḥ ī → Ø ī	visarga	38	0.007	97.36	38	44.2	10
375	c m → ṅ m	consonant / other	63	0.011	97.37	2	44.0	10
376	ama a → e a	consonant / other	48	0.008	97.38	31	43.8	10
377	ā c → ī c	consonant / other	50	0.009	97.39	20	43.7	10
378	ā k → ī k	consonant / other	50	0.009	97.4	20	43.7	10
379	ñ i → ann i	consonant / other	54	0.009	97.41	7	42.5	10
380	ā h → ṃ h	anusvāra / nasal	29	0.005	97.41	19	42.0	10
381	abravīt v → 'bravīd v	consonant / other	52	0.009	97.42	9	42.0	10
382	t ś → c ś	consonant / other	55	0.01	97.43	5	41.9	10
