locus_prefix	fold	work_key	display	era	date_range	via	tier	reason	flags	notes	n_rows
ŚABDAKALPADRUMA (GILD. Bibl.	sabdakalpadruma gild bibl	sabdakalpadruma	Śabdakalpadruma	late-medieval	19th c. CE (terminus ceiling)	hand:class	hand	Rādhākānta Deva's kośa, 19th-c. compile; MG ruling 03-09-2026 (H4019 addendum §1): PWG citations give only a recent terminus — dated late-medieval CEILING with low attestation value	terminus-ceiling,low_value	same discount class as anthologies (H4019 addendum)	1180
RĀJATARAṄGIṆĪ	rajatarangini	rajatarangini		early-medieval		dharmamitra	seed	H4016 hand-checked seed call via the Dharmamitra chronology			1172
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			1116
ŚĀKUNTALA	sakuntala	sakuntala		classical		hand:class	seed	H4016 hand-checked seed call (hand:class)			1077
TRIKĀṆḌAŚEṢA	trikandasesa	trikandasesa		classical		dharmamitra	seed	H4016 hand-checked seed call via the Dharmamitra chronology			1027
MĀRKĀṆḌEYAPURĀṆA in der Bibliotheca indi	markandeyapurana in der bibliotheca indi	markandeyapurana		classical		dharmamitra	seed	H4016 hand-checked seed call via the Dharmamitra chronology			802
KĀTYĀYANA'S ŚRAUTASŪTRĀṆI. 26 Adhyāya. H	katyayana s srautasutrani 26 adhyaya h	katyayana-srautasutra	Kātyāyana-Śrautasūtra	epic-sutra	c. 4th..3rd c. BCE	hand:class	hand	śrautasūtra genre; standard dating c. 4th-3rd c. BCE (same genre anchor as the seed's ŚĀṄKH. ŚR. call)		seed left no-rule	693
WEBER'S Indische Studien.	weber s indische studien	weber s indische studien				modern-ref	seed	H4016 hand-checked seed call (modern-ref)			691
VĀJASANEYISAM̃HITĀ. The VĀYASANEYI-SANHI	vajasaneyisamhita the vayasaneyi sanhi	vajasaneyisamhita the vayasaneyi sanhi		vedic		dcs	seed	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)			612
HALĀYUDHA	halayudha	halayudha		early-medieval		hand:class	seed	H4016 hand-checked seed call (hand:class)			584
AITAREYABRĀHMAṆA. Citirt nach den 8 Pañc	aitareyabrahmana citirt nach den 8 panc	aitareyabrahmana citirt nach den 8 panc		vedic		dcs	seed	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)			547
HITOPADEŚA	hitopadesa	hitopadesa		early-medieval		dharmamitra	seed	H4016 hand-checked seed call via the Dharmamitra chronology			541
TAITTIRĪYASAM̃HITĀ. 7 Kāṇḍa	taittiriyasamhita 7 kanda	taittiriyasamhita 7 kanda		vedic		dcs	seed	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)			536
YĀJÑAVALKYA'S Gesetzbuch. Sanskrit und D	yajnavalkya s gesetzbuch sanskrit und d	yajnavalkya s gesetzbuch sanskrit und d		classical		dharmamitra	seed	H4016 hand-checked seed call via the Dharmamitra chronology			491
BHAGAVADGĪTĀ	bhagavadgita	bhagavadgita		epic-sutra		dharmamitra	seed	H4016 hand-checked seed call via the Dharmamitra chronology			469
NALOPĀKHYĀNA in BÖHTLINGK'S Chrestomathi	nalopakhyana in bohtlingk s chrestomathi	nalopakhyana	Nalopākhyāna	epic-sutra	epic (MBh stratum)	hand:class	hand	Nala episode of the Mahābhārata; PWG cites Böhtlingk's Chrestomathie — text date, not edition date (same pattern as the seed's HARIVAṂŚA im 4ten Bande des MBH call)		net-new; cited via a modern chrestomathy	459
SĀHITYADARPAṆA	sahityadarpana	sahityadarpana		late-medieval		dharmamitra	seed	H4016 hand-checked seed call via the Dharmamitra chronology			409
RĀJANIRGHAṆṬA	rajanirghanta	rajanighantu	Rājanighaṇṭu			hand:disputed	hand	medieval nighaṇṭu; dating uncertain (13th-15th c. proposals) — never forced		seed left no-rule	404
MEGHADŪTA	meghaduta	meghaduta		classical		dcs	seed	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)			401
KUMĀRASAM̃BHAVA	kumarasambhava	kumarasambhava		classical		dcs	seed	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)			383
VIṢṆUPURĀṆA. Es wird die WILSON'sche Ueb	visnupurana es wird die wilson sche ueb	visnupurana es wird die wilson sche ueb		classical		dharmamitra	seed	H4016 hand-checked seed call via the Dharmamitra chronology			367
PRABODHACANDRODAYA	prabodhacandrodaya	prabodhacandrodaya		early-medieval		hand:class	seed	H4016 hand-checked seed call (hand:class)			364
SŪRYASIDDHĀNTA	suryasiddhanta	suryasiddhanta	Sūryasiddhānta	early-medieval	extant recension c. 4th..9th c.	dharmamitra	hand	DM anchor: extant recension c. 4th-9th c. CE; older core disputed	recension-terminus	the extant recension is what PWG cites	349
VOPADEVA'S Grammatik	vopadeva s grammatik	vopadeva	Vopadeva's grammar (Mugdhabodha)	early-medieval	c. mid-13th c.	hand:class	hand	Vopadeva's Mugdhabodha, c. mid-13th c. — before the 1300 early/late-medieval boundary used throughout this layer		seed left no-rule; extended	347
TAITTIRĪYABRĀHMAṆA.	taittiriyabrahmana	taittiriyabrahmana		vedic		hand:class	seed	H4016 hand-checked seed call (hand:class)			331
MAHĀBHĀRATA	mahabharata	mahabharata		epic-sutra		dcs	seed	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)			325
PRĀTIŚĀKHYA zun ṚGVEDA	pratisakhya zun rgveda	rgveda-pratisakhya	Ṛgveda-Prātiśākhya	epic-sutra	late Vedic / sūtra transition	hand:class	hand	prātiśākhya genre (vedāṅga), late-Vedic/sūtra transition; standard dating within the sūtra period		seed left no-rule	324
KAUŚIKA'S SŪTRA zum ATHARVAVEDA. 14 Adhy	kausika s sutra zum atharvaveda 1 adhy	kausika s sutra zum atharvaveda 1 adhy		vedic		dcs	seed	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)			291
YĀSKA'S NIRUKTA sammt den NIGHAṆṬAVA'S h	yaska s nirukta sammt den nighantava s h	nirukta	Nirukta (Yāska) with the Nighaṇṭus	epic-sutra	5th..3rd c. BCE	hand:class	hand	Yāska's Nirukta (vedāṅga) with the Nighaṇṭus; standard dating 5th-3rd c. BCE — post-Vedic, pre-classical bucket		seed left no-rule (unresolved locus 'das')	291
COLEBROOKE'S Miscellaneous Essays. 2 Bän	colebrooke s miscellaneous essays 2 ban	colebrooke-essays	Colebrooke's Miscellaneous Essays			modern-ref	hand	Colebrooke's collected essays — modern scholarship apparatus, not a work stratum			251
CHĀNDOGYOPANIṢAD	chandogyopanisad	chandogyopanisad		vedic		dcs	seed	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)			248
VIKRAMORVAŚĪ	vikramorvasi	vikramorvasi		classical		hand:class	seed	H4016 hand-checked seed call (hand:class)			248
ŚĀṄKHĀYANA'S ŚRAUTASŪTRĀṆI.	sankhayana s srautasutrani	sankhayana s srautasutrani		epic-sutra		hand:class	seed	H4016 hand-checked seed call (hand:class)			237
LĀṬYĀYANA'S SŪTRA zum SV. Hdschr.	latyayana s sutra zum sv hdschr	latyayana-srautasutra	Lāṭyāyana-Śrautasūtra	epic-sutra	sūtra period	hand:class	hand	śrautasūtra genre (on the Sāmaveda); standard dating within the sūtra period		same genre anchor as the seed's ŚĀṄKH. ŚR. call	235
BHAṬṬIKĀVYA	bhattikavya	bhattikavya		classical		dharmamitra	seed	H4016 hand-checked seed call via the Dharmamitra chronology			230
ed. Bomb	ed bomb	ed bomb				edition-siglum	seed	H4016 hand-checked seed call (edition-siglum)			221
WEBER'S Verzeichniss der Berliner Sanskr	weber s verzeichniss der berliner sanskr	weber-verzeichnis	Weber's Verzeichniss (Berlin catalogue)			modern-ref	hand	Weber's catalogue of Berlin MSS — modern reference apparatus			219
ĀŚVALĀYANA'S GṚHYASŪTRĀṆI in 4 Adhyāya.	asvalayana s grhyasutrani in adhyaya	asvalayana s grhyasutrani in adhyaya		epic-sutra		hand:class	seed	H4016 hand-checked seed call (hand:class)			215
PAÑCARATNA ? [Cologne Addition]	pancaratna cologne addition	pancaratna cologne addition				hand:ambiguous	seed	H4016 hand-checked seed call (hand:ambiguous)			214
ŚABDARATNĀVALĪ	sabdaratnavali	sabdaratnavali	Śabdaratnāvalī			hand:disputed	hand	kośa; dating uncertain — never forced			211
BṚHADĀRAṆYAKOPANIṢAD	brhadaranyakopanisad	brhadaranyakopanisad	Bṛhadāraṇyakopaniṣad	vedic	-699..-499	dcs	hand	late-Vedic Upaniṣad; DCS date table BĀU -699..-499 (the pin both probes used for Chānd./Bṛh. Āraṇyaka strata)			206
MṚCCHAKAṬIKĀ	mrcchakatika	mrcchakatika	Mṛcchakaṭikā			hand:disputed	hand	Śūdraka: dating contested (2nd c. BCE - 5th c. CE proposals) — never forced		net-new canon text (no seed call)	201
DAŚAKUMĀRACARITA	dasakumaracarita	dasakumaracarita		classical		dharmamitra	seed	H4016 hand-checked seed call via the Dharmamitra chronology			194
VETĀLAPAÑCAVIṂŚATI in LASSEN'S Anthologi	vetalapancavimsati in lassen s anthologi	vetalapancavimsati in lassen s anthologi				hand:recension	seed	H4016 hand-checked seed call (hand:recension)			194
Geschichte des VIDŪṢAKA in BÖHTLINGK'S C	geschichte des vidusaka in bohtlingk s c	vidusaka-geschichte	Böhtlingk, Geschichte des Vidūṣaka			modern-ref	hand	Böhtlingk's modern monograph on the Vidūṣaka — scholarship, not a citable text stratum			184
ĀŚVALĀYANA'S ŚRAUTASŪTRĀṆI in 12 Adhyāya	asvalayana s srautasutrani in 12 adhyaya	asvalayana-srautasutra	Āśvalāyana-Śrautasūtra	epic-sutra	sūtra period	hand:class	hand	śrautasūtra genre; standard dating within the sūtra period (same genre anchor as the seed's ŚĀṄKH. ŚR. call)			179
MĀLAVIKĀGNIMITRA	malavikagnimitra	malavikagnimitra		classical		hand:class	seed	H4016 hand-checked seed call (hand:class)			153
PAÑCAVIṂŚABRĀHMAṆA.	pancavimsabrahmana	pancavimsabrahmana	Pañcaviṃśa-Brāhmaṇa (Tāṇḍya)	vedic	late-Vedic brāhmaṇa	hand:class	hand	brāhmaṇa genre — vedic by definition (Tāṇḍya-mahābrāhmaṇa, one of the later brāhmaṇas)			151
WILSON'S Wörterbuch (GILD. Bibl.	wilson s worterbuch gild bibl	wilson-wordlist	Wilson's dictionary (Gildemeister Bibl.)			modern-ref	hand	H. H. Wilson's 19th-c. Sanskrit-English dictionary — modern reference, only a recent terminus	terminus-ceiling,low_value		148
ŚIŚUPĀLAVADHA	sisupalavadha	sisupalavadha	Śiśupālavadha	early-medieval	c. late 7th–early 8th century CE	dharmamitra	canon_dm	DM anchor: c. late 7th-early 8th c. CE		net-new (no seed call)	146
GĪTAGOVINDA	gitagovinda	gitagovinda		early-medieval		dcs	seed	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)			143
BHARTṚHARI	bhartrhari	bhartrhari	Bhartṛhari (Vākyapadīya)	classical	c. 5th..6th c. CE	hand:class	hand	Bhartṛhari's Vākyapadīya, c. 5th-6th c. CE (standard core attribution; bucket classical across the 5th-7th c. spread)			141
BENFEY' Chrestomathie aus Sanskritwerken	benfey chrestomathie aus sanskritwerken	benfey-chrestomathie	Benfey's Chrestomathie			modern-ref	hand	Theodor Benfey's 19th-c. chrestomathy — modern edition apparatus			132
SĀṂKHYAKĀRIKĀ	samkhyakarika	samkhyakarika	Sāṃkhyakārikā	classical	c. 4th..6th c. CE	hand:class	hand	Īśvarakṛṣṇa's Sāṃkhyakārikā; standard dating c. 4th-6th c. CE — bucket classical			126
PRĀTIŚĀKHYA zur VĀJASANEYISAM̃HITĀ	pratisakhya zur vajasaneyisamhita	vajasaneyi-pratisakhya	Vājasaneyi-Prātiśākhya	epic-sutra	late Vedic / sūtra transition	hand:class	hand	prātiśākhya genre (vedāṅga); same anchor as Ṛgveda-Prātiśākhya			119
A rational refutation of the Hindu philo	a rational refutation of the hindu philo	a rational refutation of the hindu philo				modern-ref	seed	H4016 hand-checked seed call (modern-ref)			115
ŚAṂKARA (ein Scholiast des ŚĀKUNTALA) un	samkara ein scholiast des sakuntala un					no-match	no-match	no curated identity matches this resolved locus			108
KIRĀTĀRJUNĪYA	kiratarjuniya	kiratarjuniya		classical		dcs	seed	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)			107
RGYA TCH'ER ROL PA (LALITAVISTĀRA) ou Dé	rgya tch er rol pa lalitavistara ou de	lalitavistara	Lalitavistara (Foucaux's ed.)			hand:recension	hand	PWG cites Foucaux's French rendering of the late Nepalese recension; the core text is far earlier but recension-dependent — never forced	recension-terminus		107
ṚTUSAM̃HĀRA	rtusamhara	rtusamhara	Ṛtusaṃhāra			hand:disputed	hand	attributed to Kālidāsa; authorship and dating both contested — never forced			103
DHŪRTASAMĀGAMA in LASSEN'S Anthologie (G	dhurtasamagama in lassen s anthologie g	dhurtasamagama in lassen s anthologie g				hand:disputed	seed	H4016 hand-checked seed call (hand:disputed)			103
das	das					no-match	no-match	no curated identity matches this resolved locus			101
RATNAMĀLĀ	ratnamala	ratnamala				hand:disputed	seed	H4016 hand-checked seed call (hand:disputed)			100
ŚVETĀŚVATAROPANIṢAD in der Bibliotheca i	svetasvataropanisad in der bibliotheca i	svetasvataropanisad in der bibliotheca i		epic-sutra		hand:class	seed	H4016 hand-checked seed call (hand:class)			100
KULLŪKA	kulluka	kulluka	Kullūka Bhaṭṭa (commentary apparatus)	late-medieval	15th c.	hand:class	hand	Kullūka Bhaṭṭa's Manu-commentary, 15th c.; a commentator's date attests the SENSE's use in his commentary, not the commented text		net-new canon text (no seed call)	100
KAPILA (The Aphorisms of the Sánkhya Phi	kapila the aphorisms of the sankhya phi	kapila-samkhyasutra	Sāṃkhyasūtra (attributed Kapila)			hand:disputed	hand	attributed to Kapila; dating extremely contested (c. 350-1400 CE proposals) — never forced			99
HĀRĀVALĪ	haravali	haravali	Hārāvalī			hand:disputed	hand	kośa; dating uncertain — never forced			96
GOBHILA'S GṚHYASŪTRA; nach Mittheilungen	gobhila s grhyasutra nach mittheilungen	gobhila-grhyasutra	Gobhila-Gṛhyasūtra	epic-sutra	sūtra period	hand:class	hand	gṛhyasūtra genre; standard dating within the sūtra period			95
PRĀTIŚĀKHYA zum ATHARVAVEDA. Citirt nach	pratisakhya zum atharvaveda citirt nach	atharvana-pratisakhya	Atharvaveda-Prātiśākhya	epic-sutra	late Vedic / sūtra transition	hand:class	hand	prātiśākhya genre (vedāṅga)			94
WEBER	weber					no-match	no-match	no curated identity matches this resolved locus			94
VAIJAYANTĪ	vaijayanti	vaijayanti	Vaijayantī (kośa)			hand:disputed	hand	kośa attributed to Amaracandra; dating uncertain — never forced			93
ebend	ebend					no-match	no-match	no curated identity matches this resolved locus			93
ŚĀṄKHĀYANA'S GṚHYASŪTRĀṆI.	sankhayana s grhyasutrani					no-match	no-match	no curated identity matches this resolved locus			83
VARĀHAMIHIRA'S BṚHAJJĀTAKA. [Pagè-a+ 33]	varahamihira s brhajjataka page a 33					no-match	no-match	no curated identity matches this resolved locus			82
KĀṬHAKA-Recension des YĀJ. V.	kathaka recension des yaj v					no-match	no-match	no curated identity matches this resolved locus			81
KAṬHOPANIṢAD in der Bibliotheca indica.	kathopanisad in der bibliotheca indica					no-match	no-match	no curated identity matches this resolved locus			79
PĀRASKARA'S GṚHYASŪTRĀṆI.	paraskara s grhyasutrani	parskaragrhyasutra	Pāraskara-Gṛhyasūtra	epic-sutra	sūtra period	hand:class	hand	gṛhyasūtra genre; standard dating within the sūtra period (same genre anchor as the seed's ĀŚV. GṚHY. call)		seed left no-rule; genre-secure, so extended	79
BRAHMAPURĀṆA in LASSEN'S Anthologie (GIL	brahmapurana in lassen s anthologie gil					no-match	no-match	no curated identity matches this resolved locus			78
LASSEN'S Anthologie (GILD. Bibl.	lassen s anthologie gild bibl					no-match	no-match	no curated identity matches this resolved locus			77
Zeitschrift der Deutschen morgenländisch	zeitschrift der deutschen morgenlandisch					no-match	no-match	no curated identity matches this resolved locus			76
A contribution towards an index to the B	a contribution towards an index to the b	a contribution towards an index to the b				modern-ref	seed	H4016 hand-checked seed call (modern-ref)			75
SIDDHĀNTAKAUMUDĪ	siddhantakaumudi					no-match	no-match	no curated identity matches this resolved locus			72
ŚABDACANDRIKĀ	sabdacandrika					no-match	no-match	no curated identity matches this resolved locus			71
ŚRUTABODHA in der Zeitschrift für die Ku	srutabodha in der zeitschrift fur die ku	srutabodha	Śrutabodha			hand:disputed	hand	attributed to Kālidāsa; dating genuinely unknown — never forced (H4016 discipline); the PWG loci are journal editions, which would not date the text either		net-new canon text (no seed call)	69
HIḌIMBAVADHA in BOPP'S Ardschuna's Reise	hidimbavadha in bopp s ardschuna s reise					no-match	no-match	no curated identity matches this resolved locus			68
A Lecture on the Vedánta	a lecture on the vedanta					no-match	no-match	no curated identity matches this resolved locus			67
TAITTIRĪYOPANIṢAD ? [Cologne Addition]	taittiriyopanisad cologne addition					no-match	no-match	no curated identity matches this resolved locus			65
BURNOUF	burnouf	burnouf				modern-ref	seed	H4016 hand-checked seed call (modern-ref)			65
LASSEN'S Indische Alterthumskunde.	lassen s indische alterthumskunde	lassen s indische alterthumskunde				modern-ref	seed	H4016 hand-checked seed call (modern-ref)			64
Algebra	algebra					no-match	no-match	no curated identity matches this resolved locus			64
DAŚARATHA'S Tod in BÖHTLINGK'S Chrestoma	dasaratha s tod in bohtlingk s chrestoma					no-match	no-match	no curated identity matches this resolved locus			64
ŚĀṄKHĀYANA'S BRĀHMAṆA.	sankhayana s brahmana					no-match	no-match	no curated identity matches this resolved locus			63
SĀYAṆA.	sayana	sayana	Sāyaṇa (commentary apparatus)	late-medieval	d. 1387	hand:class	hand	Sāyaṇa (d. 1387), Vedic commentaries; commentator-date semantics as for Kullūka		net-new canon text (no seed call)	62
В. Васильевъ. Буддизмъ						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			61
SAM̃HITĀ des ŚĀRṄGADHARA. Bombai 1853. C	samhita des sarngadhara bombai 183 c					no-match	no-match	no curated identity matches this resolved locus			61
AMARUŚATAKA nach der Calc. Ausg. (GILD.	amarusataka nach der calc ausg gild					no-match	no-match	no curated identity matches this resolved locus			60
PATAÑJALI	patanjali	patanjali		epic-sutra		hand:class	seed	H4016 hand-checked seed call (hand:class)			59
VIŚVĀMITRA'S Kampf in BÖHTLINGK'S Chrest	visvamitra s kampf in bohtlingk s chrest					no-match	no-match	no curated identity matches this resolved locus			58
ed. Calc	ed calc	ed calc				edition-siglum	seed	H4016 hand-checked seed call (edition-siglum)			57
JAṬĀDHARA	jatadhara					no-match	no-match	no curated identity matches this resolved locus			57
VĀLAKHILYA	valakhilya					no-match	no-match	no curated identity matches this resolved locus			57
VYUTPATTI oder MAHĀVYUTPATTI (s. Mél. as	vyutpatti oder mahavyutpatti s mel as					no-match	no-match	no curated identity matches this resolved locus			54
MUṆḌAKOPANIṢAD in der Bibliotheca indica	mundakopanisad in der bibliotheca indica					no-match	no-match	no curated identity matches this resolved locus			50
BRĀHMAṆAVILĀPA in BOPP'S Ardschuna's Rei	brahmanavilapa in bopp s ardschuna s rei					no-match	no-match	no curated identity matches this resolved locus			49
ŚUKASAPTATI in LASSEN'S Anthologie (GILD	sukasaptati in lassen s anthologie gild	sukasaptati in lassen s anthologie gild				hand:recension	seed	H4016 hand-checked seed call (hand:recension)			49
A Lecture on the Sánkhya Philosophy	a lecture on the sankhya philosophy					no-match	no-match	no curated identity matches this resolved locus			48
ŚATRUM̃JAYAMĀHĀTMYA	satrumjayamahatmya					no-match	no-match	no curated identity matches this resolved locus			48
BHĀṢĀPARICCHEDA nach der Ausgabe von RÖE	bhasapariccheda nach der ausgabe von roe	bhasapariccheda	Bhāṣāpariccheda	late-medieval	17th c.	hand:class	hand	Viśvanātha Pañcānana's Bhāṣāpariccheda, 17th c.		net-new canon text (no seed call)	48
ARJUNASAMĀGAMA	arjunasamagama					no-match	no-match	no curated identity matches this resolved locus			46
DHARAṆĪKOṢA	dharanikosa					no-match	no-match	no curated identity matches this resolved locus			46
ebend.	ebend					no-match	no-match	no curated identity matches this resolved locus			46
CAURAPAÑCĀŚIKĀ	caurapancasika					no-match	no-match	no curated identity matches this resolved locus			46
VIDYĀNĀTHA'S PRATĀPARUDRĪYAM ALAM̃KĀRAŚĀ	vidyanatha s prataparudriyam alamkarasa					no-match	no-match	no curated identity matches this resolved locus			45
KĀŚIKĀVṚTTI; s. die Einleitung zu BÖHTLI	kasikavrtti s die einleitung zu bohtli					no-match	no-match	no curated identity matches this resolved locus			43
Journal of the American Oriental Society	journal of the american oriental society					no-match	no-match	no curated identity matches this resolved locus			43
BHARATA	bharata					no-match	no-match	no curated identity matches this resolved locus			42
The Daśa-Rūpa	the dasa rupa					no-match	no-match	no curated identity matches this resolved locus			40
INDRALOKĀGAMANA in BOPP'S Ardschuna's Re	indralokagamana in bopp s ardschuna s re					no-match	no-match	no curated identity matches this resolved locus			40
PRAŚNOPANIṢAD	prasnopanisad	prasnopanisad		epic-sutra		hand:class	seed	H4016 hand-checked seed call (hand:class)			40
DRAUPADĪPRAMĀTHA	draupadipramatha					no-match	no-match	no curated identity matches this resolved locus			40
SĀVITRYUPĀKHYĀNA	savitryupakhyana					no-match	no-match	no curated identity matches this resolved locus			40
SUNDOPASUNDOPĀKHYĀNA	sundopasundopakhyana					no-match	no-match	no curated identity matches this resolved locus			39
MALLINĀTHA.	mallinatha	mallinatha	Mallinātha Sūri (commentary apparatus)	late-medieval	14th..15th c.	hand:class	hand	Mallinātha's kāvya commentaries, 14th-15th c.		net-new canon text (no seed call)	38
KAUṢĪTAKYUPANIṢAD.	kausitakyupanisad	kausitakyupanisad		epic-sutra		hand:class	seed	H4016 hand-checked seed call (hand:class)			38
Prooemium im HIT.	prooemium im hit					no-match	no-match	no curated identity matches this resolved locus			38
NAIṢADHACARITA	naisadhacarita					no-match	no-match	no curated identity matches this resolved locus			37
TAITTIRĪYĀRAṆYAKA.	taittiriyaranyaka					no-match	no-match	no curated identity matches this resolved locus			37
VARĀHAMIHIRA'S LAGHUJĀTAKA.	varahamihira s laghujataka					no-match	no-match	no curated identity matches this resolved locus			36
MUIR	muir					no-match	no-match	no curated identity matches this resolved locus			36
CHEZY'S Ausgabe des ŚĀKUNTALA (GILD. Bib	chezy s ausgabe des sakuntala gild bib					no-match	no-match	no curated identity matches this resolved locus			34
GORRESIO.	gorresio	gorresio				edition-siglum	seed	H4016 hand-checked seed call (edition-siglum)			33
YOGASŪTRA (The Aphorisms of the Yoga Phi	yogasutra the aphorisms of the yoga phi					no-match	no-match	no curated identity matches this resolved locus			33
ṢAḌVIṂŚABRĀHMAṆA.	sadvimsabrahmana					no-match	no-match	no curated identity matches this resolved locus			30
Histoire de la vie de HIOUEN-THSANG et d	histoire de la vie de hiouen thsang et d					no-match	no-match	no curated identity matches this resolved locus			29
JAIMINI (The Aphorisms of the Mímánsá Ph	jaimini the aphorisms of the mimansa ph					no-match	no-match	no curated identity matches this resolved locus			28
NIGHAṆṬA PRAKĀŚA von BĀPŪ GAṄGĀDHARA. Bo	nighanta prakasa von bapu gangadhara bo					no-match	no-match	no curated identity matches this resolved locus			27
ŚABDAMĀLĀ	sabdamala					no-match	no-match	no curated identity matches this resolved locus			26
ŚIVANĀMASAHASRA	sivanamasahasra					no-match	no-match	no curated identity matches this resolved locus			25
= ? [Cologne Addition]	cologne addition					no-match	no-match	no curated identity matches this resolved locus			25
DHĀTUPĀṬHA in WESTERGAARD'S Radices (GIL	dhatupatha in westergaard s radices gil					no-match	no-match	no curated identity matches this resolved locus			24
Zeitschrift für die Kunde des Morgenland	zeitschrift fur die kunde des morgenland					no-match	no-match	no curated identity matches this resolved locus			21
Die Uṇādi-Affixe. Herausgegeben und mit	die unadi affixe herausgegeben und mit					no-match	no-match	no curated identity matches this resolved locus			21
