slp1	hom	sense_id	first_era	era_rank	bucket_via	class	n_cites	n_dateable	bridge_status	bridge_mw_sense	count_all	sense_rank	lemma_share	n_texts	top_genre	top_genre_share	provenance	confidence
BAva		13	classical	3	dharmamitra+hand:class	DATEABLE	13	8	bridge_unaligned									
BAva		14	classical	3	dharmamitra	DATEABLE-MARGINAL	4	1	bridge_unaligned									
BAva		2	classical	3	dharmamitra+hand:class	DATEABLE	8	5	bridge_unaligned									
BAva		15				UNDATEABLE	9	0	bridge_unaligned									
BAva		16				UNRESOLVED	1	0	bridge_unaligned									
BAva		8				UNDATEABLE	2	0	bridge_unaligned									
BAvana	1	3c	vedic	1	dcs	DATEABLE	41	27	bridge_unaligned									
BAvana	1	1a	epic-sutra	2	dharmamitra	DATEABLE	4	2	bridge_no_freq	mw:149435:1								
BAvana	1	1b	epic-sutra	2	dcs+dharmamitra	DATEABLE	29	26	bridge_unaligned									
BAvana	1	1d	epic-sutra	2	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
BAvana	1	3a	epic-sutra	2	hand:class	DATEABLE	8	3	bridge_unaligned									
BAvana	1	3b	epic-sutra	2	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
BAvana	1	5b	epic-sutra	2	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
BAvana	1	3d	classical	3	dharmamitra	DATEABLE-MARGINAL	2	1	bridge_unaligned									
BAvana	1	4c	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
BAvana	1	5a	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
BAvana	1	1c				UNRESOLVED	1	0	bridge_unaligned									
BAvana	1	3e				UNDATEABLE	2	0	bridge_unaligned									
BAvana	1	3f				UNDATEABLE	2	0	bridge_unaligned									
BAvana	1	3g				UNRESOLVED	1	0	bridge_unaligned									
BAvana	1	3h				UNDATEABLE	1	0	bridge_unaligned									
BAvana	1	4a				UNDATEABLE	1	0	bridge_unaligned									
BErava	1	1	epic-sutra	2	dcs+dharmamitra	DATEABLE	33	26	joined	mw:152990:1	1	4	0.0385	1	epic	1.0	attested	
BErava	1	2e	epic-sutra	2	dharmamitra	DATEABLE-MARGINAL	2	1	bridge_unaligned									
BErava	1	2a	classical	3	dharmamitra	DATEABLE	35	8	bridge_unaligned									
BErava	1	2f	early-medieval	4	dharmamitra	DATEABLE-MARGINAL	7	1	bridge_unaligned									
BErava	1	2h	early-medieval	4	hand:class	DATEABLE-MARGINAL	3	1	bridge_unaligned									
BErava	1	3a	early-medieval	4	hand:class	DATEABLE	13	2	bridge_unaligned									
BErava	1	3c	early-medieval	4	dcs	DATEABLE	3	2	bridge_unaligned									
BErava	1	2c	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
BErava	1	2d	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
BErava	1	2g	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
BErava	1	3b	late-medieval	5	hand:class	DATEABLE-MARGINAL	3	1	bridge_unaligned									
BErava	1	2b				UNRESOLVED	1	0	bridge_unaligned									
BIma		1	vedic	1	dcs	DATEABLE	45	33	joined	mw:150996:1	133	1	0.6101	9	epic	0.8797	attested	
BIma		2d	vedic	1	dcs	DATEABLE	30	16	bridge_unaligned									
BIma		2b	epic-sutra	2	hand:class	DATEABLE	13	9	bridge_unaligned									
BIma		2c	epic-sutra	2	dharmamitra	DATEABLE	7	5	bridge_unaligned									
BIma		3c	epic-sutra	2	dharmamitra	DATEABLE	7	3	bridge_unaligned									
BIma		3d	epic-sutra	2	dcs	DATEABLE-MARGINAL	2	1	bridge_unaligned									
BIma		3e	epic-sutra	2	dharmamitra	DATEABLE	4	3	bridge_unaligned									
BIma		2a	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
BIma		3f	early-medieval	4	dharmamitra	DATEABLE-MARGINAL	2	1	bridge_unaligned									
BIma		3a	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
BIma		3b	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
BU	1	10	vedic	1	dcs	DATEABLE	18	6	bridge_no_freq	mw:151456:1								
BU	1	11	vedic	1	dcs	DATEABLE	12	11	bridge_unaligned									
BU	1	1b	vedic	1	dcs+hand:class	DATEABLE	47	37	bridge_unaligned									
BU	1	1d	vedic	1	dcs	DATEABLE	16	12	bridge_unaligned									
BU	1	1e	vedic	1	dcs	DATEABLE	5	3	bridge_unaligned									
BU	1	1l	vedic	1	dcs	DATEABLE	20	15	bridge_unaligned									
BU	1	2	vedic	1	dcs+hand:class	DATEABLE	180	153	bridge_unaligned									
BU	1	3	vedic	1	dcs+hand:class	DATEABLE	169	135	bridge_unaligned									
BU	1	4	vedic	1	dcs	DATEABLE	192	139	bridge_unaligned									
BU	1	5	vedic	1	dcs+hand:class	DATEABLE	234	171	bridge_unaligned									
BU	1	6	vedic	1	dcs	DATEABLE	188	146	bridge_unaligned									
BU	1	1a	epic-sutra	2	dcs+dharmamitra+hand:class	DATEABLE	16	15	bridge_unaligned									
BU	1	1c	epic-sutra	2	hand:class	DATEABLE	3	2	bridge_unaligned									
BU	1	1f	epic-sutra	2	hand:class	DATEABLE	2	2	bridge_unaligned									
BU	1	1g	epic-sutra	2	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
BU	1	1i	epic-sutra	2	hand:class	DATEABLE	2	2	bridge_unaligned									
BU	1	7	epic-sutra	2	dcs+dharmamitra	DATEABLE	24	13	bridge_unaligned									
BU	1	8	epic-sutra	2	dharmamitra	DATEABLE	4	3	bridge_unaligned									
BU	1	1h	classical	3	hand:class	DATEABLE	24	24	bridge_unaligned									
BU	1	9	classical	3	dharmamitra	DATEABLE-MARGINAL	2	1	bridge_unaligned									
BUta		1a	vedic	1	dcs+hand:class	DATEABLE	35	27	bridge_unaligned									
BUta		2	vedic	1	dcs	DATEABLE	3	3	bridge_unaligned									
BUta		3	vedic	1	dcs+hand:class	DATEABLE	95	73	bridge_unaligned									
BUta		1c	epic-sutra	2	dcs+dharmamitra+hand:class	DATEABLE	70	58	bridge_unaligned									
BUta		1h	epic-sutra	2	dcs	DATEABLE-MARGINAL	1	1	bridge_unaligned									
BUta		4	epic-sutra	2	dcs+dharmamitra+hand:class	DATEABLE	43	28	bridge_unaligned									
BUta		5	epic-sutra	2	dcs+dharmamitra	DATEABLE	41	24	bridge_unaligned									
BUta		10	classical	3	dharmamitra	DATEABLE	6	4	joined	mw:151778:1	7	4	0.022	4	vyakarana	0.5714	attested	
BUta		1b	classical	3	dharmamitra	DATEABLE	8	4	bridge_unaligned									
BUta		1e	classical	3	dharmamitra	DATEABLE	4	3	bridge_unaligned									
BUta		1f	classical	3	dharmamitra	DATEABLE	5	3	bridge_unaligned									
BUta		6	classical	3	dharmamitra	DATEABLE	4	2	bridge_unaligned									
BUta		8	late-medieval	5	hand:class	DATEABLE-MARGINAL	3	1	bridge_unaligned									
BUta		1d				UNDATEABLE	1	0	bridge_unaligned									
BUta		1g				UNRESOLVED	6	0	bridge_unaligned									
BUta		7				UNDATEABLE	1	0	bridge_unaligned									
BUta		9				UNRESOLVED	1	0	bridge_unaligned									
BUti		1a	vedic	1	dcs+hand:class	DATEABLE	55	43	joined	mw:152037:1	1	2	0.0526	1	epic	1.0	attested	
BUti		1e	vedic	1	dcs	DATEABLE	15	11	bridge_unaligned									
BUti		1b	epic-sutra	2	dharmamitra	DATEABLE	6	4	bridge_unaligned									
BUti		2b	epic-sutra	2	dharmamitra	DATEABLE	2	2	bridge_unaligned									
BUti		1c	classical	3	dcs	DATEABLE-MARGINAL	2	1	bridge_unaligned									
BUti		1h	classical	3	dcs	DATEABLE	5	2	bridge_unaligned									
BUti		2a	classical	3	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
BUti		2c	classical	3	dharmamitra	DATEABLE	4	2	bridge_unaligned									
BUti		1d	early-medieval	4	hand:class	DATEABLE	3	2	bridge_unaligned									
BUti		1f	early-medieval	4	hand:class	DATEABLE	4	3	bridge_unaligned									
BUti		1g	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
BaNga		1	vedic	1	dcs	DATEABLE-MARGINAL	3	1	bridge_no_freq	mw:147594:1								
BaNga		2a	vedic	1	dcs	DATEABLE	54	32	bridge_unaligned									
BaNga		2m	vedic	1	dcs	DATEABLE-MARGINAL	2	1	bridge_unaligned									
BaNga		2c	epic-sutra	2	dcs+hand:class	DATEABLE	12	7	bridge_unaligned									
BaNga		2d	epic-sutra	2	dcs	DATEABLE	39	25	bridge_unaligned									
BaNga		2n	epic-sutra	2	dharmamitra	DATEABLE	3	2	bridge_unaligned									
BaNga		3a	epic-sutra	2	hand:class	DATEABLE	11	8	bridge_unaligned									
BaNga		2b	classical	3	hand:class	DATEABLE	5	4	bridge_unaligned									
BaNga		2e	classical	3	dharmamitra	DATEABLE	15	9	bridge_unaligned									
BaNga		2h	classical	3	dcs+dharmamitra+hand:class	DATEABLE	3	3	bridge_unaligned									
BaNga		2k	classical	3	dharmamitra	DATEABLE	8	7	bridge_unaligned									
BaNga		2f	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
BaNga		2g	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
BaNga		2i	early-medieval	4	hand:class	DATEABLE	3	2	bridge_unaligned									
BaNga		2l	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
BaNga		3b	late-medieval	5	hand:class	DATEABLE-MARGINAL	3	1	bridge_unaligned									
Badra		1a	vedic	1	dcs+hand:class	DATEABLE	177	145	joined	mw:148263:1	28	1	0.2887	4	veda	0.9643	attested	
Badra		1b	vedic	1	dcs	DATEABLE	27	24	bridge_unaligned									
Badra		4f	vedic	1	hand:class	DATEABLE	4	3	bridge_unaligned									
Badra		2b	epic-sutra	2	dcs+dharmamitra	DATEABLE	10	9	bridge_unaligned									
Badra		2i	epic-sutra	2	dcs+dharmamitra	DATEABLE	8	6	bridge_unaligned									
Badra		2k	epic-sutra	2	dharmamitra	DATEABLE	12	6	bridge_unaligned									
Badra		3e	epic-sutra	2	dcs+dharmamitra	DATEABLE	16	12	bridge_unaligned									
Badra		2a	classical	3	dharmamitra	DATEABLE	5	4	bridge_unaligned									
Badra		2c	classical	3	dharmamitra	DATEABLE-MARGINAL	2	1	bridge_unaligned									
Badra		2e	classical	3	dharmamitra	DATEABLE	3	2	bridge_unaligned									
Badra		3b	classical	3	dharmamitra	DATEABLE	11	4	bridge_unaligned									
Badra		3f	classical	3	dharmamitra	DATEABLE	9	4	bridge_unaligned									
Badra		2d	early-medieval	4	hand:class	DATEABLE	6	2	bridge_unaligned									
Badra		2f	early-medieval	4	dcs	DATEABLE-MARGINAL	1	1	bridge_unaligned									
Badra		2g	early-medieval	4	dcs	DATEABLE-MARGINAL	1	1	bridge_unaligned									
Badra		2h	early-medieval	4	hand:class	DATEABLE	2	2	bridge_unaligned									
Badra		2l	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
Badra		3d	early-medieval	4	hand:class	DATEABLE-MARGINAL	3	1	bridge_unaligned									
Badra		4b	early-medieval	4	hand:class	DATEABLE-MARGINAL	3	1	bridge_unaligned									
Badra		4c	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
Badra		4e	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
Badra		3a	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
Badra		2m				UNRESOLVED	1	0	bridge_unaligned									
Badra		3c				UNDATEABLE	2	0	bridge_unaligned									
Badra		4d				UNRESOLVED	2	0	bridge_unaligned									
Badraka		1a	epic-sutra	2	dcs+dharmamitra	DATEABLE	4	4	bridge_no_freq	mw:148519:1								
Badraka		2a	epic-sutra	2	dcs	DATEABLE-MARGINAL	1	1	bridge_unaligned									
Badraka		2d	epic-sutra	2	dcs	DATEABLE-MARGINAL	1	1	bridge_unaligned									
Badraka		3a	epic-sutra	2	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
Badraka		1b	classical	3	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
Badraka		2e	early-medieval	4	dcs	DATEABLE	4	2	bridge_unaligned									
Badraka		4	early-medieval	4	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
Badraka		2c	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
Badraka		5a	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
Badraka		2b				UNDATEABLE	1	0	bridge_unaligned									
Badraka		3b				UNDATEABLE	5	0	bridge_unaligned									
Badraka		5b				UNRESOLVED	1	0	bridge_unaligned									
Badraka		5c				UNDATEABLE	2	0	bridge_unaligned									
Baga		1a	vedic	1	dcs	DATEABLE	27	25	bridge_no_freq	mw:147581:1								
Baga		1b	vedic	1	dcs+hand:class	DATEABLE	63	58	bridge_unaligned									
Baga		1f	vedic	1	dcs	DATEABLE	31	28	bridge_unaligned									
Baga		1g	vedic	1	dcs	DATEABLE	30	25	bridge_unaligned									
Baga		1h	vedic	1	dcs+hand:class	DATEABLE	18	18	bridge_unaligned									
Baga		1c	epic-sutra	2	dharmamitra	DATEABLE	10	6	bridge_unaligned									
Baga		1e	epic-sutra	2	dharmamitra	DATEABLE	3	2	bridge_unaligned									
Baga		1i	epic-sutra	2	dcs+dharmamitra+hand:class	DATEABLE	29	20	bridge_unaligned									
Baga		3	epic-sutra	2	hand:class	DATEABLE	18	10	bridge_unaligned									
Baga		1d	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
Baga		2				UNDATEABLE	1	0	bridge_unaligned									
Bavya		1a	vedic	1	dcs	DATEABLE	31	26	bridge_no_freq	mw:149241:1								
Bavya		1b	vedic	1	dcs	DATEABLE	10	7	bridge_unaligned									
Bavya		1d	epic-sutra	2	hand:class	DATEABLE	2	2	bridge_unaligned									
Bavya		1e	epic-sutra	2	hand:class	DATEABLE	6	5	bridge_unaligned									
Bavya		1f	epic-sutra	2	dcs+dharmamitra	DATEABLE	27	18	bridge_unaligned									
Bavya		1g	epic-sutra	2	dcs	DATEABLE	12	8	bridge_unaligned									
Bavya		1h	epic-sutra	2	dcs+dharmamitra	DATEABLE	2	2	bridge_unaligned									
Bavya		2a	epic-sutra	2	dcs+dharmamitra	DATEABLE	12	5	bridge_unaligned									
