id	type	provenance	prompt	answer	choices	evidence	source_dataset
SM-0050	identify	gold	Which compound class is “a-dharma-abhi-bhava” (adharmābhibhavāt)?	TP	DV | TP | BV | KD	Bhagavadgītā 1.41 (“adharmābhibhavāt”), gold-tagged	gita-morphology-gold
SM-0051	identify	gold	Which compound class is “kula-strī” (kula-striyaḥ)?	TP	BV | TP | KD | DV	Bhagavadgītā 1.41 (“kula-striyaḥ”), gold-tagged	gita-morphology-gold
SM-0052	identify	gold	Which compound class is “varṇa-saṁkara” (varṇa-saṁkaraḥ)?	TP	BV | DV | TP | KD	Bhagavadgītā 1.41 (“varṇa-saṁkaraḥ”), gold-tagged	gita-morphology-gold
SM-0053	identify	gold	Which compound class is “kula-ghna” (kula-ghnānām)?	TP	TP | KD | DV | BV	Bhagavadgītā 1.42 (“kula-ghnānām”), gold-tagged	gita-morphology-gold
SM-0054	identify	gold	Which compound class is “lupta-piṇḍa-udaka-kriya” (lupta-piṇḍodaka-kriyāḥ)?	BV	KD | TP | DV | BV	Bhagavadgītā 1.42 (“lupta-piṇḍodaka-kriyāḥ”), gold-tagged	gita-morphology-gold
SM-0055	identify	gold	Which compound class is “kula-ghna” (kula-ghnānām)?	TP	BV | TP | KD | DV	Bhagavadgītā 1.43 (“kula-ghnānām”), gold-tagged	gita-morphology-gold
SM-0056	identify	gold	Which compound class is “varṇa-saṁkara-kāraka” (varṇa-saṁkara-kārakaiḥ)?	TP	DV | BV | KD | TP	Bhagavadgītā 1.43 (“varṇa-saṁkara-kārakaiḥ”), gold-tagged	gita-morphology-gold
SM-0057	identify	gold	Which compound class is “jāti-dharma” (jāti-dharmāḥ)?	TP	TP | DV | KD | BV	Bhagavadgītā 1.43 (“jāti-dharmāḥ”), gold-tagged	gita-morphology-gold
SM-0058	identify	gold	Which compound class is “kula-dharma” (kula-dharmāḥ)?	TP	BV | DV | TP | KD	Bhagavadgītā 1.43 (“kula-dharmāḥ”), gold-tagged	gita-morphology-gold
SM-0059	identify	gold	Which compound class is “utsanna-kula-dharma” (utsanna-kula-dharmāṇāṁ)?	BV	BV | TP | DV | KD	Bhagavadgītā 1.44 (“utsanna-kula-dharmāṇāṁ”), gold-tagged	gita-morphology-gold
SM-0060	identify	gold	Which compound class is “rājya-sukha-lobha” (rājya-sukha-lobhena)?	TP	TP | DV | BV | KD	Bhagavadgītā 1.45 (“rājya-sukha-lobhena”), gold-tagged	gita-morphology-gold
SM-0061	identify	gold	Which compound class is “sva-janam” (sva-janam)?	TP	TP | BV | DV | KD	Bhagavadgītā 1.45 (“sva-janam”), gold-tagged	gita-morphology-gold
SM-0062	identify	gold	Which compound class is “śastra-pāṇi” (śastra-pāṇayaḥ)?	BV	BV | DV | KD | TP	Bhagavadgītā 1.46 (“śastra-pāṇayaḥ”), gold-tagged	gita-morphology-gold
SM-0063	identify	gold	Which compound class is “sa-śara” (sa-śaram)?	BV	TP | KD | DV | BV	Bhagavadgītā 1.47 (“sa-śaram”), gold-tagged	gita-morphology-gold
SM-0064	identify	gold	Which compound class is “śoka-saṁvigna-mānasa” (śoka-saṁvigna-mānasaḥ)?	BV	DV | KD | TP | BV	Bhagavadgītā 1.47 (“śoka-saṁvigna-mānasaḥ”), gold-tagged	gita-morphology-gold
SM-0065	identify	gold	Which compound class is “aśru-pūrṇa-ākula-īkṣaṇa” (aśru-pūrṇākulekṣaṇam)?	BV	DV | KD | BV | TP	Bhagavadgītā 2.01 (“aśru-pūrṇākulekṣaṇam”), gold-tagged	gita-morphology-gold
SM-0066	identify	gold	Which compound class is “śrī-bhagavant” (śrī-bhagavān)?	TP	KD | DV | BV | TP	Bhagavadgītā 2.02 (“śrī-bhagavān”), gold-tagged	gita-morphology-gold
SM-0067	identify	gold	Which compound class is “an-ārya-juṣṭa” (anārya-juṣṭam)?	TP	TP | BV | KD | DV	Bhagavadgītā 2.02 (“anārya-juṣṭam”), gold-tagged	gita-morphology-gold
SM-0068	identify	gold	Which compound class is “a-kīrti-kara” (akīrti-karam)?	TP	DV | TP | KD | BV	Bhagavadgītā 2.02 (“akīrti-karam”), gold-tagged	gita-morphology-gold
SM-0069	identify	gold	Which compound class is “hṛdaya-daurbalya” (hṛdaya-daurbalyam)?	TP	DV | BV | TP | KD	Bhagavadgītā 2.03 (“hṛdaya-daurbalyam”), gold-tagged	gita-morphology-gold
SM-0070	identify	gold	Which compound class is “pūjā-arha” (pūjārhau)?	TP	DV | TP | KD | BV	Bhagavadgītā 2.04 (“pūjārhau”), gold-tagged	gita-morphology-gold
SM-0071	identify	gold	Which compound class is “ari-sūdana” (ari-sūdana)?	TP	TP | BV | KD | DV	Bhagavadgītā 2.04 (“ari-sūdana”), gold-tagged	gita-morphology-gold
SM-0072	identify	gold	Which compound class is “mahā-anubhāva” (mahānubhāvān)?	BV	BV | KD | DV | TP	Bhagavadgītā 2.05 (“mahānubhāvān”), gold-tagged	gita-morphology-gold
SM-0073	identify	gold	Which compound class is “artha-kāma” (artha-kāmān)?	BV	TP | KD | DV | BV	Bhagavadgītā 2.05 (“artha-kāmān”), gold-tagged	gita-morphology-gold
SM-0074	identify	gold	Which compound class is “rudhira-pradigdha” (rudhira-pradigdhān)?	TP	DV | TP | BV | KD	Bhagavadgītā 2.05 (“rudhira-pradigdhān”), gold-tagged	gita-morphology-gold
SM-0075	identify	gold	Which compound class is “kārpaṇya-doṣa-upahata-svabhāva” (kārpaṇya-doṣopahata-svabhāvaḥ)?	BV	TP | DV | KD | BV	Bhagavadgītā 2.07 (“kārpaṇya-doṣopahata-svabhāvaḥ”), gold-tagged	gita-morphology-gold
SM-0076	identify	gold	Which compound class is “dharma-saṁmūḍha-cetas” (dharma-saṁmūḍha-cetāḥ)?	BV	BV | TP | KD | DV	Bhagavadgītā 2.07 (“dharma-saṁmūḍha-cetāḥ”), gold-tagged	gita-morphology-gold
SM-0077	identify	gold	Which compound class is “govinda” (govindam)?	BV	TP | BV | DV | KD	Bhagavadgītā 2.09 (“govindam”), gold-tagged	gita-morphology-gold
SM-0078	identify	gold	Which compound class is “śrī-bhagavant” (śrī-bhagavān)?	TP	DV | KD | BV | TP	Bhagavadgītā 2.11 (“śrī-bhagavān”), gold-tagged	gita-morphology-gold
SM-0079	identify	gold	Which compound class is “prajñā-vāda” (prajñā-vādān)?	TP	TP | DV | BV | KD	Bhagavadgītā 2.11 (“prajñā-vādān”), gold-tagged	gita-morphology-gold
SM-0080	identify	gold	Which compound class is “gata-asu” (gatāsūn)?	BV	BV | TP | DV | KD	Bhagavadgītā 2.11 (“gatāsūn”), gold-tagged	gita-morphology-gold
SM-0081	identify	gold	Which compound class is “a-gata-asu” (agatāsūn)?	BV	BV | KD | TP | DV	Bhagavadgītā 2.11 (“agatāsūn”), gold-tagged	gita-morphology-gold
SM-0082	identify	gold	Which compound class is “jana-adhipa” (janādhipāḥ)?	TP	TP | DV | BV | KD	Bhagavadgītā 2.12 (“janādhipāḥ”), gold-tagged	gita-morphology-gold
SM-0083	identify	gold	Which compound class is “deha-antara-prāpti” (dehāntara-prāptiḥ)?	TP	KD | TP | DV | BV	Bhagavadgītā 2.13 (“dehāntara-prāptiḥ”), gold-tagged	gita-morphology-gold
SM-0084	identify	gold	Which compound class is “mātrā-sparśa” (mātrā-sparśāḥ)?	TP	DV | BV | TP | KD	Bhagavadgītā 2.14 (“mātrā-sparśāḥ”), gold-tagged	gita-morphology-gold
SM-0085	identify	gold	Which compound class is “puruṣa-rṣabha” (puruṣa-rṣabha)?	KD	TP | BV | DV | KD	Bhagavadgītā 2.15 (“puruṣa-rṣabha”), gold-tagged	gita-morphology-gold
SM-0086	identify	gold	Which compound class is “sama-duḥkha-sukha” (sama-duḥkha-sukham)?	BV	DV | KD | BV | TP	Bhagavadgītā 2.15 (“sama-duḥkha-sukham”), gold-tagged	gita-morphology-gold
SM-0087	identify	gold	Which compound class is “tattva-darśin” (tattva-darśibhiḥ)?	TP	KD | BV | DV | TP	Bhagavadgītā 2.16 (“tattva-darśibhiḥ”), gold-tagged	gita-morphology-gold
SM-0088	identify	gold	Which compound class is “sarva-gata” (sarvagataḥ)?	TP	KD | TP | DV | BV	Bhagavadgītā 2.24 (“sarvagataḥ”), gold-tagged	gita-morphology-gold
SM-0089	identify	gold	Which compound class is “mahā-bāhu” (mahā-bāho)?	BV	KD | BV | TP | DV	Bhagavadgītā 2.26 (“mahā-bāho”), gold-tagged	gita-morphology-gold
SM-0090	identify	gold	Which compound class is “a-vyakta-ādi” (avyaktādīni)?	BV	KD | BV | DV | TP	Bhagavadgītā 2.28 (“avyaktādīni”), gold-tagged	gita-morphology-gold
SM-0091	identify	gold	Which compound class is “vyakta-madhya” (vyakta-madhyāni)?	BV	KD | TP | DV | BV	Bhagavadgītā 2.28 (“vyakta-madhyāni”), gold-tagged	gita-morphology-gold
SM-0092	identify	gold	Which compound class is “a-vyakta-nidhana” (avyakta-nidhanāni)?	BV	BV | TP | KD | DV	Bhagavadgītā 2.28 (“avyakta-nidhanāni”), gold-tagged	gita-morphology-gold
SM-0093	identify	gold	Which compound class is “sva-dharma” (sva-dharmam)?	TP	DV | KD | TP | BV	Bhagavadgītā 2.31 (“sva-dharmam”), gold-tagged	gita-morphology-gold
SM-0094	identify	gold	Which compound class is “svarga-dvāra” (svarga-dvāram)?	TP	DV | KD | TP | BV	Bhagavadgītā 2.32 (“svarga-dvāram”), gold-tagged	gita-morphology-gold
SM-0095	identify	gold	Which compound class is “sva-dharma” (sva-dharmam)?	TP	TP | KD | BV | DV	Bhagavadgītā 2.33 (“sva-dharmam”), gold-tagged	gita-morphology-gold
SM-0096	identify	gold	Which compound class is “mahā-ratha” (mahā-rathāḥ)?	BV	TP | DV | BV | KD	Bhagavadgītā 2.35 (“mahā-rathāḥ”), gold-tagged	gita-morphology-gold
SM-0097	identify	gold	Which compound class is “avācya-vāda” (avācya-vādān)?	TP	BV | DV | KD | TP	Bhagavadgītā 2.36 (“avācya-vādān”), gold-tagged	gita-morphology-gold
SM-0098	identify	gold	Which compound class is “kṛta-niścaya” (kṛta-niścayaḥ)?	BV	TP | DV | KD | BV	Bhagavadgītā 2.37 (“kṛta-niścayaḥ”), gold-tagged	gita-morphology-gold
SM-0099	identify	gold	Which compound class is “karma-bandha” (karma-bandham)?	TP	TP | KD | DV | BV	Bhagavadgītā 2.39 (“karma-bandham”), gold-tagged	gita-morphology-gold
SM-0100	identify	gold	Which compound class is “abhi-krama-nāśa” (abhikrama-nāśaḥ)?	TP	BV | KD | DV | TP	Bhagavadgītā 2.40 (“abhikrama-nāśaḥ”), gold-tagged	gita-morphology-gold
SM-0101	identify	gold	Which compound class is “kuru-nandana” (kuru-nandana)?	TP	BV | DV | KD | TP	Bhagavadgītā 2.41 (“kuru-nandana”), gold-tagged	gita-morphology-gold
SM-0102	identify	gold	Which compound class is “bahu-śākhā” (bahu-śākhāḥ)?	BV	DV | TP | KD | BV	Bhagavadgītā 2.41 (“bahu-śākhāḥ”), gold-tagged	gita-morphology-gold
SM-0103	identify	gold	Which compound class is “veda-vāda-rataḥ” (veda-vāda-ratāḥ)?	TP	DV | TP | KD | BV	Bhagavadgītā 2.42 (“veda-vāda-ratāḥ”), gold-tagged	gita-morphology-gold
SM-0104	identify	gold	Which compound class is “kāma-ātman” (kāmātmānaḥ)?	BV	TP | KD | BV | DV	Bhagavadgītā 2.43 (“kāmātmānaḥ”), gold-tagged	gita-morphology-gold
SM-0105	identify	gold	Which compound class is “svarga-para” (svarga-parāḥ)?	BV	TP | DV | BV | KD	Bhagavadgītā 2.43 (“svarga-parāḥ”), gold-tagged	gita-morphology-gold
SM-0106	identify	gold	Which compound class is “kriyā-viśeṣa-bahulā” (kriyā-viśeṣa-bahulāṁ)?	BV	DV | TP | BV | KD	Bhagavadgītā 2.43 (“kriyā-viśeṣa-bahulāṁ”), gold-tagged	gita-morphology-gold
SM-0107	identify	gold	Which compound class is “bhoga-aiśvarya-gati” (bhogaiśvarya-gatiṁ)?	TP	DV | BV | TP | KD	Bhagavadgītā 2.43 (“bhogaiśvarya-gatiṁ”), gold-tagged	gita-morphology-gold
SM-0108	identify	gold	Which compound class is “bhoga-aiśvarya-prasakta” (bhogaiśvarya-prasaktānām)?	TP	TP | BV | DV | KD	Bhagavadgītā 2.44 (“bhogaiśvarya-prasaktānām”), gold-tagged	gita-morphology-gold
SM-0109	identify	gold	Which compound class is “apahṛta-cetas” (apahṛta-cetasām)?	BV	TP | KD | DV | BV	Bhagavadgītā 2.44 (“apahṛta-cetasām”), gold-tagged	gita-morphology-gold
SM-0110	identify	gold	Which compound class is “traiguṇya-viṣaya” (traiguṇya-viṣayāḥ)?	BV	DV | TP | BV | KD	Bhagavadgītā 2.45 (“traiguṇya-viṣayāḥ”), gold-tagged	gita-morphology-gold
SM-0111	identify	gold	Which compound class is “niryoga-kṣema” (niryoga-kṣemaḥ)?	BV	TP | KD | BV | DV	Bhagavadgītā 2.45 (“niryoga-kṣemaḥ”), gold-tagged	gita-morphology-gold
SM-0112	identify	gold	Which compound class is “karma-phala-hetu” (karma-phala-hetuḥ)?	BV	TP | KD | DV | BV	Bhagavadgītā 2.47 (“karma-phala-hetuḥ”), gold-tagged	gita-morphology-gold
SM-0113	identify	gold	Which compound class is “buddhi-yoga” (buddhi-yogād)?	TP	DV | BV | KD | TP	Bhagavadgītā 2.49 (“buddhi-yogād”), gold-tagged	gita-morphology-gold
SM-0114	identify	gold	Which compound class is “phala-hetu” (phala-hetavaḥ)?	BV	KD | TP | BV | DV	Bhagavadgītā 2.49 (“phala-hetavaḥ”), gold-tagged	gita-morphology-gold
SM-0115	identify	gold	Which compound class is “buddhi-yukta” (buddhi-yuktaḥ)?	TP	KD | DV | TP | BV	Bhagavadgītā 2.50 (“buddhi-yuktaḥ”), gold-tagged	gita-morphology-gold
SM-0116	identify	gold	Which compound class is “buddhi-yukta” (buddhi-yuktāḥ)?	TP	BV | TP | KD | DV	Bhagavadgītā 2.51 (“buddhi-yuktāḥ”), gold-tagged	gita-morphology-gold
SM-0117	identify	gold	Which compound class is “janma-bandha-vinirmukta” (janma-bandha-vinirmuktāḥ)?	TP	BV | KD | TP | DV	Bhagavadgītā 2.51 (“janma-bandha-vinirmuktāḥ”), gold-tagged	gita-morphology-gold
SM-0118	identify	gold	Which compound class is “moha-kalila” (moha-kalilam)?	TP	KD | BV | TP | DV	Bhagavadgītā 2.52 (“moha-kalilam”), gold-tagged	gita-morphology-gold
SM-0119	identify	gold	Which compound class is “śruti-vi-prati-panna” (śruti-viprati-pannā)?	TP	DV | KD | TP | BV	Bhagavadgītā 2.53 (“śruti-viprati-pannā”), gold-tagged	gita-morphology-gold
SM-0120	identify	gold	Which compound class is “sthita-prajña” (sthita-prajñasya)?	BV	BV | KD | TP | DV	Bhagavadgītā 2.54 (“sthita-prajñasya”), gold-tagged	gita-morphology-gold
SM-0121	identify	gold	Which compound class is “sthita-dhī” (sthita-dhīḥ)?	BV	TP | DV | KD | BV	Bhagavadgītā 2.54 (“sthita-dhīḥ”), gold-tagged	gita-morphology-gold
SM-0122	identify	gold	Which compound class is “śrī-bhagavant” (śrī-bhagavān)?	TP	DV | TP | KD | BV	Bhagavadgītā 2.55 (“śrī-bhagavān”), gold-tagged	gita-morphology-gold
SM-0123	identify	gold	Which compound class is “mano-gata” (mano-gatān)?	TP	DV | TP | KD | BV	Bhagavadgītā 2.55 (“mano-gatān”), gold-tagged	gita-morphology-gold
SM-0124	identify	gold	Which compound class is “sthita-prajña” (sthita-prajñaḥ)?	BV	BV | TP | KD | DV	Bhagavadgītā 2.55 (“sthita-prajñaḥ”), gold-tagged	gita-morphology-gold
SM-0125	identify	gold	Which compound class is “an-ud-vigna-manas” (anudvigna-manāḥ)?	BV	DV | KD | BV | TP	Bhagavadgītā 2.56 (“anudvigna-manāḥ”), gold-tagged	gita-morphology-gold
SM-0126	identify	gold	Which compound class is “vigata-spṛha” (vigata-spṛhaḥ)?	BV	BV | TP | KD | DV	Bhagavadgītā 2.56 (“vigata-spṛhaḥ”), gold-tagged	gita-morphology-gold
SM-0127	identify	gold	Which compound class is “sthita-dhī” (sthita-dhīḥ)?	BV	BV | TP | DV | KD	Bhagavadgītā 2.56 (“sthita-dhīḥ”), gold-tagged	gita-morphology-gold
SM-0128	identify	gold	Which compound class is “indriya-artha” (indriyārthebhyaḥ)?	TP	TP | BV | DV | KD	Bhagavadgītā 2.58 (“indriyārthebhyaḥ”), gold-tagged	gita-morphology-gold
SM-0129	identify	gold	Which compound class is “smṛti-vibhrama” (smṛti-vibhramaḥ)?	TP	KD | BV | TP | DV	Bhagavadgītā 2.63 (“smṛti-vibhramaḥ”), gold-tagged	gita-morphology-gold
SM-0130	identify	gold	Which compound class is “smṛti-bhraṁśa” (smṛti-bhraṁśāt)?	TP	TP | BV | DV | KD	Bhagavadgītā 2.63 (“smṛti-bhraṁśāt”), gold-tagged	gita-morphology-gold
SM-0131	identify	gold	Which compound class is “buddhi-nāśa” (buddhi-nāśaḥ)?	TP	DV | KD | BV | TP	Bhagavadgītā 2.63 (“buddhi-nāśaḥ”), gold-tagged	gita-morphology-gold
SM-0132	identify	gold	Which compound class is “buddhi-nāśa” (buddhi-nāśāt)?	TP	BV | TP | DV | KD	Bhagavadgītā 2.63 (“buddhi-nāśāt”), gold-tagged	gita-morphology-gold
SM-0133	identify	gold	Which compound class is “rāga-dveṣa-viyukta” (rāga-dveṣa-viyuktaiḥ)?	TP	DV | KD | TP | BV	Bhagavadgītā 2.64 (“rāga-dveṣa-viyuktaiḥ”), gold-tagged	gita-morphology-gold
