index_token	gender	stem_class	member_count	representative_k1	repr_devanagari
mfn·8n*+2	mfn	consonant-stem	186	Atmahan	आत्महन्
mfn·8√b	mfn	consonant-stem	179	Akzit	आक्षित्
mfn·3a	mfn	i-stem	179	AGfRi	आघृणि
mfn·8na*+2	mfn	consonant-stem	177	ASuheman	आशुहेमन्
mfn·1+3	mfn	a-stem	174	Ayurvedamaya	आयुर्वेदमय
mfn·8s+2	mfn	consonant-stem	173	Ajyahavis	आज्यहविस्
mn·1	mn	a-stem	165	AQaka	आढक
mfn·5a+2	mfn	u-stem	150	AhftayajYakratu	आहृतयज्ञक्रतु
mfn·3	mfn	i-stem	148	ADyaSvi	आध्यश्वि
mfn·5+2	mfn	u-stem	143	BUrigu	भूरिगु
n·8sa	n	consonant-stem	142	Agas	आगस्
m·8s+2	m	consonant-stem	138	Ayustejas	आयुस्तेजस्
m·8n*	m	consonant-stem	138	AnandAtman	आनन्दात्मन्
n·8s+2	n	consonant-stem	136	ATarvaRaSiras	आथर्वणशिरस्
f·8√+2	f	consonant-stem	131	AptavAc	आप्तवाच्
mfn·2b+2	mfn	ā-stem	130	AprItapA	आप्रीतपा
mfn·5a	mfn	u-stem	127	ABaradvasu	आभरद्वसु
m·8t*	m	consonant-stem	124	AliKant	आलिखन्त्
f·8√b	f	consonant-stem	122	ASir	आशिर्
mfn·8ib+2	mfn	consonant-stem	111	Atmanvin	आत्मन्विन्
mfn·8√a	mfn	consonant-stem	108	BUyaMs	भूयंस्
f·3a+2	f	i-stem	107	Bagatti	भगत्ति
f·4b	f	ī-stem	105	ADI	आधी
f·3b	f	i-stem	104	ABogi	आभोगि
m·3b	m	i-stem	103	ADi	आधि
m·8nb*	m	consonant-stem	103	ASiman	आशिमन्
m·3a+2	m	i-stem	101	BAdraSarmi	भाद्रशर्मि
mfn·8tb*	mfn	consonant-stem	100	ASumant	आशुमन्त्
mfn·8n*	mfn	consonant-stem	98	ASukarman	आशुकर्मन्
mfn·8s	mfn	consonant-stem	98	ASvapas	आश्वपस्
mn·1a	mn	a-stem	97	AyuDa	आयुध
mfn·8na*	mfn	consonant-stem	97	Basman	भस्मन्
m·5b	m	u-stem	96	AKu	आखु
f·1+2	f	a-stem	96	BAravAha	भारवाह
m·5a	m	u-stem	92	Ayu	आयु
n·8s	n	consonant-stem	91	Bagas	भगस्
mfn·8sa	mfn	consonant-stem	91	Amanas	आमनस्
m·8s	m	consonant-stem	91	ASuravas	आशुरवस्
mn·1+2	mn	a-stem	91	ArakUwa	आरकूट
f·4a	f	ī-stem	86	AligI	आलिगी
mfn·2+2	mfn	ā-stem	86	ApannasattvA	आपन्नसत्त्वा
f·6+2	f	ū-stem	85	BIzmasU	भीष्मसू
f·2a+2	f	ā-stem	74	AnandatA	आनन्दता
f·2b+2	f	ā-stem	74	ASIrdA	आशीर्दा
mfn·2	mfn	ā-stem	73	AKyA	आख्या
n·8na*	n	consonant-stem	70	BUman	भूमन्
m·8√b	m	consonant-stem	67	ARqAd	आण्डाद्
mfn·4+2	mfn	ī-stem	66	BAmanI	भामनी
mn·1b	mn	a-stem	62	Dvaja	ध्वज
mfn·3b	mfn	i-stem	58	Acakri	आचक्रि
n·5	n	u-stem	55	ASu	आशु
f·4+3	f	ī-stem	55	BAskarasaptamI	भास्करसप्तमी
n·8n*	n	consonant-stem	51	Dvan	ध्वन्
m·8ib	m	consonant-stem	51	ASvapejin	आश्वपेजिन्
m·6+2	m	ū-stem	49	BaraRIBU	भरणीभू
m·3+3	m	i-stem	49	BUliNgaSakuni	भूलिङ्गशकुनि
n·5+2	n	u-stem	47	BavadAru	भवदारु
mfn·8nb*+2	mfn	consonant-stem	46	BrAtfvyahan	भ्रातृव्यहन्
f·5	f	u-stem	46	AlAbu	आलाबु
mfn·8√a+2	mfn	consonant-stem	45	GftanirRij	घृतनिर्णिज्
mfn·2b	mfn	ā-stem	45	BarezujA	भरेषुजा
m·8na*	m	consonant-stem	45	Apvan	आप्वन्
mfn·4b+2	mfn	ī-stem	42	BrAtfvyaGnI	भ्रातृव्यघ्नी
mfn·4	mfn	ī-stem	41	AgastI	आगस्ती
n·3	n	i-stem	41	BUtAri	भूतारि
m·4+2	m	ī-stem	40	BadraSrI	भद्रश्री
f·5+2	f	u-stem	40	BUjambu	भूजम्बु
mfn·6b+2	mfn	ū-stem	38	DIjU	धीजू
mfn·8sb	mfn	consonant-stem	37	Ahanas	आहनस्
f·1a	f	a-stem	37	AQakika	आढकिक
f·1b	f	a-stem	35	ASokeya	आशोकेय
mfn·5b+2	mfn	u-stem	34	Gftasnu	घृतस्नु
f·3b+2	f	i-stem	33	aDvaraprAyaScitti	अध्वरप्रायश्चित्ति
m·4	m	ī-stem	32	BUmAnandasarasvatI	भूमानन्दसरस्वती
f·8t*	f	consonant-stem	29	BAnumant	भानुमन्त्
n·3+2	n	i-stem	28	AmaganDi	आमगन्धि
f·6	f	ū-stem	28	AlU	आलू
m·6	m	ū-stem	27	AzAQABU	आषाढाभू
mfn·4a+2	mfn	ī-stem	26	GftapadI	घृतपदी
mfn·8nb*	mfn	consonant-stem	26	Bujman	भुज्मन्
mfn·6+2	mfn	ū-stem	25	AtmaBU	आत्मभू
m·5a+2	m	u-stem	24	SatayAtu	शतयातु
m·2	m	ā-stem	24	A	आ
m·8√a	m	consonant-stem	24	AvayAj	आवयाज्
mfn·3b+2	mfn	i-stem	24	pUtiganDi	पूतिगन्धि
f·4b+2	f	ī-stem	23	SaNKapuzpI	शङ्खपुष्पी
m·8i+3	m	consonant-stem	23	SItamayUKamAlin	शीतमयूखमालिन्
mfn·1a+3	mfn	a-stem	21	aMsatrakoSa	अंसत्रकोश
f·6b	f	ū-stem	21	AhU	आहू
m·3b+2	m	i-stem	21	BUmidunduBi	भूमिदुन्दुभि
m·8√b+2	m	consonant-stem	20	Danuzkft	धनुष्कृत्
m·8sa	m	consonant-stem	19	Amis	आमिस्
f·4a+2	f	ī-stem	19	DarmapatnI	धर्मपत्नी
m·8n*+3	m	consonant-stem	19	BAskaraSarman	भास्करशर्मन्
n·5a	n	u-stem	18	SmaSru	श्मश्रु
f·3+3	f	i-stem	18	SivaSaktisidDi	शिवशक्तिसिद्धि
mfn·8ia	mfn	consonant-stem	17	BAmin	भामिन्
f·8√b+2	f	consonant-stem	17	SrotraBft	श्रोत्रभृत्
mfn·8sb+2	mfn	consonant-stem	17	alpameDas	अल्पमेधस्
f·8ta*+2	f	consonant-stem	17	catuScatvAriMSat	चतुश्चत्वारिंशत्
n·2	n	ā-stem	17	DArA	धारा
mfn·8cb*	mfn	consonant-stem	16	SvityaYc	श्वित्यञ्च्
f·8s	f	consonant-stem	16	ASis	आशिस्
mfn·4b	mfn	ī-stem	16	aBiprI	अभिप्री
n·8√+2	n	consonant-stem	16	aSvaSakft	अश्वशकृत्
m·2+2	m	ā-stem	16	aviyogatftIyA	अवियोगतृतीया
f·8i	f	consonant-stem	16	Bagin	भगिन्
f·8tb*	f	consonant-stem	15	Avat	आवत्
m·5b+2	m	u-stem	15	ekartu	एकर्तु
m·5+3	m	u-stem	15	BUmijaguggulu	भूमिजगुग्गुलु
mfn·8i+3	mfn	consonant-stem	15	ekadeSavivartin	एकदेशविवर्तिन्
n·8nb*	n	consonant-stem	14	Asan	आसन्
mfn·8c*	mfn	consonant-stem	14	aYc	अञ्च्
n·8sb	n	consonant-stem	14	Cadis	छदिस्
mfn·6b	mfn	ū-stem	14	ABU	आभू
m·8na*+2	m	consonant-stem	14	dyuvan	द्युवन्
f·8√a	f	consonant-stem	13	akzuD	अक्षुध्
mfn·8ia+2	mfn	consonant-stem	12	KaranAdin	खरनादिन्
mfn·2a+2	mfn	ā-stem	12	SvetavatsA	श्वेतवत्सा
n·2+2	n	ā-stem	12	DUrtatA	धूर्तता
m·8sa+2	m	consonant-stem	12	candramas	चन्द्रमस्
m·8√+3	m	consonant-stem	12	DarmacakraBft	धर्मचक्रभृत्
m·8sb	m	consonant-stem	11	AKyas	आख्यस्
m·8ib+2	m	consonant-stem	11	antaryAmin	अन्तर्यामिन्
f·8sb	f	consonant-stem	11	ASas	आशस्
m·8ta*	m	consonant-stem	11	AsandIvant	आसन्दीवन्त्
mfn·6°	mfn	ū-stem	11	BU	भू
mfn·2a	mfn	ā-stem	10	agopA	अगोपा
mfn·4a	mfn	ī-stem	10	GftAcI	घृताची
f·5a	f	u-stem	10	Danu	धनु
n·8t*	n	consonant-stem	10	ArUQavant	आरूढवन्त्
f·8s+2	f	consonant-stem	10	Badramanas	भद्रमनस्
mfn·6	mfn	ū-stem	9	SrU	श्रू
mn·1b+2	mn	a-stem	9	arDarca	अर्धर्च
n·8sb+2	n	consonant-stem	9	devahavis	देवहविस्
n·8i	n	consonant-stem	9	PaRin	फणिन्
m·2b+2	m	ā-stem	9	DAmaDA	धामधा
f·8t*+2	f	consonant-stem	9	dvAcatvAriMSat	द्वाचत्वारिंशत्
mn·5	mn	u-stem	8	SalAwu	शलाटु
mfn·8ca*	mfn	consonant-stem	7	aDyaYc	अध्यञ्च्
n·8nb*+2	n	consonant-stem	7	aDvarakarman	अध्वरकर्मन्
n·8na*+2	n	consonant-stem	7	aSmahanman	अश्महन्मन्
m·4b	m	ī-stem	7	ApaTI	आपथी
m·6b	m	ū-stem	7	AqU	आडू
f·8n*+2	f	consonant-stem	7	DvANkzanAman	ध्वाङ्क्षनामन्
m·8√a+2	m	consonant-stem	7	SataBizaj	शतभिषज्
m·4+3	m	ī-stem	7	DaraRItalaSrI	धरणीतलश्री
f·4°	f	ī-stem	7	BI	भी
m·8nb*+2	m	consonant-stem	7	BrURahan	भ्रूणहन्
mfn·8√b+3	mfn	consonant-stem	6	agnihotrahut	अग्निहोत्रहुत्
m·4b+2	m	ī-stem	6	agreRI	अग्रेणी
mfn·8√+3	mfn	consonant-stem	6	Baganetrahft	भगनेत्रहृत्
mfn·3+3	mfn	i-stem	6	daSaSataraSmi	दशशतरश्मि
n·1b+3	n	a-stem	6	SaMtanutva	शंतनुत्व
mfn·6a	mfn	ū-stem	5	adU	अदू
n·8√a	n	consonant-stem	5	Sakft	शकृत्
m·6b+2	m	ū-stem	5	GftastU	घृतस्तू
m·4a	m	ī-stem	5	araTI	अरथी
n·8√b	n	consonant-stem	5	etad	एतद्
f·8√a+2	f	consonant-stem	5	devatAt	देवतात्
mn·5b	mn	u-stem	5	hiNgu	हिङ्गु
f·6°	f	ū-stem	5	DU	धू
f·1+3	f	a-stem	5	gomatIsAra	गोमतीसार
n·8sa+2	n	consonant-stem	5	BikzAvAsas	भिक्षावासस्
mfn·4°	mfn	ī-stem	5	SI	शी
n·3a	n	i-stem	4	Sami	शमि
mfn·8tb*+2	mfn	consonant-stem	4	aDvagat	अध्वगत्
m·2b	m	ā-stem	4	aDipA	अधिपा
f·2a+3	f	ā-stem	4	asvagatA	अस्वगता
m·1b+3	m	a-stem	4	gozWaSva	गोष्ठश्व
f·8n*	f	consonant-stem	4	jan	जन्
f·5b	f	u-stem	4	BAnu	भानु
mn·5a	mn	u-stem	4	dAru	दारु
f·5a+2	f	u-stem	4	ekaDenu	एकधेनु
n·4°	n	ī-stem	4	SI	शी
mn·1a+2	mn	a-stem	4	SvApada	श्वापद
n·8t*+2	n	consonant-stem	4	Syenabfhat	श्येनबृहत्
n·8n*+3	n	consonant-stem	4	daSarAtraparvan	दशरात्रपर्वन्
mfn·8n*+3	mfn	consonant-stem	4	Baganetrahan	भगनेत्रहन्
mfn·8sa+3	mfn	consonant-stem	4	dyukzavacas	द्युक्षवचस्
f·6b+2	f	ū-stem	4	indratanU	इन्द्रतनू
f·8i+2	f	consonant-stem	4	ekacArin	एकचारिन्
f·1a+2	f	a-stem	4	brahmacodana	ब्रह्मचोदन
n·8s+3	n	consonant-stem	4	mahApadmasaras	महापद्मसरस्
f·8sa	f	consonant-stem	3	Buvis	भुविस्
m·8t*+2	m	consonant-stem	3	aDvagat	अध्वगत्
m·8ia	m	consonant-stem	3	avAjin	अवाजिन्
mfn·8cb*+2	mfn	consonant-stem	3	asmatrAYc	अस्मत्राञ्च्
m·1a+3	m	a-stem	3	ekaviMSastoma	एकविंशस्तोम
m·6°	m	ū-stem	3	U	ऊ
f·6+3	f	ū-stem	3	gorakzajambU	गोरक्षजम्बू
n·4+2	n	ī-stem	3	BImadvAdaSI	भीमद्वादशी
mfn·4+3	mfn	ī-stem	3	patiDarmavatI	पतिधर्मवती
f·8na*	f	consonant-stem	3	Apvan	आप्वन्
mfn·8na*+3	mfn	consonant-stem	3	durgfBiSvan	दुर्गृभिश्वन्
n·8i+2	n	consonant-stem	3	BUtahArin	भूतहारिन्
mfn·3a+3	mfn	i-stem	3	nfvatsaKi	नृवत्सखि
mfn·5+3	mfn	u-stem	3	puMgavaketu	पुंगवकेतु
mfn·1b+3	mfn	a-stem	3	pfTubuDna	पृथुबुध्न
f·5b+2	f	u-stem	3	Satadru	शतद्रु
m·6+3	m	ū-stem	3	sumitraBU	सुमित्रभू
mfn·8s+3	mfn	consonant-stem	3	sumahAmanas	सुमहामनस्
mf·3	mf	i-stem	2	SAlmali	शाल्मलि
mfn·6a+2	mfn	ū-stem	2	ataptatanU	अतप्ततनू
mn·3	mn	i-stem	2	arari	अररि
fn·8sb	fn	consonant-stem	2	Cardis	छर्दिस्
m·8ia+2	m	consonant-stem	2	AsurivAsin	आसुरिवासिन्
m·4°	m	ī-stem	2	I	ई
mf·3b	mf	i-stem	2	Urmi	ऊर्मि
mn·8na*	mn	consonant-stem	2	karman	कर्मन्
mn·8√	mn	consonant-stem	2	kzvel	क्ष्वेल्
f·8√+3	f	consonant-stem	2	gopAlatApanIyopanizad	गोपालतापनीयोपनिषद्
mfn·5a+3	mfn	u-stem	2	SitibAhu	शितिबाहु
f·1b+2	f	a-stem	2	gOrasakTa	गौरसक्थ
m·3a+3	m	i-stem	2	citpati	चित्पति
mf·3a	mf	i-stem	2	marIci	मरीचि
n·2a	n	ā-stem	2	anyA	अन्या
mfn·8c*+2	mfn	consonant-stem	2	prAgdakziRAYc	प्राग्दक्षिणाञ्च्
m·5a+3	m	u-stem	2	mftyubanDu	मृत्युबन्धु
n·5b+2	n	u-stem	2	mAtfbanDu	मातृबन्धु
mfn·2b+3	mfn	ā-stem	2	SevaDipA	शेवधिपा
m·8tb*	m	consonant-stem	2	satvant	सत्वन्त्
m·2a+2	m	ā-stem	2	SatarA	शतरा
n·1a+3	n	a-stem	2	Sivadattapura	शिवदत्तपुर
n·4	n	ī-stem	2	SrI	श्री
mfn·8ca*+2	mfn	consonant-stem	2	suprAYc	सुप्राञ्च्
m·2a	m	ā-stem	2	sUryAcandramasA	सूर्याचन्द्रमसा
mn·8tb*	mn	consonant-stem	1	azWIvant	अष्ठीवन्त्
m·8tb*+2	m	consonant-stem	1	ukzavehat	उक्षवेहत्
m·2+3	m	ā-stem	1	udaDikrA	उदधिक्रा
mn·8n*+2	mn	consonant-stem	1	Uruparvan	ऊरुपर्वन्
m·4a+2	m	ī-stem	1	fDadrI	ऋधद्री
mfn·8ib+3	mfn	consonant-stem	1	kUcidarTin	कूचिदर्थिन्
m·8c*	m	consonant-stem	1	kruYc	क्रुञ्च्
f·5+3	f	u-stem	1	KagaSatru	खगशत्रु
mfn·8ia+3	mfn	consonant-stem	1	gozWevijitin	गोष्ठेविजितिन्
f·8ta*	f	consonant-stem	1	catuHpaYcASat	चतुःपञ्चाशत्
fn·8sa	fn	consonant-stem	1	jyotis	ज्योतिस्
m·8cb*	m	consonant-stem	1	daDyaYc	दध्यञ्च्
f·8sa+2	f	consonant-stem	1	dviyajus	द्वियजुस्
mn·8sa	mn	consonant-stem	1	Danus	धनुस्
f·8tb*+2	f	consonant-stem	1	parAvat	परावत्
f·8ib	f	consonant-stem	1	paripanTin	परिपन्थिन्
f·6a+2	f	ū-stem	1	punarBU	पुनर्भू
n·8tb*	n	consonant-stem	1	purItat	पुरीतत्
mn·8nb*	mn	consonant-stem	1	preman	प्रेमन्
mn·5+2	mn	u-stem	1	BadradAru	भद्रदारु
f·8na*+2	f	consonant-stem	1	maGavan	मघवन्
mf·5b	mf	u-stem	1	manyu	मन्यु
m·8s+3	m	consonant-stem	1	mahAsiMhatejas	महासिंहतेजस्
n·8ia	n	consonant-stem	1	anapAyin	अनपायिन्
n·8i+3	n	consonant-stem	1	karavIrakaramBin	करवीरकरम्भिन्
n·6°	n	ū-stem	1	DU	धू
n·2+3	n	ā-stem	1	punaruktatA	पुनरुक्तता
f·8c*+2	f	consonant-stem	1	pratyaYc	प्रत्यञ्च्
n·5a+2	n	u-stem	1	raTadAru	रथदारु
n·5b	n	u-stem	1	lirgu	लिर्गु
f·8c*	f	consonant-stem	1	vaYc	वञ्च्
mfn·8nb*+3	mfn	consonant-stem	1	valagahan	वलगहन्
f·8s+3	f	consonant-stem	1	vAyuvegayaSas	वायुवेगयशस्
m·8nb*+3	m	consonant-stem	1	vimatiman	विमतिमन्
mn·8s+2	mn	consonant-stem	1	vihAyas	विहायस्
mn·8√+2	mn	consonant-stem	1	SoBakft	शोभकृत्
m·8sb+2	m	consonant-stem	1	sAmaSravas	सामश्रवस्
f·8nb*	f	consonant-stem	1	sIman	सीमन्
mfn·8√a+3	mfn	consonant-stem	1	sudfSIkasaMdfS	सुदृशीकसंदृश्
n·4b+2	n	ī-stem	1	suDI	सुधी
f·3b+3	f	i-stem	1	sunIti	सुनीति
mfn·3b+3	mfn	i-stem	1	sunIti	सुनीति
mfn·5b+3	mfn	u-stem	1	surUpakftnu	सुरूपकृत्नु
f·8sb+2	f	consonant-stem	1	suvayas	सुवयस्
fn·5a	fn	u-stem	1	snAyu	स्नायु
mn·1+3	mn	a-stem	1	haryaSvacApa	हर्यश्वचाप
n·3b	n	i-stem	1	hfdi	हृदि
mfn·8t*+2	mfn	consonant-stem	1	janagat	जनगत्
