id	type	index_token	gender	stem_class	question	answer	choices
ZD-0029	classify	m·1	m	a-stem	To which declension class does शौक्लिकेय (śauklikeya, m.) belong?	m·1	m·1 | m·2a | m·8i+2 | m·8√b
ZD-0030	classify	m·1	m	a-stem	To which declension class does परिघर्म्य (parigharmya, m.) belong?	m·1	m·8i+2 | m·8√b | m·1 | m·2a
ZD-0031	classify	mfn·1	mfn	a-stem	To which declension class does राजिक (rājika, adj.) belong?	mfn·1	mfn·1 | mfn·3a+2 | mfn·5+2 | mfn·8√+2
ZD-0032	classify	mfn·1	mfn	a-stem	To which declension class does नगरीय (nagarīya, adj.) belong?	mfn·1	mfn·3a+2 | mfn·5+2 | mfn·8√+2 | mfn·1
ZD-0033	classify	mfn·1	mfn	a-stem	To which declension class does शौक्तिक (śauktika, adj.) belong?	mfn·1	mfn·1 | mfn·3a+2 | mfn·5+2 | mfn·8√+2
ZD-0034	classify	mfn·1	mfn	a-stem	To which declension class does बैल्ववन (bailvavana, adj.) belong?	mfn·1	mfn·3a+2 | mfn·8√+2 | mfn·1 | mfn·5+2
ZD-0035	classify	mfn·1	mfn	a-stem	To which declension class does षाड्वर्गिक (ṣāḍvargika, adj.) belong?	mfn·1	mfn·1 | mfn·8√+2 | mfn·3a+2 | mfn·5+2
ZD-0036	classify	mfn·1	mfn	a-stem	To which declension class does साज (sāja, adj.) belong?	mfn·1	mfn·1 | mfn·3a+2 | mfn·5+2 | mfn·8√+2
ZD-0037	classify	mfn·1	mfn	a-stem	To which declension class does अप्रमय (apramaya, adj.) belong?	mfn·1	mfn·1 | mfn·3a+2 | mfn·5+2 | mfn·8√+2
ZD-0038	classify	mfn·1	mfn	a-stem	To which declension class does प्राक्तन (prāktana, adj.) belong?	mfn·1	mfn·5+2 | mfn·3a+2 | mfn·8√+2 | mfn·1
ZD-0039	classify	mfn·1	mfn	a-stem	To which declension class does सिताश्व (sitāśva, adj.) belong?	mfn·1	mfn·3a+2 | mfn·5+2 | mfn·8√+2 | mfn·1
ZD-0040	classify	mfn·1	mfn	a-stem	To which declension class does कुटिक (kuṭika, adj.) belong?	mfn·1	mfn·3a+2 | mfn·5+2 | mfn·8√+2 | mfn·1
ZD-0041	classify	mfn·1	mfn	a-stem	To which declension class does आचर्य (ācarya, adj.) belong?	mfn·1	mfn·3a+2 | mfn·8√+2 | mfn·5+2 | mfn·1
ZD-0042	classify	mfn·1	mfn	a-stem	To which declension class does औत्थानिक (autthānika, adj.) belong?	mfn·1	mfn·8√+2 | mfn·1 | mfn·3a+2 | mfn·5+2
ZD-0043	classify	mfn·1	mfn	a-stem	To which declension class does बौधायनीय (baudhāyanīya, adj.) belong?	mfn·1	mfn·5+2 | mfn·8√+2 | mfn·3a+2 | mfn·1
ZD-0044	classify	mfn·1	mfn	a-stem	To which declension class does अभिनव (abhinava, adj.) belong?	mfn·1	mfn·3a+2 | mfn·8√+2 | mfn·1 | mfn·5+2
ZD-0045	classify	mfn·1	mfn	a-stem	To which declension class does यूथ्य (yūthya, f.) belong?	mfn·1	mfn·5+2 | mfn·8√+2 | mfn·3a+2 | mfn·1
ZD-0046	classify	mfn·1+2	mfn	a-stem	To which declension class does विवसन (vivasana, adj.) belong?	mfn·1+2	mfn·8√ | mfn·2a | mfn·4a+2 | mfn·1+2
ZD-0047	classify	mfn·1+2	mfn	a-stem	To which declension class does भूरिदक्षिण (bhūridakṣiṇa, adj.) belong?	mfn·1+2	mfn·4a+2 | mfn·2a | mfn·8√ | mfn·1+2
ZD-0048	classify	mfn·1+2	mfn	a-stem	To which declension class does पञ्चविंशतिक (pañcaviṃśatika, adj.) belong?	mfn·1+2	mfn·2a | mfn·8√ | mfn·4a+2 | mfn·1+2
ZD-0049	classify	mfn·1+2	mfn	a-stem	To which declension class does दुरधिष्ठित (duradhiṣṭhita, adj.) belong?	mfn·1+2	mfn·4a+2 | mfn·2a | mfn·8√ | mfn·1+2
ZD-0050	classify	mfn·1+2	mfn	a-stem	To which declension class does मलिनीकरणीय (malinīkaraṇīya, adj.) belong?	mfn·1+2	mfn·8√ | mfn·1+2 | mfn·4a+2 | mfn·2a
ZD-0051	classify	mfn·1+2	mfn	a-stem	To which declension class does षट्पञ्चवर्ष (ṣaṭpañcavarṣa, adj.) belong?	mfn·1+2	mfn·1+2 | mfn·2a | mfn·4a+2 | mfn·8√
ZD-0052	classify	mfn·1+2	mfn	a-stem	To which declension class does ताततुल्य (tātatulya, adj.) belong?	mfn·1+2	mfn·4a+2 | mfn·1+2 | mfn·2a | mfn·8√
ZD-0053	classify	mfn·1+2	mfn	a-stem	To which declension class does दुर्भिद (durbhida, adj.) belong?	mfn·1+2	mfn·1+2 | mfn·4a+2 | mfn·2a | mfn·8√
ZD-0054	classify	mfn·1+2	mfn	a-stem	To which declension class does हतवृत्त (hatavṛtta, adj.) belong?	mfn·1+2	mfn·4a+2 | mfn·1+2 | mfn·2a | mfn·8√
ZD-0055	classify	mfn·1+2	mfn	a-stem	To which declension class does त्रिपाण (tripāṇa, adj.) belong?	mfn·1+2	mfn·2a | mfn·1+2 | mfn·8√ | mfn·4a+2
ZD-0056	classify	mfn·1+2	mfn	a-stem	To which declension class does सुसंतोष (susaṃtoṣa, adj.) belong?	mfn·1+2	mfn·4a+2 | mfn·8√ | mfn·1+2 | mfn·2a
ZD-0057	classify	mfn·1+2	mfn	a-stem	To which declension class does लोहितपुष्पक (lohitapuṣpaka, adj.) belong?	mfn·1+2	mfn·4a+2 | mfn·8√ | mfn·1+2 | mfn·2a
ZD-0058	classify	mfn·1+2	mfn	a-stem	To which declension class does क्षयंकर (kṣayaṃkara, adj.) belong?	mfn·1+2	mfn·8√ | mfn·2a | mfn·1+2 | mfn·4a+2
ZD-0059	classify	mfn·1+2	mfn	a-stem	To which declension class does दुर्विश (durviśa, adj.) belong?	mfn·1+2	mfn·4a+2 | mfn·2a | mfn·1+2 | mfn·8√
ZD-0060	classify	mfn·1+2	mfn	a-stem	To which declension class does मङ्गलकारक (maṅgalakāraka, adj.) belong?	mfn·1+2	mfn·2a | mfn·4a+2 | mfn·8√ | mfn·1+2
ZD-0061	classify	n·1+2	n	a-stem	To which declension class does रणस्थान (raṇasthāna, n.) belong?	n·1+2	n·5b+2 | n·8nb* | n·8sa+2 | n·1+2
ZD-0062	classify	n·1+2	n	a-stem	To which declension class does दरीमुख (darīmukha, n.) belong?	n·1+2	n·8nb* | n·8sa+2 | n·5b+2 | n·1+2
ZD-0063	classify	n·1+2	n	a-stem	To which declension class does सार्वंसह (sārvaṃsaha, n.) belong?	n·1+2	n·1+2 | n·8sa+2 | n·5b+2 | n·8nb*
ZD-0064	classify	n·1+2	n	a-stem	To which declension class does मानसत्व (mānasatva, n.) belong?	n·1+2	n·8nb* | n·8sa+2 | n·1+2 | n·5b+2
ZD-0065	classify	n·1+2	n	a-stem	To which declension class does श्वनिश (śvaniśa, n.) belong?	n·1+2	n·5b+2 | n·8nb* | n·1+2 | n·8sa+2
ZD-0066	classify	n·1+2	n	a-stem	To which declension class does व्रीह्यगार (vrīhyagāra, n.) belong?	n·1+2	n·5b+2 | n·8sa+2 | n·1+2 | n·8nb*
ZD-0067	classify	n·1+2	n	a-stem	To which declension class does नटभूषण (naṭabhūṣaṇa, n.) belong?	n·1+2	n·8sa+2 | n·5b+2 | n·1+2 | n·8nb*
ZD-0068	classify	n·1+2	n	a-stem	To which declension class does पिण्डीकरण (piṇḍīkaraṇa, n.) belong?	n·1+2	n·8nb* | n·8sa+2 | n·1+2 | n·5b+2
ZD-0069	classify	n·1+2	n	a-stem	To which declension class does मणिसूत्र (maṇisūtra, n.) belong?	n·1+2	n·5b+2 | n·1+2 | n·8nb* | n·8sa+2
ZD-0070	classify	n·1+2	n	a-stem	To which declension class does पञ्चपात्र (pañcapātra, n.) belong?	n·1+2	n·8sa+2 | n·1+2 | n·8nb* | n·5b+2
ZD-0071	classify	n·1+2	n	a-stem	To which declension class does आकाशानन्त्यायतन (ākāśānantyāyatana, n.) belong?	n·1+2	n·1+2 | n·8nb* | n·8sa+2 | n·5b+2
ZD-0072	classify	n·1+2	n	a-stem	To which declension class does योगतन्त्र (yogatantra, n.) belong?	n·1+2	n·8nb* | n·1+2 | n·5b+2 | n·8sa+2
ZD-0073	classify	n·1+2	n	a-stem	To which declension class does क्षयित्व (kṣayitva, n.) belong?	n·1+2	n·8nb* | n·5b+2 | n·8sa+2 | n·1+2
ZD-0074	classify	n·1+2	n	a-stem	To which declension class does दुर्गाकुण्ड (durgākuṇḍa, n.) belong?	n·1+2	n·8sa+2 | n·5b+2 | n·1+2 | n·8nb*
ZD-0075	classify	n·1+2	n	a-stem	To which declension class does लीलातामरस (līlātāmarasa, n.) belong?	n·1+2	n·5b+2 | n·8nb* | n·8sa+2 | n·1+2
ZD-0076	classify	n·1	n	a-stem	To which declension class does सांख्य (sāṃkhya, adj.) belong?	n·1	n·1 | n·8nb* | n·3+2 | n·3a
ZD-0077	classify	n·1	n	a-stem	To which declension class does सीमान्तर (sīmāntara, n.) belong?	n·1	n·3+2 | n·3a | n·8nb* | n·1
ZD-0078	classify	n·1	n	a-stem	To which declension class does उपरन्ध्र (uparandhra, n.) belong?	n·1	n·1 | n·3+2 | n·3a | n·8nb*
ZD-0079	classify	n·1	n	a-stem	To which declension class does स्वयंभूपुराण (svayaṃbhūpurāṇa, n.) belong?	n·1	n·3+2 | n·3a | n·1 | n·8nb*
ZD-0080	classify	n·1	n	a-stem	To which declension class does प्रवारण (pravāraṇa, n.) belong?	n·1	n·8nb* | n·1 | n·3a | n·3+2
ZD-0081	classify	n·1	n	a-stem	To which declension class does अधिष्ठातृत्व (adhiṣṭhātṛtva, n.) belong?	n·1	n·8nb* | n·3+2 | n·1 | n·3a
ZD-0082	classify	n·1	n	a-stem	To which declension class does प्रत्यवनेजन (pratyavanejana, n.) belong?	n·1	n·3a | n·1 | n·8nb* | n·3+2
ZD-0083	classify	n·1	n	a-stem	To which declension class does लीलारविन्द (līlāravinda, n.) belong?	n·1	n·3+2 | n·3a | n·1 | n·8nb*
ZD-0084	classify	n·1	n	a-stem	To which declension class does संवादन (saṃvādana, n.) belong?	n·1	n·1 | n·8nb* | n·3a | n·3+2
ZD-0085	classify	n·1	n	a-stem	To which declension class does यवाम्लज (yavāmlaja, n.) belong?	n·1	n·8nb* | n·3a | n·3+2 | n·1
ZD-0086	classify	n·1	n	a-stem	To which declension class does तुत्थाञ्जन (tutthāñjana, n.) belong?	n·1	n·8nb* | n·3+2 | n·1 | n·3a
ZD-0087	classify	n·1	n	a-stem	To which declension class does काञ्जीक (kāñjīka, n.) belong?	n·1	n·3a | n·3+2 | n·8nb* | n·1
ZD-0088	classify	n·1	n	a-stem	To which declension class does मैश्रधान्य (maiśradhānya, n.) belong?	n·1	n·3a | n·8nb* | n·3+2 | n·1
ZD-0089	classify	n·1	n	a-stem	To which declension class does प्रक्षेपण (prakṣepaṇa, n.) belong?	n·1	n·1 | n·8nb* | n·3a | n·3+2
ZD-0090	classify	n·1	n	a-stem	To which declension class does उल्लाप्य (ullāpya, n.) belong?	n·1	n·3+2 | n·1 | n·3a | n·8nb*
ZD-0091	classify	f·2+2	f	ā-stem	To which declension class does कल्पलतिका (kalpalatikā, f.) belong?	f·2+2	f·8√ | f·4a+2 | f·8ta* | f·2+2
ZD-0092	classify	f·2+2	f	ā-stem	To which declension class does समाधिसमानता (samādhisamānatā, f.) belong?	f·2+2	f·4a+2 | f·8√ | f·2+2 | f·8ta*
ZD-0093	classify	f·2+2	f	ā-stem	To which declension class does शूरता (śūratā, f.) belong?	f·2+2	f·8√ | f·4a+2 | f·2+2 | f·8ta*
ZD-0094	classify	f·2+2	f	ā-stem	To which declension class does शतगुप्ता (śataguptā, f.) belong?	f·2+2	f·4a+2 | f·8√ | f·8ta* | f·2+2
ZD-0095	classify	f·2+2	f	ā-stem	To which declension class does तिक्तगन्धा (tiktagandhā, f.) belong?	f·2+2	f·2+2 | f·8ta* | f·4a+2 | f·8√
ZD-0096	classify	f·2+2	f	ā-stem	To which declension class does त्रिवृता (trivṛtā, f.) belong?	f·2+2	f·8ta* | f·4a+2 | f·8√ | f·2+2
ZD-0097	classify	f·2+2	f	ā-stem	To which declension class does प्राकृतचन्द्रिका (prākṛtacandrikā, f.) belong?	f·2+2	f·8ta* | f·8√ | f·4a+2 | f·2+2
ZD-0098	classify	f·2+2	f	ā-stem	To which declension class does वेयच्छला (veyacchalā, f.) belong?	f·2+2	f·4a+2 | f·8ta* | f·2+2 | f·8√
ZD-0099	classify	f·2+2	f	ā-stem	To which declension class does दक्षता (dakṣatā, f.) belong?	f·2+2	f·4a+2 | f·8ta* | f·2+2 | f·8√
ZD-0100	classify	f·2+2	f	ā-stem	To which declension class does देवसभा (devasabhā, f.) belong?	f·2+2	f·8√ | f·4a+2 | f·8ta* | f·2+2
ZD-0101	classify	f·2+2	f	ā-stem	To which declension class does प्राणसंहिता (prāṇasaṃhitā, f.) belong?	f·2+2	f·8√ | f·2+2 | f·4a+2 | f·8ta*
ZD-0102	classify	f·2+2	f	ā-stem	To which declension class does रथप्सा (rathapsā, f.) belong?	f·2+2	f·8√ | f·4a+2 | f·8ta* | f·2+2
ZD-0103	classify	f·2+2	f	ā-stem	To which declension class does अविगन्धिका (avigandhikā, f.) belong?	f·2+2	f·2+2 | f·8ta* | f·4a+2 | f·8√
ZD-0104	classify	f·2+2	f	ā-stem	To which declension class does घट्टगा (ghaṭṭagā, f.) belong?	f·2+2	f·2+2 | f·8ta* | f·8√ | f·4a+2
ZD-0105	classify	f·2+2	f	ā-stem	To which declension class does महामानसिका (mahāmānasikā, f.) belong?	f·2+2	f·4a+2 | f·8√ | f·8ta* | f·2+2
ZD-0106	classify	f·2	f	ā-stem	To which declension class does समानशाखा (samānaśākhā, f.) belong?	f·2	f·2 | f·5a | f·3b+2 | f·8n*
ZD-0107	classify	f·2	f	ā-stem	To which declension class does अधःक्रिया (adhaḥkriyā, f.) belong?	f·2	f·5a | f·2 | f·8n* | f·3b+2
ZD-0108	classify	f·2	f	ā-stem	To which declension class does गङ्गाका (gaṅgākā, f.) belong?	f·2	f·2 | f·5a | f·8n* | f·3b+2
ZD-0109	classify	f·2	f	ā-stem	To which declension class does व्यवस्था (vyavasthā, f.) belong?	f·2	f·2 | f·8n* | f·3b+2 | f·5a
ZD-0110	classify	f·2	f	ā-stem	To which declension class does चन्द्रिमा (candrimā, f.) belong?	f·2	f·8n* | f·5a | f·3b+2 | f·2
ZD-0111	classify	f·2	f	ā-stem	To which declension class does कलहान्तरिता (kalahāntaritā, f.) belong?	f·2	f·8n* | f·2 | f·5a | f·3b+2
ZD-0112	classify	f·2	f	ā-stem	To which declension class does शिक्षा (śikṣā, f.) belong?	f·2	f·2 | f·5a | f·3b+2 | f·8n*
ZD-0113	classify	f·2	f	ā-stem	To which declension class does गण्डिका (gaṇḍikā, f.) belong?	f·2	f·5a | f·2 | f·8n* | f·3b+2
ZD-0114	classify	f·2	f	ā-stem	To which declension class does विकारिता (vikāritā, f.) belong?	f·2	f·2 | f·8n* | f·3b+2 | f·5a
ZD-0115	classify	f·2	f	ā-stem	To which declension class does कर्तरिका (kartarikā, f.) belong?	f·2	f·5a | f·3b+2 | f·2 | f·8n*
ZD-0116	classify	f·2	f	ā-stem	To which declension class does संसर्गिता (saṃsargitā, f.) belong?	f·2	f·8n* | f·5a | f·3b+2 | f·2
ZD-0117	classify	f·2	f	ā-stem	To which declension class does ऊर्वरा (ūrvarā, f.) belong?	f·2	f·3b+2 | f·5a | f·2 | f·8n*
ZD-0118	classify	f·2	f	ā-stem	To which declension class does धुरिका (dhurikā, f.) belong?	f·2	f·8n* | f·2 | f·3b+2 | f·5a
ZD-0119	classify	f·2	f	ā-stem	To which declension class does प्रचायिका (pracāyikā, f.) belong?	f·2	f·2 | f·5a | f·3b+2 | f·8n*
ZD-0120	classify	f·2	f	ā-stem	To which declension class does प्रवत्स्यत्पतिका (pravatsyatpatikā, f.) belong?	f·2	f·3b+2 | f·5a | f·8n* | f·2
ZD-0121	classify	mfn·1a	mfn	a-stem	To which declension class does उपर (upara, adj.) belong?	mfn·1a	mfn·8s+2 | mfn·1a | mfn·8c* | mfn·8ib+3
ZD-0122	classify	mfn·1a	mfn	a-stem	To which declension class does तीर्थ्य (tīrthya, adj.) belong?	mfn·1a	mfn·8c* | mfn·8s+2 | mfn·8ib+3 | mfn·1a
ZD-0123	classify	mfn·1a	mfn	a-stem	To which declension class does प्रायणीय (prāyaṇīya, adj.) belong?	mfn·1a	mfn·8ib+3 | mfn·8c* | mfn·1a | mfn·8s+2
ZD-0124	classify	mfn·1a	mfn	a-stem	To which declension class does द्वेष्य (dveṣya, adj.) belong?	mfn·1a	mfn·8s+2 | mfn·8ib+3 | mfn·1a | mfn·8c*
ZD-0125	classify	mfn·1a	mfn	a-stem	To which declension class does अमन्युत (amanyuta, adj.) belong?	mfn·1a	mfn·1a | mfn·8s+2 | mfn·8c* | mfn·8ib+3
ZD-0126	classify	mfn·1a	mfn	a-stem	To which declension class does दात्तामित्रीय (dāttāmitrīya, adj.) belong?	mfn·1a	mfn·8s+2 | mfn·1a | mfn·8ib+3 | mfn·8c*
ZD-0127	classify	mfn·1a	mfn	a-stem	To which declension class does वार्चलीय (vārcalīya, adj.) belong?	mfn·1a	mfn·8c* | mfn·8ib+3 | mfn·1a | mfn·8s+2
ZD-0128	classify	mfn·1a	mfn	a-stem	To which declension class does आश्वत्थीय (āśvatthīya, adj.) belong?	mfn·1a	mfn·1a | mfn·8c* | mfn·8s+2 | mfn·8ib+3
ZD-0129	classify	mfn·1a	mfn	a-stem	To which declension class does आप्रपदीन (āprapadīna, adj.) belong?	mfn·1a	mfn·8c* | mfn·8ib+3 | mfn·8s+2 | mfn·1a
ZD-0130	classify	mfn·1a	mfn	a-stem	To which declension class does सूद्य (sūdya, adj.) belong?	mfn·1a	mfn·8ib+3 | mfn·8c* | mfn·8s+2 | mfn·1a
ZD-0131	classify	mfn·1a	mfn	a-stem	To which declension class does वैप्रश्निक (vaipraśnika, adj.) belong?	mfn·1a	mfn·1a | mfn·8c* | mfn·8ib+3 | mfn·8s+2
ZD-0132	classify	mfn·1a	mfn	a-stem	To which declension class does ग्रामीण (grāmīṇa, adj.) belong?	mfn·1a	mfn·8ib+3 | mfn·8s+2 | mfn·1a | mfn·8c*
ZD-0133	classify	mfn·1a	mfn	a-stem	To which declension class does भारत (bhārata, m.) belong?	mfn·1a	mfn·1a | mfn·8ib+3 | mfn·8c* | mfn·8s+2
ZD-0134	classify	mfn·1a	mfn	a-stem	To which declension class does स्तुषेय्य (stuṣeyya, adj.) belong?	mfn·1a	mfn·8s+2 | mfn·8ib+3 | mfn·8c* | mfn·1a
ZD-0135	classify	mfn·1a	mfn	a-stem	To which declension class does चातुर्वैद्य (cāturvaidya, adj.) belong?	mfn·1a	mfn·8c* | mfn·1a | mfn·8s+2 | mfn·8ib+3
ZD-0136	classify	mfn·1b	mfn	a-stem	To which declension class does अनालम्भुक (anālambhuka, adj.) belong?	mfn·1b	mfn·8i+3 | mfn·4a+2 | mfn·4 | mfn·1b
ZD-0137	classify	mfn·1b	mfn	a-stem	To which declension class does शारत्क (śāratka, adj.) belong?	mfn·1b	mfn·4a+2 | mfn·8i+3 | mfn·1b | mfn·4
ZD-0138	classify	mfn·1b	mfn	a-stem	To which declension class does सौखिक (saukhika, adj.) belong?	mfn·1b	mfn·8i+3 | mfn·1b | mfn·4 | mfn·4a+2
ZD-0139	classify	mfn·1b	mfn	a-stem	To which declension class does अयोध्य (ayodhya, adj.) belong?	mfn·1b	mfn·4a+2 | mfn·1b | mfn·4 | mfn·8i+3
ZD-0140	classify	mfn·1b	mfn	a-stem	To which declension class does लौमन्य (laumanya, adj.) belong?	mfn·1b	mfn·1b | mfn·4a+2 | mfn·4 | mfn·8i+3
ZD-0141	classify	mfn·1b	mfn	a-stem	To which declension class does काषाय (kāṣāya, adj.) belong?	mfn·1b	mfn·4a+2 | mfn·8i+3 | mfn·4 | mfn·1b
ZD-0142	classify	mfn·1b	mfn	a-stem	To which declension class does स्वायस (svāyasa, adj.) belong?	mfn·1b	mfn·8i+3 | mfn·4 | mfn·1b | mfn·4a+2
ZD-0143	classify	mfn·1b	mfn	a-stem	To which declension class does रजत (rajata, adj.) belong?	mfn·1b	mfn·8i+3 | mfn·1b | mfn·4a+2 | mfn·4
ZD-0144	classify	mfn·1b	mfn	a-stem	To which declension class does याष्टीक (yāṣṭīka, adj.) belong?	mfn·1b	mfn·4 | mfn·1b | mfn·8i+3 | mfn·4a+2
ZD-0145	classify	mfn·1b	mfn	a-stem	To which declension class does अयुध्य (ayudhya, adj.) belong?	mfn·1b	mfn·4 | mfn·8i+3 | mfn·1b | mfn·4a+2
ZD-0146	classify	mfn·1b	mfn	a-stem	To which declension class does स्फिर (sphira, adj.) belong?	mfn·1b	mfn·1b | mfn·4a+2 | mfn·4 | mfn·8i+3
ZD-0147	classify	mfn·1b	mfn	a-stem	To which declension class does असपत्न (asapatna, adj.) belong?	mfn·1b	mfn·8i+3 | mfn·4 | mfn·1b | mfn·4a+2
ZD-0148	classify	mfn·1b	mfn	a-stem	To which declension class does तैतिक्ष (taitikṣa, adj.) belong?	mfn·1b	mfn·4 | mfn·8i+3 | mfn·4a+2 | mfn·1b
ZD-0149	classify	mfn·1b	mfn	a-stem	To which declension class does स्वपन (svapana, adj.) belong?	mfn·1b	mfn·4 | mfn·4a+2 | mfn·1b | mfn·8i+3
ZD-0150	classify	mfn·1b	mfn	a-stem	To which declension class does पीनर (pīnara, adj.) belong?	mfn·1b	mfn·8i+3 | mfn·1b | mfn·4a+2 | mfn·4
ZD-0151	classify	f·4+2	f	ī-stem	To which declension class does जयन्तीसप्तमी (jayantīsaptamī, f.) belong?	f·4+2	f·5+3 | f·4+2 | f·8t*+2 | f·3b+3
ZD-0152	classify	f·4+2	f	ī-stem	To which declension class does अङ्गारपर्णी (aṅgāraparṇī, f.) belong?	f·4+2	f·4+2 | f·3b+3 | f·8t*+2 | f·5+3
ZD-0153	classify	f·4+2	f	ī-stem	To which declension class does कुस्त्री (kustrī, f.) belong?	f·4+2	f·8t*+2 | f·4+2 | f·5+3 | f·3b+3
ZD-0154	classify	f·4+2	f	ī-stem	To which declension class does सुप्रतीकिनी (supratīkinī, f.) belong?	f·4+2	f·3b+3 | f·8t*+2 | f·4+2 | f·5+3
ZD-0155	classify	f·4+2	f	ī-stem	To which declension class does मदिरावती (madirāvatī, f.) belong?	f·4+2	f·4+2 | f·8t*+2 | f·3b+3 | f·5+3
ZD-0156	classify	f·4+2	f	ī-stem	To which declension class does महावल्ली (mahāvallī, f.) belong?	f·4+2	f·4+2 | f·3b+3 | f·5+3 | f·8t*+2
ZD-0157	classify	f·4+2	f	ī-stem	To which declension class does पञ्चपदी (pañcapadī, f.) belong?	f·4+2	f·4+2 | f·3b+3 | f·8t*+2 | f·5+3
