pack	sent_n	sent_sub	tok_idx	form_slp1	surface_ru	lemma_ru	root_ru	layer_hit
hitopadesa-0	12	1	12	manAH		ум		lemma
hitopadesa-0	12	1	13	sa	он	он		surface+lemma
hitopadesa-0	12	1	14	rAjA	царь	царь		surface+lemma
hitopadesa-0	12	1	15	cintayAmAsa	подумал	подумал	подумал	surface+lemma+root
hitopadesa-0	12	2	0	ko	кто	что		surface+lemma
hitopadesa-0	12	2	1	rTaH		ради		lemma
hitopadesa-0	12	2	2	putreRa	сыном	сын		surface+lemma
hitopadesa-0	12	2	3	jAtena	в рожденном	родился	родился	surface+lemma+root
hitopadesa-0	12	2	4	yo	кто	что		surface+lemma
hitopadesa-0	12	2	5	na	не	не		surface+lemma
hitopadesa-0	12	2	6	vidvAn	знаток	мудрый		surface+lemma
hitopadesa-0	12	2	7	na	не	не		surface+lemma
hitopadesa-0	12	2	8	DArmikaH	добродетельный	добродетельный		surface+lemma
hitopadesa-0	12	3	0	kARena		одноглазый		lemma
hitopadesa-0	12	3	1	cakzuzA	глазом	глаз		surface+lemma
hitopadesa-0	12	3	2	kiM	что	что		surface+lemma
hitopadesa-0	12	3	3	vA	или	или	или	surface+lemma+root
hitopadesa-0	12	3	4	cakzuH	глаз	глаз		surface+lemma
hitopadesa-0	12	3	5	pIqA	самоистязанием	самоистязанием		surface+lemma
hitopadesa-0	12	3	6	eva	именно	именно		surface+lemma
hitopadesa-0	12	3	7	kevalam	только	только		surface+lemma
hitopadesa-0	13	1	0	ajAta	не родился	неродившихся		surface+lemma
hitopadesa-0	13	1	1	mfta	умершего	умирает	умирает	surface+lemma+root
hitopadesa-0	13	1	2	mUrKAnAm		глупец		lemma
hitopadesa-0	13	1	3	varam	дар	лучший		surface+lemma
hitopadesa-0	13	1	4	AdyO		изначальный		lemma
hitopadesa-0	13	1	5	na	не	не		surface+lemma
hitopadesa-0	13	1	6	ca	и	и		surface+lemma
hitopadesa-0	13	1	7	antimaH		последней		lemma
hitopadesa-0	13	2	0	sakfd	однажды	однажды		surface+lemma
hitopadesa-0	13	2	1	duHKa	страдание	горе		surface+lemma
hitopadesa-0	13	2	2	karO		руки		lemma
hitopadesa-0	13	2	3	AdyAv		изначальный		lemma
hitopadesa-0	13	2	4	antimas		последней		lemma
hitopadesa-0	13	2	5	tu	же	же	же	surface+lemma+root
hitopadesa-0	13	2	6	pade	месте	след		surface+lemma
hitopadesa-0	13	2	7	pade	месте	след		surface+lemma
hitopadesa-0	14	1	0	kiM	что	что		surface+lemma
hitopadesa-0	14	1	1	ca	и	и		surface+lemma
hitopadesa-0	14	2	0	varaM	дар	лучший		surface+lemma
hitopadesa-0	14	2	1	garBasrAvo		выкидыше		lemma
hitopadesa-0	14	2	2	varam	дар	лучший		surface+lemma
hitopadesa-0	14	2	3	api	также	также		surface+lemma
hitopadesa-0	14	2	4	ca	и	и		surface+lemma
hitopadesa-0	14	2	5	na	не	не		surface+lemma
hitopadesa-0	14	2	6	eva	именно	именно		surface+lemma
hitopadesa-0	14	2	7	aBigamanam	связь	сближении		surface+lemma
hitopadesa-0	14	2	8	varaM	дар	лучший		surface+lemma
hitopadesa-0	14	2	9	jAtaH	родился	родился	родился	surface+lemma+root
hitopadesa-0	14	2	10	preto	отсюда	после смерти	после смерти	surface+lemma+root
hitopadesa-0	14	2	11	varam	дар	лучший		surface+lemma
hitopadesa-0	14	2	12	api	также	также		surface+lemma
hitopadesa-0	14	2	13	ca	и	и		surface+lemma
hitopadesa-0	14	3	0	varaM	дар	лучший		surface+lemma
hitopadesa-0	14	3	1	vanDyA	бесплодная	бесплодная		surface+lemma
hitopadesa-0	14	3	2	BAryA	жена	жена		surface+lemma
hitopadesa-0	14	3	3	varam	дар	лучший		surface+lemma
hitopadesa-0	14	3	4	api	также	также		surface+lemma
hitopadesa-0	14	3	5	ca	и	и		surface+lemma
hitopadesa-0	14	3	6	garBezu	во чрева	зародыш		surface+lemma
hitopadesa-0	14	3	7	vasatir		ночи		lemma
hitopadesa-0	14	3	8	na	не	не		surface+lemma
hitopadesa-0	14	3	9	vA	или	или	или	surface+lemma+root
hitopadesa-0	14	3	10	a	о	о		surface+lemma
hitopadesa-0	14	3	11	vidvAn	знаток	знает	знает	surface+lemma+root
hitopadesa-0	14	3	12	rUpa	образ	образ		surface+lemma
hitopadesa-0	14	3	13	draviRa	богатство	богатство		surface+lemma
hitopadesa-0	14	3	14	guRa	гуны	гуны		surface+lemma
hitopadesa-0	14	3	15	yuktaH	наделенный	союзником	союзником	surface+lemma+root
hitopadesa-0	14	3	16	pi	и	также		surface+lemma
hitopadesa-0	14	3	17	tanayaH	сын	сын		surface+lemma
hitopadesa-0	15	1	0	sa	он	он		surface+lemma
hitopadesa-0	15	1	1	jAto	рожденный	родился	родился	surface+lemma+root
hitopadesa-0	15	1	2	yena	которым	что		surface+lemma
hitopadesa-0	15	1	3	jAtena	в рожденном	родился	родился	surface+lemma+root
hitopadesa-0	15	1	4	yAti	идет	идут	идут	surface+lemma+root
hitopadesa-0	15	1	5	vaMSaH	род	род		surface+lemma
hitopadesa-0	15	1	6	samunnatim				none
hitopadesa-0	15	2	0	parivartini		неусыпной		lemma
hitopadesa-0	15	2	1	saMsAre	в сансаре	сансары		surface+lemma
hitopadesa-0	15	2	2	mftaH	умер	умирает	умирает	surface+lemma+root
hitopadesa-0	15	2	3	ko	кто	что		surface+lemma
hitopadesa-0	15	2	4	vA	или	или	или	surface+lemma+root
hitopadesa-0	15	2	5	na	не	не		surface+lemma
hitopadesa-0	15	2	6	jAyate	рождается	родился	родился	surface+lemma+root
hitopadesa-0	16	1	0	anyac	другой	другой		surface+lemma
hitopadesa-0	16	1	1	ca	и	и		surface+lemma
hitopadesa-0	16	2	0	guRi		элементов		lemma
hitopadesa-0	16	2	1	gaRa	сонмы	сонмы		surface+lemma
hitopadesa-0	16	2	2	gaRanA	счете	счете		surface+lemma
hitopadesa-0	16	2	3	AramBe		начало		lemma
hitopadesa-0	16	2	4	na	не	не		surface+lemma
hitopadesa-0	16	2	5	patati	падает	упал	упал	surface+lemma+root
hitopadesa-0	16	2	6	kaWinI				none
hitopadesa-0	16	2	7	sa	он			surface
hitopadesa-0	16	2	8	samBramAt	смущенная	рвение		surface+lemma
hitopadesa-0	16	2	9	yasya	которого	что		surface+lemma
hitopadesa-0	16	3	0	tena	тем	он		surface+lemma
hitopadesa-0	16	3	1	ambA	Амба	мать		surface+lemma
hitopadesa-0	16	3	2	yadi	если	если		surface+lemma
hitopadesa-0	16	3	3	sutinI				none
hitopadesa-0	16	3	4	vada	скажи	говорят	говорят	surface+lemma+root
hitopadesa-0	16	3	5	vanDyA	бесплодная	бесплодная		surface+lemma
hitopadesa-0	16	3	6	kIdfSI	чему подобно	какова		surface+lemma
hitopadesa-0	16	3	7	Bavati	становится	будет	будет	surface+lemma+root
hitopadesa-0	17	1	0	api	также	также		surface+lemma
hitopadesa-0	17	1	1	ca	и	и		surface+lemma
hitopadesa-0	17	2	0	dAne	щедрости	дары		surface+lemma
hitopadesa-0	17	2	1	tapasi	подвижничеству	подвижничество		surface+lemma
hitopadesa-0	17	2	2	SOrye				none
hitopadesa-0	17	2	3	ca	и	и		surface+lemma
hitopadesa-0	17	2	4	yasya	которого	что		surface+lemma
hitopadesa-0	17	2	5	na	не	не		surface+lemma
hitopadesa-0	17	2	6	praTitaM	прославленной	прославленный	прославленный	surface+lemma+root
hitopadesa-0	17	2	7	manaH	ум	ум		surface+lemma
hitopadesa-0	17	3	0	vidyAyAm		знание		lemma
hitopadesa-0	17	3	1	arTa	ради	ради		surface+lemma
hitopadesa-0	17	3	2	lABe	из-за нее	прибыль		surface+lemma
hitopadesa-0	17	3	3	ca	и	и		surface+lemma
hitopadesa-0	17	3	4	mAtur	матери	мать		surface+lemma
hitopadesa-0	17	3	5	uccAra	испражняться	испражняться		surface+lemma
hitopadesa-0	17	3	6	eva	именно	именно		surface+lemma
hitopadesa-0	17	3	7	saH	он	он		surface+lemma
hitopadesa-0	18	1	0	aparaM	последующего	другие		surface+lemma
hitopadesa-0	18	1	1	ca	и	и		surface+lemma
hitopadesa-0	18	2	0	varam	дар	лучший		surface+lemma
hitopadesa-0	18	2	1	eko	один	один		surface+lemma
hitopadesa-0	18	2	2	guRI		элементов		lemma
hitopadesa-0	18	2	3	putro	сын	сын		surface+lemma
hitopadesa-0	18	2	4	na	не	не		surface+lemma
hitopadesa-0	18	2	5	ca	и	и		surface+lemma
hitopadesa-0	18	2	6	mUrKa	глупец	глупец		surface+lemma
hitopadesa-0	18	2	7	SatEH		сто		lemma
hitopadesa-0	18	2	8	api	также	также		surface+lemma
hitopadesa-0	18	3	0	ekaS		один		lemma
hitopadesa-0	18	3	1	candramAs	Чандрамас	луна		surface+lemma
hitopadesa-0	18	3	2	tamo	мрак	мрак		surface+lemma
hitopadesa-0	18	3	3	hanti	убивает	убит	убит	surface+lemma+root
hitopadesa-0	18	3	4	na	не	не		surface+lemma
hitopadesa-0	18	3	5	ca	и	и		surface+lemma
hitopadesa-0	18	3	6	tArA	звезды	звезды		surface+lemma
hitopadesa-0	18	3	7	gaREH		сонмы		lemma
hitopadesa-0	18	3	8	api	также	также		surface+lemma
hitopadesa-0	19	1	0	puRya	святые	святая		surface+lemma
hitopadesa-0	19	1	1	tIrTe	тиртхе	тиртхе		surface+lemma
hitopadesa-0	19	1	2	kftaM	совершен	сделал	сделал	surface+lemma+root
hitopadesa-0	19	1	3	yena	которым	что		surface+lemma
hitopadesa-0	19	1	4	tapaH	подвижничество	подвижничество		surface+lemma
hitopadesa-0	19	1	5	kvApy		где-либо		lemma
hitopadesa-0	19	1	6	atiduzkaram		труднее		lemma
hitopadesa-0	19	2	0	tasya	его	он		surface+lemma
hitopadesa-0	19	2	1	putro	сын	сын		surface+lemma
hitopadesa-0	19	2	2	Baved	да проявят	будет	будет	surface+lemma+root
hitopadesa-0	19	2	3	vaSyaH	во власти	послушным		surface+lemma
hitopadesa-0	19	2	4	samfdDo		процветающим	врагов	lemma+root
hitopadesa-0	19	2	5	DArmikaH	добродетельный	добродетельный		surface+lemma
hitopadesa-0	19	2	6	suDIH	мудрый	мудрый		surface+lemma
hitopadesa-0	2	1	0	Sruto	знаменит	услышав	услышав	surface+lemma+root
hitopadesa-0	2	1	1	hitopadeSo				none
hitopadesa-0	2	1	2	yaM	кого	это		surface+lemma
hitopadesa-0	2	1	3	pAwavaM	искусство	Ваджроли		surface+lemma
hitopadesa-0	2	1	4	saMskfta	освященное			surface
hitopadesa-0	2	1	5	uktizu		говорится		lemma
hitopadesa-0	2	2	0	vAcAM		речь		lemma
hitopadesa-0	2	2	1	sarvatra	везде	везде		surface+lemma
hitopadesa-0	2	2	2	vEcitryaM				none
hitopadesa-0	2	2	3	nIti	политика	политика		surface+lemma
hitopadesa-0	2	2	4	vidyAm	знание	знание		surface+lemma
hitopadesa-0	2	2	5	dadAti	дает	дает	взяв	surface+lemma+root
hitopadesa-0	2	2	6	ca	и	и		surface+lemma
hitopadesa-0	20	1	0	taTA	так	так		surface+lemma
hitopadesa-0	20	1	1	ca	и	и		surface+lemma
hitopadesa-0	20	1	2	uktam	сказано	сказал	сказал	surface+lemma+root
hitopadesa-0	20	2	0	arTa	ради	ради		surface+lemma
hitopadesa-0	20	2	1	AgamaH	приход	пришел		surface+lemma
hitopadesa-0	20	2	2	nityam	всегда	всегда		surface+lemma
hitopadesa-0	20	2	3	a	о	о		surface+lemma
hitopadesa-0	20	2	4	rogi		больной		lemma
hitopadesa-0	20	2	5	tA	эти	эти		surface+lemma
hitopadesa-0	20	2	6	ca	и	и		surface+lemma
hitopadesa-0	20	2	7	priyA	любимая	приятное		surface+lemma
hitopadesa-0	20	2	8	ca	и	и		surface+lemma
hitopadesa-0	20	2	9	BAryA	жена	жена		surface+lemma
hitopadesa-0	20	2	10	priya	дорог	приятное		surface+lemma
hitopadesa-0	20	2	11	vAdinI	говорящая	говорящие		surface+lemma
hitopadesa-0	20	2	12	ca	и	и		surface+lemma
hitopadesa-0	20	3	0	vaSyaS		послушным		lemma
hitopadesa-0	20	3	1	ca	и	и		surface+lemma
hitopadesa-0	20	3	2	putro	сын	сын		surface+lemma
hitopadesa-0	20	3	3	arTa	ради	ради		surface+lemma
hitopadesa-0	20	3	4	karI	слон	слон		surface+lemma
hitopadesa-0	20	3	5	ca	и	и		surface+lemma
hitopadesa-0	20	3	6	vidyA	знание	знание		surface+lemma
hitopadesa-0	20	3	7	zaq	шесть	шесть		surface+lemma
hitopadesa-0	20	3	8	jIvalokasya	мира живущих	мир живых		surface+lemma
hitopadesa-0	20	3	9	suKAni	счастья	счастье		surface+lemma
hitopadesa-0	20	3	10	rAjan	царь	царь		surface+lemma
hitopadesa-0	21	1	0	ko	кто	что		surface+lemma
hitopadesa-0	21	1	1	Danyo		счастлив		lemma
hitopadesa-0	21	1	2	bahuBiH	многими	много		surface+lemma
hitopadesa-0	21	1	3	putrEH		сын		lemma
hitopadesa-0	21	1	4	kuSUla				none
hitopadesa-0	21	1	5	ApUraRa	Апурана	Апурана		surface+lemma
hitopadesa-0	21	1	6	AQakEH		адхака		lemma
hitopadesa-0	21	2	0	varam	дар	лучший		surface+lemma
hitopadesa-0	21	2	1	ekaH	один	один		surface+lemma
hitopadesa-0	21	2	2	kula	род	род		surface+lemma
hitopadesa-0	21	2	3	AlambI				none
hitopadesa-0	21	2	4	yatra	где	где		surface+lemma
hitopadesa-0	21	2	5	viSrUyate		прославленный	услышав	lemma+root
hitopadesa-0	21	2	6	pitA	отец	отец		surface+lemma
hitopadesa-0	22	1	0	fRakartA				none
hitopadesa-0	22	1	1	pitA	отец	отец		surface+lemma
hitopadesa-0	22	1	2	Satrur		врагов		lemma
hitopadesa-0	22	1	3	mAtA	мать	мать		surface+lemma
hitopadesa-0	22	1	4	ca	и	и		surface+lemma
hitopadesa-0	22	1	5	vyaBicAriRI	изменяя	изменяя		surface+lemma
hitopadesa-0	22	2	0	BAryA	жена	жена		surface+lemma
hitopadesa-0	22	2	1	rUpavatI	красива	прекрасен		surface+lemma
hitopadesa-0	22	2	2	SatruH	враг	врагов		surface+lemma
hitopadesa-0	22	2	3	putraH	сын	сын		surface+lemma
hitopadesa-0	22	2	4	Satrur		врагов		lemma
hitopadesa-0	22	2	5	apaRqitaH	глупец	невежда		surface+lemma
hitopadesa-0	23	1	0	yasya	которого	что		surface+lemma
hitopadesa-0	23	1	1	kasya	чья	что		surface+lemma
hitopadesa-0	23	1	2	prasUto		размножайтесь	родила	lemma+root
hitopadesa-0	23	1	3	pi	и	также		surface+lemma
hitopadesa-0	23	1	4	guRavAn	добродетельный	добродетельный		surface+lemma
hitopadesa-0	23	1	5	pUjyate	почитается	почтил	почтив	surface+lemma+root
hitopadesa-0	23	1	6	naraH	человек	человек		surface+lemma
hitopadesa-0	23	2	0	Danus	лук	лук		surface+lemma
hitopadesa-0	23	2	1	vaMSa	род	род		surface+lemma
hitopadesa-0	23	2	2	viSudDaH		очищается	очищается	lemma+root
hitopadesa-0	23	2	3	pi	и	также		surface+lemma
hitopadesa-0	23	2	4	nirguRaH	не достоин	лишенный свойств		surface+lemma
hitopadesa-0	23	2	5	kiM	что	что		surface+lemma
hitopadesa-0	23	2	6	karizyati	сделает	сделал	сделал	surface+lemma+root
hitopadesa-0	24	1	0	hA	о	оставив	оставив	surface+lemma+root
hitopadesa-0	24	1	1	hA	о	оставив	оставив	surface+lemma+root
hitopadesa-0	24	1	2	putraka	сынок	сынок		surface+lemma
hitopadesa-0	24	1	3	na	не	не		surface+lemma
hitopadesa-0	24	1	4	aDItam	изучена	изучив	молитвы	surface+lemma+root
hitopadesa-0	24	1	5	gatAsv		отправился	пришел	lemma+root
hitopadesa-0	24	1	6	etAsu	в этих	это		surface+lemma
hitopadesa-0	24	1	7	rAtrizu	ночью	ночь		surface+lemma
hitopadesa-0	24	2	0	tena	тем	он		surface+lemma
hitopadesa-0	24	2	1	tvaM	ты	тебя		surface+lemma
hitopadesa-0	24	2	2	viduzAM	сведущих	мудрый		surface+lemma
hitopadesa-0	24	2	3	maDye	среди	среди		surface+lemma
hitopadesa-0	24	2	4	paNke	в тину	грязь		surface+lemma
hitopadesa-0	24	2	5	gOr		коров		lemma
hitopadesa-0	24	2	6	iva	как	как		surface+lemma
hitopadesa-0	24	2	7	sIdasi	сидишь	усаживается	уселся	surface+lemma+root
hitopadesa-0	25	1	0	tat	то	он		surface+lemma
hitopadesa-0	25	1	1	kaTam	как	как		surface+lemma
hitopadesa-0	25	1	2	idAnIm	теперь	теперь		surface+lemma
hitopadesa-0	25	1	3	ete	эти	это		surface+lemma
hitopadesa-0	25	1	4	mama	мне	я	я	surface+lemma+root
hitopadesa-0	25	1	5	putrA	сыновья	сын		surface+lemma
hitopadesa-0	25	1	6	guRavantaH	благородные	добродетельный		surface+lemma
hitopadesa-0	25	1	7	kriyantAm	раскинут	сделал	сделал	surface+lemma+root
hitopadesa-0	25	1	8	yataH	откуда	откуда		surface+lemma
hitopadesa-0	25	2	0	AhAra	пища	пища		surface+lemma
hitopadesa-0	25	2	1	nidrA	сон	сон	сон	surface+lemma+root
hitopadesa-0	25	2	2	Baya	страх	страх		surface+lemma
hitopadesa-0	25	2	3	mETunAni				none
hitopadesa-0	25	2	4	sAmAnyam	универсалия	общее		surface+lemma
hitopadesa-0	25	2	5	etat	это	это		surface+lemma
hitopadesa-0	25	2	6	paSuBir	домашними животными	скот		surface+lemma
hitopadesa-0	25	2	7	narARAm	людей	человек		surface+lemma
hitopadesa-0	25	3	0	jYAnaM	знание	знание		surface+lemma
hitopadesa-0	25	3	1	narARAm	людей	человек		surface+lemma
hitopadesa-0	25	3	2	aDiko		выше		lemma
hitopadesa-0	25	3	3	viSezo	Различие	различие		surface+lemma
hitopadesa-0	25	3	4	jYAnena	знанием	знание		surface+lemma
hitopadesa-0	25	3	5	hInAH	лишенные	оставив	оставив	surface+lemma+root
hitopadesa-0	25	3	6	paSuBiH	скотом	скот		surface+lemma
hitopadesa-0	25	3	7	samAnAH	сообща	самана		surface+lemma
hitopadesa-0	26	1	0	yataH	откуда	откуда		surface+lemma
hitopadesa-0	26	2	0	Darma	дхарма	дхарма		surface+lemma
hitopadesa-0	26	2	1	arTa	ради	ради		surface+lemma
hitopadesa-0	26	2	2	kAma	желание	желание		surface+lemma
hitopadesa-0	26	2	3	mokzARAm		освобождение		lemma
hitopadesa-0	26	2	4	yasya	которого	что		surface+lemma
hitopadesa-0	26	2	5	ekaH	один	один		surface+lemma
hitopadesa-0	26	2	6	pi	и	также		surface+lemma
hitopadesa-0	26	2	7	na	не	не		surface+lemma
hitopadesa-0	26	2	8	vidyate	есть	знает	знает	surface+lemma+root
hitopadesa-0	26	3	0	ajAgalastanasya				none
hitopadesa-0	26	3	1	iva	как	как		surface+lemma
hitopadesa-0	26	3	2	tasya	его	он		surface+lemma
hitopadesa-0	26	3	3	janma	рождение	рождение		surface+lemma
hitopadesa-0	26	3	4	nirarTakam	напрасными	тщетными		surface+lemma
hitopadesa-0	27	1	0	yac	что	что		surface+lemma
hitopadesa-0	27	1	1	ca	и	и		surface+lemma
hitopadesa-0	27	1	2	ucyate	называется	сказал	сказал	surface+lemma+root
hitopadesa-0	27	2	0	AyuH	срок жизни	срок жизни		surface+lemma
hitopadesa-0	27	2	1	karma	деятельность	действия		surface+lemma
hitopadesa-0	27	2	2	ca	и	и		surface+lemma
hitopadesa-0	27	2	3	vittaM	богатство	богатство		surface+lemma
hitopadesa-0	27	2	4	ca	и	и		surface+lemma
hitopadesa-0	27	2	5	vidyA	знание	знание		surface+lemma
hitopadesa-0	27	2	6	niDanam	смерть	смерть		surface+lemma
hitopadesa-0	27	2	7	eva	именно	именно		surface+lemma
hitopadesa-0	27	2	8	ca	и	и		surface+lemma
hitopadesa-0	27	3	0	paYca	пять	пять		surface+lemma
hitopadesa-0	27	3	1	etAni	эти	это		surface+lemma
hitopadesa-0	27	3	2	hi	ведь	ведь	ведь	surface+lemma+root
hitopadesa-0	27	3	3	sfjyante	возрождаются	сотворил	выпустил	surface+lemma+root
hitopadesa-0	27	3	4	garBa	зародыш	зародыш		surface+lemma
hitopadesa-0	27	3	5	sTasya		стоит		lemma
hitopadesa-0	27	3	6	eva	именно	именно		surface+lemma
hitopadesa-0	27	3	7	dehinaH	смертных	воплощенный		surface+lemma
hitopadesa-0	28	1	0	kiM	что	что		surface+lemma
hitopadesa-0	28	1	1	ca	и	и		surface+lemma
hitopadesa-0	28	2	0	avaSyaM	непременно	непременно		surface+lemma
hitopadesa-0	28	2	1	BAvino		будет		lemma
hitopadesa-0	28	2	2	BAvA	становятся	бытие		surface+lemma
hitopadesa-0	28	2	3	Bavanti	становятся	будет	будет	surface+lemma+root
hitopadesa-0	28	2	4	mahatAm	великих	великий		surface+lemma
hitopadesa-0	28	2	5	api	также	также		surface+lemma
hitopadesa-0	28	3	0	nagna	нагим	нагим		surface+lemma
hitopadesa-0	28	3	1	tvam	ты	ты		surface+lemma
hitopadesa-0	28	3	2	nIlakaRWasya		Синегорлый		lemma
hitopadesa-0	28	3	3	mahA	великий	великий		surface+lemma
hitopadesa-0	28	3	4	ahi	змея	змея		surface+lemma
hitopadesa-0	28	3	5	Sayanam	ложе	ложе		surface+lemma
hitopadesa-0	28	3	6	hareH	Хари	Хари		surface+lemma
hitopadesa-0	29	1	0	anyac	другой	другой		surface+lemma
hitopadesa-0	29	1	1	ca	и	и		surface+lemma
hitopadesa-0	29	2	0	yad	что	что		surface+lemma
hitopadesa-0	29	2	1	aBAvi		достигают		lemma
hitopadesa-0	29	2	2	na	не	не		surface+lemma
hitopadesa-0	29	2	3	tad	то	он		surface+lemma
hitopadesa-0	29	2	4	BAvi	будет	будет		surface+lemma
hitopadesa-0	29	2	5	BAvi	будет	будет		surface+lemma
hitopadesa-0	29	2	6	cen	если	если		surface+lemma
hitopadesa-0	29	2	7	na	не	не		surface+lemma
hitopadesa-0	29	2	8	tad	то	он		surface+lemma
hitopadesa-0	29	2	9	anyaTA	иначе	иначе		surface+lemma
hitopadesa-0	29	3	0	iti	так	так		surface+lemma
