verse	widx	gold_form	gold_lemma	gold_pos	gold_morph	dcs_forms	dcs_lemmas	dcs_upos	class	note
1.02	9	ācāryam	ācārya	nominal	acc/sg/m	ācāryam	ācārya	NOUN	OK	
1.02	10	upasaṅgamya	upa-sam-√gam			upasaṃgamya	upasaṃgam	VERB	OK	
1.02	11	rājā	rājan	nominal	nom/sg/m	rājā	rājan	NOUN	OK	
1.02	12	vacanam	vacana	nominal	acc/sg/n	vacanam	vacana	NOUN	OK	
1.02	13	abravīt	√brū	verb	sg	abravīt	brū	VERB	OK	
1.03	1	paśya	√dṛś	verb	sg	paśya	paś	VERB	LEMMA_DIFF	
1.03	2	etām	etat	pronoun	acc/sg/f	etām	etad	PRON	LEMMA_DIFF	
1.03	3	pāṇḍu-putrāṇām	pāṇḍu-putra	nominal	gen/pl/m	pāṇḍu + putrāṇām	pāṇḍu + putra	NOUN + NOUN	OK_COMPOUND_SPLIT	compound split 2 ways
1.03	4	ācārya	ācārya	nominal	voc/sg/m	ācārya	ācārya	NOUN	OK	
1.03	5	mahatīm	mahatī	nominal	acc/sg/f	mahatīṃ	mahat	ADJ	OK	
1.03	6	camūm	camū	nominal	acc/sg/f	camūm	camū	NOUN	OK	
1.03	7	vyūḍhām	vyūḍhā	participle	acc/sg/f	vyūḍhāṃ	vyūh	VERB	LEMMA_DIFF	
1.03	8	drupada-putreṇa	drupada-putra	nominal	ins/sg/m	drupada + putreṇa	drupada + putra	NOUN + NOUN	OK_COMPOUND_SPLIT	compound split 2 ways
1.03	9	tava	yuṣmat	pronoun	gen/sg	tava	tvad	PRON	LEMMA_DIFF	
1.03	10	śiṣyeṇa	śiṣya	participle	ins/sg/m	śiṣyeṇa	śiṣya	NOUN	POS_DIFF	
1.03	11	dhīmatā	dhīmant	nominal	ins/sg/m	dhīmatā	dhīmat	ADJ	LEMMA_DIFF	
1.04	1	atra	atra	indeclinable		atra	atra	ADV	OK	
1.04	2	śūrāḥ	śūra	nominal	nom/pl/m	śūrā	śūra	NOUN	OK	
1.04	3	maheṣv-āsāḥ	mahā-iṣu-āsa	nominal	nom/pl/m	mahā + iṣvāsāḥ	mahat + iṣvāsa	ADJ + NOUN	LEMMA_DIFF	compound split 2 ways
1.04	4	bhīmārjuna-samāḥ	bhīma-arjuna-sama	nominal	nom/pl/m	bhīma + arjuna + samāḥ	bhīma + arjuna + sama	NOUN + NOUN + PRON	OK_COMPOUND_SPLIT	compound split 3 ways
1.04	5	yudhi	yudh	nominal	loc/sg/f	yudhi	yudh	NOUN	OK	
ch7242						yuyudhāno	yuyudhāna	NOUN	UNALIGNED_DCS	extra DCS token
1.04	6	yuyudhānaḥ	yuyudhāna	nominal					UNALIGNED_GOLD	no DCS token matched
1.04	7	virāṭaḥ	virāṭa	nominal	nom/sg/m	virāṭaḥ	virāṭa	NOUN	OK	
1.04	8	ca	ca	indeclinable		ca	ca	CONJ	OK	
1.04	9	drupadaḥ	dru-pada	nominal	nom/sg/m	drupadaḥ	drupada	NOUN	OK	
1.04	10	ca	ca	indeclinable		ca	ca	CONJ	OK	
1.04	11	mahā-rathaḥ	mahā-ratha	nominal	nom/sg/m	mahā + rathaḥ	mahat + ratha	ADJ + NOUN	LEMMA_DIFF	compound split 2 ways
1.05	1	dhṛṣṭa-ketuḥ	dhṛṣṭa-ketu	nominal	nom/sg/m	dhṛṣṭaketuḥ	dhṛṣṭaketu	NOUN	OK	
1.05	2	cekitānaḥ	cekitāna	nominal	nom/sg/m	cekitānaḥ	cekitāna	NOUN	OK	
1.05	3	kāśi-rājaḥ	kāśi-rāja	nominal	nom/sg/m	kāśi + rājaḥ	kāśi + rāja	NOUN + NOUN	OK_COMPOUND_SPLIT	compound split 2 ways
1.05	4	ca	ca	indeclinable		ca	ca	CONJ	OK	
1.05	5	vīryavān	vīrya-vant	nominal	nom/sg/m	vīryavān	vīryavat	ADJ	LEMMA_DIFF	
1.05	6	purujit	puru-jit	nominal	nom/sg/m	purujit	purujit	NOUN	OK	
1.05	7	kunti-bhojaḥ	kunti-bhoja	nominal	nom/sg/m	kuntibhojaḥ	kuntibhoja	NOUN	OK	
1.05	8	ca	ca	indeclinable		ca	ca	CONJ	OK	
1.05	9	śaibyaḥ	śaibya	nominal	nom/sg/m	śaibyaḥ	śaibya	NOUN	OK	
1.05	10	ca	ca	indeclinable		ca	ca	CONJ	OK	
1.05	11	nara-puṁgavaḥ	nara-puṅgava	nominal	nom/sg/m	nara + puṃgavaḥ	nara + puṃgava	NOUN + NOUN	LEMMA_DIFF	compound split 2 ways
1.06	1	yudhā-manyuḥ	yudhā-manyu	nominal	nom/sg/m	yudhāmanyuḥ	yudhāmanyu	NOUN	OK	
1.06	2	ca	ca	indeclinable		ca	ca	CONJ	OK	
1.06	3	vikrāntaḥ	vikrānta	participle	nom/sg/m	vikrānta	vikram	VERB	LEMMA_DIFF	
1.06	4	uttamaujāḥ	uttama-ojas	nominal	nom/sg/m	uttamaujāḥ	uttamaujas	NOUN	LEMMA_DIFF	
1.06	5	ca	ca	indeclinable		ca	ca	CONJ	OK	
1.06	6	vīryavān	vīrya-vant	nominal	nom/sg/m	vīryavān	vīryavat	ADJ	LEMMA_DIFF	
ch7242						saubhadro	saubhadra	NOUN	UNALIGNED_DCS	extra DCS token
1.06	7	saubhadraḥ	saubhadra	nominal					UNALIGNED_GOLD	no DCS token matched
1.06	8	draupadeyāḥ	draupadeya	nominal	nom/pl/m	draupadeyāḥ	draupadeya	NOUN	OK	
1.06	9	ca	ca	indeclinable		ca	ca	CONJ	OK	
ch7242						sarva	sarva	PRON	UNALIGNED_DCS	extra DCS token
1.06	10	sarve	sarva	pronoun					UNALIGNED_GOLD	no DCS token matched
1.06	11	eva	eva	indeclinable		eva	eva	PART	OK	
1.06	12	mahā-rathāḥ	mahā-ratha	nominal	nom/pl/m	mahā + rathāḥ	mahat + ratha	ADJ + NOUN	LEMMA_DIFF	compound split 2 ways
1.07	1	asmākam	asmat	pronoun	gen/pl	asmākaṃ	mad	PRON	LEMMA_DIFF	
1.07	2	tu	tu	indeclinable		tu	tu	PART	OK	
1.07	3	viśiṣṭāḥ	viśiṣṭa	participle	nom/pl/m	viśiṣṭā	viśiṣ	VERB	OK	
1.07	4	ye	yat	pronoun	nom/pl/m	ye	yad	PRON	LEMMA_DIFF	
1.07	5	tān	tat	pronoun	acc/pl/m	tān	tad	PRON	LEMMA_DIFF	
1.07	6	nibodha	ni-√budh	verb	sg	nibodha	nibudh	VERB	OK	
1.07	7	dvijottama	dvi-ja-uttama	nominal	voc/sg/m	dvijottama	dvijottama	NOUN	LEMMA_DIFF	
1.07	8	nāyakāḥ	nāyaka	nominal	nom/pl/m	nāyakā	nāyaka	NOUN	OK	
1.07	9	mama	asmat	pronoun	gen/sg	mama	mad	PRON	LEMMA_DIFF	
1.07	10	sainyasya	sainya	nominal	gen/sg/m	sainyasya	sainya	NOUN	OK	
1.07	11	saṁjñā-artham	saṁjñā-artham	indeclinable		saṃjñā + artham	saṃjñā + artha	NOUN + NOUN	POS_DIFF	compound split 2 ways
1.07	12	tān	tat	pronoun	acc/pl/m	tān	tad	PRON	LEMMA_DIFF	
1.07	13	bravīmi	√brū	verb	sg	bravīmi	brū	VERB	OK	
1.07	14	te	yuṣmat	pronoun	gen/sg	te	tvad	PRON	LEMMA_DIFF	
1.08	1	bhavān	bhavant	nominal	nom/sg/m	bhavān	bhavat	ADJ	LEMMA_DIFF	
1.08	2	bhīṣmaḥ	bhīṣma	nominal	nom/sg/m	bhīṣmaḥ	bhīṣma	NOUN	OK	
1.08	3	ca	ca	indeclinable		ca	ca	CONJ	OK	
1.08	4	karṇaḥ	karṇa	nominal	nom/sg/m	karṇaḥ	karṇa	NOUN	OK	
1.08	5	ca	ca	indeclinable		ca	ca	CONJ	OK	
1.08	6	kṛpaḥ	kṛpa	nominal	nom/sg/m	kṛpaḥ	kṛpa	NOUN	OK	
1.08	7	ca	ca	indeclinable		ca	ca	CONJ	OK	
1.08	8	samitiṁ-jayaḥ	samitiṁ-jaya	nominal	nom/sg/m	samitiṃjayaḥ	samitiṃjaya	ADJ	OK	
1.08	9	aśvatthāmā	aśva-sthā-man	nominal	nom/sg/m	aśvatthāmā	aśvatthāman	NOUN	LEMMA_DIFF	
1.08	10	vikarṇaḥ	vi-karṇa	nominal	nom/sg/m	vikarṇaḥ	vikarṇa	NOUN	OK	
1.08	11	ca	ca	indeclinable		ca	ca	CONJ	OK	
1.08	12	saumadattiḥ	sauma-datti	nominal	nom/sg/m	saumadattiḥ	saumadatti	NOUN	OK	
1.08	13	tathā	tathā	indeclinable		tathā	tathā	ADV	OK	
1.08	14	eva	eva	indeclinable		eva	eva	PART	OK	
1.08	15	ca	ca	indeclinable		ca	ca	CONJ	OK	
1.09	1	anye	anya	pronoun	nom/pl/m	anye	anya	PRON	OK	
1.09	2	ca	ca	indeclinable		ca	ca	CONJ	OK	
1.09	3	bahavaḥ	bahu	nominal	nom/pl/m	bahavaḥ	bahu	ADJ	OK	
1.09	4	śūrāḥ	śūra	nominal	nom/pl/m	śūrā	śūra	NOUN	OK	
1.09	5	mad-arthe	mad-artha	nominal	loc/sg/m	mad + arthe	mad + artha	PRON + NOUN	OK_COMPOUND_SPLIT	compound split 2 ways
1.09	6	tyakta-jīvitāḥ	tyakta-jīvita	nominal	nom/pl/m	tyakta + jīvitāḥ	tyaj + jīvita	VERB + NOUN	LEMMA_DIFF	compound split 2 ways
1.09	7	nānā-śastra-praharaṇāḥ	nānā-śastra-praharaṇa	nominal	nom/pl/m	nānā + śastra + praharaṇāḥ	nānā + śastra + praharaṇa	ADV + NOUN + NOUN	OK_COMPOUND_SPLIT	compound split 3 ways
1.09	8	sarve	sarva	pronoun	nom/pl/m	sarve	sarva	PRON	OK	
1.09	9	yuddha-viśāradāḥ	yuddha-viśārada	nominal	nom/pl/m	yuddha + viśāradāḥ	yuddha + viśārada	NOUN + ADJ	OK_COMPOUND_SPLIT	compound split 2 ways
1.10	1	aparyāptam	a-pari-āpta	participle	nom/sg/n	aparyāptaṃ	aparyāpta	ADJ	LEMMA_DIFF_POS_DIFF	
1.10	2	tat	tat	pronoun	nom/sg/n	tat	tad	PRON	LEMMA_DIFF	
1.10	3	asmākam	asmat	nominal	gen/pl	asmākam	mad	PRON	LEMMA_DIFF_POS_DIFF	
1.10	4	balam	bala	nominal	nom/sg/n	balaṃ	bala	NOUN	OK	
1.10	5	bhīṣmābhirakṣitam	bhīṣma-abhi-rakṣita	nominal	nom/sg/n	bhīṣma + abhirakṣitam	bhīṣma + abhirakṣ	NOUN + VERB	OK_COMPOUND_SPLIT	compound split 2 ways
1.10	6	paryāptam	pari-āpta	participle	nom/sg/n	paryāptaṃ	paryāp	VERB	LEMMA_DIFF	
1.10	7	tu	tu	indeclinable		tu	tu	PART	OK	
1.10	8	idam	idam	pronoun	nom/sg/n	idam	idam	PRON	OK	
1.10	9	eteṣām	etat	pronoun	gen/pl/m	eteṣām	etad	PRON	LEMMA_DIFF	
1.10	10	balam	bala	nominal	nom/sg/n	balaṃ	bala	NOUN	OK	
1.10	11	bhīmābhirakṣitam	bhīma-abhi-rakṣita	nominal	nom/sg/n	bhīma + abhirakṣitam	bhīma + abhirakṣ	NOUN + VERB	OK_COMPOUND_SPLIT	compound split 2 ways
1.11	1	ayaneṣu	ayana	nominal	loc/pl/n	ayaneṣu	ayana	NOUN	OK	
1.11	2	ca	ca	indeclinable		ca	ca	CONJ	OK	
1.11	3	sarveṣu	sarva	pronoun	loc/pl/n	sarveṣu	sarva	PRON	OK	
ch7242						yathābhāgam	yathābhāgam	ADV	UNALIGNED_DCS	extra DCS token
1.11	4	yathā bhāgam	yathā bhāgam	indeclinable					UNALIGNED_GOLD	no DCS token matched
1.11	5	avasthitāḥ	avasthita	participle	nom/pl/m	avasthitāḥ	avasthā	VERB	LEMMA_DIFF	
1.11	6	bhīṣmam	bhīṣma	nominal	acc/sg/m	bhīṣmam	bhīṣma	NOUN	OK	
1.11	7	eva	eva	indeclinable		eva	eva	PART	OK	
1.11	8	abhirakṣantu	abhi-√rakṣ	verb	pl	abhirakṣantu	abhirakṣ	VERB	OK	
1.11	9	bhavantaḥ	bhavant	nominal	nom/pl/m	bhavantaḥ	bhavat	ADJ	LEMMA_DIFF	
ch7242						sarva	sarva	PRON	UNALIGNED_DCS	extra DCS token
1.11	10	sarve	sarva	pronoun					UNALIGNED_GOLD	no DCS token matched
1.11	11	eva	eva	indeclinable		eva	eva	PART	OK	
1.11	12	hi	hi	indeclinable		hi	hi	PART	OK	
1.12	1	tasya	tat	pronoun	gen/sg/m	tasya	tad	PRON	LEMMA_DIFF	
1.12	2	saṁjanayan	sam-janayant	participle	m	saṃjanayan	saṃjanay	VERB	OK	
1.12	3	harṣaṁ	harṣa	nominal	acc/sg/m	harṣam	harṣa	NOUN	OK	
1.12	4	kuru-vṛddhaḥ	kuru-vṛddha	nominal	nom/sg/m	kuruvṛddhaḥ	kuruvṛddha	NOUN	OK	
1.12	5	pitā-mahaḥ	pitā-maha	nominal	nom/sg/m	pitāmahaḥ	pitāmaha	NOUN	OK	
1.12	6	siṁha-nādam	siṁha-nāda	nominal	acc/sg/m	siṃhanādaṃ	siṃhanāda	NOUN	OK	
1.12	7	vinadya	vi-√nad			vinadya	vinad	VERB	OK	
1.12	8	uccaiḥ	uccaiḥ	indeclinable		uccais	uccais	ADV	LEMMA_DIFF	
1.12	9	śaṅkham	śaṅkha	nominal	acc/sg/m	śaṅkhaṃ	śaṅkha	NOUN	OK	
1.12	10	dadhmau	√dhmā	verb	sg	dadhmau	dham	VERB	LEMMA_DIFF	
1.12	11	pratāpavān	pratāpa-vant	nominal	nom/sg/m	pratāpavān	pratāpavat	ADJ	LEMMA_DIFF	
1.13	1	tataḥ	tataḥ	indeclinable		tataḥ	tatas	ADV	LEMMA_DIFF	
1.13	2	śaṅkhāḥ	śaṅkha	nominal	nom/pl/m	śaṅkhāḥ	śaṅkha	NOUN	OK	
1.13	3	ca	ca	indeclinable		ca	ca	CONJ	OK	
1.13	4	bheryaḥ	bherī	nominal	nom/pl/f	bheryaḥ	bherī	NOUN	OK	
1.13	5	ca	ca	indeclinable		ca	ca	CONJ	OK	
1.13	6	paṇavānaka-gomukhāḥ	paṇava-ānaka-gomukha	nominal	nom/pl/m	paṇava + ānaka + gomukhāḥ	paṇava + ānaka + gomukha	NOUN + NOUN + NOUN	OK_COMPOUND_SPLIT	compound split 3 ways
1.13	7	sahasā	sahasā	indeclinable		sahasā	sahasā	ADV	OK	
1.13	8	eva	eva	indeclinable		eva	eva	PART	OK	
1.13	9	abhyahanyanta	abhi-√han	verb	pl	abhyahanyanta	abhihan	VERB	OK	
ch7242						sa	tad	PRON	UNALIGNED_DCS	extra DCS token
1.13	10	saḥ	tat	pronoun					UNALIGNED_GOLD	no DCS token matched
1.13	11	śabdaḥ	śabda	nominal	nom/sg/m	śabdaḥ	śabda	NOUN	OK	
1.13	12	tumulaḥ	tumula	nominal	nom/sg/m	tumulaḥ	tumula	ADJ	OK	
ch7242						'bhavat	bhū	VERB	UNALIGNED_DCS	extra DCS token
1.13	13	abhavat	√bhū	verb					UNALIGNED_GOLD	no DCS token matched
1.14	1	tataḥ	tataḥ	indeclinable		tataḥ	tatas	ADV	LEMMA_DIFF	
1.14	2	śvetaiḥ	śveta	nominal	ins/pl/m	śvetaiḥ	śveta	ADJ	OK	
1.14	3	hayaiḥ	haya	nominal	ins/pl/m	hayaiḥ	haya	NOUN	OK	
1.14	4	yukte	yukta	participle	loc/sg/m	yukte	yuj	VERB	LEMMA_DIFF	
1.14	5	mahati	mahant	nominal	loc/sg/m	mahati	mahat	ADJ	LEMMA_DIFF	
1.14	6	syandane	syandana	nominal	loc/sg/m	syandane	syandana	NOUN	OK	
1.14	7	sthitau	sthita	participle	nom/du/m	sthitau	sthā	VERB	LEMMA_DIFF	
1.14	8	mādhavaḥ	mādhava	nominal	nom/sg/m	mādhavaḥ	mādhava	NOUN	OK	
1.14	9	pāṇḍavaḥ	pāṇḍava	nominal	nom/sg/m	pāṇḍavaḥ	pāṇḍava	NOUN	OK	
1.14	10	ca	ca	indeclinable		ca	ca	CONJ	OK	
1.14	11	eva	eva	indeclinable		eva	eva	PART	OK	
1.14	12	divyau	divya	nominal	acc/du/m	divyau	divya	ADJ	OK	
1.14	13	śaṅkhau	śaṅkha	nominal	acc/du/m	śaṅkhau	śaṅkha	NOUN	OK	
1.14	14	pradadhmatuḥ	pra-√dhmā	verb	du	pradadhmatuḥ	pradham	VERB	LEMMA_DIFF	
1.15	1	pāñca-janyam	pāñca-janya	nominal	acc/sg/m	pāñcajanyaṃ	pāñcajanya	NOUN	OK	
ch7242						hṛṣīkeśo	hṛṣīkeśa	NOUN	UNALIGNED_DCS	extra DCS token
1.15	2	hṛṣīkeśaḥ	hṛṣīkeśa	nominal					UNALIGNED_GOLD	no DCS token matched
1.15	3	deva-dattam	deva-datta	nominal	nom/sg/m	devadattaṃ	devadatta	NOUN	OK	
1.15	4	dhanaṁjayaḥ	dhanaṁ-jaya	nominal	nom/sg/m	dhanaṃjayaḥ	dhanaṃjaya	NOUN	OK	
1.15	5	pauṇḍram	pauṇḍra	nominal	acc/sg/m	pauṇḍraṃ	pauṇḍra	NOUN	OK	
1.15	6	dadhmau	√dhmā	verb	sg	dadhmau	dham	VERB	LEMMA_DIFF	
1.15	7	mahā-śaṅkham	mahā-śaṅkha	nominal	acc/sg/m	mahā + śaṅkham	mahat + śaṅkha	ADJ + NOUN	LEMMA_DIFF	compound split 2 ways
1.15	8	bhīma-karmā	bhīma-karman	nominal	nom/sg/m	bhīma + karmā	bhīma + karman	ADJ + NOUN	OK_COMPOUND_SPLIT	compound split 2 ways
1.15	9	vṛkodaraḥ	vṛka-udara	nominal	nom/sg/m	vṛkodaraḥ	vṛkodara	NOUN	LEMMA_DIFF	
1.16	1	ananta-vijayam	ananta-vijaya	nominal	acc/sg/m	anantavijayaṃ	anantavijaya	NOUN	OK	
1.16	2	rājā	rājan	nominal	nom/sg/m	rājā	rājan	NOUN	OK	
1.16	3	kuntī-putraḥ	kuntī-putra	nominal	nom/sg/m	kuntī + putraḥ	kuntī + putra	NOUN + NOUN	OK_COMPOUND_SPLIT	compound split 2 ways
1.16	4	yudhiṣṭhiraḥ	yudhi-sthira	nominal	nom/sg/m	yudhiṣṭhiraḥ	yudhiṣṭhira	NOUN	LEMMA_DIFF	
1.16	5	nakulaḥ	nakula	nominal	nom/sg/m	nakulaḥ	nakula	NOUN	OK	
1.16	6	sahadevaḥ	saha-deva	nominal	nom/sg/m	sahadevaḥ	sahadeva	NOUN	OK	
1.16	7	ca	ca	indeclinable		ca	ca	CONJ	OK	
1.16	8	sughoṣa-maṇi-puṣpakau	su-ghoṣa-maṇi-puṣpaka	nominal	acc/du/m	sughoṣa + maṇipuṣpakau	sughoṣa + maṇipuṣpaka	NOUN + NOUN	OK_COMPOUND_SPLIT	compound split 2 ways
1.17	1	kāśyaḥ	kāśya	nominal	nom/sg/m	kāśyaḥ	kāśya	NOUN	OK	
1.17	2	ca	ca	indeclinable		ca	ca	CONJ	OK	
1.17	3	parameṣvāsaḥ	parama-iṣu-āsa	nominal	nom/sg/m	parama + iṣvāsaḥ	parama + iṣvāsa	ADJ + NOUN	LEMMA_DIFF	compound split 2 ways
1.17	4	śikhaṇḍī	śikhaṇḍin	nominal	nom/sg/m	śikhaṇḍī	śikhaṇḍin	NOUN	OK	
1.17	5	ca	ca	indeclinable		ca	ca	CONJ	OK	
1.17	6	mahā-rathaḥ	mahā-ratha	nominal	nom/sg/m	mahā + rathaḥ	mahat + ratha	ADJ + NOUN	LEMMA_DIFF	compound split 2 ways
ch7242						dhṛṣṭadyumno	dhṛṣṭadyumna	NOUN	UNALIGNED_DCS	extra DCS token
1.17	7	dhṛṣṭa-dyumnaḥ	dhṛṣṭa-dyumna	nominal					UNALIGNED_GOLD	no DCS token matched
1.17	8	virāṭaḥ	virāṭa	nominal	nom/sg/m	virāṭaḥ	virāṭa	NOUN	OK	
1.17	9	ca	ca	indeclinable		ca	ca	CONJ	OK	
1.17	10	sātyakiḥ	sātyaki	nominal	nom/sg/m	sātyakiḥ	sātyaki	NOUN	OK	
1.17	11	ca	ca	indeclinable		ca	ca	CONJ	OK	
1.17	12	aparā-jitaḥ	a-parā-jita	participle	nom/sg/m	aparājitaḥ	aparājita	ADJ	POS_DIFF	
ch7242						drupado	drupada	NOUN	UNALIGNED_DCS	extra DCS token
1.18	1	drupadaḥ	dru-pada	nominal					UNALIGNED_GOLD	no DCS token matched
1.18	2	draupadeyāḥ	draupadeya	nominal	nom/pl/m	draupadeyāḥ	draupadeya	NOUN	OK	
1.18	3	ca	ca	indeclinable		ca	ca	CONJ	OK	
1.18	4	sarvaśaḥ	sarvaśaḥ	indeclinable		sarvaśaḥ	sarvaśas	ADV	LEMMA_DIFF	
1.18	5	pṛthivīpate	pṛthivī-pati	nominal	voc/sg/m	pṛthivīpate	pṛthivīpati	NOUN	OK	
1.18	6	saubhadraḥ	saubhadra	nominal	nom/sg/m	saubhadraḥ	saubhadra	NOUN	OK	
1.18	7	ca	ca	indeclinable		ca	ca	CONJ	OK	
1.18	8	mahā-bāhuḥ	mahā-bāhu	nominal	nom/sg/m	mahā + bāhuḥ	mahat + bāhu	ADJ + NOUN	LEMMA_DIFF	compound split 2 ways
1.18	9	śaṅkhān	śaṅkha	nominal	acc/pl/m	śaṅkhān	śaṅkha	NOUN	OK	
1.18	10	dadhmuḥ	√dhmā	verb	pl	dadhmuḥ	dham	VERB	LEMMA_DIFF	
ch7242						pṛthak	pṛthak	ADV	UNALIGNED_DCS	extra DCS token
ch7242						pṛthak	pṛthak	ADV	UNALIGNED_DCS	extra DCS token
ch7242						sa	tad	PRON	UNALIGNED_DCS	extra DCS token
ch7242						ghoṣo	ghoṣa	NOUN	UNALIGNED_DCS	extra DCS token
1.18	11	pṛthak pṛthak	pṛthak pṛthak	indeclinable					UNALIGNED_GOLD	no DCS token matched
1.19	1	saḥ	tat	pronoun					UNALIGNED_GOLD	no DCS token matched
1.19	2	ghoṣaḥ	ghoṣa	nominal					UNALIGNED_GOLD	no DCS token matched
1.19	3	dhārtarāṣṭrāṇām	dhārtarāṣṭra	nominal	gen/pl/m	dhārtarāṣṭrāṇāṃ	dhārtarāṣṭra	NOUN	OK	
1.19	4	hṛdayāni	hṛdaya	nominal	acc/pl/n	hṛdayāni	hṛdaya	NOUN	OK	
1.19	5	vyadārayat	vi-√dṝ	verb	sg	vyadārayat	vidāray	VERB	LEMMA_DIFF	
1.19	6	nabhaḥ	nabhas	nominal	acc/sg/n	nabhaḥ	nabhas	NOUN	OK	
1.19	7	ca	ca	indeclinable		ca	ca	CONJ	OK	
1.19	8	pṛthivīm	pṛthivī	nominal	acc/sg/f	pṛthivīṃ	pṛthivī	NOUN	OK	
1.19	9	ca	ca	indeclinable		ca	ca	CONJ	OK	
1.19	10	eva	eva	indeclinable		eva	eva	PART	OK	
ch7242						tumulo	tumula	ADJ	UNALIGNED_DCS	extra DCS token
1.19	11	tumulaḥ	tumula	nominal					UNALIGNED_GOLD	no DCS token matched
1.19	12	vyanunādayan	vi-anu-nādayant	participle	m	vyanunādayan	vyanunāday	VERB	LEMMA_DIFF	
1.20	1	atha	atha	indeclinable		atha	atha	ADV	OK	
1.20	2	vyavasthitān	vi-ava-sthita	participle	acc/pl/m	vyavasthitān	vyavasthā	VERB	LEMMA_DIFF	
1.20	3	dṛṣṭvā	√dṛś			dṛṣṭvā	dṛś	VERB	OK	
1.20	4	dhārtarāṣṭrān	dhārtarāṣṭra	nominal	acc/pl/m	dhārtarāṣṭrān	dhārtarāṣṭra	NOUN	OK	
1.20	5	kapi-dhvajaḥ	kapi-dhvaja	nominal	nom/sg/m	kapidhvajaḥ	kapidhvaja	NOUN	OK	
1.20	6	pravṛtte	pra-vṛtta	participle	loc/sg/m	pravṛtte	pravṛt	VERB	OK	
ch7242						śastra	śastra	NOUN	UNALIGNED_DCS	extra DCS token
ch7242						sampāte	sampāta	NOUN	UNALIGNED_DCS	extra DCS token
1.20	7	śastra-saṁpāte	śastra-saṁpāta	nominal					UNALIGNED_GOLD	no DCS token matched
1.20	8	dhanuḥ	dhanuḥ	nominal	acc/sg/n	dhanuḥ	dhanus	NOUN	LEMMA_DIFF	
1.20	9	udyamya	ud-√yam			udyamya	udyam	VERB	OK	
1.20	10	pāṇḍavaḥ	pāṇḍava	nominal	nom/sg/m	pāṇḍavaḥ	pāṇḍava	NOUN	OK	
1.21	1	arjunaḥ	arjuna	nominal					UNALIGNED_GOLD	no DCS token matched
1.21	2	uvāca	√vac	verb					UNALIGNED_GOLD	no DCS token matched
1.21	3	hṛṣīkeśam	hṛṣīkeśa	nominal	acc/sg/m	hṛṣīkeśaṃ	hṛṣīkeśa	NOUN	OK	
1.21	4	tadā	tadā	indeclinable		tadā	tadā	ADV	OK	
1.21	5	vākyam	vākya	participle	acc/sg/n	vākyam	vākya	NOUN	POS_DIFF	
1.21	6	idam	idam	nominal	acc/sg/n	idam	idam	PRON	POS_DIFF	
1.21	7	āha	√ah	verb	sg	āha	ah	VERB	OK	
1.21	8	mahī-pate	mahī-pati	nominal	voc/sg/m	mahīpate	mahīpati	NOUN	OK	
