verse	widx	form	lemma	root	pos	case	number	gender	person	tense	voice	nonfinite	derivation	compound	raw_morph
1.04	3	maheṣv-āsāḥ	mahā-iṣu-āsa	√mah	nominal	nom	pl	m						bahuvrihi	1n.3 m.
1.04	4	bhīmārjuna-samāḥ	bhīma-arjuna-sama	√bhī	nominal	nom	pl	m						tatpurusa	1n.3 m.
1.04	5	yudhi	yudh	√yudh	nominal	loc	sg	f							7n.1 f.
1.04	6	yuyudhānaḥ	yuyudhāna	√yudh	nominal	nom	sg	m							1n.1 m.
1.04	7	virāṭaḥ	virāṭa	√rāj	nominal	nom	sg	m							1n.1 m.
1.04	8	ca	ca		indeclinable										av.
1.04	9	drupadaḥ	dru-pada	√dru	nominal	nom	sg	m							1n.1 m.
1.04	10	ca	ca		indeclinable										av.
1.04	11	mahā-rathaḥ	mahā-ratha	√mah	nominal	nom	sg	m						bahuvrihi	1n.1 m.
1.05	1	dhṛṣṭa-ketuḥ	dhṛṣṭa-ketu	√dhṛṣ	nominal	nom	sg	m							1n.1 m.
1.05	2	cekitānaḥ	cekitāna	√cit	nominal	nom	sg	m							1n.1 m.
1.05	3	kāśi-rājaḥ	kāśi-rāja	√raj	nominal	nom	sg	m						tatpurusa	1n.1 m.
1.05	4	ca	ca		indeclinable										av.
1.05	5	vīryavān	vīrya-vant		nominal	nom	sg	m							1n.1 m.
1.05	6	purujit	puru-jit		nominal	nom	sg	m							1n.1 m.
1.05	7	kunti-bhojaḥ	kunti-bhoja	√bhuj	nominal	nom	sg	m							1n.1 m.
1.05	8	ca	ca		indeclinable										av.
1.05	9	śaibyaḥ	śaibya		nominal	nom	sg	m							1n.1 m.
1.05	10	ca	ca		indeclinable										av.
1.05	11	nara-puṁgavaḥ	nara-puṅgava		nominal	nom	sg	m						tatpurusa	1n.1 m.
1.06	1	yudhā-manyuḥ	yudhā-manyu	√yudh	nominal	nom	sg	m							1n.1 m.
1.06	2	ca	ca		indeclinable										av.
1.06	3	vikrāntaḥ	vikrānta	√kram	participle	nom	sg	m				past-participle			PP 1n.1 m.
1.06	4	uttamaujāḥ	uttama-ojas		nominal	nom	sg	m							1n.1 m.
1.06	5	ca	ca		indeclinable										av.
1.06	6	vīryavān	vīrya-vant		nominal	nom	sg	m							1n.1 m.
1.06	7	saubhadraḥ	saubhadra		nominal	nom	sg	m							1n.1 m.
1.06	8	draupadeyāḥ	draupadeya		nominal	nom	pl	m							1n.3 m.
1.06	9	ca	ca		indeclinable										av.
1.06	10	sarve	sarva		pronoun	nom	pl	m							sn. 1n.3 m.
1.06	11	eva	eva		indeclinable										av.
1.06	12	mahā-rathāḥ	mahā-ratha	√mah	nominal	nom	pl	m						bahuvrihi	1n.3 m.
1.07	1	asmākam	asmat		pronoun	gen	pl								sn. 6n.3
1.07	2	tu	tu		indeclinable										av.
1.07	3	viśiṣṭāḥ	viśiṣṭa	√śiṣ	participle	nom	pl	m				past-participle			PP 1n.3 m.
1.07	4	ye	yat		pronoun	nom	pl	m							sn. 1n.3 m.
1.07	5	tān	tat		pronoun	acc	pl	m							sn. 2n.3 m.
1.07	6	nibodha	ni-√budh	√budh	verb		sg		2	imperative	parasmaipada				Imperat. P 2v.1
1.07	7	dvijottama	dvi-ja-uttama		nominal	voc	sg	m						tatpurusa	8n.1 m.
1.07	8	nāyakāḥ	nāyaka	√nī	nominal	nom	pl	m							1n.3 m.
1.07	9	mama	asmat		pronoun	gen	sg								sn. 6n.1
1.07	10	sainyasya	sainya		nominal	gen	sg	m							6n.1 m.
1.07	11	saṁjñā-artham	saṁjñā-artham	√jñā	indeclinable										av.
1.07	12	tān	tat		pronoun	acc	pl	m							sn. 2n.3 m.
1.07	13	bravīmi	√brū	√brū	verb		sg		1	present	parasmaipada				Praes. P 3v.1
1.07	14	te	yuṣmat		pronoun	gen	sg								sn. 6n.1
1.08	1	bhavān	bhavant	√bhū	nominal	nom	sg	m							1n.1 m.
1.08	2	bhīṣmaḥ	bhīṣma	√bhī	nominal	nom	sg	m							1n.1 m.
1.08	3	ca	ca		indeclinable										av.
1.08	4	karṇaḥ	karṇa	√karṇ	nominal	nom	sg	m							1n.1 m.
1.08	5	ca	ca		indeclinable										av.
1.08	6	kṛpaḥ	kṛpa	√kṛp	nominal	nom	sg	m							1n.1 m.
1.08	7	ca	ca		indeclinable										av.
1.08	8	samitiṁ-jayaḥ	samitiṁ-jaya	√i	nominal	nom	sg	m							1n.1 m.
1.08	9	aśvatthāmā	aśva-sthā-man	√sthā	nominal	nom	sg	m							1n.1 m.
1.08	10	vikarṇaḥ	vi-karṇa	√karṇ	nominal	nom	sg	m							1n.1 m.
1.08	11	ca	ca		indeclinable										av.
1.08	12	saumadattiḥ	sauma-datti	√dā	nominal	nom	sg	m							1n.1 m.
1.08	13	tathā	tathā		indeclinable										av.
1.08	14	eva	eva		indeclinable										av.
1.08	15	ca	ca		indeclinable										av.
1.09	1	anye	anya		pronoun	nom	pl	m							sn. 1n.3 m.
1.09	2	ca	ca		indeclinable										av.
1.09	3	bahavaḥ	bahu		nominal	nom	pl	m							1n.3 m.
1.09	4	śūrāḥ	śūra		nominal	nom	pl	m							1n.3 m.
1.09	5	mad-arthe	mad-artha	√arth	nominal	loc	sg	m						tatpurusa	7n.1 m.
1.09	6	tyakta-jīvitāḥ	tyakta-jīvita	√tyaj	nominal	nom	pl	m						bahuvrihi	1n.3 m.
1.09	7	nānā-śastra-praharaṇāḥ	nānā-śastra-praharaṇa	√śas	nominal	nom	pl	m						bahuvrihi	1n.3 m.
1.09	8	sarve	sarva		pronoun	nom	pl	m							sn. 1n.3 m.
1.09	9	yuddha-viśāradāḥ	yuddha-viśārada	√yudh	nominal	nom	pl	m						tatpurusa	1n.3 m.
1.10	1	aparyāptam	a-pari-āpta	√āp	participle	nom	sg	n				past-participle			PP 1n.1 n.
1.10	2	tat	tat		pronoun	nom	sg	n							sn. 1n.1 n.
1.10	3	asmākam	asmat		nominal	gen	pl								6n.3
1.10	4	balam	bala		nominal	nom	sg	n							1n.1 n.
1.10	5	bhīṣmābhirakṣitam	bhīṣma-abhi-rakṣita	√bhī	nominal	nom	sg	n						tatpurusa	1n.1 n.
1.10	6	paryāptam	pari-āpta	√āp	participle	nom	sg	n				past-participle			PP 1n.1 n.
1.10	7	tu	tu		indeclinable										av.
1.10	8	idam	idam		pronoun	nom	sg	n							sn. 1n.1 n.
1.10	9	eteṣām	etat		pronoun	gen	pl	m							sn. 6n.3 m.
1.10	10	balam	bala		nominal	nom	sg	n							1n.1 n.
1.10	11	bhīmābhirakṣitam	bhīma-abhi-rakṣita	√bhī	nominal	nom	sg	n						tatpurusa	1n.1 n.
1.11	1	ayaneṣu	ayana		nominal	loc	pl	n							7n.3 n.
1.11	2	ca	ca		indeclinable										av.
1.11	3	sarveṣu	sarva		pronoun	loc	pl	n							sn. 7n.3 n.
1.11	4	yathā bhāgam	yathā bhāgam		indeclinable										av.
1.11	5	avasthitāḥ	avasthita	√sthā	participle	nom	pl	m				past-participle			PP 1n.3 m.
1.11	6	bhīṣmam	bhīṣma	√bhī	nominal	acc	sg	m							2n.1 m.
1.11	7	eva	eva		indeclinable										av.
1.11	8	abhirakṣantu	abhi-√rakṣ	√rakṣ	verb		pl		3	imperative	parasmaipada				Imperat. P 1v.3
1.11	9	bhavantaḥ	bhavant	√bhū	nominal	nom	pl	m							1n.3 m.
1.11	10	sarve	sarva		pronoun	nom	pl	m							sn. 1n.3 m.
1.11	11	eva	eva		indeclinable										av.
1.11	12	hi	hi		indeclinable										av.
1.12	1	tasya	tat		pronoun	gen	sg	m							sn. 6n.1 m.
1.12	2	saṁjanayan	sam-janayant	√jan	participle			m				present-participle			PPr caus.1n.1 m.
1.12	3	harṣaṁ	harṣa	√hṛṣ	nominal	acc	sg	m							2n.1 m.
1.12	4	kuru-vṛddhaḥ	kuru-vṛddha	√vṛdh	nominal	nom	sg	m						tatpurusa	1n.1 m.
1.12	5	pitā-mahaḥ	pitā-maha	√mah	nominal	nom	sg	m							1n.1 m.
1.12	6	siṁha-nādam	siṁha-nāda	√nad	nominal	acc	sg	m						tatpurusa	2n.1 m.
1.12	7	vinadya	vi-√nad	√nad								absolutive			absol.
1.12	8	uccaiḥ	uccaiḥ		indeclinable										av.
1.12	9	śaṅkham	śaṅkha		nominal	acc	sg	m							2n.1 m.
1.12	10	dadhmau	√dhmā	√dhmā	verb		sg		3	perfect	parasmaipada				Perf. P 1v.1
1.12	11	pratāpavān	pratāpa-vant	√tap	nominal	nom	sg	m							1n.1 m.
1.13	1	tataḥ	tataḥ		indeclinable										av.
1.13	2	śaṅkhāḥ	śaṅkha		nominal	nom	pl	m							1n.3 m.
1.13	3	ca	ca		indeclinable										av.
1.13	4	bheryaḥ	bherī		nominal	nom	pl	f							1n.3 f.
1.13	5	ca	ca		indeclinable										av.
1.13	6	paṇavānaka-gomukhāḥ	paṇava-ānaka-gomukha		nominal	nom	pl	m							1n.3 m.
1.13	7	sahasā	sahasā	√sah	indeclinable										av.
1.13	8	eva	eva		indeclinable										av.
1.13	9	abhyahanyanta	abhi-√han	√han	verb		pl		3	imperfect			passive		Imperf. pass. 1v.3
1.13	10	saḥ	tat		pronoun	nom	sg	m							sn. 1n.1 m.
1.13	11	śabdaḥ	śabda		nominal	nom	sg	m							1n.1 m.
1.13	12	tumulaḥ	tumula		nominal	nom	sg	m							1n.1 m.
1.13	13	abhavat	√bhū	√bhū	verb		sg		3	imperfect	parasmaipada				Imperf. P 1v.1
1.14	1	tataḥ	tataḥ		indeclinable										av.
1.14	2	śvetaiḥ	śveta		nominal	ins	pl	m							3n.3 m.
1.14	3	hayaiḥ	haya		nominal	ins	pl	m							3n.3 m.
1.14	4	yukte	yukta	√yuj	participle	loc	sg	m				past-participle			PP 7n.1 m.
1.14	5	mahati	mahant	√mah	nominal	loc	sg	m							7n.1 m.
1.14	6	syandane	syandana	√syand	nominal	loc	sg	m							7n.1 m.
1.14	7	sthitau	sthita	√sthā	participle	nom	du	m				past-participle			PP 1n.2 m.
1.14	8	mādhavaḥ	mādhava		nominal	nom	sg	m							1n.1 m.
1.14	9	pāṇḍavaḥ	pāṇḍava		nominal	nom	sg	m							1n.1 m.
1.14	10	ca	ca		indeclinable										av.
1.14	11	eva	eva		indeclinable										av.
1.14	12	divyau	divya	√div	nominal	acc	du	m							2n.2 m.
1.14	13	śaṅkhau	śaṅkha		nominal	acc	du	m							2n.2 m.
1.14	14	pradadhmatuḥ	pra-√dhmā	√dhmā	verb		du		3	perfect	parasmaipada				Perf. P 1v.2
1.15	1	pāñca-janyam	pāñca-janya		nominal	acc	sg	m							2n.1 m.
1.15	2	hṛṣīkeśaḥ	hṛṣīkeśa	√hṛṣ	nominal	nom	sg	m							1n.1 m.
1.15	3	deva-dattam	deva-datta	√div	nominal	nom	sg	m						tatpurusa	1n.1 m.
1.15	4	dhanaṁjayaḥ	dhanaṁ-jaya	√ji	nominal	nom	sg	m							1n.1 m.
1.15	5	pauṇḍram	pauṇḍra		nominal	acc	sg	m							2n.1 m.
1.15	6	dadhmau	√dhmā	√dhmā	verb		sg		3	perfect	parasmaipada				Perf. P 1v.1
1.15	7	mahā-śaṅkham	mahā-śaṅkha	√mah	nominal	acc	sg	m							2n.1 m.
1.15	8	bhīma-karmā	bhīma-karman	√bhī	nominal	nom	sg	m						bahuvrihi	1n.1 m.
1.15	9	vṛkodaraḥ	vṛka-udara		nominal	nom	sg	m						bahuvrihi	1n.1 m.
1.16	1	ananta-vijayam	ananta-vijaya	√ji	nominal	acc	sg	m						bahuvrihi	2n.1 m.
1.16	2	rājā	rājan	√raj	nominal	nom	sg	m							1n.1 m.
1.16	3	kuntī-putraḥ	kuntī-putra	√puṣ	nominal	nom	sg	m						tatpurusa	1n.1 m.
1.16	4	yudhiṣṭhiraḥ	yudhi-sthira	√yudh	nominal	nom	sg	m							1n.1 m.
1.16	5	nakulaḥ	nakula		nominal	nom	sg	m							1n.1 m.
1.16	6	sahadevaḥ	saha-deva	√div	nominal	nom	sg	m							1n.1 m.
1.16	7	ca	ca		indeclinable										av.
1.16	8	sughoṣa-maṇi-puṣpakau	su-ghoṣa-maṇi-puṣpaka	√ghuṣ	nominal	acc	du	m						dvandva	2n.2 m.
1.17	1	kāśyaḥ	kāśya		nominal	nom	sg	m							1n.1 m.
1.17	2	ca	ca		indeclinable										av.
1.17	3	parameṣvāsaḥ	parama-iṣu-āsa	√as	nominal	nom	sg	m						bahuvrihi	1n.1 m.
1.17	4	śikhaṇḍī	śikhaṇḍin	√śi	nominal	nom	sg	m							1n.1 m.
1.17	5	ca	ca		indeclinable										av.
1.17	6	mahā-rathaḥ	mahā-ratha	√mah	nominal	nom	sg	m						bahuvrihi	1n.1 m.
1.17	7	dhṛṣṭa-dyumnaḥ	dhṛṣṭa-dyumna	√dhṛṣ	nominal	nom	sg	m							1n.1 m.
1.17	8	virāṭaḥ	virāṭa	√rāj	nominal	nom	sg	m							1n.1 m.
1.17	9	ca	ca		indeclinable										av.
1.17	10	sātyakiḥ	sātyaki		nominal	nom	sg	m							1n.1 m.
1.17	11	ca	ca		indeclinable										av.
1.17	12	aparā-jitaḥ	a-parā-jita	√ji	participle	nom	sg	m				past-participle			PP 1n.1 m.
1.18	1	drupadaḥ	dru-pada	√dru	nominal	nom	sg	m							1n.1 m.
1.18	2	draupadeyāḥ	draupadeya	√dru	nominal	nom	pl	m							1n.3 m.
1.18	3	ca	ca		indeclinable										av.
1.18	4	sarvaśaḥ	sarvaśaḥ		indeclinable										av.
1.18	5	pṛthivīpate	pṛthivī-pati	√pṛth	nominal	voc	sg	m						tatpurusa	8n.1 m.
1.18	6	saubhadraḥ	saubhadra		nominal	nom	sg	m							1n.1 m.
1.18	7	ca	ca		indeclinable										av.
1.18	8	mahā-bāhuḥ	mahā-bāhu	√mah	nominal	nom	sg	m						bahuvrihi	1n.1 m.
1.18	9	śaṅkhān	śaṅkha		nominal	acc	pl	m							2n.3 m.
1.18	10	dadhmuḥ	√dhmā	√dhmā	verb		pl		3	perfect	parasmaipada				Perf. P 1v.3
1.18	11	pṛthak pṛthak	pṛthak pṛthak	√pṛth	indeclinable										av.
1.19	1	saḥ	tat		pronoun	nom	sg	m							sn. 1n.1 m.
1.19	2	ghoṣaḥ	ghoṣa	√ghuṣ	nominal	nom	sg	m							1n.1 m.
1.19	3	dhārtarāṣṭrāṇām	dhārtarāṣṭra	√dhṛ	nominal	gen	pl	m							6n.3 m.
1.19	4	hṛdayāni	hṛdaya		nominal	acc	pl	n							2n.3 n.
1.19	5	vyadārayat	vi-√dṝ	√dṝ	verb		sg		3	imperfect	parasmaipada		causative		Imperf. caus. P 1v.1
1.19	6	nabhaḥ	nabhas		nominal	acc	sg	n							2n.1 n.
1.19	7	ca	ca		indeclinable										av.
1.19	8	pṛthivīm	pṛthivī	√pṛth	nominal	acc	sg	f							2n.1 f.
1.19	9	ca	ca		indeclinable										av.
1.19	10	eva	eva		indeclinable										av.
1.19	11	tumulaḥ	tumula		nominal	nom	sg	m							1n.1 m.
1.19	12	vyanunādayan	vi-anu-nādayant	√nad	participle			m				present-participle			PPr caus.1n.1 m.
1.20	1	atha	atha		indeclinable										av.
1.20	2	vyavasthitān	vi-ava-sthita	√sthā	participle	acc	pl	m				past-participle			PP 2n.3 m.
1.20	3	dṛṣṭvā	√dṛś	√dṛś								absolutive			absol.
1.20	4	dhārtarāṣṭrān	dhārtarāṣṭra	√dhṛ	nominal	acc	pl	m							2n.3 m.
1.20	5	kapi-dhvajaḥ	kapi-dhvaja		nominal	nom	sg	m						bahuvrihi	1n.1 m.
1.20	6	pravṛtte	pra-vṛtta	√vṛt	participle	loc	sg	m				past-participle			PP 7n.1 m. loc.abs.
1.20	7	śastra-saṁpāte	śastra-saṁpāta	√śas	nominal	loc	sg	m						tatpurusa	m. 7n.1 loc.abs.
1.20	8	dhanuḥ	dhanuḥ		nominal	acc	sg	n							2n.1 n.
1.20	9	udyamya	ud-√yam	√yam								absolutive			absol.
1.20	10	pāṇḍavaḥ	pāṇḍava		nominal	nom	sg	m							1n.1 m.
1.21	1	arjunaḥ	arjuna		nominal	nom	sg	m							1n.1 m.
1.21	2	uvāca	√vac	√vac	verb		sg		3	perfect	parasmaipada				Perf. P 1v.1
1.21	3	hṛṣīkeśam	hṛṣīkeśa	√hṛṣ	nominal	acc	sg	m							2n.1 m.
1.21	4	tadā	tadā		indeclinable										av.
1.21	5	vākyam	vākya	√vac	participle	acc	sg	n				future-participle			PF 2n.1 n.
1.21	6	idam	idam		nominal	acc	sg	n							2n.1 n.
1.21	7	āha	√ah	√ah	verb		sg		3	perfect	parasmaipada				Perf. P 1v.1
1.21	8	mahī-pate	mahī-pati	√mah	nominal	voc	sg	m						tatpurusa	8n.1 m.
1.21	9	senayoḥ	senā		nominal	gen	du	f							6n.2 f.
1.21	10	ubhayoḥ	ubhā		pronoun	gen	du	f							sn. 6n.2 f.
1.21	11	madhye	madhya		nominal	loc	sg	n							7n.1 n.
1.21	12	ratham	ratha		nominal	acc	sg	m							2n.1 m.
1.21	13	sthāpaya	√sthā	√sthā	verb		sg		2	imperative	parasmaipada		causative		Imperat. caus. P 2v.1
1.21	14	me	asmat		pronoun	gen	sg								sn. 6n.1
1.21	15	acyuta	a-cyuta	√cyu	participle	voc	sg	m				past-participle			PP 8n.1 m.
1.22	1	yāvat	yāvat		indeclinable										av.
1.22	2	etān	etat		pronoun	acc	pl	m							sn. 2n.3 m.
1.22	3	nirīkṣe	nir-√īkṣ	√īkṣ	verb		sg		1	present	atmanepada				Praes. Ā 3v.1
1.22	4	aham	asmat		pronoun	nom	sg								sn. 1n.1
1.22	5	yoddhu-kāmān	yoddhu-kāma	√yudh	nominal	acc	pl	m							2n.3 m.
1.22	6	avasthitān	ava-sthita	√sthā	participle	acc	pl	m				past-participle			PP 2n.3 m.
1.22	7	kaiḥ	kim		pronoun	ins	pl	m							sn. 3n.3 m.
1.22	8	mayā	asmat		pronoun	ins	sg								sn. 3n.1
1.22	9	saha	saha		indeclinable										av.
1.22	10	yoddhavyam	yoddhavya	√yudh	participle	nom	sg	n				future-participle			PF 1n.1 n.
1.22	11	asmin	idam		pronoun	loc	sg	m							sn. 7n.1 m.
1.22	12	raṇa-samudyame	raṇa-sam-ud-yama	√raṇ	nominal	loc	sg	m						tatpurusa	7n.1 m.
1.23	1	yotsyamānān	yotsyamāna	√yudh	participle	acc	pl	m		future		present-participle			PPr Fut. 2n.3 m.
1.23	2	avekṣe	ava-√īkṣ	√īkṣ	verb		sg		1	present	atmanepada				Praes. Ā 3v.1
1.23	3	aham	asmat		pronoun	nom	sg								sn. 1n.1
1.23	4	ye	yat		pronoun	nom	pl	m							sn. 1n.3 m.
1.23	5	ete	etat		pronoun	nom	pl	m							sn. 1n.3 m.
1.23	6	atra	atra		indeclinable										av.
1.23	7	samāgatāḥ	sam-āgata	√gam	participle	nom	pl	m				past-participle			PP 1n.3 m.
1.23	8	dhārtarāṣṭrasya	dhārtarāṣṭra	√dhṛ	nominal	gen	sg	m							6n.1 m.
1.23	9	durbuddheḥ	dur-buddhi	√budh	nominal	gen	sg	m							6n.1 m.
1.23	10	yuddhe	yuddha	√yudh	nominal	loc	sg	n							7n.1 n.
1.23	11	priya-cikīrṣavaḥ	priya-cikīrṣu	√prī	nominal	ins	sg	m						tatpurusa	3n.1 m.
1.24	1	saṁjayaḥ	sam-jaya	√ji	nominal	nom	sg	m							1n.1 m.
1.24	2	uvāca	√vac	√vac	verb		sg		3	perfect	parasmaipada				Perf. P 1v.1
1.24	3	evam	evam		indeclinable										av.
1.24	4	uktaḥ	ukta	√vac	participle	nom	sg	m				past-participle			PP 1n.1 m.
1.24	5	hṛṣīkeśaḥ	hṛṣīkeśa	√hṛṣ	nominal	nom	sg	m							1n.1 m.
1.24	6	guḍākeśena	guḍākeśa	√xīś	nominal	ins	sg	m							3n.1 m.
1.24	7	bhārata	bhārata		nominal	voc	sg	m							8n.1 m.
1.24	8	senayoḥ	senā		nominal	gen	du	f							6n.2 f.
1.24	9	ubhayoḥ	ubhā		pronoun	gen	du	f							sn. 6n.2 f.
1.24	10	madhye	madhya		nominal	loc	sg	n							7n.1 n.
1.24	11	sthāpayitvā	√sthā	√sthā								absolutive	causative		absol. caus.
1.24	12	rathottamam	ratha-uttama		nominal	acc	sg	m							2n.1 m.
1.25	1	bhīṣma-droṇa-pramukhataḥ	bhīṣma-droṇa-pramukhatas	√bhī	indeclinable										av.
1.25	2	sarveṣām	sarva		pronoun	gen	pl	m							sn. 6n.3 m.
1.25	3	ca	ca		indeclinable										av.
1.25	4	mahī-kṣitām	mahī-kṣit	√mah	nominal	gen	pl	m						tatpurusa	6n.3 m.
1.25	5	uvāca	√vac	√vac	verb		sg		3	perfect	parasmaipada				Perf. P 1v.1
1.25	6	pārtha	pārtha	√pṛth	nominal	voc	sg	m							8n.1 m.
1.25	7	paśya	√dṛś	√dṛś	verb		sg		2	imperative	parasmaipada				Imperat. P 2v.1
1.25	8	etān	etat		pronoun	acc	pl	m							sn. 2n.3 m.
1.25	9	samavetān	samaveta	√i	participle	acc	pl	m				past-participle			PP 2n.3 m.
1.25	10	kurūn	kuru		nominal	acc	pl	m							2n.3 m.
1.25	11	iti	iti		indeclinable										av.
1.26	1	tatra	tatra		indeclinable										av.
1.26	2	apaśyat	√dṛś	√dṛś	verb		sg		3	imperfect	parasmaipada				Imperf. P 1v.1
1.26	3	sthitān	sthita	√sthā	participle	acc	pl	m				past-participle			PP 2n.3 m.
1.26	4	pārthaḥ	pārtha	√pṛth	nominal	nom	sg	m							1n.1 m.
1.26	5	pitṝn	pitṛ		nominal	acc	pl	m							2n.3 m.
1.26	6	atha	atha		indeclinable										av.
1.26	7	pitā-mahān	pitā-maha	√mah	nominal	acc	pl	m							2n.3 m.
1.26	8	ācāryān	ācārya	√car	nominal	acc	pl	m							2n.3 m.
1.26	9	mātulān	mātula		nominal	acc	pl	m							2n.3 m.
1.26	10	bhrātṝn	bhrātṛ		nominal	acc	pl	m							2n.3 m.
1.26	11	putrān	putra	√puṣ	nominal	acc	pl	m							2n.3 m.
1.26	12	pautrān	pautra	√puṣ	nominal	acc	pl	m							2n.3 m.
1.26	13	sakhīn	sakhi	√sac	nominal	acc	pl	m							2n.3 m.
1.26	14	tathā	tathā		indeclinable										av.
1.27	1	śvaśurān	śvaśura		nominal	acc	pl	m							2n.3 m.
1.27	2	suhṛdaḥ	su-hṛd		nominal	acc	pl	m							2n.3 m.
1.27	3	ca	ca		indeclinable										av.
1.27	4	eva	eva		indeclinable										av.
1.27	5	senayoḥ	senā		nominal	loc	du	f							7n.2 f.
1.27	6	ubhayoḥ	ubhā		pronoun	loc	du	f							sn. 7n.2 f.
1.27	7	api	api		indeclinable										av.
1.27	8	tān	tat		pronoun	acc	pl	m							sn. 2n.3 m.
1.27	9	samīkṣya	sam-√īkṣ	√īkṣ								absolutive			absol.
1.27	10	saḥ	tat		pronoun	nom	sg	m							sn. 1n.1 m.
1.27	11	kaunteyaḥ	kaunteya		nominal	nom	sg	m							1n.1 m.
1.27	12	sarvān	sarva		pronoun	acc	pl	m							sn. 2n.3 m.
1.27	13	bandhūn	bandhu	√bandh	nominal	acc	pl	m							2n.3 m.
1.27	14	avasthitān	avasthita	√sthā	participle	acc	pl	m				past-participle			PP 2n.3 m.
1.28	1	arjunaḥ	arjuna		nominal	nom	sg	m							1n.1 m.
1.28	2	uvāca	√vac	√vac	verb		sg		3	perfect	parasmaipada				Perf. P 1v.1
1.28	3	kṛpayā	kṛpā	√kṛp	nominal	ins	sg	f							3n.1 f.
1.28	4	parayā	parā		nominal	ins	sg	f							3n.1 f.
1.28	5	āviṣṭaḥ	āviṣṭa	√viś	participle	nom	sg	m				past-participle			PP 1n.1 m.
1.28	6	viṣīdan	viṣīdant	√sad	participle	nom	sg	m				present-participle			PPr act. 1n.1 m.
1.28	7	idam	idam		pronoun	acc	sg	n							sn. 2n.1 n.
1.28	8	abravīt	√brū	√brū	verb		sg		3	imperfect	parasmaipada				Imperf. 1v.1 P
1.28	9	dṛṣṭvā	√dṛś	√dṛś								absolutive			absol.
1.28	10	imān	idam		pronoun	acc	pl	m							sn. 2n.3 m.
