verse	lemma	devanagari	iast	form_type	code	tense	pada	vclass	root	root_tr	prefix	stem_end	gender	compound	mark	rule	sandhi	verse_iast	gloss_en	gloss_ru
1.07	sainya	सैन्यस्य​	sainyasya		6n.1 m.							a	m						of the army, of that which is related to army	войска
1.07	saṁjñā-artham	सञ्ज्ञाअर्थम्	saṁjñā-artham			av.			√jñā							v1	ā a → ā		for the sake of good understanding	к сведению
1.07	tat	तान्	tān		2n.3 m.	sn.						t	m						them	их
1.07	√brū	ब्रवीमि	bravīmi		3v.1	Praes. P			√brū										I speak	называю
1.07	yuṣmat	ते	te		6n.1	sn.						t							of your	тебе.
1.08	bhavant	भवान्	bhavān		1n.1 m.				√bhū			t	m					bhavān bhīṣmaś ca karṇaś ca kṛpaś ca samitiṃ-jayaḥ	your honour	ты (досточтимый)
1.08	bhīṣma	भीष्मः	bhīṣmaḥ		1n.1 m.				√bhī			a	m			h5	ḥ c → ś c		frightful, Bhīṣma	Бхишма
1.08	ca	च​	ca			av.													and	и
1.08	karṇa	कर्णः	karṇaḥ		1n.1 m.				√karṇ			a	m			h5	ḥ c → ś c		ear, Karṇa	Карна
1.08	ca	च​	ca			av.													and	и
1.08	kṛpa	कृपः	kṛpaḥ		1n.1 m.				√kṛp			a	m			h5	ḥ c → ś c		pity, compassion, Kṛpa	Крипа
1.08	ca	च​	ca			av.													and	и
1.08	samitiṁ-jaya	समितिञ्जयः	samitiṁ-jayaḥ		1n.1 m.				√i			a	m						who conquers the assembly	побеждающий
1.08	aśva-sthā-man	अश्वत्थामा	aśvatthāmā		1n.1 m.				√sthā			an	m					aśvatthāmā vikarṇaś ca saumadattis tathaiva ca	having the strenght of a horse, Aśvatthāman	Ашваттхама
1.08	vi-karṇa	विकर्णः	vikarṇaḥ		1n.1 m.				√karṇ			a	m			h5	ḥ c → ś c		earless, Vikarṇa	Викарна
1.08	ca	च​	ca			av.													and	а также
1.08	sauma-datti	सौमदत्तिः	saumadattiḥ		1n.1 m.				√dā			i	m			h5	ḥ t → s t		son of Somadatta – Bhūriśravas	сын Сомадатты
1.08	tathā	तथा	tathā			av.						ā				v6	ā e → ai		in that manner, so, in like manner	также
1.08	eva	एव​	eva			av.													certainly, just, merely	конечно
1.08	ca	च​	ca			av.						a							and	и.
1.09	anya	अन्ये	anye		1n.3 m.	sn.						a	m					anye ca bahavaḥ śūrā mad-arthe tyakta-jīvitāḥ	others	другие
1.09	ca	च​	ca			av.													and	также
1.09	bahu	बहवः	bahavaḥ		1n.3 m.							u	m						many	многие
1.09	śūra	शूराः	śūrāḥ		1n.3 m.							a	m			h1	ḥ m → Ø m		the heroes	герои
1.09	mad-artha	मदर्थे	mad-arthe		7n.1 m.				√arth			a	m	TP					for my sake, for my purpose	за меня
1.09	tyakta-jīvita	त्यक्तजीविताः	tyakta-jīvitāḥ		1n.3 m.				√tyaj			a	m	BV					those who have decided to give up their lives	готовые отдать жизнь
1.09	nānā-śastra-praharaṇa	नानाशस्त्रप्रहरणाः	nānā-śastra-praharaṇāḥ		1n.3 m.				√śas			a	m	BV				nānā-śastra-praharaṇāḥ sarve yuddha-viśāradāḥ	those who wield various weapons	многими видами оружия вооруженные
1.09	sarva	सर्वे	sarve		1n.3 m.	sn.						a	m						they all	все
1.09	yuddha-viśārada	युद्धविशारदाः	yuddha-viśāradāḥ		1n.3 m.				√yudh			a	m	TP					proficient in battle	опытные в военном деле.
1.10	a-pari-āpta	अपर्याप्तम्	aparyāptam		1n.1 n.	PP			√āp			a	n			m	m t → ṃ t	aparyāptaṃ tad asmākaṃ balaṃ bhīṣmābhirakṣitam	unobtained: unlimited or insufficient	неизмерима
1.10	tat	तत्	tat		1n.1 n.	sn.						t	n						that	та
1.10	asmat	अस्माकम्	asmākam		6n.3							t				m	m b→ ṃ b		our	наша
1.10	bala	बलम्	balam		1n.1 n.							a	n			m	m b→ ṃ b		force, army	сила
1.10	bhīṣma-abhi-rakṣita	भीष्माभिरक्षितम्	bhīṣmābhirakṣitam		1n.1 n.				√bhī			a	n	TP					on all sides protected by Bhīṣma	Бхишмой надежно защищенная
1.10	pari-āpta	पर्याप्तम्	paryāptam		1n.1 n.	PP			√āp			a	n			m	m t → ṃ t	paryāptaṃ tv idam eteṣāṃ balaṃ bhīmābhirakṣitam	obtained: limited or sufficient	ограниченна
1.10	tu	तु	tu			av.													but, then, or, and	но
1.10	idam	इदम्	idam		1n.1 n.	sn.						m	n						this	эта
1.10	etat	एतेषाम्	eteṣām		6n.3 m.	sn.						t	m			m	m b→ ṃ b		their	(этих) Пандавов
1.10	bala	बलम्	balam		1n.1 n.							a	n			m	m b→ ṃ b		force, army	сила
1.10	bhīma-abhi-rakṣita	भीमाभिरक्षितम्	bhīmābhirakṣitam		1n.1 n.				√bhī			a	n	TP					on all sides protected by Bhīma	Бхимой хорошо защищенная
1.11	ayana	अयनेषु	ayaneṣu		7n.3 n.							a	n					ayaneṣu ca sarveṣu yathā bhāgam avasthitāḥ	on the paths	на стратегических позициях
1.11	ca	च​	ca			av.													and	также
1.11	sarva	सर्वेषु	sarveṣu		7n.3 n.	sn.						a	n						on all	на всех
1.11	yathā bhāgam	यथाभागम्	yathā bhāgam			av.						m							according to the division	раздельно
1.11	avasthita	अवस्थिताः	avasthitāḥ		1n.3 m.	PP			√sthā			a	m						arrayed, placed	находящиеся
1.11	bhīṣma	भीष्मम्	bhīṣmam		2n.1 m.				√bhī			a	m					bhīṣmam evābhirakṣantu bhavantaḥ sarva eva hi	frightful, Bhīṣma	Бхишме
1.11	eva	एव​	eva			av.						a				v1	a a → ā		certainly, just, merely	безусловно
1.11	abhi-√rakṣ	अभिरक्षन्तु	abhirakṣantu		1v.3	Imperat. P			√rakṣ										they must protect	пусть оказывают поддержку
1.11	bhavant	भवन्तः	bhavantaḥ		1n.3 m.				√bhū			t	m						your honours	вы (досточтимые)
1.11	sarva	सर्वे	sarve		1n.3 m.	sn.						a	m			v3	e e → a e		all	все
1.11	eva	एव​	eva			av.													certainly, just, merely	обязательно.
1.11	hi	हि	hi			av.						i							because, just, indeed, surely	обязательно.
1.12	tat	तस्य​	tasya		6n.1 m.	sn.						t	m					tasya saṃjanayan harṣaṃ kuru-vṛddhaḥ pitā-mahaḥ	his	его
1.12	sam-janayant	सञ्जनयन्	saṁjanayan		1n.1 m.	PPr caus.			√jan			t	m						causing to be born, generating	усиливающий
1.12	harṣa	हर्षञ्	harṣaṁ		2n.1 m.				√hṛṣ			a	m						joy	радость
1.12	kuru-vṛddha	कुरुवृद्धः	kuru-vṛddhaḥ		1n.1 m.				√vṛdh			a	m	TP					the eldest of the Kurus	старейшина рода Куру (Бхишма)
1.12	pitā-maha	पितामहः	pitā-mahaḥ		1n.1 m.				√mah			a	m						grandfather	дед
1.12	siṁha-nāda	सिञ्हनादम्	siṁha-nādam		2n.1 m.				√nad			a	m	TP		m	m v → ṃ v	siṃha-nādaṃ vinadyoccaiḥ śaṅkhaṃ dadhmau pratāpavān	a roar like a lion’s	раскатистый звук, подобный рычанию льва
1.12	vi-√nad	विनद्य​	vinadya			absol.			√nad							v5	a u → o		roaring	издав
1.12	uccaiḥ	उच्चैः	uccaiḥ			av.													loudly	очень громко
1.12	śaṅkha	शङ्खम्	śaṅkham		2n.1 m.							a	m			m	m d → ṃ d		conchshell	в раковину
1.12	√dhmā	दध्मौ	dadhmau		1v.1	Perf. P			√dhmā										he blew	протрубил
1.12	pratāpa-vant	प्रतापवान्	pratāpavān		1n.1 m.				√tap			t	m						who has power, majesty	доблестный.
1.13	tataḥ	ततः	tataḥ			av.												tataḥ śaṅkhāś ca bheryaś ca paṇavānaka-gomukhāḥ	then, after that, from that, for that reason	затем
1.13	śaṅkha	शङ्खाः	śaṅkhāḥ		1n.3 m.							a	m			h5	ḥ c → ś c		conchshells	раковины
1.13	ca	च​	ca			av.													and	также
1.13	bherī	भेर्यः	bheryaḥ		1n.3 f.							ī	f			h5	ḥ c → ś c		kettle-drums	большие барабаны
1.13	ca	च​	ca			av.													and	и
1.13	paṇava-ānaka-gomukha	पणवानकगोमुखाः	paṇavānaka-gomukhāḥ		1n.3 m.							a	m						accompanying small drums, large drums, horns	маленькие барабаны и литавры и рожки
1.13	sahasā	सहसा	sahasā			av.			√sah			ā				v6	ā e → ai	sahasaivābhyahanyanta sa śabdas tumulo ‘bhavat	suddenly, forcibly	неожиданно
1.13	eva	एव​	eva			av.						a				v1	a a → ā		certainly, just, merely	безусловно
1.13	abhi-√han	अभ्यहन्यन्त​	abhyahanyanta		1v.3	Imperf. pass.			√han										they were struck, they were sounded	одновременно зазвучали
1.13	tat	सः	saḥ		1n.1 m.	sn.						t	m			h1	ḥ ś → Ø ś		that	этот
1.13	śabda	शब्दः	śabdaḥ		1n.1 m.							a	m			h5	ḥ t → s t		sound	звук
1.13	tumula	तुमुलः	tumulaḥ		1n.1 m.							a	m			h2	aḥ a → o '		tumultuous, piercing	громоподобный
1.13	√bhū	अभवत्	abhavat		1v.1	Imperf. P			√bhū										it was	был.
1.14	tataḥ	ततः	tataḥ			av.												tataḥ śvetair hayair yukte mahati syandane sthitau	then, after that, from that, for that reason	затем
1.14	śveta	श्वेतैः	śvetaiḥ		3n.3 m.							a	m			h4	ḥ h → r h		with white	белыми
1.14	haya	हयैः	hayaiḥ		3n.3 m.							a	m			h4	ḥ y → r y		with horses	лошадьми
1.14	yukta	युक्ते	yukte		7n.1 m.	PP			√yuj			a	m						yoked	на запряженной
1.14	mahant	महति	mahati		7n.1 m.				√mah			t	m						on great	на великолепной
1.14	syandana	स्यन्दने	syandane		7n.1 m.				√syand			a	m						on a war-chariot, on a swiftly moving chariot	на колеснице
1.14	sthita	स्थितौ	sthitau		1n.2 m.	PP			√sthā			a	m						those two standing	находившиеся
1.14	mādhava	माधवः	mādhavaḥ		1n.1 m.							a	m					mādhavaḥ pāṇḍavaś caiva divyau śaṅkhau pradadhmatuḥ	descendant of king Madhu	Кришна (супруг богини удачи)
1.14	pāṇḍava	पाण्डवः	pāṇḍavaḥ		1n.1 m.							a	m			h5	ḥ c → ś c		son of Pāṇḍu	сын Панду (Арджуна)
1.14	ca	च​	ca			av.						a				v6	a e → ai		and	также
1.14	eva	एव​	eva			av.													certainly, just, merely	безусловно
1.14	divya	दिव्यौ	divyau		2n.2 m.				√div			a	m						two divine	в божественные
1.14	śaṅkha	शङ्खौ	śaṅkhau		2n.2 m.							a	m						two conchshells	раковины
1.14	pra-√dhmā	प्रदध्मतुः	pradadhmatuḥ		1v.2	Perf. P			√dhmā										they two blew	подули.
1.15	pāñca-janya	पाञ्चजन्यम्	pāñca-janyam		2n.1 m.							a	m			m	m h → ṃ h	pāñcajanyaṃ hṛṣīkeśo devadattaṃ dhanaṃjayaḥ	of Pañcajana, obtained form the demon Pañcajana	в раковину, называемую Панчаджаньей
1.15	hṛṣīkeśa	हृषीकेशः	hṛṣīkeśaḥ		1n.1 m.				√hṛṣ			a	m			h3	ḥ d → o d		erect hair, Hṛṣīkeśa	Хришикеша (Господь Кришна, повелевающий чувствами Своих преданных)
1.15	deva-datta	देवदत्तम्	deva-dattam		1n.1 m.				√div			a	m	TP		m	m d → ṃ d		given by the gods, Devadatta	в раковину, называемую Девадаттой
1.15	dhanaṁ-jaya	धनञ्जयः	dhanaṁjayaḥ		1n.1 m.				√ji			a	m						winner of wealth, Dhanaṁjaya	Дхананджая (Арджуна, завоеватель богатств)
1.15	pauṇḍra	पौण्ड्रम्	pauṇḍram		2n.1 m.							a	m			m	m d → ṃ d	pauṇḍraṃ dadhmau mahā-śaṅkhaṃ bhīma-karmā vṛkodaraḥ	of Puṇḍra	в раковину, называемую Паундрой
1.15	√dhmā	दध्मौ	dadhmau		1v.1	Perf. P			√dhmā										he blew	подул
1.15	mahā-śaṅkha	महाशङ्खम्	mahā-śaṅkham		2n.1 m.				√mah			a	m			m	m b → ṃ b		great conchshell	в огромную раковину
1.15	bhīma-karman	भीमकर्मा	bhīma-karmā		1n.1 m.				√bhī			an	m	BV					one whose acts are frightful	совершающий богатырские подвиги
1.15	vṛka-udara	वृकोदरः	vṛkodaraḥ		1n.1 m.							a	m	BV					one who has a belly like a wolf’s	ненасытный едок (Бхима).
1.16	ananta-vijaya	अनन्तविजयम्	ananta-vijayam		2n.1 m.				√ji			a	m	BV		m	m r → ṃ r	anantavijayaṃ rājā kuntī-putro yudhiṣṭhiraḥ	one whose victory is without end	в раковину Анантавиджаю
1.16	rājan	राजा	rājā		1n.1 m.				√raj			an	m						king	царь
1.16	kuntī-putra	कुन्तीपुत्रः	kuntī-putraḥ		1n.1 m.				√puṣ			a	m	TP		h3	ḥ y → o y		son of Kuntī	сын Кунти
1.16	yudhi-sthira	युधिष्ठिरः	yudhiṣṭhiraḥ		1n.1 m.				√yudh			a	m						firm in battle	Юдхиштхира
1.16	nakula	नकुलः	nakulaḥ		1n.1 m.							a	m					nakulaḥ sahadevaś ca sughoṣa-maṇipuṣpakau	mongoose, Nakula	Накула
1.16	saha-deva	सहदेवः	sahadevaḥ		1n.1 m.				√div			a	m			h5	ḥ c → ś c		companion of gods, Sahadeva	Сахадева
1.16	ca	च​	ca			av.													and	и
1.16	su-ghoṣa-maṇi-puṣpaka	सुघोषमणिपुष्पकौ	sughoṣa-maṇi-puṣpakau		2n.2 m.				√ghuṣ			a	m	DV					Excellent Sound and Jewel-flower	в раковины Сугхошу и Манипушпаку
1.17	kāśya	काश्यः	kāśyaḥ		1n.1 m.							a	m			h5	ḥ c → ś c	kāśyaś ca parameṣv-āsaḥ śikhaṇḍī ca mahā-rathaḥ	ruler of Kaśi	царь Каши (Варанаси)
1.17	ca	च​	ca			av.													and	и
1.17	parama-iṣu-āsa	परमेष्वासः	parameṣvāsaḥ		1n.1 m.				√as			a	m	BV					one who has the best bow	великий лучник
1.17	śikhaṇḍin	शिखण्डी	śikhaṇḍī		1n.1 m.				√śi			in	m						crested one	Шикханди
1.17	ca	च​	ca			av.													and	также
1.17	mahā-ratha	महारथः	mahā-rathaḥ		1n.1 m.				√mah			a	m	BV					who has a great chariot	тот, кто может в одиночку сражаться с тысячами воинов
1.17	dhṛṣṭa-dyumna	धृष्टद्युम्नः	dhṛṣṭa-dyumnaḥ		1n.1 m.				√dhṛṣ			a	m			h3	ḥ v → o v	dhṛṣṭadyumno virāṭaś ca sātyakiś cāparājitaḥ	bold power	Дхриштадьюмна (сын царя Друпады)
1.17	virāṭa	विराटः	virāṭaḥ		1n.1 m.				√rāj			a	m			h5	ḥ c → ś c		reigning	Вирата (царь, давший приют Пандавам, когда они вынуждены были скрываться)
1.17	ca	च​	ca			av.													and	также
1.17	sātyaki	सात्यकिः	sātyakiḥ		1n.1 m.							i	m			h5	ḥ c → ś c		whose nature is truth	Сатьяки (другое имя Ююдханы, колесничего Господа Кришны)
1.17	ca	च​	ca			av.						a				v1	a a → ā		and	и
1.17	a-parā-jita	अपराजितः	aparā-jitaḥ		1n.1 m.	PP			√ji			a	m						invincible	непобедимый
1.18	dru-pada	द्रुपदः	drupadaḥ		1n.1 m.				√dru			a	m			h3	ḥ d → o d	drupado draupadeyāś ca sarvaśaḥ pṛthivīpate	pillar, column or a sudden step	Друпада, царь Панчалы
1.18	draupadeya	द्रौपदेयाः	draupadeyāḥ		1n.3 m.				√dru			a	m			h5	ḥ c → ś c		sons of Drupada’s daughter	сыновья Драупади
1.18	ca	च​	ca			av.													and	также
1.18	sarvaśaḥ	सर्वशः	sarvaśaḥ			av.													all, whole	всюду
1.18	pṛthivī-pati	पृथिवीपते	pṛthivīpate		8n.1 m.				√pṛth			i	m	TP					O lord of the earth	о царь
1.18	saubhadra	सौभद्रः	saubhadraḥ		1n.1 m.							a	m			h5	ḥ c → ś c	saubhadraś ca mahā-bāhuḥ śaṅkhān dadhmuḥ pṛthak pṛthak	son of Subhadrā	Абхиманью, сын Субхадры
1.18	ca	च​	ca			av.													and	также
1.18	mahā-bāhu	महाबाहुः	mahā-bāhuḥ		1n.1 m.				√mah			u	m	BV					who has mighty arms	могучерукий
1.18	śaṅkha	शङ्खान्	śaṅkhān		2n.3 m.							a	m						conchshells	в раковины
1.18	√dhmā	दध्मुः	dadhmuḥ		1v.3	Perf. P			√dhmā										they blew	затрубили
1.18	pṛthak pṛthak	पृथक्पृथक्	pṛthak pṛthak			av.			√pṛth			k							separately, singly, one by one	каждый в отдельности.
1.19	tat	सः	saḥ		1n.1 m.	sn.						t	m			h1	ḥ g → Ø g	sa ghoṣo dhārtarāṣṭrāṇāṃ hṛdayāni vyadārayat	that	тот
1.19	ghoṣa	घोषः	ghoṣaḥ		1n.1 m.				√ghuṣ			a	m			h3	ḥ d → o d		noise	звук
1.19	dhārtarāṣṭra	धार्तराष्ट्राणाम्	dhārtarāṣṭrāṇām		6n.3 m.				√dhṛ			a	m			m	m h → ṃ h		of the sons of Dhṛtarāṣṭra	сыновей Дхритараштры
1.19	hṛdaya	हृदयानि	hṛdayāni		2n.3 n.							a	n						the hearts	сердца
1.19	vi-√dṝ	व्यदारयत्	vyadārayat		1v.1	Imperf. caus. P			√dṝ										it caused to break	заставил содрогнуться
1.19	nabhas	नभः	nabhaḥ		2n.1 n.							s	n			h5	ḥ c → ś c	nabhaś ca pṛthivīṃ caiva tumulo vyanunādayan	the sky	небо
1.19	ca	च​	ca			av.													and	также
1.19	pṛthivī	पृथिवीम्	pṛthivīm		2n.1 f.				√pṛth			ī	f			m	m c → ṃ c		the earth	поверхность земли
1.19	ca	च​	ca			av.						a				v6	a e → ai		and	также
