card	verdict	near_miss	failure_shape	note
C042	same	no	n/a	sharp, keen
C043	different	yes	other-homonym	PWG antareṇa 'with regard to' vs SKD antareṇa 'madhya, vinā, vyatireka': sibling sense of the same indeclinable
C044	same	no	n/a	seal / signet ring: SKD pratyayakāriṇī, aṅgulimudrā
C045	different	no	dhatu-vs-noun	PWG Rādhā / epithet of Kṛṣṇa vs SKD dhātu rādh 'siddhau'
C046	different	no	dhatu-vs-noun	PWG 'Fürst' vs SKD dhātu skand 'śoṣaṇe, gatyām'
C047	same	no	n/a	favourable turn of a sickness in all three
C048	unsure	no	n/a	PWG 4. sa m. gloss contentless; SKD shows the letter sa, truncated
C049	different	no	dhatu-vs-noun	PWG a blow with the elbow vs SKD dhātu kīl 'bandhe'
C050	same	no	n/a	PWG Hibiscus mutabilis; SKD lists 'padmacāriṇī' (land-lotus, Hibiscus mutabilis) per Jaṭādhara
C051	different	no	dhatu-vs-noun	PWG 'Eisen' vs SKD dhātu śaṭh 'ālasye'
C052	different	no	dhatu-vs-noun	PWG ajā = Māyā vs SKD dhātu aj 'bhāsi'
C053	different	yes	dhatu-vs-noun	PWG noun 'das Rühmen, Preisen' vs SKD dhātu śaṃs 'stutau': POS variant
C054	different	no	dhatu-vs-noun	PWG a kind of incense vs SKD dhātu pūr 'pūrttau'
C055	same	no	n/a	to scratch / draw a line / write
C056	different	no	dhatu-vs-noun	PWG 'Haus' vs SKD dhātu kūṭ 'aprasāde'
C057	same	no	n/a	parasol
C058	different	no	dhatu-vs-noun	PWG wall / side / wing etc. vs SKD dhātu pakṣ 'parigrahe'
C059	different	no	dhatu-vs-noun	PWG 'weiss' vs SKD dhātu sphuṭ 'narmaṇi'
C060	different	no	dhatu-vs-noun	PWG adj. 'leading; suitable' vs SKD dhātu nay 'gatau'
C061	unsure	no	n/a	PWG u m. epithet of Śiva / Brahman; SKD shows the letter u, truncated before any such sense
