attested_form	dcs_lemma	dcs_upos	verdict	cell	cell_occ	generator_has	evidence_count	target_locus
duhitrī	duhitṛ	NOUN	slot-conflict	f.nom.sg	177	duhitā	224	dcs:590561
striyo	strī	NOUN	slot-conflict	f.nom.pl	161	stryaḥ	222	dcs:484561
etasyām	etad	PRON	coverage-hole	f.loc.sg	110		220	dcs:589946
nas	mad	PRON	lexicon-gap	?.gen.pl	75		220	dcs:651466
kasmai	ka	PRON	slot-conflict	m.dat.sg	113	kāya	218	dcs:687541
āyudhāḥ	āyudha	NOUN	coverage-hole	m.nom.pl	85		216	dcs:484741
saṃbhavaḥ	sambhava	NOUN	slot-conflict	m.nom.sg	86	sambhavaḥ	202	dcs:555591
saṃpad	sampad	NOUN	slot-conflict	f.nom.sg	90	sampat	198	dcs:748666_1
vyom	vyoman	NOUN	slot-conflict	n.nom.sg	109	vyoma	194	dcs:590220
dhiyaṃ	dhī	NOUN	slot-conflict	f.acc.sg	52	dhīm	193	dcs:748685
mayāni	maya	ADJ	coverage-hole	n.nom.pl	52		182	dcs:749105
striyāṃ	strī	NOUN	slot-conflict	f.loc.sg	33	stryām	182	dcs:749164
śreyān	śreyas	ADJ	coverage-hole	m.nom.sg	120		180	dcs:650197_2
yatnataḥ	yatnatas	ADV	coverage-hole	m.abl.sg	69		177	dcs:30080
dyāvā	div	NOUN	lexicon-gap	m.nom.du	28		172	dcs:651652
saṃpratiḥ	samprati	NOUN	slot-conflict	m.nom.sg	1	sampratiḥ	171	dcs:590000
abhidhaḥ	abhidhā	NOUN	coverage-hole	m.nom.sg	81		168	dcs:589947
etāsām	etad	PRON	coverage-hole	f.gen.pl	82		164	dcs:650801
anyonyasya	anyonya	PRON	coverage-hole	m.gen.sg	79		160	dcs:651643
nāmataḥ	nāman	NOUN	slot-conflict	n.abl.sg	147	nāmnaḥ	159	dcs:484712
saṃbandhaḥ	sambandha	NOUN	slot-conflict	m.nom.sg	87	sambandhaḥ	155	dcs:67869
saṃpadā	sampad	NOUN	slot-conflict	f.instr.sg	77	sampadā	155	dcs:748865
uttarata	uttaratas	ADV	indeclinable		49		153	dcs:651895
dharmataḥ	dharma	NOUN	slot-conflict	m.abl.sg	136	dharmāt	150	dcs:479338
pratimam	pratimā	NOUN	coverage-hole	m.acc.sg	34		150	dcs:555633
yuvānam	yuvan	ADJ	coverage-hole	m.acc.sg	72		148	dcs:648851
vidvasaḥ	vidvas	ADJ	coverage-hole	m.nom.pl	66		147	dcs:484740
tās	tad	PRON	coverage-hole	f.nom.pl	98		145	dcs:748698
kas	ka	PRON	slot-conflict	m.nom.sg	141	kaḥ	143	dcs:555568
nāmbhiḥ	nāman	NOUN	slot-conflict	n.instr.pl	93	nāmabhiḥ	143	dcs:30991
amūḥ	adas	PRON	coverage-hole	f.nom.pl	42		142	dcs:650763
apekṣaḥ	apekṣā	NOUN	coverage-hole	m.nom.sg	51		140	dcs:59301
etasyai	etad	PRON	coverage-hole	f.dat.sg	71		138	dcs:650856
in	id	PART	coverage-hole	m.nom.sg	2		138	dcs:749330
patraḥ	pattra	NOUN	slot-conflict	m.nom.sg	6	pattraḥ	138	dcs:647742
agrataḥ	agra	NOUN	slot-conflict	n.abl.sg	8	agrāt	137	dcs:647440
etasyā	etad	PRON	coverage-hole	f.gen.sg	20		137	dcs:671009
duhitryāḥ	duhitṛ	NOUN	slot-conflict	f.gen.sg	70	duhituḥ	136	dcs:76237
itaretaram	itaretara	PRON	coverage-hole	m.acc.sg	63		136	dcs:524505
janāsaḥ	jana	NOUN	slot-conflict	m.voc.pl	42	janāḥ	136	dcs:652148
nāmānam	nāman	NOUN	coverage-hole	m.acc.sg	67		134	dcs:649205
śirasam	śiras	NOUN	coverage-hole	m.acc.sg	55		134	dcs:687171
ūṣma	ūṣman	NOUN	compound-member		67		134	dcs:465391
akṣām	akṣa	ADJ	coverage-hole	f.acc.sg	66		132	dcs:574708
patrāṇi	pattra	NOUN	slot-conflict	n.acc.pl	97	pattrāṇi	131	dcs:331708
amuṣyāḥ	adas	PRON	coverage-hole	f.gen.sg	71		130	dcs:646644_2
chatraṃ	chattra	NOUN	slot-conflict	n.acc.sg	61	chattram	130	dcs:76641
vasīyān	vasīyas	ADJ	coverage-hole	m.nom.sg	66		125	dcs:651242
chatra	chattra	NOUN	compound-member		60		124	dcs:465641_1
prabhṛtīni	prabhṛti	NOUN	coverage-hole	n.nom.pl	44		124	dcs:643172
asmāṁ	mad	PRON	lexicon-gap	?.acc.pl	64		122	dcs:646719_2
etasmai	etad	PRON	coverage-hole	m.dat.sg	44		121	dcs:94010
apekṣam	apekṣā	NOUN	coverage-hole	n.nom.sg	44		118	dcs:76556
bhūyān	bhūyas	ADJ	slot-conflict	m.nom.sg	63	bhūyāḥ	118	dcs:748895
patraṃ	pattra	NOUN	slot-conflict	n.nom.sg	46	pattram	115	dcs:506270
divas	div	NOUN	lexicon-gap	m.abl.sg	56		114	dcs:650344
jyāyān	jyāyas	ADJ	slot-conflict	m.nom.sg	68	jyāyāḥ	114	dcs:590575
pitarā	pitṛ	NOUN	slot-conflict	m.acc.du	53	pitarau	113	dcs:651990
vīryau	vīrya	NOUN	coverage-hole	m.nom.du	37		112	dcs:649316
śreyāḥ	śreyas	ADJ	coverage-hole	m.nom.sg	78		112	dcs:589952
āvābhyām	mad	PRON	lexicon-gap	?.instr.du	45		108	dcs:650550_4
sakhāyam	sakhi	NOUN	slot-conflict	m.acc.sg	44	sakhim	107	dcs:650350
mahitvā	mahitva	NOUN	slot-conflict	n.instr.sg	48	mahitvena	106	dcs:748708
vidvasām	vidvas	ADJ	coverage-hole	m.gen.pl	77		106	dcs:97136
bāhuvoḥ	bāhu	NOUN	slot-conflict	m.loc.du	50	bāhvoḥ	105	dcs:76348
bhago	bhaga	NOUN	slot-conflict	m.nom.sg	96	bhagaḥ	104	dcs:590085
mahānti	mahat	ADJ	coverage-hole	n.nom.pl	43		103	dcs:637957
āpas	ap	NOUN	coverage-hole	f.nom.pl	70		103	dcs:652868
samāsataḥ	samāsatas	ADV	coverage-hole	m.abl.sg	11		102	dcs:26613
viśvata	viśvatas	ADV	indeclinable		8		102	dcs:748954
yatrā	yatra	SCONJ	indeclinable		63		102	dcs:649518
devebhiḥ	deva	NOUN	slot-conflict	m.instr.pl	82	devaiḥ	99	dcs:651728
rājbhiḥ	rājan	NOUN	slot-conflict	m.instr.pl	74	rājabhiḥ	99	dcs:577944
rājsu	rājan	NOUN	slot-conflict	m.loc.pl	70	rājasu	99	dcs:87375
saṃbhārān	sambhāra	NOUN	slot-conflict	m.acc.pl	56	sambhārān	99	dcs:639557
svabhāvataḥ	svabhāva	NOUN	slot-conflict	m.abl.sg	83	svabhāvāt	99	dcs:555751
vasvaḥ	vasu	NOUN	slot-conflict	n.gen.sg	45	vasunaḥ	99	dcs:484706
rajo	rajas	NOUN	slot-conflict	n.nom.sg	58	rajaḥ	98	dcs:647558
udakāḥ	udaka	NOUN	coverage-hole	f.nom.pl	18		98	dcs:634877
śriyai	śrī	NOUN	slot-conflict	f.dat.sg	59	śryai	98	dcs:748904
saṃmukhaṃ	sammukha	ADJ	slot-conflict	n.acc.sg	24	sammukham	97	dcs:645498
ahobhiḥ	ahar	NOUN	slot-conflict	n.instr.pl	61	ahārbhiḥ	96	dcs:484504
samyaksaṃbuddhāḥ	samyaksambuddha	ADJ	slot-conflict	m.nom.pl	48	samyaksambuddhāḥ	96	dcs:642263
saṃpadam	sampad	NOUN	slot-conflict	f.acc.sg	49	sampadam	96	dcs:464395
ānanām	ānana	NOUN	coverage-hole	f.acc.sg	48		96	dcs:573102
satvam	sattva	NOUN	slot-conflict	n.nom.sg	6	sattvam	95	dcs:636113
abhidham	abhidhā	NOUN	coverage-hole	n.nom.sg	35		94	dcs:90322
ābharaṇāḥ	ābharaṇa	NOUN	coverage-hole	m.nom.pl	20		94	dcs:89555
garīyāḥ	garīyas	ADJ	coverage-hole	f.nom.sg	54		93	dcs:91963
amūṃ	adas	PRON	coverage-hole	f.acc.sg	18		92	dcs:651647
tvaram	tvarā	NOUN	coverage-hole	n.acc.sg	43		92	dcs:93555
saṃpraiṣaṃ	sampraiṣa	NOUN	slot-conflict	m.acc.sg	3	sampraiṣam	91	dcs:686981
yadī	yadi	SCONJ	indeclinable		59		91	dcs:634017
ekasyām	eka	NUM	coverage-hole	f.loc.sg	45		90	dcs:650255_1
mahātmanau	mahātman	ADJ	coverage-hole	m.nom.du	65		90	dcs:370236
samyaksaṃbuddhasya	samyaksambuddha	ADJ	slot-conflict	m.gen.sg	44	samyaksambuddhasya	90	dcs:642732
vadhvam	vadhū	NOUN	slot-conflict	f.acc.sg	58	vadhūm	89	dcs:648280_1
mahātmānau	mahātman	ADJ	coverage-hole	m.nom.du	64		88	dcs:657855
cin	cit	PART	indeclinable		71		87	dcs:749328
retāḥ	retas	NOUN	coverage-hole	m.nom.sg	36		87	dcs:519179
ākhyena	ākhyā	NOUN	coverage-hole	m.instr.sg	23		86	dcs:583200
mūrdhanā	mūrdhan	NOUN	slot-conflict	m.instr.sg	78	mūrdhnā	85	dcs:29580
bhagavaḥ	bhagavat	ADJ	slot-conflict	m.voc.sg	53	bhagavan	84	dcs:651126
janmā	janman	NOUN	coverage-hole	m.nom.sg	35		84	dcs:634999
mātarā	mātṛ	NOUN	slot-conflict	f.acc.du	24	mātarau	83	dcs:635006
somāsaḥ	soma	NOUN	slot-conflict	m.nom.pl	50	somāḥ	83	dcs:660367
hriyā	hrī	NOUN	slot-conflict	f.instr.sg	39	hryā	82	dcs:102923
āyudhān	āyudha	NOUN	coverage-hole	m.acc.pl	41		82	dcs:484974
saṃbhāra	sambhāra	NOUN	compound-member		26		80	dcs:727910
yuvānaḥ	yuvan	NOUN	coverage-hole	m.nom.pl	46		80	dcs:524191
dūrata	dūratas	ADV	coverage-hole	n.abl.sg	1		78	dcs:644221
sakṛdāgāmi	sakṛdāgāmin	NOUN	compound-member		39		78	dcs:642685
ahaḥsu	ahar	NOUN	slot-conflict	n.loc.pl	39	ahārṣu	76	dcs:652332
arvā	arvan	NOUN	coverage-hole	m.nom.sg	39		76	dcs:634686
tal	tad	PRON	coverage-hole	n.acc.sg	46		76	dcs:650974
īkṣaṇām	īkṣaṇa	NOUN	coverage-hole	f.acc.sg	38		76	dcs:95366
buddhinā	buddhi	NOUN	coverage-hole	m.instr.sg	37		74	dcs:88828
duhitrīm	duhitṛ	NOUN	slot-conflict	f.acc.sg	63	duhitaram	74	dcs:76228
eno	enas	NOUN	slot-conflict	n.acc.sg	34	enaḥ	74	dcs:647045
paraspareṇa	paraspara	PRON	coverage-hole	m.instr.sg	32		74	dcs:99887
patyuḥ	pati	NOUN	slot-conflict	m.gen.sg	60	pateḥ	74	dcs:589910
prabhṛtīn	prabhṛti	NOUN	coverage-hole	m.acc.pl	37		74	dcs:478373
udarāḥ	udara	NOUN	coverage-hole	m.nom.pl	24		74	dcs:29276
śaktitaḥ	śakti	NOUN	slot-conflict	f.abl.sg	29	śakteḥ śaktyāḥ	74	dcs:464875
naum	nau	NOUN	slot-conflict	f.acc.sg	64	nāvam	73	dcs:483796
pārśvataḥ	pārśvatas	ADV	coverage-hole	n.abl.sg	20		73	dcs:656215
svāyām	sva	ADJ	slot-conflict	f.loc.sg	39	svasyām	73	dcs:650591_4
jīvo	jīva	NOUN	slot-conflict	m.nom.sg	70	jīvaḥ	72	dcs:76816
ākhyasya	ākhyā	NOUN	coverage-hole	m.gen.sg	30		72	dcs:574164
svayaṃbhuvā	svayambhu	NOUN	slot-conflict	m.instr.sg	66	svayambhunā	71	dcs:574520
saṃpātān	sampāta	NOUN	slot-conflict	m.acc.pl	35	sampātān	70	dcs:729203
ātmakām	ātmaka	ADJ	coverage-hole	f.acc.sg	35		70	dcs:477813
agnā	agni	NOUN	slot-conflict	m.loc.sg	31	agnau	69	dcs:712080_1
harivas	harivat	ADJ	slot-conflict	m.voc.sg	60	harivan	69	dcs:651129
mūrcchā	mūrchā	NOUN	slot-conflict	f.nom.sg	59	mūrchā	69	dcs:331363
samyaksaṃbuddhānāṃ	samyaksambuddha	ADJ	slot-conflict	m.gen.pl	12	samyaksambuddhānām	68	dcs:644162
amuṣmāt	adas	PRON	coverage-hole	m.abl.sg	39		67	dcs:652154
patyau	pati	NOUN	slot-conflict	m.loc.sg	52	patau	67	dcs:651135
amīṣām	adas	PRON	coverage-hole	m.gen.pl	31		66	dcs:646368_1
amūn	adas	PRON	coverage-hole	m.acc.pl	34		66	dcs:635159_1
anulepanā	anulepana	NOUN	coverage-hole	f.nom.sg	9		66	dcs:477677
saṃbhavam	sambhava	NOUN	slot-conflict	m.acc.sg	30	sambhavam	66	dcs:575267
bhaktitaḥ	bhakti	NOUN	slot-conflict	f.abl.sg	61	bhakteḥ bhaktyāḥ	64	dcs:464274
dyūn	div	NOUN	lexicon-gap	m.acc.pl	33		64	dcs:641380
ekaikasmin	ekaika	PRON	slot-conflict	m.loc.sg	30	ekaike	64	dcs:687858
samyaksaṃbuddhaṃ	samyaksambuddha	ADJ	slot-conflict	m.acc.sg	22	samyaksambuddham	64	dcs:642696
viśvebhiḥ	viśva	ADJ	slot-conflict	m.instr.pl	39	viśvaiḥ	64	dcs:650422
ūdhar	ūdhas	NOUN	slot-conflict	n.nom.sg	21	ūdhaḥ	64	dcs:749420
adrivas	adrivat	ADJ	slot-conflict	m.voc.sg	52	adrivan	63	dcs:666302
kanīyāḥ	kanīyas	ADJ	coverage-hole	m.nom.sg	40		62	dcs:484968
yujam	yuj	ADJ	slot-conflict	m.acc.sg	29	yuñjam	62	dcs:182311
prātassavanaṃ	prātaḥsavana	NOUN	slot-conflict	n.nom.sg	10	prātaḥsavanam	61	dcs:709298
ūruvoḥ	ūru	NOUN	slot-conflict	m.gen.du	23	ūrvoḥ	60	dcs:30386
satre	sattra	NOUN	slot-conflict	n.loc.sg	43	sattre	59	dcs:652950
savitaḥ	savitṛ	NOUN	slot-conflict	m.voc.sg	57	savitar	59	dcs:650344
saṃpadaḥ	sampad	NOUN	slot-conflict	f.nom.pl	15	sampadaḥ	59	dcs:645483
ekasyā	eka	NUM	coverage-hole	f.gen.sg	14		58	dcs:102880
kāmataḥ	kāmatas	ADV	coverage-hole	m.abl.sg	34		58	dcs:27653
aśvāsaḥ	aśva	NOUN	slot-conflict	m.nom.pl	30	aśvāḥ	56	dcs:648685
naś	mad	PRON	lexicon-gap	?.dat.pl	28		56	dcs:651329
ānupūrvayā	ānupūrva	NOUN	coverage-hole	f.instr.sg	33		56	dcs:590165
kanīyān	kanīyas	ADJ	coverage-hole	m.nom.sg	39		55	dcs:519849
madhumāṁ	madhumat	ADJ	slot-conflict	m.nom.sg	27	madhumān	55	dcs:651262
achāvākaḥ	acchāvāka	NOUN	slot-conflict	m.nom.sg	22	acchāvākaḥ	54	dcs:650883
anyonyena	anyonya	PRON	coverage-hole	m.instr.sg	24		54	dcs:569083_1
ima	idam	PRON	slot-conflict	m.nom.pl	43	ime	54	dcs:651621
vyacāḥ	vyacas	NOUN	coverage-hole	m.nom.sg	20		54	dcs:647714
mittraṃ	mitra	NOUN	slot-conflict	n.nom.sg	10	mitram	53	dcs:583384
samyaksaṃbodheḥ	samyaksambodhi	NOUN	slot-conflict	f.gen.sg	25	samyaksambodheḥ samyaksambodhyāḥ	53	dcs:643440
samīpataḥ	samīpa	NOUN	slot-conflict	n.abl.sg	13	samīpāt	53	dcs:440541
vidvobhiḥ	vidvas	ADJ	coverage-hole	m.instr.pl	41		53	dcs:90217
vṛdhaḥ	vṛdh	ADJ	lexicon-gap	m.nom.sg	24		53	dcs:637377
yajñiyāsaḥ	yajñiya	ADJ	slot-conflict	m.nom.pl	26	yajñiyāḥ	53	dcs:648736
ādityāsaḥ	āditya	NOUN	slot-conflict	m.nom.pl	20	ādityāḥ	53	dcs:651183
darśanām	darśana	NOUN	coverage-hole	f.acc.sg	26		52	dcs:38304
dogdhā	dogdhṛ	ADJ	coverage-hole	m.nom.sg	26		52	dcs:586598
dvārām	dvāra	NOUN	coverage-hole	f.acc.sg	26		52	dcs:465162
kiyantam	kiyat	ADJ	coverage-hole	m.acc.sg	26		52	dcs:687479
līlam	līlā	NOUN	coverage-hole	n.acc.sg	24		52	dcs:89429
parasparasya	paraspara	PRON	coverage-hole	m.gen.sg	26		52	dcs:629959
saṃbādha	sambādha	NOUN	compound-member		24		52	dcs:638361
spṛhaḥ	spṛhā	NOUN	coverage-hole	m.nom.sg	26		52	dcs:555876
svataḥ	svatas	ADV	coverage-hole	n.abl.sg	3		52	dcs:555567
saṃbhārā	sambhāra	NOUN	slot-conflict	m.nom.pl	7	sambhārāḥ	51	dcs:638037
brahmaṇas	brahman	NOUN	slot-conflict	m.gen.sg	26	brahmaṇaḥ	50	dcs:687038
daśam	daśā	NOUN	coverage-hole	n.acc.sg	24		50	dcs:670615
maghonām	maghavan	NOUN	slot-conflict	m.gen.pl	25	maghavnām	50	dcs:554690
somyāsa	somya	ADJ	slot-conflict	m.nom.pl	2	somyāḥ	50	dcs:651255
graho	graha	NOUN	slot-conflict	m.nom.sg	43	grahaḥ	49	dcs:650808
maghonaḥ	maghavan	ADJ	slot-conflict	m.gen.sg	17	maghavnaḥ	49	dcs:641408
striyau	strī	NOUN	slot-conflict	f.nom.du	23	stryau	49	dcs:75497
arthām	artha	NOUN	coverage-hole	f.acc.sg	24		48	dcs:644521
daṃpatī	dampati	NOUN	slot-conflict	m.nom.du	24	dampatī	48	dcs:76248
gandhāśma	gandhāśman	NOUN	compound-member		24		48	dcs:427243
saṃpadām	sampad	NOUN	slot-conflict	f.gen.pl	26	sampadām	48	dcs:576121
trāmāṇam	trāman	NOUN	coverage-hole	f.acc.sg	18		48	dcs:650165_5
bhūyasyā	bhūyas	ADJ	slot-conflict	f.instr.sg	24	bhūyasā	47	dcs:642148
hotārā	hotṛ	NOUN	slot-conflict	m.acc.du	13	hotārau	47	dcs:650561
pramāṇataḥ	pramāṇa	NOUN	slot-conflict	n.abl.sg	39	pramāṇāt	47	dcs:99544
prātassavane	prātaḥsavana	NOUN	slot-conflict	n.loc.sg	25	prātaḥsavane	47	dcs:709312
sārddhaṃ	sārdham	ADV	indeclinable		44		47	dcs:331975
yonā	yoni	NOUN	slot-conflict	m.loc.sg	17	yonau	47	dcs:638245
devataḥ	devatā	NOUN	coverage-hole	m.nom.sg	19		46	dcs:650045_1
kratve	kratu	NOUN	slot-conflict	m.dat.sg	23	kratave	46	dcs:649049
yajīyān	yajīyas	ADJ	coverage-hole	m.nom.sg	23		46	dcs:652645_3
śaṃbhuḥ	śambhu	NOUN	slot-conflict	m.nom.sg	23	śambhuḥ	46	dcs:589943
sakhyuḥ	sakhi	NOUN	slot-conflict	m.gen.sg	29	sakheḥ	45	dcs:589912
śriyo	śrī	NOUN	slot-conflict	f.gen.sg	28	śryāḥ	45	dcs:652045
śāstrataḥ	śāstra	NOUN	slot-conflict	n.abl.sg	41	śāstrāt	45	dcs:76517
saṃpuṭe	sampuṭa	NOUN	slot-conflict	m.loc.sg	42	sampuṭe	44	dcs:393296
svayaṃbhūḥ	svayambhu	NOUN	slot-conflict	m.nom.sg	31	svayambhuḥ	44	dcs:590316
vartmā	vartman	NOUN	coverage-hole	m.nom.sg	21		44	dcs:647623
viprāsa	vipra	NOUN	slot-conflict	m.nom.pl	4	viprāḥ	44	dcs:640679
yavīyāḥ	yavīyas	ADJ	coverage-hole	m.nom.sg	31		44	dcs:488119
yogataḥ	yoga	NOUN	slot-conflict	m.abl.sg	30	yogāt	44	dcs:584240
dadhinas	dadhi	NOUN	slot-conflict	n.gen.sg	35	dadhinaḥ	43	dcs:506124
paraṃparām	paramparā	NOUN	slot-conflict	f.acc.sg	22	paramparām	43	dcs:641945
uṣāsā	uṣas	NOUN	slot-conflict	f.acc.du	10	uṣasau	43	dcs:648877
vārtā	vārttā	NOUN	slot-conflict	f.nom.sg	28	vārttā	43	dcs:590414
āpriyaḥ	āprī	NOUN	slot-conflict	f.nom.pl	24	āpryaḥ	43	dcs:650552
śaṃbho	śambhu	NOUN	slot-conflict	m.voc.sg	4	śambho	43	dcs:584823
achidreṇa	acchidra	ADJ	slot-conflict	n.instr.sg	17	acchidreṇa	42	dcs:651099
jyotīḥ	jyotis	NOUN	slot-conflict	m.nom.sg	15	jyotiḥ	42	dcs:90804
saṃpraiṣa	sampraiṣa	NOUN	compound-member		13		42	dcs:686982
vṛṣo	vṛṣa	NOUN	slot-conflict	m.nom.sg	39	vṛṣaḥ	42	dcs:589988
chatraiḥ	chattra	NOUN	slot-conflict	n.instr.pl	21	chattraiḥ	41	dcs:644114
iyān	iyat	ADJ	coverage-hole	m.nom.sg	20		41	dcs:650673_7
vidvasā	vidvas	ADJ	coverage-hole	m.instr.sg	31		41	dcs:35747
viśas	viś	NOUN	slot-conflict	f.nom.pl	34	viśaḥ	41	dcs:647099
aṅgulām	aṅgula	NOUN	coverage-hole	f.acc.sg	20		40	dcs:28936
dampatiyoḥ	dampati	NOUN	slot-conflict	m.gen.du	33	dampatyoḥ	40	dcs:102874
dhairyāḥ	dhairya	NOUN	coverage-hole	m.nom.pl	19		40	dcs:641980
janimā	janiman	NOUN	slot-conflict	n.acc.pl	13	janimāni	40	dcs:646215
kan	ka	PRON	slot-conflict	m.nom.sg	13	kaḥ	40	dcs:652384
paramasyāṃ	parama	ADJ	coverage-hole	f.loc.sg	7		40	dcs:646913
saṃbandhaṃ	sambandha	NOUN	slot-conflict	m.acc.sg	14	sambandham	40	dcs:615326
sāmataḥ	sāman	NOUN	slot-conflict	n.abl.sg	25	sāmnaḥ	40	dcs:749127
tanuvam	tanū	NOUN	slot-conflict	f.acc.sg	20	tanūm	40	dcs:669430_1
tanuvā	tanū	NOUN	slot-conflict	f.instr.sg	17	tanvā	40	dcs:669709
tṛtīyasyāṃ	tṛtīya	ADJ	coverage-hole	f.loc.sg	6		40	dcs:464587
upadhāt	upadhā	NOUN	coverage-hole	m.abl.sg	18		40	dcs:551652
vegām	vega	NOUN	coverage-hole	f.acc.sg	20		40	dcs:31269
vārtāṃ	vārttā	NOUN	slot-conflict	f.acc.sg	11	vārttām	40	dcs:88359
śāśvatām	śāśvata	ADJ	coverage-hole	f.acc.sg	38		40	dcs:583724
aprayucchan	aprayucchat	ADJ	slot-conflict	m.nom.sg	22	aprayucchat	39	dcs:650434_1
avāc	ava	NOUN	compound-member		18		39	dcs:555420
ekasmāt	eka	NUM	slot-conflict	n.abl.sg	20	ekāt	39	dcs:331199
maghonī	maghavan	ADJ	coverage-hole	f.nom.sg	19		39	dcs:474336
saṃbhrama	sambhrama	NOUN	compound-member		9		39	dcs:657390
viśuddhitaḥ	viśuddhi	NOUN	slot-conflict	f.abl.sg	20	viśuddheḥ viśuddhyāḥ	39	dcs:645091
