lemma_slp1	group_id	status	shape	method	score	witnesses	flags	failure_class	pwg_sense_ids	pwg_gloss	mw_sense_ids	mw_gloss	apte_sense_ids	apte_gloss	skd_sense_ids	skd_gloss	vcp_sense_ids	vcp_gloss	note	stratum	stratum_census	stratum_population	population_share	sample_weight
gaRa	gaRa#1	aligned	1-1-0-1-0	attrib+ls	0.750	lalit skdr yajn			pwg:21460:3	Schaarengottheiten; göttliche Wesen untergeordneter Art, welche in der Regel nicht einzeln, sondern nur in Schaaren auftreten; Gefolge, welches unter der unmittelbaren Herrschaft von; steht; das einzelne Individuum im Gefolge von	mw:62525:1	troops or classes of inferior deities (especially certain troops of demi-gods considered as Śiva 's attendants and under the special superintendence of the god Gaṇeśa ; cf. ), ; ; &amp;c			skd:10369:1	gaRa , t ka saMKyAne . iti kavikalpadrumaH .. (adantacurAM-paraM-sakaM-sew .) mUrdDanyopaDaH . gaRayati . iti durgAdAsaH			shared literary witness, weighted 1/df within the lemma	attrib+ls|hi >=0.70|clean	yes	12	0.001712	0.0171
guqa	guqa#1	aligned	1-1-0-1-0	attrib+ls	1.000	katy mbh skdr yajn			pwg:22528:5	trockner, in (runde) Stücke sich ballender Zucker; gekochter Zuckerrohrsaft, Melasse; Sandzucker; mit Melasse vermischtes Wasser; Melasse statt Wasser enthaltend; Reis mit Zucker; in Melasse eingemachte Myrobalane; mit Melasse; in Kugelform	mw:65427:1	sugar which forms itself into lumps, dry sugar, treacle, molasses, first thickening of the juice of the sugarcane by boiling, ; ; ; &amp;c			skd:10969:1	guqa , i ka vezwe . rakze . iti kavikalpadrumaH .. (curAM-paraM-sakaM-sew .) paYcamasvarI . i ka, guRqayati . anekArTatvAccUrRIkaraRe'pi . guRqa- yati hiNgulaM lokaH . iti durgAdAsaH			shared literary witness, weighted 1/df within the lemma	attrib+ls|hi >=0.70|clean	yes	12	0.001712	0.0171
jana	jana#1	aligned	1-1-0-1-0	attrib+ls	1.000	skandap skdr			pwg:26484:9	die jenseits des; gelegene Welt; die Bewohner dieser Welt	mw:76740:1	the world beyond the Mahar-loka			skd:13139:1	jana , I ma ya Na janO . iti kavikalpadrumaH .. (divAM-AtmaM-akaM-sew .) I, jAtaH . ma, janayati . ya Na, jAyate janyate . janirjjanma . prAdurBAve iti prAYcaH . prAdurBAvaH sPuwIBAvaH . prAkASye prAdurAviH syAdityamaraH . bIjA- daNkuro jAyate patrakARqAdiBed…			shared literary witness, weighted 1/df within the lemma	attrib+ls|hi >=0.70|clean	yes	12	0.001712	0.0171
kAma	kAma#1	aligned	1-1-0-1-0	attrib+ls	1.000	hariv skdr vp			pwg:16363:4	der Wunschgott; der Liebesgott; begehrliche, Alles verzehrende; heischende ist	mw:47945:1	(represented as son of Dharma and husband of Rati [ ; ; ]; or as a son of Brahmā , ; or sometimes of Saṃkalpa , ; cf. )			skd:7259:1	kAma , vya, aByanujYA . iti viSvaH			shared literary witness, weighted 1/df within the lemma	attrib+ls|hi >=0.70|clean	yes	12	0.001712	0.0171
kuSa	kuSa#1	aligned	1-1-0-1-0	attrib+ls	1.000	mbh skdr yajn			pwg:18235:4	das heilige, bei verschiedenen religiösen Ceremonien verwendete Gras; mit; aufgekochtes Wasser	mw:53297:1	the sacred grass used at certain religious ceremonies ( Poa cynosuroides , a grass with long pointed stalks), ; ; &amp;c			skd:8332:1	kuSa i ki dyutO . iti kavikalpadrumaH .. (curAM pakze BvAM paraM-akaM-sew-idit .) paYcamasvarI . i kuMSyate . ki kuMSayati kuMSati . iti durgA- dAsaH			shared literary witness, weighted 1/df within the lemma	attrib+ls|hi >=0.70|clean	yes	12	0.001712	0.0171
laya	laya#1	aligned	1-1-0-1-0	attrib+ls	1.000	kap skdr vedantas			pwg:86037:5	das Verschwinden —, Eingehen in; Untergang; sport, [Page6-0512] pastime; verschwinden —, eingehen —, aufgehen in; versteckten sich; Untergang, Tod; die Sonne beim Untergang der Welt; untergehen, zu Grunde gehen, zu Nichte werden	mw:182760:1	mental inactivity, spiritual indifference			skd:30243:1	laya , Na gatyAm . iti kavikalpadrumaH .. (BvA0- Atma0-saka0-sew .) Na, layate . iti durgAdAsaH			shared literary witness, weighted 1/df within the lemma	attrib+ls|hi >=0.70|clean	yes	12	0.001712	0.0171
nala	nala#1	aligned	1-1-0-1-0	attrib+ls	1.000	brahmap skdr			pwg:37896:7	N. pr. eines Daitya _im_	mw:104385:1	of a Daitya			skd:18425:1	nala , ja banDe . iti nalaSabdasya vyutpattO BarataH .. (BvAM-paraM-sakaM-sew ..)			shared literary witness, weighted 1/df within the lemma	attrib+ls|hi >=0.70|clean	yes	12	0.001712	0.0171
SAKa	SAKa#1	aligned	1-1-0-1-0	attrib+ls	0.533	hariv mbh skdr			pwg:98647:2	eine Manifestation; die als sein Sohn gefasst wird	mw:214946:1	m. N. of a manifestation of Skanda or of his son			skd:35276:1	SAKa , f vyAptO . iti kavikalpadrumaH .. (BvA0- para0-saka0-sew .) f, aSaSAKat . iti durgAdAsaH			shared literary witness, weighted 1/df within the lemma	attrib+ls|mid 0.40-0.69|clean	yes	4	0.000571	0.0171
ka	ka#1	aligned	1-1-0-1-0	attrib+ls	0.500	nir skdr			pwg:14150:1	eines obersten Gottes, des; der Wer, der Unbekannte; Wind; Sonne; Seele; Feuer; Pfau; a clever or dexterous man; der Liebesgott; Knoten; König der Vögel; König; Körper; Zeit; Reichthum; Laut; Schein, Glanz	mw:41356:1	( ), n. happiness, joy, pleasure, ; &amp;c			skd:5738:1	ka , kakAraH . (varRasya svarUpagrahaRAya kAraH .) sa tu vyaYjanapraTamavarRaH . asyoccAraRasTAnaM kaRWaH . iti vyAkaraRam .. (taMTA coktam tulyAsya prayatnaM savarRaM . 1 . 1 . 9 . sidDAntakOmudyAm . akuhavisarjanIyAnANkaRWaH .. iti .. * ..) (vaNgIyaBAzAyAM)…			shared literary witness, weighted 1/df within the lemma	attrib+ls|mid 0.40-0.69|clean	yes	4	0.000571	0.0171
kuSa	kuSa#2	aligned	1-1-0-1-0	attrib+ls	0.667	hariv ragh skdr			pwg:18235:6	N. pr. eines Sohnes von Vasu Uparicara . eines Sohnes von Balākāśva oder Grossohnes von Balāka und Vaters von Kuśāmba , Kuśanābha (und auch von Vasu ) . . ( ). . . eines Sohnes von Suhotra ( vgl. ) . von Vidarbha . von Rāma ( vgl. ) . . . . . _im_ ( vgl. ). .…	mw:53304:1	of a son of Rāma ( cf. )			skd:8333:1	kuSa ya ir Slizi . AliNgana iti yAvat . iti kavikalpadrumaH .. (divAM-paraM-sakaM-sew .) ya kuSyati bAlA kAntam . ir akuSat akoSIt . asmAt pUzAditvAnnityaM Na ityanye . iti durgA- dAsaH			shared literary witness, weighted 1/df within the lemma	attrib+ls|mid 0.40-0.69|clean	yes	4	0.000571	0.0171
mUla	mUla#1	aligned	1-1-0-1-0	attrib+ls	0.500	rv skdr			pwg:61308:2	Wurzel; Grundlage; Ausgangspunkt, Anfang; Ausgangspunkt; die Wurzel von; die Wurzel vom langen Pfeffer; von Costus speciosus; arabicus; Wurzeln schlagen, festen Fuss fassen; wurzelnd in, hervorgehend aus; von Anfang an; von Grund aus; bis auf den Grund, ganz …	mw:166324:1	n. (or m. g. ; ifc. f( or ). ; prob. for 3. See above) ‘firmly fixed’, a root (of any plant or tree; but also fig. the foot or lowest part or bottom of anything), &amp;c. &amp;c. ( or , to take or strike root)			skd:27732:1	mUla ka ropaRe . iti kavikalpadrumaH .. (curA0- uBa0-saka0-sew .) dIrGI ropaRamAropaRam . ka mUlayati vfkzaM lokaH . govindaBawwastu rohaRe iti paWitvA rohaRaM janmeti vyAKyAti . iti durgAdAsaH			shared literary witness, weighted 1/df within the lemma	attrib+ls|mid 0.40-0.69|clean	yes	4	0.000571	0.0171
Dana	Dana#1	aligned	1-0-0-1-0	attrib	1.000	skdr			pwg:36007:7	ein Gegenstand der Zuneigung					skd:17565:1	Dana , rave . iti kavikalpadrumaH .. (BvAM-paraM-akaM- sew .) Danati mfdaNgaH . iti durgAdAsaH			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|hi >=0.70|clean	no	65	0.009274	0.0856
arTa	arTa#1	aligned	1-0-0-1-0	attrib	1.000	skdr			pwg:65094:5	dem Sinne nach; das ist, nämlich, scilicet					skd:2217:1	arTa t ka Na yAcane . iti kavikalpadrumaH .. Na arTayate arTApayate . prArTayatyalpamUlyAnItyAdO prArTanaM prArTaH paScAt prArTaM karoti iti YO parasmEpadaM . iti durgAdAsaH			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|hi >=0.70|clean	no	65	0.009274	0.0856
arha	arha#4	aligned	1-0-0-1-0	attrib	1.000	skdr			pwg:6076:8	m. Indra _im_					skd:2294:1	arha yogyatve . (BvAdiM-paraM-sakaM-sew .) pUjane . iti kavikalpadrumaH .. arhati vipro vedaM paWituM . sakarmmako'pi . yajYadAnatapAMsyasya kalAM nArhanti zoqaSIM . iti durgAdAsaH .. ( aDyApayan gurusuto guruvanmAnamarhati . iti manuH . dvitrARyahAnyarhasi s…			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|hi >=0.70|clean	no	65	0.009274	0.0856
cyu	cyu#2	aligned	1-0-0-1-0	attrib	1.000	skdr			pwg:26032:7	herauskommen, hinausgehen, herausfliessen, herausträufeln; aus; entströmt					skd:12863:1	cyu , ka hAse . sahane . iti kavikalpadrumaH .. (curAM-paraM-akaM-sakacca-sew .) antaHsTAdyo- paDaH . ka, cyAvayati . iti durgAdAsaH			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|hi >=0.70|clean	no	65	0.009274	0.0856
fkza	fkza#1	aligned	1-0-0-1-0	attrib	1.000	skdr			pwg:12903:5	eine verwandte Species					skd:5354:1	fkza , na ra baDe . iti kavikalpadrumaH .. (svAM-paraM- sakaM-sew .) ra vEdikaH . na fkzRoti . iti durgAdAsaH			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|hi >=0.70|clean	no	65	0.009274	0.0856
gocara	gocara#1	aligned	1-0-0-0-1	attrib	1.000	vacasp			pwg:23053:7	in einer best. Bedeutung; stehend, die Bedeutung von — habend							vcp:18007:1	gocara pu0 gAvaH indriyARi carantyasmin ni0 ac . 1 indri- yavedye rUparasAdO vizaye . ekEkendriyavizayASca SabdAda- yastatra Srotrasya Sabdo vizayaH, evaM tvacaH sparSaH, netrasya rUpam, jihvAyA rasaH, GrARasya ganDaH . 2 jYAnamAtra- vizaye'pi sadasatsaMSayag…	printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|hi >=0.70|clean	no	65	0.009274	0.0856
i	i#4	aligned	1-0-0-1-0	attrib	1.000	skdr			pwg:9941:1	4. m. Kāma . _im_					skd:4014:1	i , ikAraH . tftIyasvaravarRaH . asyoccAraRasTAnaM tAlu . sa ca hrasvo dIrGaH plutaSca Bavati . (ayaYca udAttAnudAttasarid-BedAt triviDaH . anunAsikAnanunAsikaBedAcca pratyekaM dviviDaH etena zaqviDa eva .) ikAraM paramAnandasuganDakusumacCavim . haribrahmama…			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|hi >=0.70|clean	no	65	0.009274	0.0856
iqA	iqA#6	aligned	1-0-0-1-0	attrib	1.000	skdr			pwg:10008:7	des die Götter ehrenden, denkenden Menschen; Himmel; Arterie; eine auf der rechten Seite des Körpers befindliche Ader					skd:4077:1	iqA , strI, (il + ka + wAp .) buDagrahaBAryyA . sA ikzvAkurAjakanyA . (yaTA harivaMSe, tatra divyAmbaraDarA divyABaraRaBUzitA . divyasaMhananA cEva iqA jajYe iti SrutiH ..) gOH . (yaTA, BArate, iqAjyahomAhutiBirmantraSikzAviSAradEH .) vacanaM . (devIBedaH . y…			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|hi >=0.70|clean	no	65	0.009274	0.0856
praBA	praBA#5	aligned	1-0-0-1-0	attrib	1.000	skdr			pwg:49393:5	die Helle; des Morgens, Mittags; Abends					skd:23008:1	praBA , strI, (prakarzeRa BAtIti . pra + BA + Ata- Scopasarge . 3 . 3 . 106 . iti aN .) kuverapurI . iti hemacandraH . 2 . 104 .. (pra + BA + BAve aN .) dIptiH . tatparyyAyaH . rociH 2 dyutiH 3 SociH 4 tvizA 5 ojaH 6 BAH 7 ruciH 8 viBA 9 AlokaH 10 prakASaH 11…			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|hi >=0.70|clean	no	65	0.009274	0.0856
sTUla	sTUla#3	aligned	1-0-0-1-0	attrib	1.000	skdr			pwg:114114:11	grosse Kardamomen					skd:40655:1	sTUla , t ka Na vfMhaRe . iti kavikalpadrumaH .. (adantacurA0-Atma0 aka0-sew .) dIrGI Na, atusTUlat . vfMhaRaM vfdDiH . iti durgAdAsaH			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|hi >=0.70|clean	no	65	0.009274	0.0856
svara	svara#1	aligned	1-0-0-1-0	attrib	1.000	skdr			pwg:115162:9	f. N. der ersten Gemahlin Brahman ʼs _im_					skd:41098:1	svara , t ka Akzepe . iti kavikalpadrumaH .. (adanta-curA0-para0-saka0-sew .) vakArayuktaH rePopaDaH . svarayatyatiruzwo'pi na kaYcana pari- graham . iti halAyuDaH . paYcamasvarayuktaH . iti caturBujaH . svarayati . iti durgAdAsaH			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|hi >=0.70|clean	no	65	0.009274	0.0856
tala	tala#1	aligned	1-0-0-1-0	attrib	1.000	skdr			pwg:29046:13	Grube					skd:14560:1	tala , gatO . (BvAM-paraM-sakaM-sew .) sOtraDAtu- rayam . tAliSaH . iti durgAdAsaH			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|hi >=0.70|clean	no	65	0.009274	0.0856
ya	ya#1	aligned	1-0-0-1-0	attrib	1.000	skdr			pwg:80802:1	fame, celebrity; barley; light, lustre; abandoning					skd:28257:1	ya , antaHsTayakAraH . sa ca zaqviMSahalavarRaH .. asyoccAraRasTAnaM tAlu . (yaduktaM sidDAnta- kOmudyAm . icuyaSAnAM tAlu .. taTA ca SikzAyAm . 17 . kaRWyAvahAvicuyaSAstAlavyA ozWajAvupU .. ) tasya svarUpaM yaTA, yakAraM SfRu cArvvaNgi ! catuzkoRamayaM sadA …			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|hi >=0.70|clean	no	65	0.009274	0.0856
BU	BU#15	aligned	1-0-0-1-0	attrib	0.333	skdr			pwg:55166:103	Jmd umgehen; nicht beachten, geringschätzen, mit Geringachtung behandeln; mit Geringachtung behandelt; sich selbst gering achtend; Etwas nicht beachten; eine Kleidung, über die die Leute spotten					skd:25174:1	BU , sattAyAm . iti kavikalpadrumaH .. (BvA0- para0-aka0-sew .) satteha dviviDA . utpatti- rvidyamAnatA ca . Bavati manuzyo'TavA vizRuH . iti durgAdAsaH			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|lo <0.40|clean	no	34	0.004851	0.0832
BU	BU#16	aligned	1-0-0-1-0	attrib	0.333	skdr			pwg:55166:105	hinschwinden					skd:25175:1	BU , ka SudDicintayoH . miSraRe . iti kavikalpa- drumaH . (curA0-para0-saka0-sew .) ka, tfRa- vadBAvayati dvizaH sarvvAn . trayo'rTAH . iti durgAdAsaH			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|lo <0.40|clean	no	34	0.004851	0.0832
akza	akza#4	aligned	1-0-0-1-0	attrib	0.333	skdr			pwg:167:19	ein Blindgeborner					skd:104:1	akza , U vyAptO . saMhatO . iti kavikalpadrumaH . akzati DanaM lokaH . vyApnoti rASIkaroti vA ityarTaH . U AkzizwAM . AzwAM . iti durgAdAsaH			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|lo <0.40|clean	no	34	0.004851	0.0832
ambikA	ambikA#3	aligned	1-0-0-1-0	attrib	0.333	skdr			pwg:5300:2	Mutter, Mütterchen					skd:1929:1	ambikA , strI, (ambA + svArTe kan, striyAM wAp .) durgA . IpsitArTakriyodAraM te'Binandya girervacaH . ASIrBireDayAmAmuH puraHpAkABirambikAmH .. iti kumArasamBave . mAtA . iti medinI .. jEnadevIviSezaH . iti hemacandraH .. kawukIvfkzaH . iti SabdacandrikA .. …			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|lo <0.40|clean	no	34	0.004851	0.0832
mUla	mUla#4	aligned	1-0-0-1-0	attrib	0.333	skdr			pwg:61308:15	Asparagus racemosus Willd. _im_					skd:27733:1	mUla Ya pratizWAyAm . iti kavikalpadrumaH .. (BvA0- uBa0-aka0-sew .) pavargaSezAdirdIrGI . pratizWA sTitiriti govindaBawwaH . Ya mUlati mUlate yaSaH . ayaM parasmEpadItyanye . iti durgAdAsaH			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|lo <0.40|clean	no	34	0.004851	0.0832
puwa	puwa#2	aligned	1-0-0-1-0	attrib	0.333	skdr			pwg:45681:5	Pferdehuf					skd:21790:1	puwa , ka cUrRe . BAsi . iti kavikalpadrumaH .. (curAM-paraM-cUrRe sakaM-BAsi akaM-sew .) ka, powayati . BAsi dIptO . iti durgAdAsaH			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|lo <0.40|clean	no	34	0.004851	0.0832
sinDu	sinDu#2	aligned	1-0-0-1-0	attrib	0.333	skdr			pwg:109466:8	m. = _im_					skd:39154:1	sinDu vAraH, puM, (sinDu mapi vfRoti gatyeti .. vf + aR .) hayottamaH . iti trikARqaSezaH .. (sinDuM madajalamapi vArayati tiraskaroti tiktarasena . vf + Ric + aR .) sinDuvAra- vfkzaH . ityamaraH . 2 . 4 . 68 .. yaTA, visunDakaH sinDu vAraH sinDukaM suraso'pi…			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|lo <0.40|clean	no	34	0.004851	0.0832
Ka	Ka#1	aligned	1-0-0-1-0	attrib	0.500	skdr			pwg:20749:15	das auf ein aufgegangenes Zodiakalbild folgende zehnte					skd:9896:1	Ka , KakAraH . sa tu vyaYjanadvitIyavarRaH . asyo- ccAraRasTAnaM kaRWaH . (yaTA, sidDAntakOmu- dyAm . a-ku-ha-visarjjanIyAnAM kaRWaH . iti . SikzAgranTe tu asya jihvAmUlIyatvamuktam . yaTA, jihvAmUle tu kuH proktaH . iti . paraM jihvAmUlIyasyApi kaRWamUloccAr…			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|mid 0.40-0.69|clean	no	47	0.006706	0.0805
Kala	Kala#3	aligned	1-0-0-1-0	attrib	0.500	skdr			pwg:21048:5	die Sonne					skd:10116:1	Kala , kzalajArTe . iti kaMvikalpadrumaH .. (BvAM-paraM- akaM-sew .) kzalajArTaScAlacayO . cAlaSceha sKalanam . Kalati Kalo DarmmAt . iti durgA- dAsaH			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|mid 0.40-0.69|clean	no	47	0.006706	0.0805
aja	aja#6	aligned	1-0-0-1-0	attrib	0.500	skdr			pwg:872:6	Widder					skd:460:1	aja kzepe . gatO . iti kavikalpadrumaH .. ajati . iti durgAdAsaH			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|mid 0.40-0.69|clean	no	47	0.006706	0.0805
guqa	guqa#2	aligned	1-0-0-1-0	attrib	0.500	skdr			pwg:22528:7	Baumwollenstaude					skd:10970:1	guqa , Si rakze . vyAGAte . iti kavikalpadrumaH .. (tudAM-(kuwAM)-paraM-sakaM-sew .) Si, guqati aguqIt . iti durgAdAsaH			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|mid 0.40-0.69|clean	no	47	0.006706	0.0805
kUwa	kUwa#12	aligned	1-0-0-1-0	attrib	0.500	skdr			pwg:71264:1	Augapfel					skd:8454:1	kUwa t ka dAhe . mantre . iti kavikalpadrumaH .. (adantacurAM-paraM-sakaM-sew .) dIrGo . acukUwat . iti durgAdAsaH			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|mid 0.40-0.69|clean	no	47	0.006706	0.0805
