mandala	sukta	verse	pada_letter	pratika	full_citation
1	1	6	b	agne bhadraṃ kariṣyasi	RV.1.1.6b
1	1	6	c	tavet tat satyam aṅgiraḥ	RV.1.1.6c
1	1	7	a	upa tvāgne dive-dive	RV.1.1.7a; SV.1.14a; VS.3.22a; TS.1.5.6.2a; MS.1.5.3a: 69.3; 1.5.10: 78.9; KS.7.1a,8; 22.10; AB.1.30.10; KB.9.5; ŚB.2.3.4.28a; ApŚ.6.17.7; 17.24.1; MŚ.1.6.2.9; 6.2.6.26. Ps: upa tvāgne dive-dive doṣāvastaḥ AŚ.4.10.3; upa tvāgne ŚŚ.2.12.2; 5.14.11; upa tvā KŚ.4.12.7
1	1	7	b	doṣāvastar dhiyā vayam	RV.1.1.7b; SV.1.14b; VS.3.22b; TS.1.5.6.2b; MS.1.5.3b: 69.3; KS.7.1b,8; ŚB.2.3.4.28b
1	1	7	c	namo bharanta emasi	RV.1.1.7c; SV.1.14c; VS.3.22c; TS.1.5.6.2c; MS.1.5.3c: 69.4; KS.7.1c,8; ŚB.2.3.4.28c
1	1	8	a	rājantam adhvarāṇām	RV.1.1.8a; 45.4c; VS.3.23a; TS.1.5.6.2a; MS.1.5.3a: 69.5; KS.7.1a,8; ŚB.2.3.4.29a. Cf. next
1	1	8	b	gopām ṛtasya dīdivim	RV.1.1.8b; VS.3.23b; TS.1.5.6.2b; MS.1.5.3b: 69.5; KS.7.1b,8; ŚB.2.3.4.29b
1	1	8	c	vardhamānaṃ sve dame	RV.1.1.8c; VS.3.23c; TS.1.5.6.2c; MS.1.5.3c: 69.6; KS.7.1c,8; ŚB.2.3.4.29c
1	1	9	a	sa naḥ piteva sūnave (AVŚ.KS.21.14c, putrebhyaḥ)	RV.1.1.9a; AVŚ.10.6.5c; VS.3.24a; TS.1.5.6.2a; MS.1.5.3a: 69.7; KS.7.1a,8; 21.14c; ŚB.2.3.4.30a
1	1	9	b	agne sūpāyano bhava	RV.1.1.9b; VS.3.24b; TS.1.5.6.2b; MS.1.5.3b: 69.7; KS.7.1b,8; ŚB.2.3.4.30b
1	1	9	c	sacasvā naḥ svastaye	RV.1.1.9c; VS.3.24c; TS.1.5.6.2c; MS.1.5.3c: 69.8; KS.7.1c,8; ŚB.2.3.4.30c; TA.6.12.1d; N.3.21
1	2	1	a	vāyav ā yāhi darśata	RV.1.2.1a; AB.4.29.6; KB.14.5; AA.1.1.4.1a; AŚ.5.5.2; 10.5; ŚŚ.7.2.2; 10.9; 11.9.3; MŚ.2.3.1.16a; N.10.2a. P: vāyav ā VHDh.8.69. Cf. Rvidh.1.17.1
1	2	1	b	ime somā araṃkṛtāḥ	RV.1.2.1b; AA.1.1.4.1b; MŚ.2.3.1.16b; N.10.2b
1	2	1	c	teṣāṃ pāhi śrudhī havam	RV.1.2.1c; MŚ.2.3.1.16c; N.10.2c
1	2	2	a	vāya ukthebhir jarante	RV.1.2.2a
1	2	2	b	tvām achā jaritāraḥ	RV.1.2.2b
1	2	2	c	sutasomā aharvidaḥ	RV.1.2.2c
1	2	3	a	vāyo tava prapṛñcatī	RV.1.2.3a
1	2	3	c	urūcī somapītaye	RV.1.2.3c
1	2	4	a	indravāyū ime sutāḥ	RV.1.2.4a; VS.7.8a; 33.56a; TS.1.4.4.1a; MS.1.3.6a: 32.12; KS.4.2a; ŚB.4.1.3.19a; AA.1.1.4.3; AŚ.5.5.2; ApŚ.12.14.9; MŚ.2.3.5.4. Ps: indravāyū ime ŚŚ.7.2.2; 10.10; indravāyū KŚ.9.6.7
1	2	4	b	upa prayobhir ā gatam	RV.1.2.4b; VS.7.8b; 33.56b; TS.1.4.4.1b; MS.1.3.6b: 32.12; KS.4.2b; ŚB.4.1.3.19b
1	2	4	c	indavo vām uśanti hi	RV.1.2.4c; VS.7.8c; 33.56c; TS.1.4.4.1c; MS.1.3.6c: 32.13; KS.4.2c; ŚB.4.1.3.19c
1	2	5	a	vāyav indraś ca cetathaḥ	RV.1.2.5a
1	2	5	b	sutānāṃ vājinīvasū	RV.1.2.5b
1	2	5	c	tāv ā yātam upa dravat	RV.1.2.5c
1	2	6	a	vāyav indraś ca sunvate	RV.1.2.6a
1	2	6	b	ā yātam upa niṣkṛtam	RV.1.2.6b; AA.1.1.4.3b
1	2	6	c	makṣv itthā dhiyā narā	RV.1.2.6c
1	2	7	a	mitraṃ huve pūtadakṣam	RV.1.2.7a; SV.2.197a; VS.33.57a; JB.3.38; PB.12.2.3; 15.2.5; AA.1.1.4.5; AŚ.7.2.2; 5.9. P: mitraṃ huve ŚŚ.7.10.11; 12.1.3
1	2	7	b	varuṇaṃ ca riśādasam	RV.1.2.7b; SV.2.197b; VS.33.57b; JB.3.38. Cf. varuṇaṃ vo
1	2	7	c	dhiyaṃ ghṛtācīṃ sādhantā	RV.1.2.7c; SV.2.197c; VS.33.57c; JB.3.38; AA.1.1.4.5
1	2	8	a	ṛtena mitrāvaruṇau	RV.1.2.8a; SV.2.198a; JB.3.38a
1	2	8	b	ṛtāvṛdhāv ṛtaspṛśā	RV.1.2.8b; SV.2.198b; JB.3.38b
1	2	8	c	kratuṃ bṛhantam āśāthe	RV.1.2.8c; SV.2.198c. See ṛtuṃ etc
1	2	9	a	kavī no mitrāvaruṇā	RV.1.2.9a; SV.2.199a; JB.3.38
1	2	9	b	tuvijātā urukṣayā	RV.1.2.9b; SV.2.199b
1	2	9	c	dakṣaṃ dadhāte apasam	RV.1.2.9c; SV.2.199c
1	3	1	a	aśvinā yajvarīr iṣaḥ	RV.1.3.1a; KB.14.5; AA.1.1.4.7; AŚ.4.15.2; ŚŚ.6.6.1; 7.10.12. Cf. Rvidh.1.17.1
1	3	1	b	dravatpāṇī śubhas patī	RV.1.3.1b
1	3	1	c	purubhujā canasyatam	RV.1.3.1c
1	3	2	a	aśvinā purudaṃsasā	RV.1.3.2a
1	3	2	b	narā śavīrayā dhiyā	RV.1.3.2b
1	3	2	c	dhiṣṇyā vanataṃ giraḥ	RV.1.3.2c
1	3	3	a	dasrā yuvākavaḥ sutāḥ	RV.1.3.3a; VS.33.58a
1	3	3	b	nāsatyā vṛktabarhiṣaḥ	RV.1.3.3b; VS.33.58b
1	3	3	c	ā yātaṃ rudravartanī	RV.1.3.3c; VS.33.58c; AA.1.1.4.8
1	3	4	a	indrā yāhi citrabhāno	RV.1.3.4a; AVŚ.20.84.1a; SV.2.496a; VS.20.87a; JB.3.180; PB.14.2.5; AA.1.1.4.9a; ŚŚ.7.10.13; Vait.31.16; 33.14; 40.11
1	3	4	b	sutā ime tvāyavaḥ	RV.1.3.4b; AVŚ.20.84.1b; SV.2.496b; VS.20.87b
1	3	4	c	aṇvībhis tanā pūtāsaḥ	RV.1.3.4c; AVŚ.20.84.1c; SV.2.496; VS.20.87c
1	3	5	a	indrā yāhi dhiyeṣitaḥ	RV.1.3.5a; AVŚ.20.84.2a; SV.2.497a; VS.20.88a; JB.3.180; AA.1.1.4.9b
1	3	5	b	viprajūtaḥ sutāvataḥ	RV.1.3.5b; AVŚ.20.84.2b; SV.2.497b; VS.20.88b
1	3	5	c	upa brahmāṇi vāghataḥ	RV.1.3.5c; AVŚ.20.84.2c; SV.2.497c; VS.20.88c
1	3	6	a	indrā yāhi tūtujānaḥ	RV.1.3.6a; AVŚ.20.84.3a; SV.2.498a; VS.20.89a; JB.3.180; AA.1.1.4.9c
1	3	6	b	upa brahmāṇi harivaḥ	RV.1.3.6b; AVŚ.20.84.3b; SV.2.498b; VS.20.89b
1	3	6	c	sute dadhiṣva naś canaḥ	RV.1.3.6c; AVŚ.20.84.3c; SV.2.498c; VS.20.89c
1	3	7	a	omāsaś carṣaṇīdhṛtaḥ	RV.1.3.7a; VS.7.33a; 33.47; TS.1.4.16.1a; MS.1.3.18a: 37.1; KS.4.7a; KB.26.10; ŚB.4.3.1.27a; AA.1.1.4.11; ŚŚ.7.10.14; 10.9.16; ApŚ.12.28.4; MŚ.2.4.2.35; N.12.40a. P: omāsaḥ KŚ.9.14.1
1	3	7	b	viśve devāsa (MS. °sā) ā gata	RV.1.3.7b; 2.41.13a; 6.52.7a; VS.7.33b,34a; TS.1.4.16.1b; MS.1.3.18b: 37.1; KS.4.7b; KB.24.2; 26.10,17; ŚB.4.3.1.27b; AA.1.1.4.11; AŚ.2.9.14; ŚŚ.10.11.8; 11.9.3; N.12.40b. P: viśve devāsaḥ ŚŚ.2.3.8; 9.27.2 (comm.); YDh.1.229; VHDh.8.71
1	3	7	c	dāśvāṃso dāśuṣaḥ sutam	RV.1.3.7c; VS.7.33c; TS.1.4.16.1c; MS.1.3.18c: 37.2; KS.4.7c; ŚB.4.3.1.27c; AA.1.1.4.13; N.12.40c
1	3	8	a	viśve devāso apturaḥ	RV.1.3.8a
1	3	8	b	sutam ā ganta tūrṇayaḥ	RV.1.3.8b
1	3	8	c	usrā iva svasarāṇi	RV.1.3.8c; N.5.4
1	3	9	a	viśve devāso asridhaḥ	RV.1.3.9a; MS.4.10.3a: 150.12; MŚ.5.2.7.5 (6); 11.9.1.4
1	3	9	b	ehimāyāso adruhaḥ	RV.1.3.9b; MS.4.10.3b: 150.12
1	3	9	c	medhaṃ juṣanta vahnayaḥ	RV.1.3.9c; MS.4.10.3c: 150.13
1	3	10	a	pāvakā naḥ sarasvatī	RV.1.3.10a; SV.1.189a; VS.20.84a; MS.4.10.1a: 142.7; 4.10.3: 150.1; 4.11.2: 166.2; KS.4.16a; TB.2.4.3.1a; AA.1.1.4.16a; AŚ.2.8.3; ŚŚ.2.4.4; 7.10.15; MŚ.5.1.6.26; 7.2.6.7; N.11.26a. P: pāvakā naḥ KS.11.13; 20.15; KŚ.9.8.17
1	3	10	b	vājebhir vājinīvatī	RV.1.3.10b; 6.61.4b; SV.1.189b; VS.20.84b; TS.1.8.22.1b; MS.4.10.1b: 142.7; KS.4.16b; TB.2.4.3.1b; N.11.26b
1	3	10	c	yajñaṃ vaṣṭu dhiyāvasuḥ	RV.1.3.10c; SV.1.189c; VS.20.84c; MS.4.10.1c: 142.8; KS.4.16c; TB.2.4.3.1c; AA.1.1.4.16c; N.11.26c
1	3	11	a	codayitrī sūnṛtānām	RV.1.3.11a; VS.20.85a; TS.4.1.11.2a
1	3	11	b	cetantī sumatīnām	RV.1.3.11b; VS.20.85b; TS.4.1.11.2b
1	3	11	c	yajñaṃ dadhe sarasvatī	RV.1.3.11c; VS.20.85c; TS.4.1.11.2c
1	3	12	a	maho arṇaḥ sarasvatī	RV.1.3.12a; VS.20.86a; N.11.27a
1	3	12	b	pra cetayati ketunā	RV.1.3.12b; VS.20.86b; N.11.27b
1	3	12	c	dhiyo viśvā vi rājati	RV.1.3.12c; VS.20.86c; N.11.27c
1	4	1	a	surūpakṛtnum ūtaye	RV.1.4.1a; AVŚ.20.57.1a; 68.1a; SV.1.160a; 2.437a; AB.3.30.3; JB.3.156; PB.13.10.2; AA.5.2.5.2; AŚ.5.18.5; 7.4.3; 5.15; ŚŚ.8.3.13; 9.8.2; 12.4.5; Vait.27.25; 33.15; 34.6; 39.5; MŚ.2.5.1.48. Cf. BṛhD.2.139. Designated as surūpakṛtnu KB.16.3; 21.6; ŚŚ.14.56.12
1	4	1	b	sudughām iva goduhe	RV.1.4.1b; AVŚ.20.57.1b; 68.1b; SV.1.160b; 2.437b
1	4	1	c	juhūmasi dyavi-dyavi	RV.1.4.1c; AVŚ.20.57.1c; 68.1c; SV.1.160c; 2.437c
1	4	2	a	upa naḥ savanā gahi	RV.1.4.2a; AVŚ.20.57.2a; 68.2a; SV.2.438a
1	4	2	b	somasya somapāḥ piba	RV.1.4.2b; AVŚ.20.57.2b; 68.2b; SV.2.438b
1	4	2	c	godā id revato madaḥ	RV.1.4.2c; AVŚ.20.57.2c; 68.2c; SV.2.438c
1	4	3	a	athā te antamānām	RV.1.4.3a; AVŚ.20.57.3a; 68.3a; SV.2.439a
1	4	3	b	vidyāma sumatīnām	RV.1.4.3b; AVŚ.20.57.3b; 68.3b; SV.2.439b. Cf. prec
1	4	3	c	mā no ati khya ā gahi	RV.1.4.3c; AVŚ.20.57.3c; 68.3c; SV.2.439c
1	4	4	a	parehi vigram astṛtam	RV.1.4.4a; AVŚ.20.68.4a
1	4	4	b	indraṃ pṛchā vipaścitam	RV.1.4.4b; AVŚ.20.68.4b
1	4	4	c	yas te sakhibhya ā varam	RV.1.4.4c; AVŚ.20.68.4c
1	4	5	a	uta bruvantu no nidaḥ	RV.1.4.5a; AVŚ.20.68.5a
1	4	5	b	nir anyataś cid ārata	RV.1.4.5b; AVŚ.20.68.5b
1	4	5	c	dadhānā indra id duvaḥ	RV.1.4.5c; AVŚ.20.68.5c
1	4	6	a	uta naḥ subhagāṃ ariḥ	RV.1.4.6a; AVŚ.20.68.6a
1	4	6	b	voceyur dasma kṛṣṭayaḥ	RV.1.4.6b; AVŚ.20.68.6b
1	4	6	c	syāmed indrasya śarmaṇi	RV.1.4.6c; 8.47.5c; AVŚ.20.68.6c
1	4	7	a	em āśum āśave bhara	RV.1.4.7a; AVŚ.20.68.7a
1	4	7	b	yajñaśriyaṃ nṛmādanam	RV.1.4.7b; AVŚ.20.68.7b
1	4	7	c	patayan mandayatsakham	RV.1.4.7c; AVŚ.20.68.7c
1	4	8	a	asya pītvā śatakrato	RV.1.4.8a; AVŚ.20.68.8a
1	4	8	b	ghano vṛtrāṇām abhavaḥ	RV.1.4.8b; AVŚ.20.68.8b
1	4	8	c	prāvo vājeṣu vājinam	RV.1.4.8c; 176.5d; AVŚ.20.68.8c
1	4	9	a	taṃ tvā vājeṣu vājinam	RV.1.4.9a; AVŚ.20.68.9a
1	4	9	b	vājayāmaḥ śatakrato	RV.1.4.9b; AVŚ.20.68.9b
1	4	9	c	dhanānām indra sātaye	RV.1.4.9c; AVŚ.20.68.9c
1	4	10	a	yo rāyo’vanir mahān	RV.1.4.10a; 8.32.13a; AVŚ.20.68.10a
1	4	10	b	supāraḥ sunvataḥ sakhā	RV.1.4.10b; 8.32.13b; AVŚ.20.68.10b
1	4	10	c	tasmā indrāya gāyata	RV.1.4.10c; 5.4c; AVŚ.20.68.10c; 69.2c. See tam indram abhi
1	5	1	a	ā tv etā ni ṣīdata	RV.1.5.1a; AVŚ.20.68.11a; SV.1.164a; 2.90a; PB.9.2.18; JB.1.226a; AŚ.6.4.10; ŚŚ.9.16.1; Vait.39.7
1	5	1	b	indram abhi pra gāyata	RV.1.5.1b; 8.92.1b; AVŚ.20.68.11b; SV.1.155b,164b; 2.63b,90b; JB.1.226b. Cf. vipram abhi etc
1	5	1	c	sakhāya (JB. sakhāyas) stomavāhasaḥ	RV.1.5.1c; AVŚ.20.68.1c; SV.1.164c; 2.90c; JB.1.226c
1	5	2	a	purūtamaṃ purūṇām	RV.1.5.2a; 6.45.29a; AVŚ.20.68.12a; SV.2.91a; JB.1.226a
1	5	2	b	īśānaṃ vāryāṇām	RV.1.5.2b; 24.3b; AVŚ.20.68.12b; SV.2.91b; TS.3.5.11.3b; MS.4.10.3b: 148.1; KS.15.12b; JB.1.226b. Cf. īśānā etc., and īśe yo vā°
1	5	2	c	indraṃ some sacā sute	RV.1.5.2c; 8.45.29c; AVŚ.20.68.12c; SV.2.91c; JB.1.226c
1	5	3	a	sa ghā no yoga ā bhuvat	RV.1.5.3a; AVŚ.20.69.1a; SV.2.92a; JB.1.226a; Vait.33.15
1	5	3	b	sa rāye sa puraṃdhyām (SV. °dhyā)	RV.1.5.3b; AVŚ.20.69.1b; SV.2.92b; JB.1.226b
1	5	3	c	gamad vājebhir ā sa naḥ	RV.1.5.3c; AVŚ.20.69.1c; SV.2.92c
1	5	4	a	yasya saṃsthe na vṛṇvate	RV.1.5.4a; AVŚ.20.69.2a. P: yasya saṃsthe ŚŚ.9.16.2
1	5	4	b	harī samatsu śatravaḥ	RV.1.5.4b; AVŚ.20.69.2b
1	5	5	a	sutapāvne sutā ime	RV.1.5.5a; AVŚ.20.69.3a
1	5	5	b	śucayo yanti vītaye	RV.1.5.5b; AVŚ.20.69.3b
1	5	5	c	somāso dadhyāśiraḥ	RV.1.5.5c; 137.2b; 5.51.7b; 7.32.4b; 9.22.3b; 63.15b; 101.12b; AVŚ.20.69.3c; SV.1.293b; 2.452b
1	5	6	a	tvaṃ sutasya pītaye	RV.1.5.6a; AVŚ.20.69.4a; TS.3.4.11.4a; MS.4.12.6a: 197.4; KS.23.12a
1	5	6	b	sadyo vṛddho ajāyathāḥ	RV.1.5.6b; AVŚ.20.69.4b; TS.3.4.11.4b; MS.4.12.6b: 197.4; KS.23.12b
1	5	6	c	indra jyaiṣṭhyāya sukrato	RV.1.5.6c; AVŚ.20.69.4c; TS.3.4.11.4c; MS.4.12.6c: 197.5; KS.23.12c
1	5	7	a	ā tvā viśantv āśavaḥ	RV.1.5.7a; AVŚ.20.69.5a; ŚŚ.9.19.3
1	5	7	b	somāsa indra girvaṇaḥ	RV.1.5.7b; AVŚ.20.69.5b
1	5	7	c	śaṃ te santu pracetase	RV.1.5.7c; AVŚ.20.69.5c
1	5	8	a	tvāṃ stomā avīvṛdhan	RV.1.5.8a; AVŚ.20.69.6a
1	5	8	b	tvām ukthā śatakrato	RV.1.5.8b; AVŚ.20.69.6b
1	5	8	c	tvāṃ vardhantu no giraḥ	RV.1.5.8c; 8.44.19c; AVŚ.20.69.6c; KS.40.14c
1	5	9	a	akṣitotiḥ saned imam	RV.1.5.9a; AVŚ.20.69.7a
1	5	9	b	vājam indraḥ sahasriṇam	RV.1.5.9b; AVŚ.20.69.7b
1	5	9	c	yasmin viśvāni pauṃsyā	RV.1.5.9c; AVŚ.20.69.7c
1	5	10	a	mā no martā abhi druhan	RV.1.5.10a; AVŚ.20.69.8a
1	5	10	b	tanūnām indra girvaṇaḥ	RV.1.5.10b; AVŚ.20.69.8b
1	5	10	c	īśāno yavayā vadham	RV.1.5.10c; AVŚ.20.69.8c
1	6	1	a	yuñjanti (MŚ.9.2.4.2, erroneously, yuñjati) bradhnam aruṣam	RV.1.6.1a; AVŚ.20.26.4a; 47.10a; 69.9a; SV.2.818a; VS.23.5a; TS.7.4.20.1a; MS.3.12.18a: 165.9; 3.16.3a: 185.4; KSA.4.9a; KB.25.15; ŚB.13.2.6.1; TB.3.9.4.1; AŚ.6.4.10; ŚŚ.9.17.1; 12.1.4; Vait.26.12; 27.19; 33.2; 39.4; ApMB.1.6.2a (ApG.2.5.20). P: yuñjanti bradhnam KŚ.20.5.10; ApŚ.20.16.1; MŚ.9.2.3.19; 9.2.4.2; MG.1.13.2
1	6	1	b	carantaṃ pari tasthuṣaḥ	RV.1.6.1b; AVŚ.20.26.4b; 47.10b; 69.9b; SV.2.818b; VS.23.5b; TS.7.4.20.1b; MS.3.12.18b: 165.9; 3.16.3b: 185.4; KSA.4.9b; TB.3.9.4.1; ApMB.1.6.2b
1	6	1	c	rocante rocanā divi	RV.1.6.1c; AVŚ.20.26.4c; 47.10c; 69.9c; SV.2.818c; VS.23.5c; TS.7.4.20.1c; MS.3.12.18c: 165.10; 3.16.3c: 185.5; KSA.4.9c; TB.3.9.4.2; ApMB.1.6.2c
1	6	2	a	yuñjanty asya kāmyā	RV.1.6.2a; AVŚ.20.26.5a; 47.11a; 69.10a; SV.2.819a; VS.23.6a; TS.7.4.20.1a; MS.3.16.3a: 185.6; KSA.4.9a; TB.3.9.4.2; ApŚ.20.16.2; MŚ.9.2.3.19. P: yuñjanty asya KŚ.20.5.11
1	6	2	b	harī vipakṣasā rathe	RV.1.6.2b; AVŚ.20.26.5b; 47.11b; 69.10b; SV.2.819b; VS.23.6b; TS.7.4.20.1b; MS.3.16.3b: 185.6; KSA.4.9b. P: harī vipakṣasā TB.3.9.4.2
1	6	2	c	śoṇā dhṛṣṇū nṛvāhasā (VS. text, erroneously, nṛsāhasā)	RV.1.6.2c; AVŚ.20.26.5c; 47.11c; 69.10c; SV.2.819c; VS.23.6c; TS.7.4.20.1c; MS.3.16.3c: 185.7; TB.3.9.4.3
1	6	3	a	ketuṃ kṛṇvann aketave	RV.1.6.3a; AVŚ.20.26.6a; 47.12a; 69.11a; SV.2.820a; VS.29.37a; TS.7.4.20.1a; MS.3.16.3a: 185.8; KSA.4.9a; TB.3.9.4.3; ApŚ.20.16.3; MŚ.9.2.3.19; JG.2.9. P: ketuṃ kṛṇvan YDh.1.300; BṛhPDh.9.65,311
1	6	3	b	peśo maryā apeśase	RV.1.6.3b; AVŚ.20.26.6b; 47.12b; 69.11b; SV.2.820b; VS.29.37b; TS.7.4.20.1b; MS.3.16.3b: 185.8; KSA.4.9b
1	6	3	c	sam uṣadbhir ajāyathāḥ	RV.1.6.3c; AVŚ.20.26.6c; 47.12c; 69.11c; SV.2.820c; VS.29.37c; TS.7.4.20.1c; MS.3.16.3c: 185.9; KSA.4.9c
1	6	4	a	ād aha svadhām anu	RV.1.6.4a; AVŚ.20.40.3a; 69.12a; SV.2.201a; JB.3.38a; AŚ.7.2.3. P: ād aha svadhām ŚŚ.9.17.2. Cf. BṛhD.2.139
1	6	4	b	punar garbhatvam erire	RV.1.6.4b; AVŚ.20.40.3b; 69.12b; SV.2.201b; JB.3.38b
1	6	4	c	dadhānā nāma yajñiyam	RV.1.6.4c; AVŚ.20.40.3c; 69.12c; SV.2.201c; JB.3.38c
1	6	5	a	vīḍu (AVŚ.JB.Vait. vīlu) cid ārujatnubhiḥ	RV.1.6.5a; AVŚ.20.70.1a; SV.2.202a; JB.3.38a; Vait.33.15. Cf. BṛhD.2.140
1	6	5	b	guhā cid indra vahnibhiḥ	RV.1.6.5b; AVŚ.20.70.1b; SV.2.202b; JB.3.38b
1	6	5	c	avinda usriyā anu	RV.1.6.5c; AVŚ.20.70.1c; SV.2.202c; JB.3.38c
1	6	6	a	devayanto yathā matim	RV.1.6.6a; AVŚ.20.70.2a
1	6	6	b	achā vidadvasuṃ giraḥ	RV.1.6.6b; AVŚ.20.70.2b
1	6	6	c	mahām anūṣata śrutam	RV.1.6.6c; AVŚ.20.70.2c
1	6	7	a	indreṇa saṃ hi dṛkṣase	RV.1.6.7a; AVŚ.20.40.1a; 70.3a; SV.2.200a; JB.3.38; PB.12.2.6; AŚ.7.2.3; Vait.33.3; 42.2; N.4.12a. P: indreṇa saṃ hi ŚŚ.12.1.4; 18.2.2
1	6	7	b	saṃjagmāno abibhyuṣā	RV.1.6.7b; AVŚ.20.40.1b; 70.3b; SV.2.200b; JB.3.38; N.4.12b. See under saṃjagmānā etc
1	6	7	c	mandū samānavarcasā	RV.1.6.7c; AVŚ.20.40.1c; 70.3c; SV.2.200c; JB.3.38; N.4.12c. Cf. BṛhD.2.141
1	6	8	a	anavadyair abhidyubhiḥ	RV.1.6.8a; AVŚ.20.40.2a; 70.4a
1	6	8	b	makhaḥ sahasvad arcati	RV.1.6.8b; AVŚ.20.40.2b; 70.4b
1	6	8	c	gaṇair indrasya kāmyaiḥ	RV.1.6.8c; AVŚ.20.40.2c; 70.4c
1	6	9	a	ataḥ parijmann ā gahi	RV.1.6.9a; AVŚ.20.70.5a
1	6	9	b	divo vā rocanād adhi	RV.1.6.9b; AVŚ.20.70.5b
1	6	9	c	sam asminn ṛñjate giraḥ	RV.1.6.9c; AVŚ.20.70.5c
1	6	10	a	ito vā sātim īmahe	RV.1.6.10a; AVŚ.20.70.6a
1	6	10	b	divo vā pārthivād adhi	RV.1.6.10b; AVŚ.20.70.6b
1	6	10	c	indraṃ maho vā rajasaḥ	RV.1.6.10c; AVŚ.20.70.6c
1	7	1		indram id gāthino bṛhat	RV.1.7.1a; AVŚ.20.38.4a; 47.4a; 70.7a; SV.1.198a; 2.146a; TS.1.6.12.2a; MS.2.13.6a: 154.15; KS.8.16a; 39.12a; JB.3.22; PB.11.7.3; TB.1.5.8.1a; AA.5.2.1.6; AŚ.6.4.10; 7.2.3; ŚŚ.9.10.1; 13.7.5; Vait.31.16; 33.3; 42.5; ApŚ.21.21.16; Svidh.2.7.8; N.7.2. P: indram id gāthinaḥ ŚŚ.7.14.1; 12.1.4; 18.2.2; MŚ.7.2.6.6. RV.1.7.1–9 are designated as arkavat-stanzas AA.1.4.1.4
1	7	1	a	indram id gāthino bṛhat	RV.1.7.1a; AVŚ.20.38.4a; 47.4a; 70.7a; SV.1.198a; 2.146a; TS.1.6.12.2a; MS.2.13.6a: 154.15; KS.8.16a; 39.12a; JB.3.22; PB.11.7.3; TB.1.5.8.1a; AA.5.2.1.6; AŚ.6.4.10; 7.2.3; ŚŚ.9.10.1; 13.7.5; Vait.31.16; 33.3; 42.5; ApŚ.21.21.16; Svidh.2.7.8; N.7.2. P: indram id gāthinaḥ ŚŚ.7.14.1; 12.1.4; 18.2.2; MŚ.7.2.6.6. RV.1.7.1–9 are designated as arkavat-stanzas AA.1.4.1.4
