anchor_type	anchor_id	anchor_key_slp1	target_locus	source_dataset	match_method	confidence	evidence_count	dcs_lemma_iast	n_texts
dict-entry	kochergina:e2633	ASa	lemma:62574	kochergina	exact	0.95	2	āśa	2
dict-entry	kochergina:e2633	ASa	lemma:62576	kochergina	exact	0.95	15	āśa	9
dict-entry	kochergina:e2703	ASaNk	lemma:159977	kochergina	exact	0.95	72	āśaṅk	33
dict-entry	kochergina:e2705	ASaNkA	lemma:62614	kochergina	exact	0.95	64	āśaṅkā	36
dict-entry	kochergina:e2706	ASaNkin	lemma:62618	kochergina	exact	0.95	10	āśaṅkin	7
dict-entry	kochergina:e2734	ASas	lemma:62597	kochergina	exact	0.95	13	āśas	4
dict-entry	kochergina:e2756	ASaya	lemma:62658	kochergina	exact	0.95	465	āśaya	70
dict-entry	kochergina:e2686	ASaṁs	lemma:159970	kochergina	floor	0.85	191	āśaṃs	22
dict-entry	kochergina:e2688	ASaṁsA	lemma:62592	kochergina	floor	0.85	7	āśaṃsā	5
dict-entry	kochergina:e2689	ASaṁsana	lemma:62591	kochergina	floor	0.85	3	āśaṃsana	2
dict-entry	kochergina:e2757	AScarya	lemma:62714	kochergina	exact	0.95	70	āścarya	24
dict-entry	kochergina:e2757	AScarya	lemma:62715	kochergina	exact	0.95	390	āścarya	44
dict-entry	kochergina:e2776	ASin	lemma:62588	kochergina	exact	0.95	357	āśin	63
dict-entry	kochergina:e2777	ASir	lemma:62772	kochergina	exact	0.95	70	āśir	13
dict-entry	kochergina:e2779	ASis	lemma:62642	kochergina	exact	0.95	519	āśis	77
dict-entry	kochergina:e2780	ASizWa	lemma:62701	kochergina	exact	0.95	12	āśiṣṭha	7
dict-entry	kochergina:e2795	ASleza	lemma:62787	kochergina	exact	0.95	44	āśleṣa	24
dict-entry	kochergina:e2796	ASliz	lemma:159990	kochergina	exact	0.95	64	āśliṣ	25
dict-entry	kochergina:e2826	ASrama	lemma:62736	kochergina	exact	0.95	1564	āśrama	67
dict-entry	kochergina:e2831	ASraya	lemma:62752	kochergina	exact	0.95	926	āśraya	103
dict-entry	kochergina:e2833	ASrayaRa	lemma:62762	kochergina	exact	0.95	15	āśrayaṇa	11
dict-entry	kochergina:e2834	ASrayin	lemma:62766	kochergina	exact	0.95	34	āśrayin	18
dict-entry	kochergina:e2836	ASri	lemma:159985	kochergina	exact	0.95	1143	āśri	110
dict-entry	kochergina:e2839	ASrita	lemma:62768	kochergina	exact	0.95	1	āśrita	1
dict-entry	kochergina:e2843	ASru	lemma:159988	kochergina	exact	0.95	15	āśru	8
dict-entry	kochergina:e2900	ASu	lemma:62662	kochergina	exact	0.95	512	āśu	68
dict-entry	kochergina:e2900	ASu	lemma:202704	kochergina	exact	0.95	890	āśu	75
dict-entry	kochergina:e2924	ASuyA	lemma:219632	kochergina	exact	0.95	4	āśuyā	3
dict-entry	kochergina:e2945	ASvAsa	lemma:62837	kochergina	exact	0.95	37	āśvāsa	25
dict-entry	kochergina:e2947	ASvAsana	lemma:62839	kochergina	exact	0.95	17	āśvāsana	10
dict-entry	kochergina:e2927	ASva	lemma:62791	kochergina	exact	0.95	4	āśva	4
dict-entry	kochergina:e2927	ASva	lemma:62792	kochergina	exact	0.95	4	āśva	3
dict-entry	kochergina:e2940	ASvalAyana	lemma:62831	kochergina	exact	0.95	15	āśvalāyana	10
dict-entry	kochergina:e2944	ASvas	lemma:159992	kochergina	exact	0.95	84	āśvas	19
dict-entry	kochergina:e2955	ASvatTa	lemma:62795	kochergina	exact	0.95	65	āśvattha	22
dict-entry	kochergina:e2955	ASvatTa	lemma:169595	kochergina	exact	0.95	2	āśvattha	2
dict-entry	kochergina:e2961	ASvina	lemma:62819	kochergina	exact	0.95	10	āśvina	9
dict-entry	kochergina:e2961	ASvina	lemma:62820	kochergina	exact	0.95	1	āśvina	1
dict-entry	kochergina:e2961	ASvina	lemma:62821	kochergina	exact	0.95	140	āśvina	24
dict-entry	kochergina:e2961	ASvina	lemma:62822	kochergina	exact	0.95	41	āśvina	18
dict-entry	kochergina:e2961	ASvina	lemma:62824	kochergina	exact	0.95	48	āśvina	14
dict-entry	kochergina:e14760	AUM	lemma:40111	kochergina	floor	0.85	1699	oṃ	94
dict-entry	kochergina:e1711	AYC	lemma:176887	kochergina	exact	0.95	5	āñch	2
dict-entry	kochergina:e1787	AYjana	lemma:57601	kochergina	exact	0.95	50	āñjana	29
dict-entry	kochergina:e1787	AYjana	lemma:57602	kochergina	exact	0.95	9	āñjana	2
dict-entry	kochergina:e287	AbanDa	lemma:58789	kochergina	exact	0.95	6	ābandha	5
dict-entry	kochergina:e290	Abdika	lemma:58811	kochergina	exact	0.95	16	ābdika	6
dict-entry	kochergina:e623	Abutta	lemma:58802	kochergina	exact	0.95	1	ābutta	1
dict-entry	kochergina:e626	Ac	lemma:215231	kochergina	exact	0.95	2	āc	1
dict-entry	kochergina:e633	AcAma	lemma:57396	kochergina	exact	0.95	26	ācāma	12
dict-entry	kochergina:e637	AcAra	lemma:57409	kochergina	exact	0.95	935	ācāra	90
dict-entry	kochergina:e640	AcArya	lemma:57430	kochergina	exact	0.95	1252	ācārya	119
dict-entry	kochergina:e646	AcCAda	lemma:57460	kochergina	exact	0.95	5	ācchāda	4
dict-entry	kochergina:e647	AcCAdaka	lemma:57461	kochergina	exact	0.95	7	ācchādaka	6
dict-entry	kochergina:e648	AcCAdana	lemma:57463	kochergina	exact	0.95	106	ācchādana	50
dict-entry	kochergina:e627	Acakz	lemma:159736	kochergina	exact	0.95	937	ācakṣ	101
dict-entry	kochergina:e634	Acamana	lemma:57204	kochergina	exact	0.95	98	ācamana	38
dict-entry	kochergina:e635	Acar	lemma:159738	kochergina	exact	0.95	970	ācar	108
dict-entry	kochergina:e638	Acarana	lemma:57402	kochergina	floor	0.85	56	ācaraṇa	31
dict-entry	kochergina:e639	Acarita	lemma:57405	kochergina	exact	0.95	12	ācarita	6
dict-entry	kochergina:e652	Acezw	lemma:159743	kochergina	exact	0.95	3	āceṣṭ	1
dict-entry	kochergina:e657	Aci	lemma:159740	kochergina	exact	0.95	161	āci	45
dict-entry	kochergina:e657	Aci	lemma:222743	kochergina	exact	0.95	2	āci	2
dict-entry	kochergina:e658	AciKyAsopamA	lemma:212673	kochergina	exact	0.95	1	ācikhyāsopamā	1
dict-entry	kochergina:e668	Acit	lemma:57453	kochergina	exact	0.95	1	ācit	1
dict-entry	kochergina:e668	Acit	lemma:159741	kochergina	exact	0.95	1	ācit	1
dict-entry	kochergina:e668	Acit	lemma:223264	kochergina	exact	0.95	1	ācit	1
dict-entry	kochergina:e668	Acit	lemma:224453	kochergina	exact	0.95	1	ācit	1
dict-entry	kochergina:e675	AdA	lemma:159774	kochergina	exact	0.95	3158	ādā	173
dict-entry	kochergina:e688	AdAna	lemma:57959	kochergina	exact	0.95	229	ādāna	67
dict-entry	kochergina:e688	AdAna	lemma:57971	kochergina	exact	0.95	3	ādāna	1
dict-entry	kochergina:e897	AdIp	lemma:171131	kochergina	exact	0.95	58	ādīp	24
dict-entry	kochergina:e681	AdaGna	lemma:57945	kochergina	exact	0.95	2	ādaghna	2
dict-entry	kochergina:e699	AdarSa	lemma:58123	kochergina	exact	0.95	122	ādarśa	58
dict-entry	kochergina:e698	Adara	lemma:58114	kochergina	exact	0.95	256	ādara	61
dict-entry	kochergina:e721	AdeSa	lemma:58097	kochergina	exact	0.95	184	ādeśa	50
dict-entry	kochergina:e724	Adevana	lemma:58142	kochergina	exact	0.95	4	ādevana	4
dict-entry	kochergina:e888	Adi	lemma:57973	kochergina	exact	0.95	15011	ādi	227
dict-entry	kochergina:e899	AdiS	lemma:58093	kochergina	exact	0.95	19	ādiś	13
dict-entry	kochergina:e899	AdiS	lemma:159776	kochergina	exact	0.95	609	ādiś	93
dict-entry	kochergina:e893	Adima	lemma:58027	kochergina	exact	0.95	21	ādima	12
dict-entry	kochergina:e893	Adima	lemma:172534	kochergina	exact	0.95	1	ādima	1
dict-entry	kochergina:e895	Adin	lemma:58091	kochergina	exact	0.95	18	ādin	14
dict-entry	kochergina:e901	Aditas	lemma:57987	kochergina	exact	0.95	162	āditas	44
dict-entry	kochergina:e902	Aditeya	lemma:58037	kochergina	exact	0.95	5	āditeya	5
dict-entry	kochergina:e904	Aditya	lemma:58038	kochergina	exact	0.95	137	āditya	29
dict-entry	kochergina:e904	Aditya	lemma:58039	kochergina	exact	0.95	2948	āditya	132
dict-entry	kochergina:e907	Adityavat	lemma:58072	kochergina	exact	0.95	22	ādityavat	13
dict-entry	kochergina:e926	Adru	lemma:159786	kochergina	exact	0.95	125	ādru	22
dict-entry	kochergina:e943	Adya	lemma:58029	kochergina	exact	0.95	2195	ādya	150
dict-entry	kochergina:e943	Adya	lemma:58030	kochergina	exact	0.95	1	ādya	1
dict-entry	kochergina:e943	Adya	lemma:58146	kochergina	exact	0.95	9	ādya	6
dict-entry	kochergina:e952	AgA	lemma:62085	kochergina	exact	0.95	18	āgā	3
dict-entry	kochergina:e952	AgA	lemma:159724	kochergina	exact	0.95	203	āgā	44
dict-entry	kochergina:e952	AgA	lemma:159727	kochergina	exact	0.95	61	āgā	6
dict-entry	kochergina:e961	AgAmin	lemma:62052	kochergina	exact	0.95	29	āgāmin	17
dict-entry	kochergina:e967	AgAra	lemma:62071	kochergina	exact	0.95	258	āgāra	69
dict-entry	kochergina:e957	Agam	lemma:159723	kochergina	exact	0.95	4640	āgam	160
dict-entry	kochergina:e959	Agama	lemma:62034	kochergina	exact	0.95	2	āgama	2
dict-entry	kochergina:e959	Agama	lemma:62035	kochergina	exact	0.95	693	āgama	105
dict-entry	kochergina:e960	Agamana	lemma:62044	kochergina	exact	0.95	304	āgamana	47
dict-entry	kochergina:e964	Agantu	lemma:62028	kochergina	exact	0.95	137	āgantu	26
dict-entry	kochergina:e964	Agantu	lemma:62029	kochergina	exact	0.95	2	āgantu	2
dict-entry	kochergina:e965	Agantuka	lemma:62031	kochergina	exact	0.95	35	āgantuka	19
dict-entry	kochergina:e965	Agantuka	lemma:62032	kochergina	exact	0.95	2	āgantuka	2
dict-entry	kochergina:e969	Agas	lemma:62060	kochergina	exact	0.95	118	āgas	24
dict-entry	kochergina:e972	Agastya	lemma:62067	kochergina	exact	0.95	3	āgastya	2
dict-entry	kochergina:e972	Agastya	lemma:62068	kochergina	exact	0.95	5	āgastya	4
dict-entry	kochergina:e973	Agata	lemma:62014	kochergina	exact	0.95	4	āgata	3
dict-entry	kochergina:e975	Agati	lemma:62025	kochergina	exact	0.95	46	āgati	24
dict-entry	kochergina:e997	AgnIDra	lemma:62113	kochergina	exact	0.95	229	āgnīdhra	23
dict-entry	kochergina:e997	AgnIDra	lemma:62115	kochergina	exact	0.95	172	āgnīdhra	24
dict-entry	kochergina:e992	AgneyI	lemma:62123	kochergina	exact	0.95	36	āgneyī	15
dict-entry	kochergina:e991	Agneya	lemma:62121	kochergina	exact	0.95	884	āgneya	88
dict-entry	kochergina:e991	Agneya	lemma:62122	kochergina	exact	0.95	3	āgneya	3
dict-entry	kochergina:e991	Agneya	lemma:62124	kochergina	exact	0.95	40	āgneya	13
dict-entry	kochergina:e1003	Agnika	lemma:62091	kochergina	exact	0.95	11	āgnika	6
dict-entry	kochergina:e1021	AgrahAyaRI	lemma:62141	kochergina	exact	0.95	31	āgrahāyaṇī	18
dict-entry	kochergina:e1059	AhAra	lemma:63135	kochergina	exact	0.95	4	āhāra	1
dict-entry	kochergina:e1059	AhAra	lemma:63136	kochergina	exact	0.95	1240	āhāra	90
dict-entry	kochergina:e1048	Aha	lemma:215664	kochergina	exact	0.95	1	āha	1
dict-entry	kochergina:e1054	Ahanana	lemma:63093	kochergina	exact	0.95	7	āhanana	6
dict-entry	kochergina:e1055	Ahanas	lemma:63096	kochergina	exact	0.95	9	āhanas	2
dict-entry	kochergina:e1058	Ahara	lemma:63130	kochergina	exact	0.95	2	āhara	2
dict-entry	kochergina:e1058	Ahara	lemma:63131	kochergina	exact	0.95	4	āhara	4
dict-entry	kochergina:e1060	AharaRa	lemma:63132	kochergina	exact	0.95	1	āharaṇa	1
dict-entry	kochergina:e1060	AharaRa	lemma:63133	kochergina	exact	0.95	67	āharaṇa	27
dict-entry	kochergina:e1066	Ahati	lemma:63090	kochergina	exact	0.95	10	āhati	8
dict-entry	kochergina:e1067	Ahava	lemma:63109	kochergina	exact	0.95	3	āhava	3
dict-entry	kochergina:e1067	Ahava	lemma:63182	kochergina	exact	0.95	663	āhava	29
dict-entry	kochergina:e1068	Ahavana	lemma:63110	kochergina	exact	0.95	6	āhavana	4
dict-entry	kochergina:e1070	Ahi	lemma:214093	kochergina	exact	0.95	3	āhi	2
dict-entry	kochergina:e1070	Ahi	lemma:215232	kochergina	exact	0.95	1	āhi	1
dict-entry	kochergina:e1070	Ahi	lemma:215899	kochergina	exact	0.95	1	āhi	1
dict-entry	kochergina:e1074	AhlAda	lemma:63165	kochergina	exact	0.95	31	āhlāda	16
dict-entry	kochergina:e1075	Ahnika	lemma:63160	kochergina	exact	0.95	14	āhnika	6
dict-entry	kochergina:e1075	Ahnika	lemma:63161	kochergina	exact	0.95	56	āhnika	18
dict-entry	kochergina:e1081	Ahu	lemma:160038	kochergina	exact	0.95	187	āhu	37
dict-entry	kochergina:e1082	Ahuti	lemma:63117	kochergina	exact	0.95	1236	āhuti	89
dict-entry	kochergina:e1082	Ahuti	lemma:63186	kochergina	exact	0.95	1	āhuti	1
dict-entry	kochergina:e1083	AhvA	lemma:63195	kochergina	exact	0.95	72	āhvā	17
dict-entry	kochergina:e1083	AhvA	lemma:160044	kochergina	exact	0.95	689	āhvā	87
dict-entry	kochergina:e1086	AhvAna	lemma:63199	kochergina	exact	0.95	67	āhvāna	21
dict-entry	kochergina:e1088	Ahvaya	lemma:63196	kochergina	exact	0.95	346	āhvaya	45
dict-entry	kochergina:e1167	AjIva	lemma:57549	kochergina	exact	0.95	30	ājīva	18
dict-entry	kochergina:e1168	AjIvana	lemma:57551	kochergina	exact	0.95	3	ājīvana	3
dict-entry	kochergina:e1168	AjIvana	lemma:220242	kochergina	exact	0.95	1	ājīvana	1
dict-entry	kochergina:e1172	AjYA	lemma:57561	kochergina	exact	0.95	548	ājñā	69
dict-entry	kochergina:e1172	AjYA	lemma:159757	kochergina	exact	0.95	232	ājñā	39
dict-entry	kochergina:e1180	AjYAna	lemma:57576	kochergina	exact	0.95	2	ājñāna	2
dict-entry	kochergina:e1181	AjYApay	lemma:159758	kochergina	exact	0.95	234	ājñāpay	32
dict-entry	kochergina:e1137	Ajan	lemma:159751	kochergina	exact	0.95	78	ājan	23
dict-entry	kochergina:e1140	Ajanay	lemma:159752	kochergina	exact	0.95	2	ājanay	2
dict-entry	kochergina:e1156	Aji	lemma:57532	kochergina	exact	0.95	369	āji	38
dict-entry	kochergina:e1156	Aji	lemma:159754	kochergina	exact	0.95	11	āji	4
dict-entry	kochergina:e1188	Ajya	lemma:57582	kochergina	exact	0.95	2100	ājya	123
dict-entry	kochergina:e1203	AkANkz	lemma:159702	kochergina	exact	0.95	131	ākāṅkṣ	35
dict-entry	kochergina:e1204	AkANkzA	lemma:61743	kochergina	exact	0.95	20	ākāṅkṣā	14
dict-entry	kochergina:e1228	AkASa	lemma:61752	kochergina	exact	0.95	1303	ākāśa	139
dict-entry	kochergina:e1211	AkAra	lemma:61822	kochergina	exact	0.95	1182	ākāra	117
dict-entry	kochergina:e1211	AkAra	lemma:168247	kochergina	exact	0.95	12	ākāra	12
dict-entry	kochergina:e1216	AkAratA	lemma:172346	kochergina	exact	0.95	1	ākāratā	1
dict-entry	kochergina:e1340	AkUta	lemma:61817	kochergina	exact	0.95	46	ākūta	24
dict-entry	kochergina:e1192	Akal	lemma:159701	kochergina	exact	0.95	2	ākal	2
dict-entry	kochergina:e1195	Akalpa	lemma:61732	kochergina	exact	0.95	22	ākalpa	12
dict-entry	kochergina:e1196	Akalpam	lemma:61734	kochergina	exact	0.95	1	ākalpam	1
dict-entry	kochergina:e1201	Akamp	lemma:159697	kochergina	exact	0.95	4	ākamp	4
dict-entry	kochergina:e1223	AkarRana	lemma:61725	kochergina	exact	0.95	11	ākarṇana	7
dict-entry	kochergina:e1210	Akara	lemma:61859	kochergina	exact	0.95	219	ākara	65
dict-entry	kochergina:e1219	Akarika	lemma:61864	kochergina	exact	0.95	1	ākarika	1
dict-entry	kochergina:e1225	Akarza	lemma:61841	kochergina	exact	0.95	21	ākarṣa	13
dict-entry	kochergina:e1226	AkarzaRa	lemma:61848	kochergina	exact	0.95	49	ākarṣaṇa	28
dict-entry	kochergina:e1240	Ake	lemma:219347	kochergina	exact	0.95	2	āke	2
dict-entry	kochergina:e1285	Akfti	lemma:61834	kochergina	exact	0.95	720	ākṛti	101
dict-entry	kochergina:e1270	AkrAnti	lemma:61895	kochergina	exact	0.95	32	ākrānti	22
dict-entry	kochergina:e1271	AkrIqa	lemma:61898	kochergina	exact	0.95	42	ākrīḍa	14
dict-entry	kochergina:e1271	AkrIqa	lemma:61899	kochergina	exact	0.95	1	ākrīḍa	1
dict-entry	kochergina:e1265	Akram	lemma:159714	kochergina	exact	0.95	481	ākram	98
dict-entry	kochergina:e1266	Akrama	lemma:61887	kochergina	exact	0.95	15	ākrama	7
dict-entry	kochergina:e1267	AkramaRa	lemma:61889	kochergina	exact	0.95	40	ākramaṇa	28
dict-entry	kochergina:e1268	Akranda	lemma:61880	kochergina	exact	0.95	79	ākranda	23
dict-entry	kochergina:e1273	AkroSa	lemma:61906	kochergina	exact	0.95	38	ākrośa	22
dict-entry	kochergina:e1289	AkruS	lemma:159718	kochergina	exact	0.95	74	ākruś	24
dict-entry	kochergina:e1334	AkulI	lemma:165834	kochergina	exact	0.95	1	ākulī	1
dict-entry	kochergina:e1332	Akula	lemma:61805	kochergina	exact	0.95	643	ākula	69
dict-entry	kochergina:e1332	Akula	lemma:61806	kochergina	exact	0.95	2	ākula	2
dict-entry	kochergina:e1332	Akula	lemma:174554	kochergina	exact	0.95	2	ākula	1
dict-entry	kochergina:e1313	Akzepa	lemma:61934	kochergina	exact	0.95	93	ākṣepa	37
dict-entry	kochergina:e1322	Akzip	lemma:159720	kochergina	exact	0.95	221	ākṣip	53
dict-entry	kochergina:e1371	AlAna	lemma:62288	kochergina	exact	0.95	14	ālāna	11
dict-entry	kochergina:e1373	AlApa	lemma:62245	kochergina	exact	0.95	188	ālāpa	43
dict-entry	kochergina:e1375	AlApin	lemma:62253	kochergina	exact	0.95	3	ālāpin	2
dict-entry	kochergina:e1393	AlI	lemma:159919	kochergina	exact	0.95	20	ālī	11
dict-entry	kochergina:e1429	AlU	lemma:159924	kochergina	exact	0.95	2	ālū	1
dict-entry	kochergina:e1343	AlaB	lemma:159907	kochergina	exact	0.95	907	ālabh	62
dict-entry	kochergina:e1355	Alakzya	lemma:62239	kochergina	exact	0.95	2	ālakṣya	2
dict-entry	kochergina:e1363	AlamBa	lemma:62259	kochergina	exact	0.95	33	ālambha	18
dict-entry	kochergina:e1364	AlamBana	lemma:62260	kochergina	exact	0.95	16	ālambhana	9
dict-entry	kochergina:e1360	Alamb	lemma:159909	kochergina	exact	0.95	130	ālamb	36
dict-entry	kochergina:e1361	Alamba	lemma:62267	kochergina	exact	0.95	21	ālamba	15
dict-entry	kochergina:e1362	Alambana	lemma:62269	kochergina	exact	0.95	60	ālambana	25
dict-entry	kochergina:e1372	Alap	lemma:159906	kochergina	exact	0.95	21	ālap	15
dict-entry	kochergina:e1379	Alasya	lemma:62284	kochergina	exact	0.95	134	ālasya	42
dict-entry	kochergina:e1379	Alasya	lemma:62285	kochergina	exact	0.95	1	ālasya	1
dict-entry	kochergina:e1382	AlavAla	lemma:62282	kochergina	exact	0.95	26	ālavāla	14
dict-entry	kochergina:e1383	Alaya	lemma:62335	kochergina	exact	0.95	498	ālaya	66
dict-entry	kochergina:e1384	AleKana	lemma:62303	kochergina	exact	0.95	1	ālekhana	1
dict-entry	kochergina:e1384	AleKana	lemma:62304	kochergina	exact	0.95	14	ālekhana	3
dict-entry	kochergina:e1385	AleKya	lemma:62308	kochergina	exact	0.95	12	ālekhya	8
dict-entry	kochergina:e1387	Alepa	lemma:62329	kochergina	exact	0.95	66	ālepa	14
dict-entry	kochergina:e1389	Alepana	lemma:62330	kochergina	exact	0.95	50	ālepana	13
dict-entry	kochergina:e1391	Ali	lemma:62294	kochergina	exact	0.95	2	āli	2
dict-entry	kochergina:e1391	Ali	lemma:62295	kochergina	exact	0.95	53	āli	25
dict-entry	kochergina:e1397	AliK	lemma:159911	kochergina	exact	0.95	87	ālikh	26
dict-entry	kochergina:e1401	AliNgana	lemma:62317	kochergina	exact	0.95	62	āliṅgana	29
dict-entry	kochergina:e1395	Alih	lemma:159918	kochergina	exact	0.95	6	ālih	5
dict-entry	kochergina:e1404	Alip	lemma:159916	kochergina	exact	0.95	75	ālip	31
dict-entry	kochergina:e1408	Alocana	lemma:62369	kochergina	exact	0.95	5	ālocana	4
dict-entry	kochergina:e1409	Alohita	lemma:62374	kochergina	exact	0.95	12	ālohita	9
