k1	status	pw_entries	pwg_entries	pw_blocks	pwg_blocks	matched_blocks	cut_blocks	pwg_extra_blocks	cut_gloss_sample
kram	shared	6	3	261	191	98	163	93	schreiten, — zu, nach | zu Jmd; gehen, kommen um Hülfe zu finden | ersteigen
sarj	shared	4	3	302	196	141	161	55	ausgehen lassen, auswerfen; ausgiessen, entsenden; richten | loslassen, befreien | öffnen
hA	shared	4	3	224	111	64	160	47	fliegen | sich hinbegeben zu | gerathen
ruh	shared	3	4	242	152	88	154	64	ersteigen, erklimmen | erklimmen,; erreichen | wachsen,; sich entwickeln, sich bilden, hervorgehen
yam	shared	2	2	228	136	75	153	61	erheben, schwingen; auslangen | aufrichten, errichten, über Jmd; halten; sich vor Jmd; ausbreiten; wie ein Schirm | in die Höhe treiben; ziehen, mehr wiegen
dA	shared	14	16	247	199	98	149	101	geben, schenken, hingeben;; eine Tochter Jmd; geben; von andern Eltern, überlassen | hergeben, abtreten; Jmd den Weg abtreten,; freien Durchgang geben, aus dem Wege gehen | fortgeben, verkaufen
car	shared	4	3	249	221	101	148	120	entlang-, nachgehen; | sich aufführen, — verhalten, — benehmen, verfahren, handeln, verfahren mit Jmd | verfahren —, sich zu thun machen mit Etwas, obliegen;
nI	shared	6	7	279	219	131	148	88	heran-, herbeiziehen | Jmd oder Etwas; bringen, — versetzen; verwandeln in | hintragen, wegtragen, forttragen, hintragen [Page3-231-b] zu; Jmdm; Etwas bringen
muc	shared	4	5	179	64	32	147	32	Jmd losmachen, freimachen, befreien, — von; sich losmachen, sich befreien von; entrinnen; freigelass | verschonen | ablösen, abbinden, lösen; die Kehle lösen,; seine Stimme erheben; Jmds; Lebensgeister lösen,; Jmd da
yA	shared	5	6	238	167	92	146	75	fahren; gehen, ziehen, marschiren; den Feind ziehen; sich in Bewegung setzen, reisen; fortgehen, auf | verstreichen, vergehen, verlaufen, verfliessen; verstrichen, zu Ende gegangen | hingehen,; zu Grunde gehen, zu Nichte werden; zu Grunde gegangen
par	shared	9	8	185	85	42	143	43	Luft anfüllen, blasen in | voll machen,; sich ansammeln lassen | Jmd; Etwas; reichlich spenden, — verleihen; reichlich schenkend,; freigebig, uneigennützig
vah	shared	3	4	220	154	78	142	76	führen, fahren,; bringen, — fortführen,; ziehen,; führen,; lenken; führt oder geleitet; geführt —, g | führen; fliessen lassen | darbringen
saYj	shared	2	2	195	100	65	130	35	hängen; an | an Etwas; gehängt —, geheftet werden, hängen —, stecken bleiben; nicht stecken bleiben an,; durchboh | stecken bleiben,; anstehen, zögern
graB	shared	5	3	277	235	147	130	88	ergreifen, mit der Hand fassen, fassen; packen, festhalten; Jmd; bei der Hand fassen;; die Hand fass | aufhalten, nicht durchlassen | fangen; einfangen, gefangen nehmen, in seine Gewalt bekommen; Jmd oder Jmds Herz; für sich gewinnen
Dar	shared	5	4	168	105	44	124	61	halten, tragen, stützen, tragen —, halten auf, in; über; auf dem Kopfe tragen; hoch in Ehren halten; | tragen,; gebrauchen, sich einer Sache bedienen; die Haupthaare, den Bart wachsen lassen | fest hinsetzen
ruD	shared	5	5	189	116	68	121	48	wachsen, sprossen | zurückhalten, aufhalten, anhalten, in seiner Bewegung hemmen | zurückstossen
mA	shared	11	11	153	108	34	119	74	nicht; dass nicht, ach wenn doch nicht, damit nicht | damit nicht; sollte er nicht in diesem Augenblick gekommen sein?; wie sollte nicht sein? | gleichviel, ob du gehst oder nicht;; wie sollte nicht sein?
karz	shared	6	5	167	106	51	116	55	ziehen, anziehen, schleppen, hinundherziehen, zerren, zausen, mit sich fortziehen;; ziehen,; anziehe | Jmd; Etwas; entziehen | hinundher zerren, hart mitnehmen, peinigen
Sri	shared	4	4	236	191	123	113	68	lehnen, legen an; auf, anbringen an, hinlegen zu, ruhen lassen auf, richten auf oder an, stützen —,  | Eingang finden, sich bemeistern; zu Theil werden; | in; in; in; sich begeben, antreten, greifen —, gelangen zu, annehmen
Ap	shared	6	4	162	112	50	112	62	erlangen, bekommen, in Besitz nehmen, theilhaftig werden, erleiden | über Jmd kommen, zu Theil werden | voll werden
vid	shared	5	9	176	115	69	107	46	Etwas oder Jmd kennen lernen, erkennen; wissen, begreifen, sich auf Etwas verstehen, Etwas; Jmd erke | merken, beachten, achten auf; eingedenk sein; | erfahren, zu geniessen haben, empfinden, an Etwas denken müssen;
diS	shared	6	5	188	143	83	105	60	zeigen, vor-, aufweisen, sehen lassen; vorführen | anordnen, anbefehlen; heissen | auf den hingewiesen worden ist
varD	shared	3	4	129	65	26	103	39	erheben, freudig erregen, ergötzen, begeistern | wachsen, erwachsen, sich mehren, sich stärken, sich verstärken, gross und dick werden, zunehmen, sic | gehoben —, freudig erregt werden, sich ergötzen, sich begeistern, — durch, an; bei; sich erregen las
darS	shared	2	3	128	50	26	102	24	sehen, erblicken, wahrnehmen, bemerken | Jmd sehen,; Jmd seine Aufwartung machen | ansehen, betrachten
kzip	shared	7	4	161	138	59	102	79	schleudern, schnellen, werfen, — auf Etwas; Jmd; werfen,; schnell bewegen;; schleudern,; ausstossen, | werfen in,; streuen —, giessen —, thun in; stecken in oder an; niedersetzen, absetzen | Jmd loslassen, seiner Wege gehen lassen
tap	shared	6	5	159	107	59	100	48	Schmerz verursachen, schmerzen, quälen, peinigen, betrüben, hart mitnehmen; es schmerzt; gequält, ge | sich erhitzen, verbrennen, erhitzt werden | versengen, durch Hitze verzehren
jYA	shared	7	4	166	139	66	100	73	kennen, wissen, bekannt —, vertraut sein, Kenntniss haben von, erkennen, — an; in Erfahrung bringen, | anerkennen, gutheissen, billigen | kennen —, erkennen als, wissen —, inne werden —, merken, dass;
kalp	shared	4	3	141	100	43	98	57	in richtigem Verhältniss stehen zu, entsprechen, sich richten nach, in Einklang kommen; | sich darstellen —, erscheinen als; | sich fügen zu, günstig sein für, dienen —, verhelfen zu, veranlassen;
Ikz	shared	4	4	176	161	81	95	80	Etwas; mit dem geistigen Auge schauen, — Wahrnehmen | Jmd; wahrsagen | erwarten, befürchten, besorgen
Sam	shared	6	7	116	48	22	94	26	ruhig —, still werden, befriedigt sein | beruhigt, zur innern Ruhe gelangt, frei von aller Leidenschaft | ruhig, still, sanft, mild
tar	shared	5	5	150	125	56	94	69	setzen, überschiffen, überschreiten, hinübergelangen über oder zu; übersetzen | der übergesetzt —, hinübergeschifft ist; | worüber man geschifft ist, — gelangt ist, überschritten
jan	shared	6	3	136	81	43	93	38	erzeugen als, bewirken dass ist; | schaffen, verschaffen | geboren werden als, von Geburt oder Natur sein;
gA	shared	9	7	163	120	71	92	49	kommen —, hingehen zu oder nach, zugehen auf, sich hinwenden zu; | nachgehen, verfolgen | zu Jmd; kommen,; sich einstellen bei; Jmd; zukommen
banD	shared	2	3	121	103	31	90	72	binden, anbinden, anheften, fesseln, umstricken; sich Etwas anbinden, — umbinden; Jmd Etwas anheften | binden,; darbringen, schlachten; | fangen, gefangen nehmen, — halten; gefangen
paS	shared	4	6	101	30	12	89	18	sehen, sehen können, das Augenlicht haben; nicht sehen, blind sein | sehen erblicken, wahrnehmen, bemerken, gewahrwerden | hinsehen, ansehen, anschauen, betrachten, beschauen
man	shared	3	2	118	81	30	88	51	meinen, glauben, sich einbilden, sich vorstellen, vermuthen, dafürhalten, glauben von; an; für gewis | halten für,; es schien ihm zu lange das Gewand zuvor umzunehmen | für viel halten, hochhalten, zu schätzen wissen;; gering halten, — anschlagen;; für halten, gutheiss
vad	shared	1	2	171	123	83	88	40	rathen zu | zusprechen, zusagen | mittheilen, verkünden, angeben, besprechen, sprechen —, berichten über, sprechen von
plu	shared	3	3	138	100	51	87	49	schwimmen, sich über dem Wasser erhalten | schiffen, durchschiffen, schiffen zu | hinundher schwanken, sich unsicher bewegen, schweben, fliegen
buD	shared	3	4	133	76	48	85	28	wachen, wachsam sein | merken, den Sinn richten —, achten auf | inne —, gewahr werden, erfahren, erkennen, kennen lernen, wissen, erkennen als
Bar	shared	3	4	118	87	41	77	46	tragen, — auf oder in; halten in; eine Leibesfrucht tragen; getragen, gehalten, — auf oder in; halte | tragen,; auf dem Schoosse halten | tragen,; nicht beschneiden
staB	shared	1	1	119	87	43	76	44	unbeweglich —, steif werden; sich steifend, — in die Brust werdend | erstarrt, zu einem festen Körper geworden | aufgeblasen, anspruchsvoll
vyaD	shared	2	4	116	84	41	75	43	durchbohren, durchstechen, erschiessen, treffen; wund stechen, verwunden; eine Ader schlagen | durchbohrt, durchschossen, verwundet, getroffen, gespiesst auf; verletzt, beschädigt, geborsten | geworfen, geschleudert
vA	shared	7	7	119	80	46	73	34	jedoch, indessen | Etwas herbeiwehen | riechen, olfacere
Uh	shared	8	6	132	101	59	73	42	verändern, modificiren; in den Plural umsetzend | abstreifen, zurückschieben, fortstossen, verscheuchen, entfernen, fernhalten, heilen | jagen,; rasch folgen auf
iz	shared	11	15	96	83	25	71	58	in rasche Bewegung setzen, schnellen, schleudern | aus sich entlassen, aussprechen, verkünden | schleudernd treffen
yu	shared	5	6	98	63	27	71	36	an sich ziehen, an sich herankommen lassen, in Besitz nehmen, in die Gewalt bekommen | drängen hin zu | befestigt an
nam	shared	3	5	119	91	48	71	43	zielen auf Jmd; mit | sich ducken,; verstummen, sich nicht mehr vernehmen lassen | beugen, biegen
DU	shared	4	4	94	60	25	69	35	ausschütteln, abschütteln; durchschütteln, schütteln, hinundher bewegen; abschütteln,; entfernen, zu | heftig schütteln; drohend hinundher bewegen; schwingen | befächeln
gar	shared	14	11	107	75	38	69	37	verkünden, erzählen, in gebundener Rede lehren | lobend einstimmen | gepriesen
Bid	shared	6	4	113	81	44	69	37	brechen; vertreiben, verschwinden —, zu Nichte machen;; zu Nichte werden; zu Nichte gemacht | spalten,; theilen;; getheilt werden, sich theilen; getheilt; nicht ganz, weniger als ein | spalten,; öffen; blühen machen;; sich öffnen, freien Lauf haben; sich ergiessen, über die Ufer trete
DAv	shared	4	6	113	69	45	68	24	rinnen, hervorströmen, rinnen nach oder in; zu Jmd | rennen, laufen, umherlaufen, herbeilaufen; zulaufen zu; losrennen auf; laufen in; nachlaufen; einen  | davonlaufen, fliehen
marj	shared	4	4	83	54	16	67	38	abwischen,; reinigen, putzen, blank —, glatt machen; herausputzen, zurechtmachen; sich reinigen, sic | streicheln | abwischen; wegwischen, wegkehren, wegnehmen, entfernen;; sich von Etwas; befreien
tan	shared	6	7	118	102	51	67	51	dehnen, strecken, spannen, breiten, aus-, aufziehen; Pfade breiten,; bahnen; den Geschlechtsfaden au | zusammenfügen, ausführen; einer Opferhandlung obliegen, Etwas; opfern | zurecht machen
sA	shared	5	6	113	93	47	66	46	gewinnend, erwerbend, verschaffend, schenkend | abspannen; anbinden, befreien | einkehren, Halt machen, sich begeben in
varj	shared	2	2	116	77	51	65	26	ablenken; beseitigen | um Etwas kommen, einer Sache verlustig gehen; | ohne Etwas seiend,; mit Ausnahme von, wobei —, nicht einbegriffen ist; ohne dass die Lust unterbroch
kAla	shared	3	5	80	57	16	64	41	blauschwarz, schwarz | Coluber naga | {{Cassia sophora->Cassia sophera||20241207|Jim Funderburk, Thomas Malten|https://github.com/sanskrit
BAz	shared	3	4	89	55	25	64	30	reden, sprechen, plaudern, sagen; gesprochen | zu Jmd; reden, anreden, zu Jmd Etwas sagen | reden von oder über, sich aussprechen über
Cad	shared	8	7	94	62	31	63	31	zugedeckt, um — verhüllt, über — bedeckt | verborgen, versteckt, unbemerkt, in fremder Gestalt umhergehend; im Verborgenen, insgeheim; in der S | als Decke breiten
pA	shared	8	10	86	58	24	62	34	trinken, einsaugen, einschlürfen;; einsaugen; saugen an; einschlucken, einziehen; [Page4-060-a] trin | einsaugen; sich zu eigen machen, geniessen:; sich zu eigen machen, geniessen:; einsaugen; sich laben | aussaugen; erschöpfen; absorbiren, verschwinden machen
ci	shared	6	10	123	143	61	62	82	aneinanderreihen, schichten, aufbauen; | beschütten —, bedecken mit; bedeckt —, besäet mit | schichten wollen
Ir	shared	4	3	76	45	15	61	30	in Bewegung setzen, schleudern, anregen, hervorgehen —, erstehen lassen, inʼs Leben rufen | erschallen lassen,; ausrufen, verkünden; genannt werden | sich verschaffen, theilhaftig werden
Sru	shared	4	3	106	77	45	61	32	hören, vernehmen, erfahren, — Etwas; über; von Jmd; dass ist; hören —, achten auf Etwas; Jmd; beim L | gehört —, vernommen werden, — über; von Jmd; gehört werden, dass ist; bekannt sein als, heissen; bei | gehört habend; dass ist
sarp	shared	2	1	108	71	47	61	24	hinundher Schleichen; kriechend, schleichend | hinübergleiten über | entlang kriechen
Baj	shared	2	2	83	48	23	60	25	austheilen, zutheilen, zukommen lassen; vertheilen, mit Jmd; unter sich vertheilen; zugetheilt; eine | Jmd; einen Theil geben, — zukommen lassen | verleihen, bringen
sic	shared	4	4	104	70	44	60	26	ausgiessen; in oder auf; einschenken; Ausgiessen | eintauchen, einweichen | Etwas; giessen; aus;
sU	shared	6	4	61	5	2	59	3	(in Bewegung setzen) veranlassen, zum Vorschein bringen, in Thätigkeit setzen | schicken | aufstellen, bestimmen, weihen für Etwas;; sich weihen; lassen; in Weihe begriffen, geweiht
ric	shared	2	1	71	32	12	59	20	räumen, leeren | freilassen, loslassen | überlassen, preisgeben, hingeben, feil haben für
star	shared	3	4	97	62	38	59	24	bestreuen, bedecken | mit den Gliedern eines geopferten Thieres die Glieder eines Leichnams bei einem Todtenopfer belegen | streuen
dar	shared	2	7	77	48	19	58	29	sich spalten, bersten, aufbrechen; gespalten, geborsten | auseinander stieben; ein zersprengtes Heer | zersprengen, auseinanderlaufen machen, verscheuchen
SAs	shared	5	4	78	44	21	57	23	in Zucht —, im Zaume halten; das Gesetz handhaben | unterweisen, belehren; in; über; sich belehren lassen | tadeln, vorwerfen
SI	shared	5	6	85	48	28	57	20	ausfallen | hinausfallen über | sich schlafen legen; zum Gatten
ar	shared	3	4	79	67	23	56	44	Jmd; ein Leid anthun | rinnen, zerrinnen | stossen auf, treffen, gerathen in oder auf, erreichen, erlangen
raB	shared	2	2	79	48	23	56	25	packen, ergreifen | unfassen, umarmen | erfassen, anfassen, sich festhalten —, sich klammern an, sich stützen auf;
muh	shared	2	4	80	45	24	56	21	in Unordnung kommen, fehlschlagen, missrathen | einfältig,; unerfahren, unschuldig, naiv | jung
As	shared	6	5	87	104	31	56	73	seinen Sitz [Page1-193-b] haben, wohnen, weilen, seinen Wohnsitz aufschlagen, sich niederlassen, ein | auf dem Throne sitzen, Audienz ertheilen | ruhen, liegen
dru	shared	8	6	96	82	40	56	42	laufen, eilen, davonlaufen | eilend, rasch, geschwind, rasch gesprochen; eiligst, schnell, ohne Zögern, sogleich; rascher, recht  | davongelaufen, — laufend, geflohen
ji	shared	6	5	90	67	35	55	32	besiegen, überwinden, abwenden, ihrer Herr werden; dem Durst stillen,; Streit aufgeben, — vermeiden | oben auf sein, hoch leben; es lebe hoch! | hinzugewinnen zu
DvaMs	shared	1	3	77	39	23	54	16	herabfallen, herabsinken | zerfallen, zerstieben, zu Grunde gehen | zerfallen, auseinandergefallen, ausgefallen, zu Grunde gegangen, zerstört, mitgenommen, vernichtet, 
Cid	shared	5	5	87	79	34	53	45	abschneiden, -hauen, -schlagen, -reissen, -nagen, -beissen, zerschneiden, -hauen, -reissen, spalten, | scheiden, trennen, — von; unterbrochen, nicht zusammenhängend; begrenzt —, eingeschlossen von | ablösen, -sondern, herausnehmen
dah	shared	2	4	89	59	36	53	23	brennen,; in heftige Glut —, in Wallung versetzen, aufregen; am Herzen nagen | verbrannt [Page3-077-b] werden; verbrennen, brennen; in Flammen stehen | durch Feuer entfernt werden, getilgt werden, zu Nichte werden
sru	shared	2	1	90	55	37	53	18	fliessen,; Saft —, Milch —, Thränen; entlassen, — ausströmen, — ausgiessen; | zerrinnen, missrathen | eine Fehlgeburt machen
kal	shared	7	7	68	54	16	52	38	treiben, antreiben | sich hinbegeben zu | thun, machen, bewerkstelligen; in Ohnmacht fallen; einen Schluck Wasser thun
vac	shared	4	1	91	68	39	52	29	sagen, sprechen, aussprechen, hersagen, ansagen, beschreiben, in Worte fassen, verkünden, angeben, — | bezeichen als, nennen;; sich ausgeben für; genannt werden, heissen, gelten [Page6-004-c] für; Geltun | ertönen, erschallen
KyA	shared	4	3	107	102	55	52	47	Jmd; angemeldet werden | rühmen, preisen | überlassen, überantworten;
siD	shared	2	2	109	100	57	52	43	scheuchen, treiben; vertreiben; verscheucht | loben oder strafen | wegtreiben, verjagen
liK	shared	2	2	84	50	33	51	17	durch Ritzen; Etwas hervorbringen, eine Linie; ziehen, einritzen, einkratzen, reissen, zeichnen, sch | bezeichnen, auf Etwas; schreiben, — zeichnen | wegritzen, auslöschen
SaMs	shared	2	2	76	45	26	50	19	laut und feierlich aufsagen, recitiren,; Recitation | aussprechen, sagen, verkünden, mittheilen, erzählen, zu wissen thun, anzeigen, verrathen; wo oder we | aufgesagt, recitirt
Sliz	shared	2	3	82	47	32	50	15	verschmelzen, zusammenfliessen | zusammengefügt, aneinander geschlossen, verbunden, verschlungen | umfasst, umschlungen
Svas	shared	3	2	95	70	45	50	25	herblasen, hersausen | zischen, pfeifen | stöhnen
naS	shared	4	6	66	32	17	49	15	verloren gehen, abhanden kommen, verschwinden, — aus; unsichtbar werden, entweichen, entwischen, dav | verschwinden machen, vertreiben, weit wegführen | ausgehen lassen
nah	shared	4	5	70	52	21	49	31	befestigt mit | abbinden, abspannen | verbunden, zugebunden
BA	shared	2	4	64	49	16	48	33	scheinen, glänzen, strahlen; glänzend, leuchtend | eine glänzende Erscheinung bilden, in seinem Glanze erscheinen, prangen, eine hervorragende Stellung | Jmd; gefallen
marS	shared	2	3	78	50	30	48	20	betasten | berühren, anfassen, in Berührung bringen mit; anfassen, berühren; an sich Etwas berühren | berührt, getroffen
ram	shared	2	2	86	68	38	48	30	sich vergnügen an Etwas; spielen mit, aufʼs Spiel setzen | der Liebe pflegend, buhlend mit | ergötzen; der Liebe pflegen; ergötzt
Sar	shared	4	4	62	27	15	47	12	zerbrechen, zerschmettern;; sich (sibi) brechen, — zu Grunde richten | erlegen | brechen, reissen, bersten, auseinandergehen
maT	shared	3	4	75	52	28	47	24	reiben | einen Körper oder einen Körpertheil | rühren, vermengen
aS	shared	6	8	69	53	23	46	30	gelangen zu; erreichen; einholen; nach allen Weltgegenden hin sich zerstreuen | treffen, über Jmd kommen | bewältigen
Bram	shared	2	2	71	45	25	46	20	umherschweifen, sich unstät, ohne bestimmte Richtung bewegen, umherirren; unsicher sich bewegen, tap | irren, im Irrthum sein | umherstreichend, umherirrend; sich hinundher bewegend, taumelnd
harz	shared	1	1	87	60	41	46	19	freudig —, ungeduldig bereit sein zu; sich freuen | starr werden, zu Berge stehen | starre Haare am Körper bekommen, schaudern
laB	shared	2	2	95	76	49	46	27	erwischen, fassen, sich Jmds bemeistern; antreffen, finden, zu sehen bekommen; gefunden —, angetroff | erhalten, erlangen, — von; als; bekommen, in den Besitz von Etwas gelangen, theilhaftig werden; zu T | zu — bekommen, in den Fall kommen zu; es gelingt Niemand zu sehen, wie er [Page5-217-b] hinauf steig
BraMS	shared	3	3	62	36	17	45	19	entfallen, herausfallen, fallen, auseinanderfallen | prallen —, schlagen an; abprallen von | Jmd; verloren gehen, entwischen; verschwinden, — aus; vergehen, versagen
kAlaka	shared	5	3	53	19	9	44	10	blauschwarz, schwarz | mit Sommersprossen versehen | eine Schlangenart
Guz	shared	5	3	59	28	15	44	13	berufen zu | berufen, zu sich bescheiden | laut anrufen, [Page2-200-a] zum Hören auffordern
mard	shared	2	3	62	42	18	44	24	heftig drücken, — andrücken | reiben, sich reiben —, hinstreifen an; sich den Schweiss von der Stirn reiben | stark drücken
yadi	shared	2	2	50	50	7	43	43	ob,; ob — oder nicht | wenn — oder wenn, ob — oder;; ob — oder nicht;; ob — oder — oder — dennoch;; oder wenn, oder,; jedoc | ob wohl je
pac	shared	4	4	59	33	16	43	17	kochen, backen, braten; Etwas aus Etwas kochen; für sich kochen | reifen, zur Reife —, zur Entwickelung bringen, dem Ende zuführen; Etwas zu Etwas entwickeln | reifen, reif werden; die heranreifende, sich entwickelnde Welt
SaNk	shared	2	1	60	33	17	43	16	in Sorge sein, — vor; Scheu empfinden, Misstrauen hegen | befürchten, besorgen; | Jmd in Verdacht haben, mit Misstrauen ansehen, Misstrauen setzen in;
vap	shared	3	3	83	67	40	43	27	geschoren | abscheeren | der Reihe nach sich; sibi; abscheeren, — abscheeren lassen
mUrC	shared	3	3	55	29	13	42	16	fest werden, sich verdichten,; erstarken; an Umfang gewinnen, sich im Menge einfinden; intensiver we | fest geworden, gestaltet, körperhaft, substantiell, verkörpert | ohnmächtig, betäubt
pIq	shared	3	3	65	44	23	42	21	pressen, | drücken, pressen; gedrückt, gequetscht,; fest andrückend | quetschen; gequetscht,; unterdrückt, nicht laut
SuD	shared	1	1	75	52	33	42	19	rein werden | inʼs Klare kommen | entschuldigt sein, eine Entschuldigung [Page6-250-b] haben
yat	shared	2	2	78	63	36	42	27	in Ordnung; Reihe und Glied; bringen, anschliessen, aneinander fügen, verbinden | Schritt halten, in einer Reihe —, auf einer Stufe stehen —, wetteifern mit | feindlich zusammengerathen, im Kampfe liegen
lamb	shared	2	3	88	62	46	42	16	im Begriff stehen sich zu senken | theilhaftig werden, | aufhängen, — an
lap	shared	3	3	54	32	13	41	19	schwatzen; herausschwatzen | flüstern, hersagen; gespochen | sinnlos herausschwatzen, Unsinn schwatzen
cal	shared	3	5	74	61	33	41	28	sich neigen | sich bewegen, gehen, lustwandeln; auf dem Marsche begriffen | sich verbreiten
vijaya	shared	1	1	48	28	8	40	20	Streit um den Sieg, Kampf | Besiegung, Sieg, Uebermacht | Eroberung
duz	shared	4	5	42	32	3	39	29	verderben, schlecht werden, Schaden nehmen, zu Schanden werden | vom Uebel —, fehlerhaft —, mangelhaft sein | einen Fehltritt —, eine Sünde begehen, sich vergehen; Schuld haben
Badra	shared	3	2	47	37	8	39	29	erfreulich, gut, herrlich, schön; faustus, glücklich, im Wohlstand sich befindend; gut in,; geschick | eine bes. Art von Elephanten | {{Tithymalus antiquorum->Tithymalus antiquorus||20241207|Jim Funderburk, Thomas Malten|https://githu
nanda	shared	2	3	47	41	8	39	33	der Zahl neun | seine Dynastie | dreier glücklicher lunarer Tage
Siva	shared	1	1	54	39	15	39	24	glücklich, froh | Erlösung | ein secundärer; bei den; ein Erlöster besonderer Art
kzi	shared	5	6	59	52	20	39	32	weilen, sich aufhalten, wohnen,; des ruhigen und ungestörten oder verborgenen Weilens | bewohnen | ruhig wohnen machen, pacare
raj	shared	3	1	71	49	32	39	17	sich hinreissen lassen, entzückt sein, Gefallen finden, | gefärbt, geröthet | treu anhängend, zugethan, ergeben, liebend; Jmd zugethan, hängend an, verliebt in
mlA	shared	1	2	42	10	4	38	6	welken | ein welkes, leidendes, verstelltes Ansehen erhalten | erschlaffen, schwach werden
para	shared	2	3	49	28	11	38	17	weiterhin —, ferner gelegen, — stehend, jenseitig; entfernter, — als | später, zukünftig, nachfolgend, folgend auf, hinausliegend über; Nachkomme | der späteste, äusserste, höchste
mantray	shared	1	3	56	40	18	38	22	rathschlagen, — mit; über | beschliessen | Etwas berathen, besprechen;; berathen, besprochen
brU	shared	1	2	58	39	20	38	19	sagen, aussprechen, berichten, mittheilen, nennen, angeben; Etwas zu Jmd sagen; sprechen zu; erkläre | sich nennen, sich ausgeben für | für sich bezeichnen,; wählen
rAD	shared	2	1	58	35	20	38	15	sich passend fügen | Jmd; wahrsagen | richtig treffen
cakz	shared	3	2	88	69	50	38	19	anschauen, beaufsichtigen | anzeigen, [Page2-205-b] bezeichnen, die Bedeutung haben von | anblicken
syad	shared	2	2	51	32	14	37	18	fliessen, strömen; laufen, fahren, sich rasch hinbewegen; fliessend, laufend | eine Feuchtigkeit aus sich entlassen, | hervorgehen aus
majj	shared	1	3	52	24	15	37	9	untergehen, zu Grunde gehen, zur Hölle fahren | untertauchen, inʼs Wasser; gehen, — sich stürzen, sich baden, sich hineinbegeben in | untergegangen; inʼs Unglück gerathen
lok	shared	2	2	59	34	22	37	12	hinsehen nach,; achten auf, sich umsehen nach | anblicken; adspectus | gnädig anblicken
