lemma_slp1	group_id	status	shape	method	score	witnesses	flags	failure_class	pwg_sense_ids	pwg_gloss	mw_sense_ids	mw_gloss	apte_sense_ids	apte_gloss	skd_sense_ids	skd_gloss	vcp_sense_ids	vcp_gloss	note	stratum	stratum_census	stratum_population	population_share	sample_weight
mUla	mUla#1	aligned	1-1-0-1-0	attrib+ls	0.500	rv skdr			pwg:61308:2	Wurzel; Grundlage; Ausgangspunkt, Anfang; Ausgangspunkt; die Wurzel von; die Wurzel vom langen Pfeffer; von Costus speciosus; arabicus; Wurzeln schlagen, festen Fuss fassen; wurzelnd in, hervorgehend aus; von Anfang an; von Grund aus; bis auf den Grund, ganz …	mw:166324:1	n. (or m. g. ; ifc. f( or ). ; prob. for 3. See above) ‘firmly fixed’, a root (of any plant or tree; but also fig. the foot or lowest part or bottom of anything), &amp;c. &amp;c. ( or , to take or strike root)			skd:27732:1	mūla ka ropaṇe . iti kavikalpadrumaḥ .. (curā0- ubha0-saka0-seṭ .) dīrghī ropaṇamāropaṇam . ka mūlayati vṛkṣaṃ lokaḥ . govindabhaṭṭastu rohaṇe iti paṭhitvā rohaṇaṃ janmeti vyākhyāti . iti durgādāsaḥ			shared literary witness, weighted 1/df within the lemma	attrib+ls|mid 0.40-0.69|clean	yes	4	0.001328	0.0398
SiKA	SiKA#5	aligned	1-0-0-1-0	attrib	1.000	skdr			pwg:99255:16	Liebesfieber					skd:35533:1	śikhā , strī, (śī + śīṅo hrasvaśca . uṇā0 5 . 24 . iti khaḥ hrasvo guṇābhāvaśca . striyāṃ ṭāp .) agnijvālā . tatparyyāyaḥ . jvālaḥ 2 kīlaḥ 3 arcciḥ 4 hetiḥ 5 śikhā 6 . itya- maraḥ .. (yathā, māghe, . 1 . 20 . vidudyute vāḍavajātavedasaḥ śikhābhirāśliṣṭa ivāmbhasāṃ nidh…			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|hi >=0.70|clean	no	16	0.005310	0.0708
ca	ca#5	aligned	1-0-0-1-0	attrib	1.000	skdr			pwg:24260:3	böse, boshaft					skd:11901:1	ca , cakāraḥ . sa tu vyañjanaṣaṣṭhavarṇaḥ . (dvitīyavarga- syādyavarṇaśca .) asyoccāraṇasthānaṃ tālu . iti vyākaraṇam .. (yaduktaṃ siddhāntakaumudyām . icu- yaśānāṃ tālu . iti . tathā ca śikṣāyām . kaṇṭhyāvahāvicuyaśāstālavyā oṣṭhajāvupū .. ) vaṅgākṣarairasya svarūpa…			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|hi >=0.70|clean	no	16	0.005310	0.0708
haya	haya#1	aligned	1-0-0-1-0	attrib	1.000	skdr			pwg:116034:15	Stute					skd:41398:1	haya , klame . gatau . iti kavikalpadrumaḥ .. (bhvā0- para0-klame aka0-gatau saka0-seṭ .) hayati . klamo glāniḥ . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|hi >=0.70|clean	no	16	0.005310	0.0708
hi	hi#2	aligned	1-0-0-1-0	attrib	1.000	skdr			pwg:116887:1	2. indecl. Einfluss auf ein folgendes . . . . wann pluta . . das verbum finitum orthotonirt . . . gewöhnlich auf das erste Wort des Satzes folgend, aber auch an andern Stellen bei dem Worte, auf welchem der Nachdruck liegt. . . . . . _zu_ mit Berufung auf , w…					skd:41734:1	hi , na varddhane . gatau iti kavikalpadrumaḥ . (bhvā0- para0-saka0-aniṭ .) gatiriha antarbhūta- ñyarthatvāt gatipreraṇam . na, prahiṇu svasūnu- miti bhaṭṭiḥ . varddhane viralaprayogaḥ . iti durgā- dāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|hi >=0.70|clean	no	16	0.005310	0.0708
kAla	kAla#13	aligned	1-0-0-0-1	attrib	1.000	vacasp			pwg:16729:40	Eisen							vcp:13281:1	kāla kālopadeśe (iyattayā kālaniścayārthopradeśe) ada0 cu0 ubha0 saka0 seṭ . kālayati te avakālat ta, kalayām babhūva āsa cakāra cakre . kālayiṣyati te	printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|hi >=0.70|clean	no	16	0.005310	0.0708
maDu	maDu#7	aligned	1-0-0-0-1	attrib	1.000	vacasp			pwg:56888:6	Honig; Milch; Süssigkeit							vcp:37527:1	madhu na mana u nasya dhaḥ . 1 madye garja garja kṣaṇaṃ mūḍha! madhu yāvat pibāmyaham devīmā0 . 2 kṣaudre madhu vātā ṛtāyate iti madhusūktam . 3 puṣparase śabdara0 . madhu dvirephaḥ kusumaikapātre kumāraḥ . 4 jale ca viśvaḥ 5 madhurarase ca . madhukṣaranti sindhavaḥ iti m…	printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|hi >=0.70|clean	no	16	0.005310	0.0708
puzpa	puzpa#1	aligned	1-0-0-1-0	attrib	1.000	skdr			pwg:46409:8	das Aufblühen					skd:22042:1	puṣpa , ya phullane . iti kavikalpadrumaḥ .. (divā0- para0-aka0-seṭ .) pañcamasvarī . mūrddhanyopadhaḥ . pullanaṃ vikasanam . ya, puṣpyati kundakorakam . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|hi >=0.70|clean	no	16	0.005310	0.0708
tala	tala#1	aligned	1-0-0-1-0	attrib	1.000	skdr			pwg:29046:13	Grube					skd:14560:1	tala , gatau . (bhvāṃ-paraṃ-sakaṃ-seṭ .) sautradhātu- rayam . tāliśaḥ . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|hi >=0.70|clean	no	16	0.005310	0.0708
vana	vana#1	aligned	1-0-0-1-0	attrib	1.000	skdr			pwg:87738:18	Wald					skd:30999:1	vana , sambhaktiśabdayoḥ . iti kavikalpadrumaḥ .. (bhvā0-para0-saka0-seṭ .) vanati . saṃbhaktiḥ sevanam . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|hi >=0.70|clean	no	16	0.005310	0.0708
BU	BU#15	aligned	1-0-0-1-0	attrib	0.333	skdr			pwg:55166:103	Jmd umgehen; nicht beachten, geringschätzen, mit Geringachtung behandeln; mit Geringachtung behandelt; sich selbst gering achtend; Etwas nicht beachten; eine Kleidung, über die die Leute spotten					skd:25174:1	bhū , sattāyām . iti kavikalpadrumaḥ .. (bhvā0- para0-aka0-seṭ .) satteha dvividhā . utpatti- rvidyamānatā ca . bhavati manuṣyo'thavā viṣṇuḥ . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|lo <0.40|clean	no	18	0.005974	0.0717
BU	BU#16	aligned	1-0-0-1-0	attrib	0.333	skdr			pwg:55166:105	hinschwinden					skd:25175:1	bhū , ka śuddhicintayoḥ . miśraṇe . iti kavikalpa- drumaḥ . (curā0-para0-saka0-seṭ .) ka, tṛṇa- vadbhāvayati dviṣaḥ sarvvān . trayo'rthāḥ . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|lo <0.40|clean	no	18	0.005974	0.0717
BU	BU#17	aligned	1-0-0-1-0	attrib	0.333	skdr			pwg:55167:11	Opfer- feuer					skd:25176:1	bhū , ka ṅa prāptau . iti kavikalpadrumaḥ .. (curā0- ātma0-saka0-seṭ .) ka ṅa, bhāvayate . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|lo <0.40|clean	no	18	0.005974	0.0717
Gawa	Gawa#4	aligned	1-0-0-1-0	attrib	0.333	skdr			pwg:23884:19	ein best. Zeitabschnitt, 24 Minuten					skd:11674:1	ghaṭa , ṣa ṅa ma ceṣṭe . iti kavikalpadrumaḥ .. (bhvāṃ- ātmaṃ-akaṃ-seṭ .) ṣa, ghaṭā . ṅa, ghaṭate paṭhituṃ śiṣyaḥ . ma, ghaṭayati . ghaṭatīti ghaṭo jñeyo nāghaṭan ghaṭatāmiyāditi tu ghaṭate ghaṭaḥ pacāditvādan . tato ghaṭa ivācaratīti kvau sādhyam . iti durgādāsaḥ .. (yathā,…			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|lo <0.40|clean	no	18	0.005974	0.0717
akza	akza#3	aligned	1-0-0-1-0	attrib	0.333	skdr			pwg:167:15	14〉 Garuḍa , _im_					skd:103:1	akṣa , na ū vyāptau . saṃhatau . iti kavikalpadrumaḥ . na akṣṇoti dhanaṃ lokaḥ . vyāpnoti rāśīkaroti vā ityarthaḥ . ū ākṣiṣṭāṃ . āṣṭāṃ . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|lo <0.40|clean	no	18	0.005974	0.0717
akza	akza#4	aligned	1-0-0-1-0	attrib	0.333	skdr			pwg:167:19	ein Blindgeborner					skd:104:1	akṣa , ū vyāptau . saṃhatau . iti kavikalpadrumaḥ . akṣati dhanaṃ lokaḥ . vyāpnoti rāśīkaroti vā ityarthaḥ . ū ākṣiṣṭāṃ . āṣṭāṃ . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|lo <0.40|clean	no	18	0.005974	0.0717
mUla	mUla#4	aligned	1-0-0-1-0	attrib	0.333	skdr			pwg:61308:15	Asparagus racemosus Willd. _im_					skd:27733:1	mūla ña pratiṣṭhāyām . iti kavikalpadrumaḥ .. (bhvā0- ubha0-aka0-seṭ .) pavargaśeṣādirdīrghī . pratiṣṭhā sthitiriti govindabhaṭṭaḥ . ña mūlati mūlate yaśaḥ . ayaṃ parasmaipadītyanye . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|lo <0.40|clean	no	18	0.005974	0.0717
nawa	nawa#2	aligned	1-0-0-1-0	attrib	0.333	skdr			pwg:37457:5	eine Rohrart					skd:18218:1	naṭa , nṛtye . hiṃse ! iti kavikalpadrumaḥ .. (bhvāṃ- paraṃ-nṛtye akaṃ-hiṃse sakaṃ-seṭ .) naṭati . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|lo <0.40|clean	no	18	0.005974	0.0717
nawa	nawa#4	aligned	1-0-0-1-0	attrib	0.333	skdr			pwg:37457:11	Hure					skd:18220:1	naṭa , ma nṛtau . iti kavikalpadrumaḥ .. (bhvāṃ-paraṃ- akaṃ-seṭ .) ma, praṇaṭayati . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|lo <0.40|clean	no	18	0.005974	0.0717
vfza	vfza#3	aligned	1-0-0-1-0	attrib	0.333	skdr			pwg:94971:9	Bez. verschiedener göttlicher Wesen: Viṣṇu ʼs oder Kṛṣṇa ʼs . . . . . Śiva ʼs . (zwei Mal neben !). . Indra ʼs ( pl. ). der Sonne 107,4. des Liebesgottes _im_ des Regenten des Karaṇa Catuṣpada					skd:33855:1	vṛṣa , ka ṅa prajanaiśye . iti kavikalpadrumaḥ .. (curā0-ātma0-aka0-seṭ .) ka ṅa, varṣayate . asya pañcamasvarānubandho lekhakaśramakṛtaḥ sudhībhirheyaḥ . ñyantebhyaḥ sarvvatra nityem sāmpra- dāyikatvāt . na ca prācāmanurodhāt pāṭhya iti vācyam . tarhi anṛk vyaktau . …			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|lo <0.40|clean	no	18	0.005974	0.0717
Ka	Ka#1	aligned	1-0-0-1-0	attrib	0.500	skdr			pwg:20749:15	das auf ein aufgegangenes Zodiakalbild folgende zehnte					skd:9896:1	kha , khakāraḥ . sa tu vyañjanadvitīyavarṇaḥ . asyo- ccāraṇasthānaṃ kaṇṭhaḥ . (yathā, siddhāntakaumu- dyām . a-ku-ha-visarjjanīyānāṃ kaṇṭhaḥ . iti . śikṣāgranthe tu asya jihvāmūlīyatvamuktam . yathā, jihvāmūle tu kuḥ proktaḥ . iti . paraṃ jihvāmūlīyasyāpi kaṇṭhamūloccār…			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|mid 0.40-0.69|clean	no	22	0.007302	0.0730
aja	aja#6	aligned	1-0-0-1-0	attrib	0.500	skdr			pwg:872:6	Widder					skd:460:1	aja kṣepe . gatau . iti kavikalpadrumaḥ .. ajati . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|mid 0.40-0.69|clean	no	22	0.007302	0.0730
aja	aja#7	aligned	1-0-0-1-0	attrib	0.500	skdr			pwg:873:13	Māyā , als erste Śakti , _im_ ; vgl. _zu_					skd:461:1	aja ika bhāsi (aji dīptau curā iditvānnum .) iti kavikalpadrumaḥ .. ika añjayati . bhāsi doptau . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|mid 0.40-0.69|clean	no	22	0.007302	0.0730
cara	cara#6	aligned	1-0-0-1-0	attrib	0.500	skdr			pwg:24903:11	Bachstelze					skd:12237:1	cara , gamane . adane . ācāre . iti kavikalpa- drumaḥ .. (bhvāṃ-paraṃ-sakaṃ-seṭ .) carati . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|mid 0.40-0.69|clean	no	22	0.007302	0.0730
kUwa	kUwa#12	aligned	1-0-0-1-0	attrib	0.500	skdr			pwg:71264:1	Augapfel					skd:8454:1	kūṭa t ka dāhe . mantre . iti kavikalpadrumaḥ .. (adantacurāṃ-paraṃ-sakaṃ-seṭ .) dīrgho . acukūṭat . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|mid 0.40-0.69|clean	no	22	0.007302	0.0730
kawa	kawa#2	aligned	1-0-0-1-0	attrib	0.500	skdr			pwg:14332:18	Gras					skd:5891:1	kaṭa gatyāṃ . iti kavikalpadrumaḥ .. (bhvāṃ paraṃ sakaṃ seṭ .) kaṭati . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|mid 0.40-0.69|clean	no	22	0.007302	0.0730
kawa	kawa#3	aligned	1-0-0-1-0	attrib	0.500	skdr			pwg:14332:19	Brett					skd:5892:1	kaṭa i gatyāṃ . iti kavikalpadrumaḥ .. (bhvāṃ paraṃ sakaṃ seṭ idit . i-kaṇṭyate . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|mid 0.40-0.69|clean	no	22	0.007302	0.0730
kumAra	kumAra#4	aligned	1-0-0-1-0	attrib	0.500	skdr			pwg:17828:11	ein Bein. des Flusses Sindhu _im_					skd:8100:1	kumāra , t ka kelau . iti kavikalpadrumaḥ .. (adanta- curāṃ-paraṃ-akaṃ-seṭ .) hrasvī . acukumārat . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|mid 0.40-0.69|clean	no	22	0.007302	0.0730
laGu	laGu#7	aligned	1-0-0-1-0	attrib	0.500	skdr			pwg:85738:13	Trigonella corniculata Lin. _im_					skd:30103:1	laghu , klī, (laṅghate aneneti . laṅgha + laṅghivaṃhyo- rnalopaśca . uṇā0 1 . 30 . iti kuḥ . dhātornalopaśca .) śīghram . ityamaraḥ .. (yathā, rāmāyaṇe . 2 . 46 . 21 . yāvadeva tu saṃsuptāstāvadeva vayaṃ laghu . rathamāruhya gacchāmaḥ panthānamakutobhayam .. ) kṛṣṇāguru …			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|mid 0.40-0.69|clean	no	22	0.007302	0.0730
ma	ma#1	aligned	1-0-0-1-0	attrib	0.500	skdr			pwg:56103:6	der Mond					skd:25601:1	ma makāraḥ . sa tu pañcaviṃśatitamavyañjanavarṇaḥ . asyoccāraṇasthānamoṣṭhaḥ . iti vyākaraṇam .. ( upūpadhmānīyānāmoṣṭhau . iti siddhānta- kaumudī ..) asya svarūpaṃ yathā, makāraṃ śṛṇu cārvvaṅgi ! svayaṃ paramakuṇḍalī . taruṇādityasaṅkāśaṃ caturvvargapradāyakam .. pa…			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|mid 0.40-0.69|clean	no	22	0.007302	0.0730
ta	ta#1	aligned	1-0-0-1-0	attrib	0.500	skdr			pwg:28331:2	Schwanz; ein anderer Schwanz als der des Bos Gaurus; der Schwanz eines Schakals					skd:14191:1	ta , takāraḥ . sa vyañjanaṣoḍaśavarṇaḥ . tavargaprathama- varṇaśca . (ardhamātrākālenoccāryyaḥ .) asyo- ccāraṇasthānaṃ dantaḥ . iti vyākaraṇam .. (asyo- ccāraṇe dantamūlena jihvāgrasya sparśaḥ ābhya- ntaraprayatnaḥ . vivāraśvāsaghoṣāḥ bāhyaprayatnāḥ . mātṛkānyāse'…			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|mid 0.40-0.69|clean	no	22	0.007302	0.0730
vara	vara#8	aligned	1-0-0-1-0	attrib	0.500	skdr			pwg:88106:7	Bdellion					skd:31179:1	vara , t ka īpse . iti kavikalpadrumaḥ .. (adanta- curā0-para0-saka0-seṭ .) rephopadhaḥ . varayati . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	attrib|mid 0.40-0.69|clean	no	22	0.007302	0.0730
arjuna	arjuna#2	aligned	1-1-1-0-0	gloss+ls	1.000	vs			pwg:5852:9	ein Name Indra ʼs	mw:15752:1	of Indra	ap90:4148:13	9 N. of Indra					shared literary witness, weighted 1/df within the lemma	gloss+ls|hi >=0.70|clean	no	95	0.031530	1.2612
krUra	krUra#1	aligned	1-1-1-0-0	gloss+ls	1.000	av ts vs			pwg:19915:15	wunde Stelle, Wunde	mw:58358:1	( ), n. a wound, sore	ap90:11759:20	1 A wound					shared literary witness, weighted 1/df within the lemma	gloss+ls|hi >=0.70|clean	no	95	0.031530	1.2612
mADava	mADava#1	aligned	1-1-1-0-0	gloss+ls	0.708	hariv kathas vikr			pwg:59737:3	zum Frühling in Beziehung stehend; an einem Frühlingstage; Frühlingspracht	mw:162531:1	mf( )n. ( fr. ; f( ). only in [= ] , , Sch. ) relating to spring, vernal	ap90:22960:4	3 Vernal, relating to the spring					shared literary witness, weighted 1/df within the lemma	gloss+ls|hi >=0.70|clean	no	95	0.031530	1.2612
Arya	Arya#2	aligned	1-1-2-0-0	gloss+ls	1.000	av m mbh pancat rv vs yajn			pwg:9297:2	der zu den Treuen, Ergebenen Gehörige; der Mann des eigenen Stammes; der den Volksgöttern des Stammes Treue; Arier; Arier — der Angehörige des in Indien herrschenden Stammes, der Mann der drei oberen Kasten; der Arier im Lande der sieben Ströme; ein Mann, der…	mw:26536:1	in later times N. of the first three castes (opposed to ), ; ; ; ; ; &amp;c	ap90:6806:9; ap90:6806:48	3 N. of the first three castes (as opp. to ) ‖ 2 your reverence or honour (a respectful address)					shared literary witness, weighted 1/df within the lemma	gloss+ls|hi >=0.70|m2m	yes	16	0.005310	0.0398
Atman	Atman#1	aligned	2-2-2-0-0	gloss+ls	1.000	av kath ragh rv	granularity-many-to-many		pwg:8309:3; pwg:8309:4	Seele, als Princip von Leben und Empfindung ‖ das Selbst, die eigene Person; in sich aufnehmen, sich aneignen; den; kennt nur sein Selbst; auch die Mutter brachte sich selbstumʼs Leben; seines Lebens verlustig gehen; Selbst; ein gegenseitiges Erkennen; selbander, selbdritt; das Selbst, die eigene Person	mw:23456:1; mw:23465:1	the soul, principle of life and sensation, ; &amp;c ‖ the body	ap90:6115:2; ap90:6115:145	1 The soul, the individual soul, the breath, the principle of life and sensation; ; (In is compared to a river) ‖ 3 the body					shared literary witness, weighted 1/df within the lemma	gloss+ls|hi >=0.70|m2m	yes	16	0.005310	0.0398
