attested_form	form_key	dcs_lemma	dcs_upos	target_locus	source_dataset	evidence_count	tense_caveat	attested_via	triage_class
manas	manas	manas	NOUN	dcs:479332	dcs	1601	0	surface+unsandhied	paradigm_gap
tri	tri	tri	NUM	dcs:479335	dcs	7541	0	surface+unsandhied	lexicon_gap
ālambanāḥ	ālambanā	ālambana	NOUN	dcs:479338	dcs	8	0	surface+unsandhied	paradigm_gap
ardhaṃ	ardhan	ardha	NOUN	dcs:479338	dcs	145	0	surface	paradigm_gap
dharmataḥ	dharmata	dharma	NOUN	dcs:479338	dcs	150	0	surface+unsandhied	paradigm_gap
spraṣṭavyaṃ	spraṣṭavyan	spṛś	VERB	dcs:479340	dcs	2	0	surface	paradigm_gap
dvividhaṃ	dvividhan	dvividha	ADJ	dcs:479340	dcs	139	0	surface	paradigm_gap
chinatti	chinatti	chid	VERB	dcs:479342	dcs	130	0	surface+unsandhied	paradigm_gap
bāhyaṃ	bāhyan	bāhya	ADJ	dcs:479342	dcs	58	0	surface	paradigm_gap
tulayati	tulayati	tulay	VERB	dcs:479343	dcs	2	0	surface+unsandhied	lexicon_gap
vivādo	vivādo	vivāda	NOUN	dcs:479343	dcs	17	0	surface	paradigm_gap
dagdhṛ	dagdhṛ	dagdhṛ	NOUN	dcs:479343	dcs	4	0	surface+unsandhied	lexicon_gap
aupacayikāḥ	aupacayikā	aupacayika	ADJ	dcs:479344	dcs	2	0	surface+unsandhied	lexicon_gap
naiḥṣyandika	naiḥṣyandika	naiḥṣyandika	ADJ	dcs:479345	dcs	2	0	surface+unsandhied	lexicon_gap
dhātuvoḥ	dhātuvo	dhātu	NOUN	dcs:479347	dcs	4	0	surface+unsandhied	paradigm_gap
aṣaṣṭhajam	aṣaṣṭhajam	aṣaṣṭhaja	ADJ	dcs:479351	dcs	2	0	surface+unsandhied	lexicon_gap
pradeśo	pradeśo	pradeśa	NOUN	dcs:479352	dcs	10	0	surface	paradigm_gap
paśyati	paśyati	dṛś	VERB	dcs:479354	dcs	1645	0	surface+unsandhied	paradigm_gap
cakṣurbhyāṃ	cakṣurbhyān	cakṣus	NOUN	dcs:479356	dcs	16	0	surface	paradigm_gap
tribhiḥ	tribhi	tri	NUM	dcs:479358	dcs	1534	0	surface+unsandhied	lexicon_gap
pañcānāṃ	pancānān	pañcan	NUM	dcs:479359	dcs	123	0	surface	lexicon_gap
āśrayāś	āśrayāś	āśraya	NOUN	dcs:479360	dcs	1	0	surface	paradigm_gap
nirucyate	nirucyate	nirvac	VERB	dcs:479361	dcs	82	0	surface+unsandhied	lexicon_gap
ūrdhvaṃ	ūrdhvan	ūrdhva	ADJ	dcs:479362	dcs	744	0	surface	paradigm_gap
śrotraṃ	śrotran	śrotra	NOUN	dcs:479364	dcs	239	0	surface	paradigm_gap
trayāṇāṃ	trayānān	tri	NUM	dcs:479364	dcs	103	0	surface	lexicon_gap
bhūmikam	bhūmikam	bhūmikā	NOUN	dcs:479364	dcs	10	0	surface+unsandhied	paradigm_gap
aniyataṃ	aniyatan	aniyata	ADJ	dcs:479365	dcs	4	0	surface	paradigm_gap
dhātunirdeśo	dhātunirdeśo	dhātunirdeśa	NOUN	dcs:479368	dcs	1	0	surface	lexicon_gap
dhātunirdeśaḥ	dhātunirdeśa	dhātunirdeśa	NOUN	dcs:479368	dcs	1	0	unsandhied	lexicon_gap
prathamaṃ	prathaman	prathama	ADJ	dcs:479368	dcs	661	0	surface	paradigm_gap
caturṣu	caturṣu	catur	NUM	dcs:479369	dcs	241	0	surface+unsandhied	lexicon_gap
caturṇāṃ	caturnān	catur	NUM	dcs:479370	dcs	73	0	surface	lexicon_gap
caturṇām	caturnām	catur	NUM	dcs:479370	dcs	215	0	surface+unsandhied	lexicon_gap
ṣaṣ	ṣaṣ	ṣaṣ	NUM	dcs:479371	dcs	2951	0	surface+unsandhied	lexicon_gap
jīvitaṃ	jīvitan	jīvita	NOUN	dcs:479374	dcs	298	0	surface	paradigm_gap
ājñāsyāmi	ājnāsyāmi	ājñā	VERB	dcs:479375	dcs	4	0	surface+unsandhied	paradigm_gap
saṃbhāro	sanbhāro	sambhāra	NOUN	dcs:479378	dcs	13	0	surface	paradigm_gap
vyavadānaṃ	vyavadānan	vyavadāna	NOUN	dcs:479378	dcs	2	0	surface	paradigm_gap
caitasī	caitasī	caitasa	ADJ	dcs:479382	dcs	2	0	surface	lexicon_gap
caitasā	caitasā	caitasa	ADJ	dcs:479382	dcs	2	0	unsandhied	lexicon_gap
saumanasyaṃ	saumanasyan	saumanasya	NOUN	dcs:479383	dcs	6	0	surface	paradigm_gap
avikalpanāt	avikalpanāt	avikalpana	NOUN	dcs:479384	dcs	2	0	surface+unsandhied	lexicon_gap
dṛś	dṛś	dṛś	NOUN	dcs:479385	dcs	310	0	surface+unsandhied	paradigm_gap
trīṇi	trīni	tri	NUM	dcs:479385	dcs	1513	0	surface+unsandhied	lexicon_gap
amalaṃ	amalan	amala	ADJ	dcs:479385	dcs	33	0	surface	paradigm_gap
āsravāṇi	āsravāni	āsrava	NOUN	dcs:479386	dcs	2	0	surface+unsandhied	paradigm_gap
vipāko	vipāko	vipāka	NOUN	dcs:479387	dcs	15	0	surface	paradigm_gap
aṣṭakaṃ	aṣṭakan	aṣṭaka	NOUN	dcs:479389	dcs	5	0	surface	paradigm_gap
kuśalaṃ	kuśalan	kuśala	NOUN	dcs:479389	dcs	196	0	surface	paradigm_gap
daurmanasyaṃ	daurmanasyan	daurmanasya	NOUN	dcs:479390	dcs	3	0	surface	paradigm_gap
puṃs	puns	puṃs	ADV	dcs:479391	dcs	192	0	surface+unsandhied	lexicon_gap
aheyāni	aheyāni	aheya	ADJ	dcs:479394	dcs	2	0	surface+unsandhied	lexicon_gap
dve	dve	dvi	NUM	dcs:479395	dcs	2718	0	surface+unsandhied	lexicon_gap
nirodhayati	nirodhayati	nirodhay	VERB	dcs:479397	dcs	10	0	surface+unsandhied	lexicon_gap
catvāri	catvāri	catur	NUM	dcs:479399	dcs	852	0	surface+unsandhied	lexicon_gap
navabhiḥ	navabhi	navan	NUM	dcs:479400	dcs	285	0	surface+unsandhied	lexicon_gap
ekādaśabhiḥ	ekādaśabhi	ekādaśan	NUM	dcs:479401	dcs	57	0	surface+unsandhied	lexicon_gap
arhat	arhat	arhant	NOUN	dcs:479401	dcs	204	0	surface+unsandhied	lexicon_gap
saṃbhavāt	sanbhavāt	sambhava	NOUN	dcs:479401	dcs	7	0	surface+unsandhied	paradigm_gap
'vaśyaṃ	'vaśyan	avaśyam	ADV	dcs:479402	dcs	17	0	surface	paradigm_gap
caturbhiḥ	caturbhi	catur	NUM	dcs:479403	dcs	619	0	surface+unsandhied	lexicon_gap
pañcabhiḥ	pancabhi	pañcan	NUM	dcs:479403	dcs	873	0	surface+unsandhied	lexicon_gap
saptabhiḥ	saptabhi	saptan	NUM	dcs:479404	dcs	292	0	surface+unsandhied	lexicon_gap
aṣṭabhiḥ	aṣṭabhi	aṣṭan	NUM	dcs:479405	dcs	224	0	surface+unsandhied	lexicon_gap
ekādaśabhis	ekādaśabhis	ekādaśan	NUM	dcs:479405	dcs	1	0	surface	lexicon_gap
tv	tv	tu	PART	dcs:479405	dcs	1591	0	surface	paradigm_gap
trayodaśabhir	trayodaśabhir	trayodaśan	NUM	dcs:479406	dcs	4	0	surface	lexicon_gap
trayodaśabhiḥ	trayodaśabhi	trayodaśan	NUM	dcs:479406	dcs	15	0	surface+unsandhied	lexicon_gap
'ṣṭābhir	'ṣṭābhir	aṣṭan	NUM	dcs:479407	dcs	5	0	surface	lexicon_gap
vid	vid	vid	NOUN	dcs:479407	dcs	2310	0	surface+unsandhied	paradigm_gap
āyus	āyus	āyus	NOUN	dcs:479408	dcs	462	1	surface+unsandhied	paradigm_gap
paramāṇur	paramānur	paramāṇu	NOUN	dcs:479411	dcs	3	0	surface	paradigm_gap
an	an	an	PART	dcs:479411	dcs	7825	0	surface+unsandhied	paradigm_gap
cittaṃ	cittan	citta	NOUN	dcs:479413	dcs	279	0	surface	paradigm_gap
sarvaṃ	sarvan	sarva	PRON	dcs:479413	dcs	3634	0	surface	paradigm_gap
sparśo	sparśo	sparśa	NOUN	dcs:479415	dcs	34	0	surface	paradigm_gap
manaskāro	manaskāro	manaskāra	NOUN	dcs:479416	dcs	1	0	surface	paradigm_gap
hrīr	hrīr	hrī	NOUN	dcs:479417	dcs	28	0	surface	paradigm_gap
vīryaṃ	vīryan	vīrya	NOUN	dcs:479418	dcs	629	0	surface	paradigm_gap
dūrād	dūrād	dūrāt	ADV	dcs:479516	dcs	133	0	surface	paradigm_gap
śṛṇoti	śṛnoti	śru	VERB	dcs:479517	dcs	413	0	surface+unsandhied	paradigm_gap
divyaṃ	divyan	divya	ADJ	dcs:479517	dcs	816	0	surface	paradigm_gap
dhyāyināṃ	dhyāyinān	dhyāyin	ADJ	dcs:479517	dcs	8	0	surface	paradigm_gap
upajāyeta	upajāyeta	upajan	VERB	dcs:479517	dcs	16	0	surface+unsandhied	lexicon_gap
vat	vat	vat	ADV	dcs:479517	dcs	8230	0	surface+unsandhied	lexicon_gap
yady	yady	yadi	SCONJ	dcs:479518	dcs	804	0	surface	paradigm_gap
dūraṃ	dūran	dūra	ADJ	dcs:479518	dcs	97	0	surface	paradigm_gap
tiraskṛtaṃ	tiraskṛtan	tiraskṛ	VERB	dcs:479518	dcs	2	0	surface	lexicon_gap
kathaṃ	kathan	katham	ADV	dcs:479518	dcs	2654	0	surface	paradigm_gap
prāptaṃ	prāptan	prāp	VERB	dcs:479519	dcs	360	0	surface	lexicon_gap
prāpto	prāpto	prāp	VERB	dcs:479520	dcs	330	0	surface	lexicon_gap
evaṃ	evan	evam	ADV	dcs:479520	dcs	7576	0	surface	paradigm_gap
'py	'py	api	PART	dcs:479520	dcs	563	0	surface	lexicon_gap
prāptum	prāptum	prāp	VERB	dcs:479521	dcs	131	0	surface+unsandhied	lexicon_gap
kecid	kecid	kaścit	PRON	dcs:479522	dcs	2181	0	surface+unsandhied	lexicon_gap
śeṣaṃ	śeṣan	śeṣa	NOUN	dcs:479523	dcs	236	1	surface+unsandhied	paradigm_gap
praṇipatya	pranipatya	praṇipat	VERB	dcs:589896	dcs	458	0	surface+unsandhied	lexicon_gap
nāmnāṃ	nāmnān	nāman	NOUN	dcs:589897	dcs	35	0	surface	paradigm_gap
tanomi	tanomi	tan	VERB	dcs:589897	dcs	26	0	surface+unsandhied	paradigm_gap
yogo	yogo	yoga	NOUN	dcs:589899	dcs	123	0	surface	paradigm_gap
'nvayaḥ	'nvaya	anvaya	NOUN	dcs:589899	dcs	2	0	surface	paradigm_gap
guṇato	gunato	guṇa	NOUN	dcs:589900	dcs	18	0	surface	paradigm_gap
kriyātaḥ	kriyāta	kriyā	NOUN	dcs:589900	dcs	6	0	surface+unsandhied	paradigm_gap
sraṣṭṛ	sraṣṭṛ	sraṣṭṛ	NOUN	dcs:589900	dcs	10	0	surface+unsandhied	paradigm_gap
svāmi	svāmi	svāmin	NOUN	dcs:589901	dcs	252	0	surface+unsandhied	paradigm_gap
āhuḥ	āhu	ah	VERB	dcs:589901	dcs	4378	1	surface+unsandhied	paradigm_gap
bhuj	bhuj	bhuj	ADJ	dcs:589902	dcs	244	0	surface+unsandhied	paradigm_gap
matu	matu	matu	NOUN	dcs:589902	dcs	12	0	surface+unsandhied	lexicon_gap
arthaka	arthaka	arthaka	ADJ	dcs:589902	dcs	16	0	surface+unsandhied	lexicon_gap
bhūpālo	bhūpālo	bhūpāla	NOUN	dcs:589903	dcs	9	0	surface	paradigm_gap
bhūdhano	bhūdhano	bhūdhana	NOUN	dcs:589903	dcs	1	0	surface	paradigm_gap
_	_	bhūbhuj	NOUN	dcs:589903	dcs	24149	1	surface+unsandhied	non_sanskrit_or_ocr
bhūmant	bhūmant	bhūmant	NOUN	dcs:589904	dcs	3	0	surface+unsandhied	lexicon_gap
janakād	janakād	janaka	NOUN	dcs:589906	dcs	3	0	surface	paradigm_gap
bhojyād	bhojyād	bhuj	VERB	dcs:589909	dcs	1	0	surface	paradigm_gap
patyuḥ	patyu	pati	NOUN	dcs:589910	dcs	74	0	surface+unsandhied	paradigm_gap
kalatrād	kalatrād	kalatra	NOUN	dcs:589911	dcs	1	0	surface	paradigm_gap
sakhyuḥ	sakhyu	sakhi	NOUN	dcs:589912	dcs	45	0	surface+unsandhied	paradigm_gap
svasṛ	svasṛ	svasṛ	NOUN	dcs:589913	dcs	36	0	surface+unsandhied	paradigm_gap
duhitṛ	duhitṛ	duhitṛ	NOUN	dcs:589913	dcs	166	0	surface+unsandhied	paradigm_gap
sad	sad	sad	ADJ	dcs:589914	dcs	307	0	surface+unsandhied	paradigm_gap
vadhyād	vadhyād	vadh	VERB	dcs:589915	dcs	3	1	surface	lexicon_gap
prāñc	prānc	prāñc	ADJ	dcs:589918	dcs	644	0	surface+unsandhied	lexicon_gap
syuḥ	syu	as	VERB	dcs:589937	dcs	1820	0	surface+unsandhied	paradigm_gap
catur	catur	catur	NUM	dcs:589937	dcs	3432	0	surface+unsandhied	lexicon_gap
keki	keki	kekin	NOUN	dcs:589938	dcs	10	0	surface+unsandhied	paradigm_gap
prastoṣyante	prastoṣyante	prastu	VERB	dcs:589941	dcs	2	0	surface+unsandhied	lexicon_gap
arhant	arhant	arhant	NOUN	dcs:589942	dcs	4	0	surface+unsandhied	lexicon_gap
pāragatas	pāragatas	pāragata	NOUN	dcs:589942	dcs	1	0	surface	paradigm_gap
śaṃbhuḥ	śanbhu	śambhu	NOUN	dcs:589943	dcs	46	0	surface+unsandhied	paradigm_gap
svayaṃbhūr	svayanbhūr	svayambhu	NOUN	dcs:589943	dcs	26	0	surface	paradigm_gap
bhagavant	bhagavant	bhagavant	NOUN	dcs:589943	dcs	2351	0	surface+unsandhied	lexicon_gap
syādvādi	syādvādi	syādvādin	NOUN	dcs:589944	dcs	2	0	surface+unsandhied	paradigm_gap
bodhada	bodhada	bodhada	NOUN	dcs:589945	dcs	2	0	surface+unsandhied	lexicon_gap
etasyām	etasyām	etad	PRON	dcs:589946	dcs	181	0	surface+unsandhied	paradigm_gap
abhidhaḥ	abhidha	abhidhā	NOUN	dcs:589947	dcs	168	0	surface+unsandhied	paradigm_gap
śreyāṃso	śreyānso	śreyāṃsa	NOUN	dcs:589949	dcs	6	0	surface	paradigm_gap
vimalo	vimalo	vimala	NOUN	dcs:589949	dcs	33	0	surface	paradigm_gap
'nantatīrthakṛt	'nantatīrthakṛt	anantatīrthakṛt	NOUN	dcs:589949	dcs	1	0	surface	paradigm_gap
kuṃthuraro	kunthuraro	kuṃthurara	NOUN	dcs:589950	dcs	1	0	surface	lexicon_gap
kuṃthuraraḥ	kunthurara	kuṃthurara	NOUN	dcs:589950	dcs	1	0	unsandhied	lexicon_gap
pārśvo	pārśvo	pārśva	NOUN	dcs:589951	dcs	2	0	surface	paradigm_gap
ṛṣabho	ṛṣabho	ṛṣabha	NOUN	dcs:589952	dcs	97	0	surface	paradigm_gap
śreyāḥ	śreyā	śreyas	ADJ	dcs:589952	dcs	112	0	surface+unsandhied	paradigm_gap
puṣpadanto	puṣpadanto	puṣpadanta	NOUN	dcs:589953	dcs	6	0	surface	paradigm_gap
mahāvīro	mahāvīro	mahāvīra	NOUN	dcs:589955	dcs	16	0	surface	paradigm_gap
vardhamāno	vardhamāno	vardhamāna	NOUN	dcs:589955	dcs	23	0	surface	paradigm_gap
caramo	caramo	carama	NOUN	dcs:589960	dcs	2	0	surface	paradigm_gap
prabhavatprabhuḥ	prabhavatprabhu	prabhavatprabhu	NOUN	dcs:589960	dcs	2	0	surface+unsandhied	lexicon_gap
śayyaṃbhavo	śayyanbhavo	śayyambhava	NOUN	dcs:589961	dcs	1	0	surface	paradigm_gap
saṃbhūtavijayaḥ	sanbhūtavijaya	saṃbhūtavijaya	NOUN	dcs:589961	dcs	2	0	surface+unsandhied	lexicon_gap
megho	megho	megha	NOUN	dcs:589967	dcs	27	0	surface	paradigm_gap
dṛḍharatho	dṛḍharatho	dṛḍharatha	NOUN	dcs:589968	dcs	2	0	surface	paradigm_gap
siṃhaseno	sinhaseno	siṃhasena	NOUN	dcs:589969	dcs	1	0	surface	paradigm_gap
sumitro	sumitro	sumitra	NOUN	dcs:589970	dcs	11	0	surface	paradigm_gap
kramataḥ	kramata	kramatas	ADV	dcs:589976	dcs	8	0	surface+unsandhied	paradigm_gap
pitaro	pitaro	pitṛ	NOUN	dcs:589976	dcs	429	0	surface	paradigm_gap
mātaro	mātaro	mātṛ	NOUN	dcs:589976	dcs	27	0	surface	paradigm_gap
'rhatām	'rhatām	arhant	NOUN	dcs:589976	dcs	1	0	surface	lexicon_gap
tumbaruḥ	tumbaru	tumbaru	NOUN	dcs:589978	dcs	36	0	surface+unsandhied	lexicon_gap
mātaṅgo	mātango	mātaṃga	NOUN	dcs:589978	dcs	15	0	surface	paradigm_gap
vijayo	vijayo	vijaya	NOUN	dcs:589978	dcs	80	0	surface	paradigm_gap
'jitaḥ	'jita	ajita	NOUN	dcs:589978	dcs	9	0	surface	paradigm_gap
garuḍo	garuḍo	garuḍa	NOUN	dcs:589980	dcs	43	0	surface	paradigm_gap
gandharvo	gandharvo	gandharva	NOUN	dcs:589980	dcs	74	0	surface	paradigm_gap
kubero	kubero	kubera	NOUN	dcs:589980	dcs	19	0	surface	paradigm_gap
varuṇo	varuno	varuṇa	NOUN	dcs:589980	dcs	422	0	surface	paradigm_gap
'pi	'pi	api	PART	dcs:589980	dcs	5251	0	surface	lexicon_gap
bhṛkuṭir	bhṛkuṭir	bhṛkuṭi	NOUN	dcs:589981	dcs	1	0	surface	paradigm_gap
vṛṣo	vṛṣo	vṛṣa	NOUN	dcs:589988	dcs	42	0	surface+unsandhied	paradigm_gap
gajo	gajo	gaja	NOUN	dcs:589988	dcs	47	0	surface	paradigm_gap
'śvaḥ	'śva	aśva	NOUN	dcs:589988	dcs	36	0	surface	paradigm_gap
krauñco	kraunco	krauñca	NOUN	dcs:589988	dcs	13	0	surface	paradigm_gap
'bjaṃ	'bjan	abja	NOUN	dcs:589988	dcs	1	0	surface	paradigm_gap
śyeno	śyeno	śyena	NOUN	dcs:589990	dcs	74	0	surface	paradigm_gap
vajraṃ	vajran	vajra	NOUN	dcs:589990	dcs	477	0	surface	paradigm_gap
nandyāvarto	nandyāvarto	nandyāvarta	NOUN	dcs:589990	dcs	1	0	surface	paradigm_gap
ghaṭo	ghaṭo	ghaṭa	NOUN	dcs:589990	dcs	24	0	surface	paradigm_gap
kūrmo	kūrmo	kūrma	NOUN	dcs:589991	dcs	26	0	surface	paradigm_gap
nīlotpalaṃ	nīlotpalan	nīlotpala	NOUN	dcs:589991	dcs	13	0	surface	paradigm_gap
siṃho	sinho	siṃha	NOUN	dcs:589991	dcs	87	0	surface	paradigm_gap
'rhatāṃ	'rhatān	arhant	NOUN	dcs:589991	dcs	2	0	surface	lexicon_gap
śrīmalli	śrīmalli	śrīmallin	NOUN	dcs:589993	dcs	2	0	surface+unsandhied	lexicon_gap
'nye	'nye	anya	PRON	dcs:589993	dcs	173	0	surface	paradigm_gap
sāgaro	sāgaro	sāgara	NOUN	dcs:589995	dcs	37	0	surface	paradigm_gap
'tha	'tha	atha	ADV	dcs:589995	dcs	1681	0	surface	paradigm_gap
śrīdharo	śrīdharo	śrīdhara	NOUN	dcs:589996	dcs	4	0	surface	paradigm_gap
atyāgaḥ	atyāga	atyāga	NOUN	dcs:589998	dcs	2	0	surface+unsandhied	lexicon_gap
anilo	anilo	anila	NOUN	dcs:589999	dcs	8	0	surface	paradigm_gap
kṛtārtho	kṛtārtho	kṛtārtha	ADJ	dcs:589999	dcs	43	0	surface	paradigm_gap
saṃpratiḥ	sanprati	samprati	NOUN	dcs:590000	dcs	171	0	surface+unsandhied	paradigm_gap
bhāvinyāṃ	bhāvinyān	bhāvin	ADJ	dcs:590001	dcs	1	0	surface	paradigm_gap
svayaṃprabhaḥ	svayanprabha	svayaṃprabha	NOUN	dcs:590002	dcs	4	0	surface+unsandhied	lexicon_gap
amamo	amamo	amama	NOUN	dcs:590004	dcs	1	0	surface	paradigm_gap
niṣpulāko	niṣpulāko	niṣpulāka	NOUN	dcs:590004	dcs	1	0	surface	paradigm_gap
teṣāṃ	teṣān	tad	PRON	dcs:590008	dcs	3249	0	surface	paradigm_gap
deho	deho	deha	NOUN	dcs:590008	dcs	55	0	surface	paradigm_gap
śvāso	śvāso	śvāsa	NOUN	dcs:590009	dcs	21	0	surface	paradigm_gap
avisram	avisram	avisra	ADJ	dcs:590009	dcs	3	0	surface+unsandhied	lexicon_gap
catvāraḥ	catvāra	catur	NUM	dcs:590010	dcs	929	0	surface+unsandhied	lexicon_gap
'tiśayāḥ	'tiśayā	atiśaya	ADJ	dcs:590010	dcs	1	0	surface	paradigm_gap
nṛ	nṛ	nṛ	NOUN	dcs:590011	dcs	644	0	surface+unsandhied	paradigm_gap
tiryañc	tiryanc	tiryañc	ADJ	dcs:590011	dcs	302	0	surface+unsandhied	lexicon_gap
bhayaṃ	bhayan	bhaya	NOUN	dcs:590015	dcs	529	0	surface	paradigm_gap
caityadrumo	caityadrumo	caityadruma	NOUN	dcs:590018	dcs	2	0	surface	paradigm_gap
'nukūlaḥ	'nukūla	anukūla	ADJ	dcs:590019	dcs	2	0	surface	paradigm_gap
hṛdayaṃgami	hṛdayangami	hṛdayaṃgamin	ADJ	dcs:590028	dcs	2	0	surface+unsandhied	lexicon_gap
mithaḥ	mitha	mithas	ADV	dcs:590029	dcs	134	0	surface	paradigm_gap
aviparyāsaḥ	aviparyāsa	aviparyāsa	NOUN	dcs:590033	dcs	6	0	surface+unsandhied	lexicon_gap
akheditvaṃ	akheditvan	akheditva	NOUN	dcs:590037	dcs	1	0	surface	paradigm_gap
hāso	hāso	hāsa	NOUN	dcs:590039	dcs	6	0	surface	paradigm_gap
kāmo	kāmo	kāma	NOUN	dcs:590040	dcs	159	0	surface	paradigm_gap
rogo	rogo	roga	NOUN	dcs:590041	dcs	44	0	surface	paradigm_gap
mahānando	mahānando	mahānanda	NOUN	dcs:590042	dcs	2	0	surface	paradigm_gap
'mṛtaṃ	'mṛtan	amṛta	NOUN	dcs:590042	dcs	45	0	surface	paradigm_gap
śivaṃ	śivan	śiva	NOUN	dcs:590043	dcs	267	0	surface	paradigm_gap
niḥśreyasaṃ	niḥśreyasan	niḥśreyasa	NOUN	dcs:590043	dcs	31	0	surface	paradigm_gap
śreyo	śreyo	śreyas	NOUN	dcs:590043	dcs	169	0	surface	paradigm_gap
