k1	pw_L	hom	sense_ord	div_n	marker	gloss	witnesses	pw_entry_blocks	pwg_entry_blocks
ABaRqana	15055		1					1	1
ABara	15059		1					1	1
ABaraRI	201571		1			zum Schmuck werden	nais	1	0
ABaraRa	15060		1					3	4
ABaraRa	15060		3	1	2〉			3	4
ABaradvasava	15061		1					1	1
ABaradvasu	15062		1					3	3
ABaradvasu	15062		2	1	1〉	Güter herbeibringend		3	3
ABaradvasu	15062		3	1	2〉			3	3
ABarita	15063		1			voll von		1	1
ABayajAta	15056		1					1	2
ABayajAtya	15057		1					1	1
ABayin	15058		1					1	1
ABerI	15111		1			eine best. musikalische Weise		1	1
ABiSastya	214214		1					1	0
ABiSasya	15089		1			Verleumdung	apast	4	0
ABiSasya	202629		2			ein Verbrechen, durch welches man; wird		4	0
ABiSasya	208626		3				nachtr	4	0
ABiSasya	214215		4					4	0
ABicAra	15076		1			Behexung		1	1
ABicArika	15077		1					4	3
ABicArika	15077		2	1	1〉	auf Behexung bezüglich	vaitan	4	3
ABicArika	214209		4		1〉		kir	4	3
ABijAtI	15079		1			Adel	chr	1	0
ABijYAnika	201572		1			auf das Erkennen sich beziehend	dasak	2	0
ABijYAnika	214210		2					2	0
ABijana	15078		1			patronymisch		1	1
ABijita	15080		1					3	3
ABijitya	15081		1					1	1
ABimAnika	214211		1			auf dem Subjectivirungswahn beruhend	aniruddhazusamkhyas	1	0
ABimuKya	15086		1					3	6
ABimuKya	15086		3	1	2〉	das im Begriff Stehen —, Willens Sein zu		3	6
ABipratAriRa	15083		1					1	1
ABirAmika	201573		1			liebenswürdig	mudrar	2	0
ABirAmika	214213		2					2	0
ABirUpaka	15087		1					1	1
ABirUpya	15088		1					3	2
ABirUpya	15088		2	1	1〉	Angemessenheit	laty	3	2
ABiyogika	202628		1		1〉	wobei Sachkenntniss an den Tag gelegt wird, schlau, raffinirt; mit Sachkenntniss zu Werke gehend	ebend,hem.par	2	0
ABiyogika	214212		2					2	0
ABizeka	15091		1			auf die Königsweihe bezüglich, dazu dienend	varah.yogay	1	0
ABizikta	15090		1					1	1
ABoga	15112	1	1					15	9
ABoga	15112	1	2	1	1〉	Biegung, Krümmung	mbh	15	9
ABoga	15112	1	3	1	2〉	Rundung, Wölbung		15	9
ABoga	15112	1	5	1	4〉	Mannichfaltigkeit	spr	15	9
ABoga	15112	1	7	1	6〉	das Finale einer Composition	s.s.s	15	9
ABoga	15112	1	8	1	7〉	Anstrengung		15	9
ABoga	15112	1	9	1	8〉	Sonnenschirm		15	9
ABoga	15113	2	10			Genuss		15	9
ABoga	201574	1	11		8〉		harsac	15	9
ABoga	201575	3	12			aller Genüsse theilhaftig	taitt.ar	15	9
ABoga	202631		13				opp.cat	15	9
ABoga	204096	1	14			Versuch	comm.zuyogas,nachtr	15	9
ABoga	214219		15					15	9
ABogaya	15114		1			Zehrung		1	1
ABogin	214220		2			gekrümmt; von grossem Umfange	subhasitav	2	1
ABogya	206797		1				say.zurv	2	0
ABogya	214221		2					2	0
ABojin	15116		1			verehrend,		1	1
ABrAja	15121		1					1	1
ABra	201576		1			von Talk	nais	2	0
ABra	214222		2					2	0
ABrika	15122		1			mit der Hacke arbeitend		1	1
ABrya	15123		1					1	1
ABu	15103		1					3	4
ABu	15103		2	1	1〉			3	4
ABu	15103		3	1	2〉			3	4
ABugna	15104		1			ein wenig gebogen	ragh	1	0
AByASika	15119		1			nahe bei einander stehend; waffengeübt	mbh	1	0
AByudayika	15120		1					3	7
AByudayika	15120		3	1	2〉	ein best. Manenopfer	gaut	3	7
ADAkarman	202612		1			eine best. sündhafte Handlung	silanka	2	0
ADAkarman	214110		2					2	0
ADAna	14538		1					13	16
ADAna	14538		4	1	3〉	Befruchtung, eine der Befruchtung vorangehende Ceremonie		13	16
ADAna	14538		5	1	4〉	das Mondhaus der Befruchtung	av.jyot	13	16
ADAna	14538		8	1	7〉	Verpfändung		13	16
ADAna	14538		9	1	8〉	Behälter		13	16
ADAna	202613		12				opp.cat	13	16
ADAna	214112		13					13	16
ADAnakArikA	14539		1					1	1
ADAnapaYcaka	214113		1					1	0
ADAnika	14540		1			eine der Befruchtung vorangehende Ceremonie		1	1
ADAra	14544		1					11	13
ADAra	14544		2	1	1〉	Stütze, Halt, Unterlage, Grundlage		11	13
ADAra	14544		4	1	3〉	Wasserbehälter, Teich		11	13
ADAra	14544		5	1	4〉	eine Vertiefung um die Wurzel eines Baumes, in die das für den Baum bestimmte Wasser gegossen wird		11	13
ADAra	14544		8	1	7〉	Subject, Träger einer Eigenschaft		11	13
ADAra	14544		9	1	8〉			11	13
ADAra	14544		10	2	a〉			11	13
ADAra	14544		11	2	b〉			11	13
ADAraRamudra	214115		1			ein best.	mahavy	1	0
ADAracakra	14547		1			ein best. mystischer Kreis am After		1	1
ADArakArikA	14546		1					1	1
ADAraka	201537		2		2〉		hemadri	3	1
ADAraka	214114		3					3	1
ADAratA	14549		1		3〉		kumaras	1	2
ADAratva	14550		1		1〉		kap	1	0
ADArin	208615		1			die Stätte bildend für	comm.zuapast.sr	2	0
ADArin	214116		2					2	0
ADArmika	14553		1					1	2
ADArya	14554		1			in Etwas enthalten		1	1
ADArzwya	202614		1			Feigheit	dhatup	2	0
ADArzwya	214117		2					2	0
ADAtar	14536		1					5	1
ADAtar	14536		2	1	1〉	der das heilige Feuer angelegt hat	nyayam	5	1
ADAtar	208614		4			Lehrer	spr	5	1
ADAtar	214111		5					5	1
ADAtavya	14537		1			beizulegen, zuzutheilen	comm.zunyayam	1	0
ADAyaka	14541		1			verleihend, bewirkend, verursachend		1	1
ADI	14571	1	1			Sehnsucht, Sorge		2	3
ADI	14572	2	2			verpfänden	mit.zuyajn	2	3
ADItayajus	14575		1			ein Opferspruch, den man im Sinne hat		3	0
ADItayajus	201539		2				maitr.s	3	0
ADItayajus	214120		3					3	0
ADIti	14576		1			das Sinnen, Beabsichtigung	maitr.s	1	0
ADUmra	14581		1			rauchfarbig	varah.brh.s	1	0
ADUpana	14580		1			das in Rauch (oder Nebel) Hüllen		1	1
ADamana	14527		1			das Verpfänden		1	1
ADamarRya	14528		1			das Schuldnersein	chr	1	1
ADara	14529		1					1	1
ADarmika	214108		2				jatakam	2	2
ADarza	14532		1					1	1
ADava	14533		1					3	3
ADava	14533		3	1	2〉	gerüttelte; Masse		3	3
ADavana	205388		2			umrührend	apast.sr	3	1
ADavana	214109		3					3	1
ADenava	14586		1			Mangel an Milchkühen		1	1
ADeya	14587		1					10	8
ADeya	14587		2	1	1〉			10	8
ADeya	14587		3	2	a〉	anzulegen	chr	10	8
ADeya	14587		4	2	b〉	niederzulegen, zu deponieren		10	8
ADeya	14587		5	2	c〉	zuzutheilen, zukommen zu lassen, zu gewähren		10	8
ADeya	14587		6	2	d〉	enthalten —, gelegen in; haftend an	balar,chr	10	8
ADeya	14587		7	2	e〉	fälschlich zugeschrieben werdend	balar	10	8
ADeya	14587		8	1	2〉			10	8
ADeya	14587		9	2	a〉	das Anlegen, Aufsetzen		10	8
ADeya	14587		10	2	b〉	Prädicat, Aussage		10	8
ADfzas	14582		1			vor Angriff schützen		1	0
ADfze	14584		1			anzugreifen		1	0
ADfzwi	14585		1					1	1
ADi	14556	1	1					12	13
ADi	14556	1	3	1	2〉	Grundlage	nyayam	12	13
ADi	14556	1	5	1	4〉	Miethgeld	apast	12	13
ADi	14557	2	7					12	13
ADi	14557	2	12	1	5〉	ein um die Familie besorgter Mann		12	13
ADiBOtika	14565		1					3	2
ADiBOtika	14565		2	1	1〉	in Bezug zu den Wesen stehend, von der Aussenwelt kommend		3	2
ADiBoga	14564		1			Niessbrauch eines Pfandes	gaut	1	0
ADijYa	14561		1					3	3
ADijYa	14561		2	1	1〉	mit Seelenleiden vertraut		3	3
ADikArika	14559		1					5	1
ADikArika	14559		3	1	2〉	der oberste Herrscher, der höchste Geist	badar	5	1
ADikArika	201538		4		1〉	zu den einzelnen Abschnitten gehörig; vorschriftmässig, ordinär	badar,sankh.grhy	5	1
ADikArika	214118		5					5	1
ADikaraRika	14558		1			Richter		1	1
ADiraTIya	14568		1				ars.br	1	0
ADiraTi	14567		1					1	1
ADitsu	204081		1			zu empfangen wünschend	comm.zutbr	2	0
ADitsu	214119		2					2	0
ADmAna	14589		1					5	5
ADmAna	14589		2	1	1〉			5	5
ADmAna	14589		5	1	2〉	eine best. wohlriechende Rinde	rajan	5	5
ADmApana	14590		1			das Daraufblasen		1	1
ADomuKya	208616		1			das nach unten Gehen	sis	2	0
ADomuKya	214121		2					2	0
ADvam	14600		1					1	0
ADvarAyaRa	14602		1					1	1
ADvara	14601		1					1	1
ADvaryava	14604		1					3	5
ADyA	14593		1					1	1
ADyApaka	14596		1			Lehrer		1	1
ADyAtmikI	201540		1			zur Allseele in Beziehung bringen	agnip	2	0
ADyAtmikI	214122		2					2	0
ADyAtmika	14594		1					3	3
ADyAtmika	14594		3	1	2〉	zur Allseele in Beziehung stehend		3	3
ADyAyika	14597		1			dem Studium obliegend		1	1
ADyaSvi	14592		1					1	2
AGAra	13724		1					4	4
AGAra	13724		4	1	3〉	Grenze	gal	4	4
AGAta	13721		1					7	9
AGAta	13721		3	1	2〉	Anschlag, Schlag mit oder auf		7	9
AGAtakAla	13722		1			kritische —, gefährliche Zeit	caraka	1	0
AGAtaka	205378		1					2	0
AGAtaka	213937		2					2	0
AGAwa	13719		1					5	6
AGAwa	13719		2	1	1〉	Cymbel, Klapper		5	6
AGAwa	13719		4	1	3〉	Achyranthes aspera		5	6
AGAwa	13719		5	1	4〉			5	6
AGAwana	206742		1			Grenze	ind.antiq	1	0
AGAwi	13720		1		1〉			1	1
AGUrRana	222254		1			Schwindel	damayantik	1	0
AGamarzaRa	13717		1					1	1
AGarGaram	201509		1			knurrend	malatim	2	0
AGarGaram	213935		2					2	0
AGarza	206741		1			Reibung	sis	2	0
AGarza	213936		2					2	0
AGarzaRa	13718		1					3	3
AGarzaRa	13718		2	1	1〉	das Reiben		3	3
AGatana	13716		1			Schlachthaus		1	1
AGawwaka	13715		1			Desmochaeta atropurpurea DC.		1	2
AGawwanA	204054		1			Anschlag, Anprall	sis	2	0
AGawwanA	213934		2					2	0
AGoza	13728		1					6	2
AGoza	204055		4					6	2
AGoza	206743		5				nachtr,rv	6	2
AGoza	213938		6					6	2
AGoziRI	202583		1			bestimmte dämonische Wesen	ind.st	2	0
AGoziRI	213939		2					2	0
AGrARa	13730		1					5	4
AGrARa	13730		2	1	1〉			5	4
AGrARa	13730		4	2	b〉	das Sattsein		5	4
AKAna	13564		1					1	3
AKAta	13563		1		2〉			3	2
AKAta	206732		2					3	2
AKAta	213899		3					3	2
AKAwISvaratIrTa	13562		1					1	1
AKUtTa	13581		1					1	1
AKaRqalASA	13553		1			Osten	prasannar	1	0
AKaRqalIya	13554		1			gehörig	prasannar	1	0
AKaRqala	13550		1					5	4
AKaRqala	13550		3	1	2〉	dem; gehörig		5	4
AKaRqala	206730		4		1〉	Fürst —, Beherrscher von	vikramankac	5	4
AKaRqala	213895		5					5	4
AKaRqalaDanus	13552		1				prasannar	1	0
AKaRqalacApa	13551		1			Regenbogen	kad	1	0
AKaRqalakakuB	206731		1			Osten	vasav	2	0
AKaRqalakakuB	213896		2					2	0
AKaRqalasUnu	204047		1				kir	2	0
AKaRqalasUnu	213897		2					2	0
AKaRqi	13555		1			ein best. Handwerker		1	1
AKanika	13557		1					4	6
AKanikabaka	13558		1			ein Reicher einer Maus gegenüber,; Bedrücker der Schwachen		1	3
AKara	204048		2			ein best.	sankh.grhy	3	4
AKara	213898		3					3	4
AKedana	205374		1			das Heranziehen	comm.zuapast.page	2	0
AKedana	213904		2					2	0
AKewaSIrzaka	13585		1					1	1
AKewakAwavI	13584		1			Wildpark		1	0
AKewaka	13583		1					3	4
AKewaka	13583		2	1	1〉			3	4
AKewika	13586		1					3	1
AKewika	13586		3	1	2〉	Jäger		3	1
AKida	201502		1			der ansichreisst	maitr.s	2	0
AKida	213900		2					2	0
AKowa	13587		1			Wallnussbaum		1	1
AKowaSIrzaka	13589		1			eine Art Estrich		1	1
AKowakatIrTa	13588		1					1	1
AKu	13565		1				p	8	5
AKu	13565		2	1	1〉	Maulwurf		8	5
AKu	13565		3	1	2〉	Maus	chr	8	5
AKu	13565		5	1	4〉	Dieb		8	5
AKu	13565		6	1	5〉	Lepeocercis serrata Trin.		8	5
AKu	206733		7		5〉			8	5
AKu	213901		8					8	5
AKuBuj	13575		1			Katze		1	1
AKuPalA	13574		1			eine mit Croton tiglium zusammengestellte Pflanze	nigh.pr	1	0
AKuSruti	13579		1				nigh.pr	1	0
AKuga	13570		1					1	2
AKuhan	208602		1			Mäusetödter, Katze	vartt	2	0
AKuhan	213903		2					2	0
AKukarRI	13568		1			Salvinia cucullata Roxb.		1	1
AKukarRaparRikA	13567		1				nigh.pr	1	0
AKukiri	13569		1			Maulwurfshaufen	maitr.s	1	0
AKunaKI	13571		1			eine best. Pflanze	gal	1	0
AKuparRikA	13572		1				nigh.pr	1	1
AKurAja	206734		1			Mäusekönig	gobh	2	0
AKurAja	213902		2					2	0
AKuraTa	13576		1					1	2
AKuvagrAma	13577		1			Dorfes	rajat	1	0
AKuvizahA	13578		1			Lepeocercis serrata Trin.; eine best. Cucurbitacee	nigh.pr	1	1
AKyA	13591		1					7	2
AKyA	13591		2	1	1〉	Benennung, Name; mit Namen; heissend	chr	7	2
AKyA	13591		4	1	3〉	Aussehen		7	2
AKyA	201503		5		2〉	Betrag, Belauf		7	2
AKyA	204049		6		2〉		mbh,nachtr	7	2
AKyA	213905		7					7	2
AKyAna	13601		1					3	6
AKyAnaka	13602		1					3	5
AKyAnaka	13602		3	1	2〉	ein best. Metrum		3	5
AKyApaka	208603		2				venis	3	1
AKyApaka	213908		3					3	1
AKyAtaSiromaRi	202577		1				opp.cat	2	0
AKyAtaSiromaRi	213906		2					2	0
AKyAtadIDiti	13593		1					1	0
AKyAtar	13594		1			der Etwas mittheilt, berichtet, erzählt	gaut	1	2
AKyAtavAda	13595		1					1	1
AKyAtavfttiwIkA	13597		1			Commentars		1	0
AKyAtaviveka	13596		1					1	1
AKyAtavya	13598		1			mitzutheilen, zu erzählen		1	2
AKyAti	13599		1					3	3
AKyAtika	13600		1			verbal	comm.zujaim,nyayas	3	1
AKyAtika	204050		2					3	1
AKyAtika	213907		3					3	1
AKyas	13590		1					1	1
AKyeya	13608		1			mitzutheilen, zu erzählen, — berichten, einzugestehen		1	2
AMSa	13337		1					1	1
AMSya	13338		1					1	1
AMhaspatya	13339		1			unter; stehend		1	1
AMkfti	13735		1					1	1
AN	13733		1					1	0
ANgAraka	13743		1					1	2
ANgIrasa	13749		1					1	1
ANga	13736	1	1			ein Fürst der; eine Prinzessin der		4	4
ANga	13737	2	2					4	4
ANgadI	13739		1			die Residenz		1	1
ANgaka	13738		1			die; betreffend		1	1
ANgarizWa	13740		1					1	1
ANgavidya	13741		1			mit der Chiromantie vertraut		1	1
ANgeya	13753		1			ein Fürst der; eine Prinzessin der		1	0
ANgi	13745		1					1	1
ANgika	13746		1					3	4
ANgirasa	13747		1					7	1
ANgirasa	13747		2	1	1〉	von oder von den; stammend, ihnen gehörig, sie betreffend		7	1
ANgirasa	13747		3	1	2〉			7	1
ANgirasa	13747		4	2	a〉			7	1
ANgirasa	13747		5	2	b〉	der Planet Jupiter		7	1
ANgirasa	206744		6					7	1
ANgirasakalpa	213941		1				j.a.o.s	1	0
ANgirasapavitra	205379		1				apast,rv	2	0
ANgirasapavitra	213942		2					2	0
ANgiraseSvaratIrTa	13748		1					1	1
ANgula	208605		1			an den Fingern haftend	baudh	2	0
ANgula	213943		2					2	0
ANgulika	13750		1			Finger		1	2
ANgya	13754		1					1	1
ANkuSAyana	13734		1					1	1
APIna	15032		1			Opium	madanav,nigh.pr	1	0
APalaka	15029		1			Pallisade		1	0
APalodayakarman	15030		1			einem Werke obliegend, bis der Lohn eingetreten ist,	ragh	1	0
APalya	15031		1			Fruchtlosigkeit	nyayas	1	0
AQArikA	213999		1			Tausendfuss	apast.grhy	1	0
AQIlaka	14008		1					1	1
AQakIPala	14007		1			Rohr	gal	1	0
AQaka	14004		1					7	5
AQaka	14004		3	1	2〉			7	5
AQaka	14004		4	2	a〉	Cajanus indicus Spreng.		7	5
AQaka	14004		5	2	b〉	alaunhaltiger Thon und Alaun	nigh.pr	7	5
AQaka	204071		6		2〉		bhavapr	7	5
AQaka	213998		7					7	5
AQakajambuka	14005		1				p	1	0
AQakika	14006		1			einen; enthaltend		1	1
AQya	14009		1					6	7
AQya	14009		2	1	1〉			6	7
AQya	14009		5	2	c〉	vermehrt um	goladhy	6	7
AQya	14009		6	1	2〉	die Erde	gal	6	7
AQyacara	202591		1			früher reich gewesen		2	0
AQyacara	214000		2					2	0
AQyaka	14010		1			das Reichsein		1	1
AQyapUrva	14015		1			ehemals reich gewesen	pat.zup,vartt	1	0
AQyapadi	14014		1					3	1
AQyapadi	206757		2					3	1
AQyapadi	214001		3					3	1
AQyarAja	206758		1				harsac	2	0
AQyarAja	214002		2					2	0
AQyaroga	14017		1			Rheumatismus, Gicht		1	1
AQyarogin	14018		1			rheumatisch, gichtisch	caraka,susr	1	0
ARIveya	14025		1					1	1
ARaka	14020		1			fein, klein, winzig	spr	1	1
ARapay	214003		1					1	0
ARavIna	14023		1		1〉			1	1
ARava	14021		1					5	1
ARava	14021		2	1	1〉			5	1
ARava	14021		3	2	a〉	fein		5	1
ARava	14021		4	2	b〉	mit Panicum miliaceum bestanden	gal	5	1
ARava	14021		5	1	2〉	Feinheit, Dünnheit		5	1
ARavay	14022		1					2	1
ARavay	206759		2				kielhornsausg,p	2	1
ARi	14024		1					7	5
ARi	14024		2	1	1〉	der in der Nabe laufende Zapfen einer Achse		7	5
ARi	14024		3	1	2〉	Achsennagel, Lünse		7	5
ARi	14024		5	1	4〉	Hausecke		7	5
ARi	14024		7	1	6〉	Kampf		7	5
ARipratyARInirhArayoga	214004		1				mahavy	1	0
ARqAyana	14032		1					1	1
ARqIka	14033		1			Eier —, eiartige Früchte tragend		1	1
ARqIra	14034		1					1	1
ARqIvata	14035		1					1	1
ARqa	14026		1					4	2
ARqa	14026		2	1	1〉			4	2
ARqa	14026		4	1	3〉	Hode		4	2
ARqaja	14029		1					3	2
ARqaja	14029		3	1	2〉	Vogel	ind.st	3	2
ARqakapAla	14027		1			Eierschale		1	0
ARqakoSa	14028		1			Ei.		3	2
ARqakoSa	214005		3					3	2
ARqapIta	206760		1			Eier geschlürft habend	taitt.ar	2	0
ARqapIta	214007		2					2	0
ARqapille	202593		1				opp.cat	2	0
ARqapille	214006		2					2	0
ARqavant	206761		2				kas	3	1
ARqavant	214008		3					3	1
ASA	16086	1	1					6	4
ASA	16086	1	2	1	1〉	Raum, Gegend		6	4
ASA	16086	1	3	1	2〉	Himmelsgegend		6	4
ASA	16087	2	4					6	4
ASA	16087	2	5	1	1〉	Wunsch, Erwartung, Hoffnung; in Erwartung von Etwas, hoffend auf	chr,spr	6	4
ASA	16087	2	6	1	2〉			6	4
ASASa	208640		1			die Himmelsgegenden erfüllend	sis	2	0
ASASa	214410		2					2	0
ASAbanDa	16101		1					3	3
ASAcakravAla	16090		1			der ganze Horizont	kad	1	0
ASAdAman	16092		1					1	1
ASAditya	16093		1					1	1
ASAgaja	16089		1			ein eine best. Weltgegend tragender mythischer Elephant		1	0
ASAmuKa	205409		1			Himmelsgegend	mrcch	2	0
ASAmuKa	214409		2					2	0
ASAntastava	16094		1					1	1
ASApAlIya	16097		1			des Spruches	vaitan,vs	2	0
ASApAlIya	214407		2			das Lied	av,kaus	2	0
ASApAla	16096		1			Hüter einer Weltgegend	maitr.s	3	2
ASApAla	201610		2					3	2
ASApAla	214406		3					3	2
ASApallI	201609		1			Dorfes	ind.st	1	0
ASAparA	16095		1					1	1
ASApati	201608		1				nais	1	0
ASApurA	201611		1				ind.st	2	0
ASApurA	214408		2					2	0
ASApura	16099		1			Stadt		1	1
ASApurasaMBava	16100		1			Balsambaum	rajan	1	0
ASArOzin	16102		1			ein Obdach suchend		1	0
ASArka	16103		1					1	1
ASAsaMSita	16110		1			durch die Himmelsgegenden geschärft	av	1	0
ASAsanIya	16112		1			zu erbitten	comm.zunyayas	1	0
ASAsana	16111		1			das Bitten, Flehen	comm.zunyayam	1	0
ASAsti	204120		1			Gebet	mahavirac	2	0
ASAsti	214411		2					2	0
ASAsya	16113		1					3	1
ASAsya	16113		2	1	1〉	zu wünschen, erwünscht	malav	3	1
ASAsya	16113		3	1	2〉	Wunsch, Segenswunsch		3	1
ASAtanA	202656		1			Versuchung	hem.par	3	0
ASAtanA	204119		2			Verletzung	nachtr,silanka	3	0
ASAtanA	214404		3					3	0
ASAtika	201607		1				taitt.ar	2	0
ASAtika	214405		2					2	0
ASAvAsas	16107		1			die Weltgegenden als Gewand; sich in ein solches Gewand kleiden,; nackt einhergehen	chr	1	0
ASAvaha	16106		1					3	1
ASAvaha	16106		3	1	2〉			3	1
ASAvarI	16105		1			eine best.	s.s.s	1	0
ASAvijaya	16108		1			Welteroberung	kad	1	0
ASAwavI	214403		1			ein grosser Wald	divyavad	1	0
ASIHpada	205410		1			der Worte	comm.zuapast.sr,ts	2	0
ASIHpada	214413		2					2	0
ASIna	204121		1			betagt	maitr.s	2	0
ASIna	214414		2					2	0
ASIrdA	16138		1			Erfüllung der Erwartung		1	3
ASIrgrahaRa	16137		1			das Empfangen eines Segenswunsches	dhurtan	1	0
ASIrmant	214417		1				maitr.s	1	0
ASIrpada	214416		1					1	0
ASIrukti	16135		1			Segenswunsch	prasannar	1	0
ASIrvAcaka	16140		1			einen Wunsch ausdrückend	kull.zum	1	0
ASIrvAdABiDAnavant	16143		1			ein einen Wunsch ausdrückendes Wort enthaltend	m	1	0
ASIrvAda	16142		1			Segenswunsch		1	2
ASIrvacanamAlA	202657		1				mbh,opp.cat	2	0
ASIrvacanamAlA	214418		2					2	0
ASIrviza	16144		1					1	1
ASItika	16133		1					1	1
ASIviza	16145		1					4	2
ASIviza	16145		2	1	1〉	Giftschlange		4	2
ASIviza	214419		4				divyavad	4	2
ASIvizanadI	214420		1			Flüssen	ebend	1	0
ASIvizaparvata	214421		1			Bergen	ebend	1	0
ASIyaMs	16134		1		1〉			1	1
ASIyas	201613		1			schneller	tandyabr	2	0
ASIyas	214415		2					2	0
ASOca	214425		2					2	2
ASUra	201615		1				susr	1	0
ASa	16061	1	1			Erlangung,		2	6
ASa	16062	2	2			Speise		2	6
ASaMsA	16064		1					3	3
ASaMsA	16064		2	1	1〉	Wunsch, Erwartung, Hoffnung	chr	3	3
ASaMsa	201606		1			erwartend	dasak	2	0
ASaMsa	214400		2					2	0
ASaMsitar	16065		1					3	2
ASaMsitar	16065		2	1	1〉	der Etwas wünscht, — erwartet		3	2
ASaMsitar	16065		3	1	2〉	Verkünder,		3	2
ASaNka	16069		1					7	0
ASaNka	16069		2	1	1〉			7	0
ASaNka	16069		3	2	a〉	Zweifel —, Ungewissheit in Bezug auf		7	0
ASaNka	16069		4	2	b〉	Gefahr		7	0
ASaNka	16069		5	1	2〉			7	0
ASaNka	16069		6	2	a〉	Besorgniss, Befürchtung von	chr	7	0
ASaNka	16069		7	2	b〉	Misstrauen		7	0
ASaNkanIya	16070		1			zu befürchten, — besorgen	chr	3	0
ASaNkanIya	208638		2			zu erwarten, vorauszusetzen	dasak	3	0
ASaNkanIya	214401		3					3	0
ASaNkin	16072		1					5	2
ASaNkin	16072		3	1	2〉	vermuthend	chr	5	2
ASaNkin	16072		4	1	3〉	haltend für	kad	5	2
ASaNkita	222271		1		1〉	Befürchtung. Unsicherheit	jatakam	1	0
ASaNkitavya	16071		1				samk.zubadar	1	0
ASaNkya	208639		1			zu befürchten	kaus	2	0
ASaNkya	214402		2					2	0
ASaka	16068		1					1	1
ASana	16074	2	2			Terminalia tomentosa		2	2
ASara	16078		1					3	4
ASas	16082		1			Wunsch, Erwartung, Hoffnung		1	1
ASastrabanDa	16084		1				kam.nitis	1	0
ASasya	16085		1				gobh	1	0
