slp1	hom	n_leaf_senses	n_loci_senses	n_ls	dcs_evidence	dcs_attested
maNgala		14	14	151	554	1
sparSa		14	14	144	934	1
parvata		14	14	142	1981	1
hara		14	13	141	2061	1
jAla		14	13	141	824	1
hetu		14	14	140	2628	1
saMsTAna		14	14	133	231	1
vana	1	14	14	127	4031	1
kalA		14	14	121	1010	1
tIrTa		14	13	112	2552	1
vAraRa	1	14	14	108	403	1
kalyARa		14	14	106	630	1
vimala		14	14	106	710	1
samarTa		14	13	102	453	1
Gora		14	14	101	2384	1
Dara		14	13	99	1005	1
tIvra		14	9	97	792	1
priya		14	12	89	4663	1
saMDAna		14	14	87	187	1
aDi	1	14	13	86	1239	1
vAhin		14	14	82	212	1
vilAsin		14	11	77	33	1
nala		14	14	76	312	1
tArkzya		14	13	76	178	1
gaRqa		14	12	74	166	1
latA		14	14	73	624	1
viraja		14	14	70	62	1
utTAna		14	10	65	167	1
gokarRa		14	14	61	201	1
gola		14	14	59	247	1
karkawa		14	14	59	55	1
svastika		14	14	56	104	1
gopa		14	14	55	428	1
picCa		14	13	54	14	1
agni		14	14	53	19309	1
piNga		14	13	53	106	1
amara		14	14	52	839	1
pAli		14	14	47	82	1
sTApana		14	13	46	120	1
dIpana		14	10	40	692	1
amoGa		14	14	39	160	1
boDana		14	12	38	45	1
girija		14	11	35	31	1
Badraka		14	14	26	37	1
DA	1	13	13	1184	4861	1
nI	1	13	13	674	2382	1
ruh	1	13	13	374	498	1
arTa		13	13	227	13703	1
hi	1	13	13	224	23914	1
dakza		13	12	223	892	1
rudra		13	13	216	3352	1
sADya	1	13	13	202	318	1
kalpa		13	13	201	1657	1
lakzaRa		13	13	201	2691	1
brAhmaRa		13	13	194	6432	1
mArga	2	13	13	191	1530	1
suBaga		13	13	183	466	1
krama		13	13	160	1394	1
sumanas		13	13	158	301	1
kapila		13	12	153	311	1
mah	3	13	13	150	563	1
yad		13	12	145	62099	1
pratizWA		13	13	140	2352	1
brAhma		13	13	131	446	1
sarga		13	13	130	674	1
harita		13	12	129	303	1
kaTam		13	13	128	4001	1
viBUti		13	13	126	221	1
brahman	2	13	13	123	10475	1
puras		13	13	123	563	1
SAKa		13	13	121	17	1
alam		13	13	120	704	1
durga		13	13	120	471	1
saMyoga		13	13	120	958	1
bARa		13	13	117	1883	1
tilaka		13	13	116	177	1
nalina		13	12	114	61	1
vikalpa		13	13	114	489	1
tAraka		13	13	111	259	1
tala		13	13	109	1800	1
Dfti		13	12	102	585	1
ramBa	1	13	13	101	28	1
pAta	2	13	13	99	383	1
lavaRa		13	13	98	1388	1
madana		13	12	97	431	1
lakzya		13	13	95	217	1
krUra		13	11	93	569	1
pUraRa		13	13	93	148	1
putraka		13	12	91	310	1
paruza		13	12	90	377	1
varDamAna		13	13	90	38	1
KaRqa		13	13	89	731	1
pippala		13	13	86	107	1
savya	1	13	13	78	590	1
svaka		13	13	78	331	1
guqa		13	12	72	581	1
tarala		13	13	70	107	1
SiKarin		13	13	67	50	1
janana		13	12	67	368	1
kola		13	12	67	183	1
rEvata		13	13	67	98	1
malla		13	10	57	145	1
padya		13	13	57	43	1
barbara		13	9	52	37	1
bahurUpa		13	13	51	28	1
jalaja		13	11	49	53	1
tAmasa	1	13	11	49	233	1
durmuKa		13	13	48	97	1
AvApa		13	13	45	91	1
kulaka		13	13	44	21	1
kandala		13	12	43	11	1
SfNgin		13	11	42	100	1
divya		13	12	32	3833	1
grAhin		13	12	30	233	1
sudAman		13	13	30	6	1
nandaka		13	13	29	19	1
Arya		13	12	28	971	1
padmAvatI		13	13	23	79	1
kAhala		13	10	18	11	1
granTila		13	6	15	24	1
ta	2	13	12	15	38	1
kzip	1	12	12	346	2479	1
pUrva		12	12	337	6157	1
vrata	1	12	12	291	3393	1
sru		12	12	280	542	1
muh	1	12	12	244	1106	1
viDi	1	12	12	232	3037	1
SyAma		12	11	226	463	1
Darma		12	12	210	12450	1
laGu		12	12	202	1399	1
Sruti	1	12	12	186	882	1
DAman	1	12	12	178	887	1
Beda		12	12	165	1861	1
SaNKa		12	12	162	1333	1
vizaya		12	12	162	1628	1
indra		12	12	157	12172	1
viDAna		12	12	151	1070	1
jagat		12	12	139	38	1
maDura		12	12	139	2039	1
manu		12	12	135	1105	1
samanta		12	11	135	114	1
pravftti		12	12	131	571	1
kzema		12	12	130	316	1
vacana		12	12	127	3121	1
kazAya		12	12	122	1520	1
lava		12	11	122	141	1
ruci		12	12	122	437	1
Suka		12	12	118	536	1
ya	1	12	12	117	56	1
SoBana		12	12	115	661	1
hariRa		12	12	109	179	1
BErava	1	12	12	106	502	1
pramARa		12	10	103	1477	1
paTya		12	12	101	476	1
badara		12	12	99	126	1
vESvadeva		12	12	95	533	1
vahni		12	11	95	1680	1
BOma	1	12	12	93	199	1
asita	2	12	12	92	439	1
ErAvata		12	11	86	139	1
tAmra	1	12	12	86	1525	1
syandana		12	12	85	233	1
saMtAna		12	12	82	245	1
ISvara		12	12	81	2859	1
lakzmaRa		12	12	80	1155	1
suganDa	2	12	12	79	101	1
vikfti		12	11	78	259	1
vikrama		12	12	78	1074	1
rAma	1	12	11	77	3775	1
DizaRa		12	11	75	13	1
mahAvIra		12	10	75	96	1
vArAha		12	12	75	142	1
pragraha		12	11	73	60	1
saMvarta		12	12	73	106	1
Endra		12	12	72	818	1
aBi		12	11	70	1755	1
vAsava		12	12	70	576	1
SiKaRqin		12	12	69	431	1
virUpAkza		12	12	66	128	1
lANgala		12	10	65	86	1
upa		12	11	64	1344	1
mAtfka		12	12	63	12	1
bala	2	12	12	61	7931	1
Cattra		12	12	56	491	1
nivartana		12	12	54	86	1
ugra		12	11	52	1482	1
aDara		12	9	51	428	1
tUla		12	12	51	110	1
banDura		12	11	47	40	1
karavIra		12	10	46	120	1
nIlakaRWa		12	11	46	80	1
citraka		12	12	44	482	1
kAYcana	2	12	9	43	1198	1
aja	2	12	12	42	814	1
balin		12	8	40	836	1
cUqa		12	12	32	11	1
tripuwa		12	12	32	3	1
kAlaka		12	12	31	14	1
mAlaka		12	12	31	6	1
nIlaka		12	11	27	17	1
mAlatI		12	9	17	93	1
yuj	1	11	11	1522	6223	1
pad	1	11	11	1326	611	1
car		11	11	488	4031	1
sah	1	11	11	417	811	1
mahant		11	10	290	289	1
ka	1	11	10	256	14248	1
varza		11	11	247	3289	1
KyA		11	11	243	780	1
Baga		11	11	232	671	1
mitra		11	11	214	2066	1
jAta		11	11	206	196	1
Aditya		11	11	198	3085	1
rAga		11	11	189	1243	1
skanDa		11	11	189	676	1
vyaD		11	11	188	1636	1
upari		11	11	187	1490	1
velA		11	11	182	473	1
hIna		11	11	181	56	1
samyaYc		11	11	180	135	1
mAnasa	1	11	11	176	1199	1
tanu		11	11	176	1270	1
vArtta		11	11	168	7	1
darSana		11	11	166	2604	1
praTama		11	11	159	2716	1
rati		11	11	154	765	1
sTala		11	11	153	274	1
lakzmI		11	11	152	694	1
mada		11	11	147	1380	1
viBu		11	11	143	1062	1
viparyaya		11	11	143	437	1
vfdDa	1	11	11	141	1285	1
vara	4	11	11	137	5588	1
sac	1	11	11	136	323	1
karman		11	8	133	9938	1
Goza		11	11	131	615	1
vAja		11	10	125	949	1
marut		11	11	123	1439	1
apara		11	11	122	3168	1
pratyaYc		11	11	122	872	1
mAnin		11	11	118	286	1
BIma		11	11	116	2436	1
hiraRya		11	10	113	1425	1
nizWa		11	11	109	63	1
nArAyaRa		11	11	108	1110	1
sTARu		11	11	108	238	1
hAra		11	11	107	332	1
puzkala		11	11	107	130	1
yatra		11	11	102	4835	1
paryAya		11	10	101	503	1
BUti		11	11	99	439	1
sAmarTya		11	11	96	193	1
mAruta		11	11	95	1046	1
Asana	1	11	11	94	1459	1
sAraNga		11	11	92	69	1
SiKara		11	10	90	461	1
bimba		11	11	89	209	1
pOruza		11	11	89	370	1
pawala		11	11	89	192	1
keSa		11	11	86	1089	1
vyAla		11	10	85	202	1
kzetra		11	11	82	1007	1
pAwala		11	9	78	71	1
hEmavata		11	11	77	42	1
mahAkAla		11	11	77	91	1
haraRa		11	11	76	284	1
kaNka		11	11	76	165	1
Svas	1	11	11	75	549	1
makara		11	11	74	216	1
pARqu		11	11	74	1816	1
kARqa	1	11	10	73	430	1
rADa		11	11	72	9	1
vinAyaka		11	11	70	90	1
maRqUka		11	10	69	163	1
Ayu		11	11	67	302	1
giri		11	11	67	1684	1
nawa		11	9	66	84	1
kuYjara		11	9	65	449	1
Asura		11	11	64	194	1
haya		11	11	64	1187	1
pavana		11	11	64	575	1
SoDana		11	11	63	509	1
anyatra		11	11	62	1010	1
daRqaka		11	11	61	140	1
pulaka		11	10	59	68	1
jawila		11	10	58	98	1
sAgara		11	11	58	1097	1
Sukti		11	11	57	143	1
dahana		11	10	56	203	1
nakula		11	10	56	468	1
saMGAta		11	11	54	340	1
janman		11	11	53	1757	1
gardaBa		11	9	52	153	1
vikzepa		11	11	52	113	1
BfNga		11	8	51	240	1
gopati		11	11	51	87	1
mUzaka		11	9	51	106	1
visarjana		11	11	51	76	1
gopAla		11	10	49	110	1
viBAvan		11	11	48	26	1
DaruRa	1	11	7	47	109	1
sOganDika		11	11	47	63	1
gOqa		11	11	45	31	1
vAsanta		11	11	45	18	1
karawa		11	10	44	8	1
varaRa	1	11	11	44	83	1
kalmAza		11	11	41	55	1
kalpana		11	10	41	40	1
ambikA		11	11	40	147	1
gaRqaka		11	10	40	16	1
vErocana		11	11	40	24	1
puzpaka		11	9	39	104	1
viSAlAkza		11	11	37	23	1
Kecara		11	11	36	189	1
manojava	2	11	11	36	81	1
peSI		11	11	36	67	1
jaraRa		11	11	35	37	1
puzpadanta		11	11	34	28	1
sAraRa		11	10	34	155	1
saMgrahaRa		11	11	34	71	1
kumAraka		11	10	33	110	1
koka		11	11	31	24	1
kzveqa		11	9	31	39	1
kutapa		11	9	30	28	1
hIra		11	11	29	10	1
sOmanasa		11	11	29	48	1
Aqambara		11	11	26	22	1
raktANga		11	11	24	15	1
anala		11	9	17	722	1
citrANga		11	7	15	15	1
ja	2	11	6	10	4125	1
ram		10	10	726	1555	1
tap	1	10	10	412	2071	1
has	2	10	10	316	424	1
Bid	1	10	10	300	2113	1
pakza		10	10	273	1664	1
SAs	1	10	10	257	551	1
SuD		10	10	256	2410	1
sAD	1	10	10	253	86	1
samaya		10	10	249	1132	1
Bava		10	10	206	1321	1
cyu	1	10	10	202	715	1
kAma	1	10	9	195	7077	1
lag		10	10	195	236	1
pAtra		10	10	194	2483	1
yaTA		10	10	189	13912	1
Sap		10	10	188	490	1
yuga		10	10	185	1629	1
prajApati		10	10	173	3007	1
cira		10	10	167	544	1
sUkzma		10	10	167	1185	1
cal	1	10	10	164	491	1
mAya		10	10	164	1	1
siMha		10	10	163	1248	1
BAga	1	10	10	161	3391	1
udaya		10	10	155	938	1
vAcya	1	10	10	150	30	1
mati		10	10	149	1462	1
sAmAnya		10	10	140	624	1
liNga		10	10	138	1968	1
Salya		10	10	135	881	1
vyavahAra		10	10	135	320	1
garBa		10	9	134	2744	1
vfzaBa		10	9	134	528	1
pAra		10	8	130	411	1
viBrama		10	10	130	224	1
samADi		10	8	127	474	1
kftya		10	10	125	431	1
dIrGa		10	10	123	1494	1
fzi		10	10	123	5352	1
vihAra		10	10	119	360	1
setu		10	10	118	228	1
putra		10	6	112	11750	1
Gaw		10	10	111	119	1
saMvid	1	10	10	110	687	1
mAnava		10	8	109	947	1
vftra		10	10	108	907	1
hastin		10	9	107	680	1
kzudra		10	10	107	384	1
hima		10	10	105	610	1
SrImant		10	10	104	10	1
kutas		10	10	101	949	1
SoRa		10	8	98	130	1
ketu		10	9	98	431	1
tejas		10	9	98	4294	1
BAnu		10	10	97	448	1
pArTiva	1	10	10	97	1805	1
pratipatti		10	10	97	144	1
gOtama		10	10	94	704	1
mandara		10	9	94	220	1
raBasa		10	9	94	125	1
taruRa		10	10	94	403	1
tiras		10	9	93	179	1
gaya		10	10	90	137	1
BU	2	10	10	89	43220	1
varDana	1	10	10	88	654	1
lamba		10	10	85	83	1
samIpa		10	10	84	625	1
sEnDava		10	9	81	918	1
vyoman	1	10	10	81	686	1
vikawa		10	10	78	93	1
Ananda		10	9	77	1113	1
meKala		10	10	77	9	1
nigama		10	10	77	101	1
devaka		10	9	76	46	1
gulma		10	8	76	922	1
Palaka		10	9	74	156	1
nErfta		10	10	71	164	1
mAlA		10	10	70	672	1
meDya	1	10	8	69	434	1
suzira		10	10	69	87	1
tvAzwra		10	10	69	100	1
DanaMjaya		10	10	67	1033	1
ISa		10	9	65	1152	1
utkawa		10	10	64	203	1
janya	2	10	10	63	95	1
kapAla		10	10	63	1180	1
viBAvasu		10	10	63	155	1
kriyA		10	6	62	2052	1
jawa		10	9	61	1	1
kAmin		10	7	61	181	1
rAma	2	10	10	61	3775	1
BAradvAja		10	10	60	304	1
varada		10	10	60	25	1
maRqa		10	10	58	84	1
udumbara		10	10	58	255	1
vaha		10	9	58	237	1
avi		10	8	57	249	1
dvaMdva		10	10	57	507	1
pArAvata		10	10	57	113	1
viSvAvasu		10	10	57	110	1
banDaka		10	9	56	33	1
gaRa		10	10	56	3309	1
kuRqala		10	8	56	516	1
lomaSa		10	10	56	158	1
nAra		10	10	56	17	1
pralamba		10	9	56	95	1
Avarta		10	10	52	249	1
SAkala		10	10	52	26	1
cEtra		10	10	51	113	1
Bedana		10	9	50	144	1
vizkamBa		10	10	49	66	1
kuRqa		10	9	48	239	1
mallaka		10	10	47	33	1
avagraha		10	10	45	22	1
pratIka		10	10	45	100	1
varRaka		10	10	45	90	1
karbura		10	10	44	32	1
pArvata		10	10	44	21	1
saMyamana		10	10	44	34	1
saMcArin		10	10	43	32	1
SaNKin		10	10	42	17	1
sundara		10	8	42	184	1
Bramara		10	9	41	155	1
ambarIza		10	9	41	109	1
grAhaka		10	10	41	84	1
kacCapa		10	10	41	132	1
sOraBa		10	10	41	41	1
piRqaka		10	9	40	33	1
saraka		10	10	40	9	1
Saya		10	10	39	69	1
gomuKa		10	10	39	235	1
maRi		10	10	39	1417	1
devana	1	10	7	38	35	1
karka		10	8	38	8	1
pratigraha		10	10	38	217	1
saMhanana		10	10	37	70	1
acala		10	10	36	645	1
ajita		10	10	36	215	1
anaGa		10	10	35	649	1
niSAcara		10	8	34	283	1
cAraka		10	10	30	22	1
kampana		10	10	30	57	1
sara	1	10	10	30	251	1
vERava		10	10	30	61	1
pallava		10	10	29	317	1
varawa		10	10	29	1	1
Odumbara		10	10	27	359	1
kAnta		10	9	26	1014	1
tAlaka		10	10	26	316	1
haripriya		10	9	25	9	1
tApana		10	10	25	100	1
Kacara		10	8	23	17	1
mahAnAda	2	10	10	21	9	1
bAdara		10	9	20	22	1
ugraganDa		10	8	19	5	1
lAsaka		10	10	18	7	1
drAvaka		10	9	17	45	1
karvara	2	10	9	16	9	1
dIrGapattraka		10	6	11	6	1
apa	1	10	2	7	654	1
Pa		10	5	6	6	1
pat	1	9	9	1138	3124	1
kram		9	9	1048	418	1
Ap		9	9	832	2328	1
diS	1	9	9	753	4018	1
vid	1	9	9	741	13512	1
ruD	2	9	9	663	894	1
Baj		9	9	580	1165	1
mA	3	9	9	468	4955	1
lakzay		9	9	434	539	1
vid	3	9	9	360	13512	1
sattva		9	9	292	4165	1
tyaj	1	9	9	272	2420	1
lamb	1	9	9	259	130	1
liK		9	9	248	509	1
iti	1	9	9	242	78511	1
cit	4	9	9	226	1580	1
yama	2	9	9	216	1966	1
jan		9	9	212	9254	1
manas		9	9	206	7226	1
Sata	1	9	9	195	6046	1
pApa		9	8	193	4127	1
mA		9	9	185	4955	1
BUmi		9	8	177	2989	1
prARa	1	9	8	170	5696	1
u	2	9	9	164	5144	1
bala	1	9	9	163	7931	1
doza	1	9	8	161	4712	1
vigraha	1	9	9	161	502	1
sUrya		9	9	157	3572	1
pAda		9	9	154	3747	1
kArya		9	9	149	2881	1
pavitra		9	9	148	1074	1
hita	1	9	9	141	2875	1
kevala		9	9	141	760	1
sTUla		9	9	141	605	1
sUtra		9	9	137	708	1
mahAdeva		9	9	136	921	1
niyama		9	8	134	738	1
prayoga	2	9	9	132	771	1
vfzan		9	9	132	805	1
pawwa		9	9	131	188	1
sinDu		9	9	130	547	1
BArgava		9	9	128	430	1
Sarkara		9	9	121	34	1
viSvarUpa	2	9	9	121	105	1
viBava		9	7	120	231	1
BARqa		9	9	117	700	1
yojana		9	9	115	824	1
samAna	1	9	9	114	1482	1
puRya		9	8	113	3203	1
SIta		9	9	111	1957	1
SrezWa		9	8	110	2954	1
lola		9	9	110	141	1
vanaspati		9	9	109	735	1
leKa		9	9	108	82	1
dravya	1	9	9	105	2415	1
saMKya		9	9	105	466	1
meza		9	9	101	203	1
kAraka	1	9	9	100	466	1
saMhita		9	9	100	16	1
div	3	9	8	98	4071	1
maDuka		9	9	98	390	1
raTa	1	9	9	96	7091	1
DizRya		9	8	95	288	1
SASvata		9	8	95	593	1
jaqa		9	9	95	239	1
avara		9	8	94	436	1
pawa		9	9	94	303	1
saMSraya		9	9	93	234	1
Brama		9	9	92	349	1
palASa		9	8	92	523	1
saMkawa		9	9	92	147	1
mokza		9	9	91	1116	1
sarala		9	9	90	107	1
antika		9	9	89	729	1
bAhu		9	8	89	3370	1
laya		9	9	89	222	1
virUpa	2	9	9	89	213	1
vitAna		9	9	89	112	1
saMhAra		9	9	87	298	1
dunduBi		9	9	86	305	1
pawu		9	9	86	277	1
sArasvata		9	8	86	255	1
aditi	2	9	9	84	930	1
pratihAra		9	9	84	86	1
ramya		9	9	84	738	1
sArasa	1	9	9	84	139	1
vEvasvata		9	9	84	271	1
viDura		9	8	84	75	1
vicitra		9	9	84	696	1
aNga	3	9	9	83	4120	1
aja	1	9	8	82	814	1
gAnDAra		9	9	81	132	1
manTa		9	9	81	175	1
agra	1	9	9	80	3363	1
kalApa		9	7	80	134	1
arTay		9	9	79	117	1
cAru		9	9	79	608	1
SaraBa		9	9	78	111	1
SfNgAra		9	8	78	72	1
baka		9	9	78	222	1
netra		9	9	78	1240	1
vAjin		9	8	77	1040	1
SuBra		9	9	76	353	1
div	1	9	5	76	4071	1
sidDArTa		9	9	76	127	1
vipra		9	9	76	3300	1
niveSana		9	9	75	370	1
pAka	2	9	9	75	1036	1
Atreya		9	9	74	340	1
sukumAra		9	9	72	135	1
vEkfta		9	9	72	112	1
BAsa		9	7	71	109	1
naBas		9	8	71	650	1
pariDi		9	9	71	302	1
vaktra		9	8	71	999	1
ASraya		9	9	70	926	1
aDas		9	8	70	1468	1
maDumant		9	9	70	4	1
mayUra		9	8	68	256	1
nidarSana		9	8	68	190	1
uzRa		9	7	68	2522	1
antarA		9	9	67	430	1
kesara		9	8	67	250	1
kzipra		9	9	67	144	1
pakzin		9	8	66	705	1
Sakta	1	9	9	65	12	1
karaBa		9	9	65	37	1
varizWa	2	9	9	64	200	1
rAgin		9	9	63	70	1
nAla		9	9	62	240	1
taskara		9	7	61	143	1
DArin	1	9	9	60	383	1
kuwila		9	9	60	143	1
upacAra		9	9	60	346	1
jamBa		9	9	59	165	1
kukkuwa		9	9	59	162	1
satyavant		9	9	59	69	1
upAdAna		9	8	59	131	1
Danya		9	8	58	382	1
dardura		9	9	58	75	1
piSuna		9	9	58	74	1
upakrama		9	9	58	138	1
jana	1	9	8	57	4097	1
rajata		9	6	57	402	1
suDA	2	9	9	57	342	1
gamya		9	9	56	5	1
suzeRa		9	9	56	128	1
ambara		9	9	55	837	1
rUpaka		9	8	55	52	1
sUcaka		9	9	55	59	1
viSiKa		9	9	55	207	1
Aroha		9	9	54	218	1
