anchor_key_slp1	anchor_iast	dcs_lemma_id	dcs_lemma_iast	evidence_count	pre_classification	rationale	axis	n_diff	first_diff_pos	word_len
Agantf	āgantṛ	201148	agantṛ	4	likely-spurious	Single mid-word vowel-length difference (position 0 of 6) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	6
AgnAvEzRava	āgnāvaiṣṇava	223594	agnāvaiṣṇava	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 11) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	11
AgnIDrIya	āgnīdhrīya	224231	āgnidhrīya	1	likely-spurious	Single mid-word vowel-length difference (position 3 of 9) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	3	9
AgnyADeyikya	āgnyādheyikya	224179	agnyādheyikya	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 12) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	12
AgraTita	āgrathita	207582	agrathita	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 8) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	8
AhAray	āhāray	223223	āharay	1	likely-spurious	Single mid-word vowel-length difference (position 2 of 6) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	2	6
AhInika	āhīnika	225357	āhinīka	2	likely-spurious	2 differing positions (vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	vowel-length	2	2	7
AhaMkArika	āhaṃkārika	209929	ahaṃkārika	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 10) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	10
Ahaka	āhaka	205330	ahaka	3	likely-spurious	Single mid-word vowel-length difference (position 0 of 5) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	5
Ahalak	āhalak	224228	ahalak	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 6) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	6
AjYApaka	ājñāpaka	203878	ajñāpaka	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 8) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	8
AjYAtf	ājñātṛ	214581	ajñātṛ	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 6) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	6
AjihIrzA	ājihīrṣā	174515	ajihīrṣā	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 8) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	8
AkANkzin	ākāṅkṣin	172040	akāṅkṣin	2	likely-spurious	Single mid-word vowel-length difference (position 0 of 8) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	8
AkAravat	ākāravat	217350	ākaravat	2	likely-spurious	Single mid-word vowel-length difference (position 2 of 8) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	2	8
AkArita	ākārita	212012	akārita	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 7) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	7
Akac	ākac	213241	akac	4	likely-spurious	Short word (4 chars) with a vowel-length difference -- high collision risk, per the Q1 golden sample's confirmed pattern (relaxed tier wrong 3/3).	vowel-length	1	0	4
Akleda	ākleda	214253	akleda	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 6) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	6
AlApin	ālāpin	200543	alapin	1	likely-spurious	2 differing positions (vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	vowel-length	2	0	6
AliKita	ālikhita	169607	alikhita	2	likely-spurious	Single mid-word vowel-length difference (position 0 of 7) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	7
AlokAkASa	ālokākāśa	170256	alokākāśa	2	likely-spurious	Single mid-word vowel-length difference (position 0 of 9) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	9
Aloqya	āloḍya	207880	aloḍya	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 6) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	6
AmAd	āmād	217667	āmad	1	likely-spurious	Short word (4 chars) with a vowel-length difference -- high collision risk, per the Q1 golden sample's confirmed pattern (relaxed tier wrong 3/3).	vowel-length	1	2	4
AmIlita	āmīlita	207986	amīlita	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 7) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	7
AmaRqaka	āmaṇḍaka	214308	amandaka	1	likely-spurious	3 differing positions (nasal+other+vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	nasal+other+vowel-length	3	0	8
AmaganDa	āmagandha	174443	āmagandhā	1	worth-a-closer-look	Single word-final vowel-length difference on a 8-char word (position 7) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	7	8
AmuktikA	āmuktikā	220881	āmuktika	1	worth-a-closer-look	Single word-final vowel-length difference on a 8-char word (position 7) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	7	8
AnATya	ānāthya	211828	anāthya	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 6) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	6
AnAyAy	ānāyāy	171922	ānāyay	119	worth-a-closer-look	Single word-final vowel-length difference on a 6-char word (position 4) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	4	6
Anandana	ānandana	212835	anandana	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 8) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	8
AnfRya	ānṛṇya	170026	anṛṇya	3	likely-spurious	Single mid-word vowel-length difference (position 0 of 6) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	6
AntarAlika	āntarālika	176317	antarālika	3	likely-spurious	Single mid-word vowel-length difference (position 0 of 10) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	10
ApAyika	āpāyika	170948	apāyika	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 7) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	7
ApIya	āpīya	223531	apiyā	1	likely-spurious	3 differing positions (vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	vowel-length	3	0	5
Apadeva	āpadeva	223796	apadeva	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 7) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	7
Apadika	āpadika	201615	apādikā	1	likely-spurious	3 differing positions (vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	vowel-length	3	0	7
AparAhRika	āparāhṇika	199471	aparāhṇika	9	likely-spurious	Single mid-word vowel-length difference (position 0 of 10) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	10
Apavargika	āpavargika	208873	apavargika	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 10) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	10
ApiSaNga	āpiśaṅga	199016	apiśaṅga	2	likely-spurious	Single mid-word vowel-length difference (position 0 of 8) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	8
Aplavana	āplavana	202154	āplāvana	5	likely-spurious	Single mid-word vowel-length difference (position 3 of 8) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	3	8
ArUQi	ārūḍhi	169938	arūḍhi	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 5) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	5
AraNga	āraṅga	172902	araṅga	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 6) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	6
AraYjana	ārañjana	204562	arañjana	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 8) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	8
AraktI	āraktī	167854	arakti	1	likely-spurious	2 differing positions (vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	vowel-length	2	0	6
ArakzaRa	ārakṣaṇa	201741	arakṣaṇa	2	likely-spurious	Single mid-word vowel-length difference (position 0 of 8) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	8
ArakzaRa	ārakṣaṇa	211503	arakṣaṇa	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 8) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	8
AramBaRIya	ārambhaṇīya	223879	ārambhaṇīyā	10	worth-a-closer-look	Single word-final vowel-length difference on a 10-char word (position 9) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	9	10
Arawita	āraṭita	222665	arātīta	2	likely-spurious	4 differing positions (other+vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	other+vowel-length	4	0	7
Arawwa	āraṭṭa	216877	āraṭṭā	1	worth-a-closer-look	Single word-final vowel-length difference on a 6-char word (position 5) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	5	6
Arocana	ārocana	166003	arocana	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 7) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	7
Artimat	ārtimat	204645	artimat	2	likely-spurious	Single mid-word vowel-length difference (position 0 of 7) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	7
AryamRa	āryamṇa	223049	aryamṇa	2	likely-spurious	Single mid-word vowel-length difference (position 0 of 7) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	7
Aryaputra	āryaputra	211622	aryaputra	32	likely-spurious	Single mid-word vowel-length difference (position 0 of 9) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	9
ArzyaSfNga	ārṣyaśṛṅga	215109	ārśyaśṛṅga	1	likely-spurious	Single mid-word sibilant difference (position 2 of 10) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	sibilant	1	2	10
AsaMsAra	āsaṃsāra	215141	asaṃsāra	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 8) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	8
Asajya	āsajya	209417	asajya	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 6) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	6
AsanAdi	āsanādi	205580	asanādi	3	likely-spurious	Single mid-word vowel-length difference (position 0 of 7) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	7
Asanaka	āsanaka	205616	asanaka	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 7) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	7
Asf	āsṛ	170169	āśṛ	2	likely-spurious	Short word (3 chars) with a sibilant difference -- high collision risk, per the Q1 golden sample's confirmed pattern (relaxed tier wrong 3/3).	sibilant	1	1	3
Asic	āsic	215944	asic	1	likely-spurious	Short word (4 chars) with a vowel-length difference -- high collision risk, per the Q1 golden sample's confirmed pattern (relaxed tier wrong 3/3).	vowel-length	1	0	4
AsrAvin	āsrāvin	202230	asrāvin	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 7) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	7
AstAva	āstāva	224141	āstava	3	likely-spurious	Single mid-word vowel-length difference (position 3 of 6) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	3	6
AstaraRavat	āstaraṇavat	174594	āstāraṇavat	1	likely-spurious	Single mid-word vowel-length difference (position 3 of 11) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	3	11
AsurAyaRi	āsurāyaṇi	200275	āsurāyaṇī	2	worth-a-closer-look	Single word-final vowel-length difference on a 9-char word (position 8) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	8	9
AsvAdana	āsvādana	217554	āsvadana	1	likely-spurious	Single mid-word vowel-length difference (position 3 of 8) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	3	8
AsvApana	āsvāpana	206931	asvapana	1	likely-spurious	2 differing positions (vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	vowel-length	2	0	8
Asvan	āsvan	210656	aśvan	1	likely-spurious	2 differing positions (sibilant+vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	sibilant+vowel-length	2	0	5
AtF	ātṝ	159770	ātṛ	13	likely-spurious	Short word (3 chars) with a vowel-length difference -- high collision risk, per the Q1 golden sample's confirmed pattern (relaxed tier wrong 3/3).	vowel-length	1	2	3
Atam	ātam	215657	ātām	1	likely-spurious	Short word (4 chars) with a vowel-length difference -- high collision risk, per the Q1 golden sample's confirmed pattern (relaxed tier wrong 3/3).	vowel-length	1	2	4
AtapAy	ātapāy	220845	ātāpay	1	likely-spurious	2 differing positions (vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	vowel-length	2	2	6
Atijagata	ātijagata	222307	atijāgata	4	likely-spurious	2 differing positions (vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	vowel-length	2	0	9
Atman	ātman	223537	atman	2	likely-spurious	Single mid-word vowel-length difference (position 0 of 5) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	5
Atu	ātu	213768	atu	1	likely-spurious	Short word (3 chars) with a vowel-length difference -- high collision risk, per the Q1 golden sample's confirmed pattern (relaxed tier wrong 3/3).	vowel-length	1	0	3
Avarjya	āvarjya	176350	avarjya	2	likely-spurious	Single mid-word vowel-length difference (position 0 of 7) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	7
Avasu	āvasu	222193	avasu	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 5) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	5
AveDa	āvedha	215157	avedha	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 5) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	5
Avega	āvega	205099	avega	3	likely-spurious	Single mid-word vowel-length difference (position 0 of 5) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	5
AviBA	āvibhā	224904	avibha	2	likely-spurious	2 differing positions (vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	vowel-length	2	0	5
AvirBAva	āvirbhāva	222393	āvirbhava	1	likely-spurious	Single mid-word vowel-length difference (position 5 of 8) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	5	8
Awavya	āṭavya	211299	āṭavyā	1	worth-a-closer-look	Single word-final vowel-length difference on a 6-char word (position 5) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	5	6
AyAc	āyāc	215865	ayac	1	likely-spurious	Short word (4 chars) with a vowel-length difference -- high collision risk, per the Q1 golden sample's confirmed pattern (relaxed tier wrong 3/3).	vowel-length	2	0	4
AyAcitf	āyācitṛ	210992	ayācitṛ	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 7) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	7
AyoDa	āyodha	225386	ayodha	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 5) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	5
Ayuktaka	āyuktaka	212284	ayuktaka	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 8) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	8
BARqArI	bhāṇḍārī	206409	bhaṇḍārī	1	likely-spurious	Single mid-word vowel-length difference (position 1 of 7) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	1	7
BAgIraTI	bhāgīrathī	220279	bhagīrathī	1	likely-spurious	Single mid-word vowel-length difference (position 1 of 8) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	1	8
BAllavin	bhāllavin	199028	bhallāvin	1	likely-spurious	2 differing positions (vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	vowel-length	2	1	8
BArAy	bhārāy	160269	bhāray	1	worth-a-closer-look	Single word-final vowel-length difference on a 5-char word (position 3) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	3	5
BArAy	bhārāy	218161	bharay	5	likely-spurious	2 differing positions (vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	vowel-length	2	1	5
BAradvAjAyana	bhāradvājāyana	216835	bharadvājāyana	1	likely-spurious	Single mid-word vowel-length difference (position 1 of 13) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	1	13
BAradvAjI	bhāradvājī	210795	bharadvājī	1	likely-spurious	Single mid-word vowel-length difference (position 1 of 9) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	1	9
BArgava	bhārgava	211268	bhārgavā	1	worth-a-closer-look	Single word-final vowel-length difference on a 7-char word (position 6) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	6	7
BAsAy	bhāsāy	157943	bhāṣay	7	likely-spurious	2 differing positions (sibilant+vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	sibilant+vowel-length	2	2	5
BAsAy	bhāsāy	159477	bhāsay	45	worth-a-closer-look	Single word-final vowel-length difference on a 5-char word (position 3) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	3	5
BAsura	bhāsura	209312	bhāsurā	1	worth-a-closer-look	Single word-final vowel-length difference on a 6-char word (position 5) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	5	6
BAvaSudDi	bhāvaśuddhi	213616	bhavaśuddhi	1	likely-spurious	Single mid-word vowel-length difference (position 1 of 9) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	1	9
BUDaraja	bhūdharaja	200806	bhūdharajā	1	worth-a-closer-look	Single word-final vowel-length difference on a 8-char word (position 7) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	7	8
BUmat	bhūmat	224028	bhumat	1	likely-spurious	Single mid-word vowel-length difference (position 1 of 5) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	1	5
