attested_form	form_key	dcs_lemma	dcs_upos	target_locus	evidence_count	tense_caveat
agrataḥ	agrata	agra	NOUN	dcs:647440	137	0
etasyā	etasyā	etad	PRON	dcs:671009	137	0
duhitryāḥ	duhitryā	duhitṛ	NOUN	dcs:76237	136	0
itaretaram	itaretaram	itaretara	PRON	dcs:524505	136	0
janāsaḥ	janāsa	jana	NOUN	dcs:652148	136	0
nāmānam	nāmānam	nāman	NOUN	dcs:649205	134	0
śirasam	śirasam	śiras	NOUN	dcs:687171	134	0
ūṣma	ūṣma	ūṣman	NOUN	dcs:465391	134	0
akṣām	akṣām	akṣa	ADJ	dcs:574708	132	0
patrāṇi	patrāni	pattra	NOUN	dcs:331708	131	0
amuṣyāḥ	amuṣyā	adas	PRON	dcs:646644_2	130	0
chatraṃ	chatram	chattra	NOUN	dcs:76641	130	0
vasīyān	vasīyān	vasīyas	ADJ	dcs:651242	125	0
chatra	chatra	chattra	NOUN	dcs:465641_1	124	0
prabhṛtīni	prabhṛtīni	prabhṛti	NOUN	dcs:643172	124	0
asmāṁ	asmām	mad	PRON	dcs:646719_2	122	0
etasmai	etasmai	etad	PRON	dcs:94010	121	0
apekṣam	apekṣam	apekṣā	NOUN	dcs:76556	118	0
bhūyān	bhūyān	bhūyas	ADJ	dcs:748895	118	1
patraṃ	patram	pattra	NOUN	dcs:506270	115	0
divas	divas	div	NOUN	dcs:650344	114	0
jyāyān	jyāyān	jyāyas	ADJ	dcs:590575	114	0
pitarā	pitarā	pitṛ	NOUN	dcs:651990	113	0
vīryau	vīryau	vīrya	NOUN	dcs:649316	112	0
śreyāḥ	śreyā	śreyas	ADJ	dcs:589952	112	0
āvābhyām	āvābhyām	mad	PRON	dcs:650550_4	108	0
sakhāyam	sakhāyam	sakhi	NOUN	dcs:650350	107	0
mahitvā	mahitvā	mahitva	NOUN	dcs:748708	106	0
vidvasām	vidvasām	vidvas	ADJ	dcs:97136	106	0
bāhuvoḥ	bāhuvo	bāhu	NOUN	dcs:76348	105	0
bhago	bhago	bhaga	NOUN	dcs:590085	104	0
mahānti	mahānti	mahat	ADJ	dcs:637957	103	0
āpas	āpas	ap	NOUN	dcs:652868	103	0
samāsataḥ	samāsata	samāsatas	ADV	dcs:26613	102	0
viśvata	viśvata	viśvatas	ADV	dcs:748954	102	0
yatrā	yatrā	yatra	SCONJ	dcs:649518	102	0
devebhiḥ	devebhi	deva	NOUN	dcs:651728	99	0
rājbhiḥ	rājbhi	rājan	NOUN	dcs:577944	99	0
rājsu	rājsu	rājan	NOUN	dcs:87375	99	0
svabhāvataḥ	svabhāvata	svabhāva	NOUN	dcs:555751	99	0
vasvaḥ	vasva	vasu	NOUN	dcs:484706	99	0
rajo	rajo	rajas	NOUN	dcs:647558	98	0
udakāḥ	udakā	udaka	NOUN	dcs:634877	98	0
śriyai	śriyai	śrī	NOUN	dcs:748904	98	0
ahobhiḥ	ahobhi	ahar	NOUN	dcs:484504	96	0
ānanām	ānanām	ānana	NOUN	dcs:573102	96	0
satvam	satvam	sattva	NOUN	dcs:636113	95	0
abhidham	abhidham	abhidhā	NOUN	dcs:90322	94	0
ābharaṇāḥ	ābharanā	ābharaṇa	NOUN	dcs:89555	94	0
garīyāḥ	garīyā	garīyas	ADJ	dcs:91963	93	0
amūṃ	amūm	adas	PRON	dcs:651647	92	0
tvaram	tvaram	tvarā	NOUN	dcs:93555	92	0
yadī	yadī	yadi	SCONJ	dcs:634017	91	0
ekasyām	ekasyām	eka	NUM	dcs:650255_1	90	0
mahātmanau	mahātmanau	mahātman	ADJ	dcs:370236	90	0
vadhvam	vadhvam	vadhū	NOUN	dcs:648280_1	89	0
mahātmānau	mahātmānau	mahātman	ADJ	dcs:657855	88	0
cin	cin	cit	PART	dcs:749328	87	0
retāḥ	retā	retas	NOUN	dcs:519179	87	0
ākhyena	ākhyena	ākhyā	NOUN	dcs:583200	86	0
mūrdhanā	mūrdhanā	mūrdhan	NOUN	dcs:29580	85	0
bhagavaḥ	bhagava	bhagavat	ADJ	dcs:651126	84	0
janmā	janmā	janman	NOUN	dcs:634999	84	0
mātarā	mātarā	mātṛ	NOUN	dcs:635006	83	0
somāsaḥ	somāsa	soma	NOUN	dcs:660367	83	0
hriyā	hriyā	hrī	NOUN	dcs:102923	82	0
āyudhān	āyudhān	āyudha	NOUN	dcs:484974	82	0
yuvānaḥ	yuvāna	yuvan	NOUN	dcs:524191	80	0
dūrata	dūrata	dūratas	ADV	dcs:644221	78	0
sakṛdāgāmi	sakṛdāgāmi	sakṛdāgāmin	NOUN	dcs:642685	78	0
ahaḥsu	ahaḥsu	ahar	NOUN	dcs:652332	76	0
arvā	arvā	arvan	NOUN	dcs:634686	76	0
tal	tal	tad	PRON	dcs:650974	76	0
īkṣaṇām	īkṣanām	īkṣaṇa	NOUN	dcs:95366	76	0
buddhinā	buddhinā	buddhi	NOUN	dcs:88828	74	0
duhitrīm	duhitrīm	duhitṛ	NOUN	dcs:76228	74	0
eno	eno	enas	NOUN	dcs:647045	74	0
paraspareṇa	parasparena	paraspara	PRON	dcs:99887	74	0
patyuḥ	patyu	pati	NOUN	dcs:589910	74	0
prabhṛtīn	prabhṛtīn	prabhṛti	NOUN	dcs:478373	74	0
udarāḥ	udarā	udara	NOUN	dcs:29276	74	0
śaktitaḥ	śaktita	śakti	NOUN	dcs:464875	74	0
naum	naum	nau	NOUN	dcs:483796	73	0
pārśvataḥ	pārśvata	pārśvatas	ADV	dcs:656215	73	0
svāyām	svāyām	sva	ADJ	dcs:650591_4	73	0
jīvo	jīvo	jīva	NOUN	dcs:76816	72	0
ākhyasya	ākhyasya	ākhyā	NOUN	dcs:574164	72	0
ātmakām	ātmakām	ātmaka	ADJ	dcs:477813	70	0
agnā	agnā	agni	NOUN	dcs:712080_1	69	0
harivas	harivas	harivat	ADJ	dcs:651129	69	0
mūrcchā	mūrcchā	mūrchā	NOUN	dcs:331363	69	0
amuṣmāt	amuṣmāt	adas	PRON	dcs:652154	67	0
patyau	patyau	pati	NOUN	dcs:651135	67	0
amīṣām	amīṣām	adas	PRON	dcs:646368_1	66	0
amūn	amūn	adas	PRON	dcs:635159_1	66	0
anulepanā	anulepanā	anulepana	NOUN	dcs:477677	66	0
bhaktitaḥ	bhaktita	bhakti	NOUN	dcs:464274	64	0
dyūn	dyūn	div	NOUN	dcs:641380	64	0
ekaikasmin	ekaikasmin	ekaika	PRON	dcs:687858	64	0
viśvebhiḥ	viśvebhi	viśva	ADJ	dcs:650422	64	0
ūdhar	ūdhar	ūdhas	NOUN	dcs:749420	64	0
adrivas	adrivas	adrivat	ADJ	dcs:666302	63	0
kanīyāḥ	kanīyā	kanīyas	ADJ	dcs:484968	62	0
yujam	yujam	yuj	ADJ	dcs:182311	62	0
prātassavanaṃ	prātassavanam	prātaḥsavana	NOUN	dcs:709298	61	0
ūruvoḥ	ūruvo	ūru	NOUN	dcs:30386	60	0
satre	satre	sattra	NOUN	dcs:652950	59	0
savitaḥ	savita	savitṛ	NOUN	dcs:650344	59	0
ekasyā	ekasyā	eka	NUM	dcs:102880	58	0
kāmataḥ	kāmata	kāmatas	ADV	dcs:27653	58	0
aśvāsaḥ	aśvāsa	aśva	NOUN	dcs:648685	56	0
naś	naś	mad	PRON	dcs:651329	56	0
ānupūrvayā	ānupūrvayā	ānupūrva	NOUN	dcs:590165	56	0
kanīyān	kanīyān	kanīyas	ADJ	dcs:519849	55	0
madhumāṁ	madhumām	madhumat	ADJ	dcs:651262	55	0
achāvākaḥ	achāvāka	acchāvāka	NOUN	dcs:650883	54	0
anyonyena	anyonyena	anyonya	PRON	dcs:569083_1	54	0
ima	ima	idam	PRON	dcs:651621	54	0
vyacāḥ	vyacā	vyacas	NOUN	dcs:647714	54	0
mittraṃ	mittram	mitra	NOUN	dcs:583384	53	0
samīpataḥ	samīpata	samīpa	NOUN	dcs:440541	53	0
vidvobhiḥ	vidvobhi	vidvas	ADJ	dcs:90217	53	0
vṛdhaḥ	vṛdha	vṛdh	ADJ	dcs:637377	53	0
yajñiyāsaḥ	yajniyāsa	yajñiya	ADJ	dcs:648736	53	0
ādityāsaḥ	ādityāsa	āditya	NOUN	dcs:651183	53	0
darśanām	darśanām	darśana	NOUN	dcs:38304	52	0
dogdhā	dogdhā	dogdhṛ	ADJ	dcs:586598	52	0
dvārām	dvārām	dvāra	NOUN	dcs:465162	52	0
kiyantam	kiyantam	kiyat	ADJ	dcs:687479	52	0
līlam	līlam	līlā	NOUN	dcs:89429	52	0
parasparasya	parasparasya	paraspara	PRON	dcs:629959	52	0
spṛhaḥ	spṛha	spṛhā	NOUN	dcs:555876	52	0
svataḥ	svata	svatas	ADV	dcs:555567	52	0
brahmaṇas	brahmanas	brahman	NOUN	dcs:687038	50	0
daśam	daśam	daśā	NOUN	dcs:670615	50	0
maghonām	maghonām	maghavan	NOUN	dcs:554690	50	0
somyāsa	somyāsa	somya	ADJ	dcs:651255	50	0
graho	graho	graha	NOUN	dcs:650808	49	0
maghonaḥ	maghona	maghavan	ADJ	dcs:641408	49	0
striyau	striyau	strī	NOUN	dcs:75497	49	0
arthām	arthām	artha	NOUN	dcs:644521	48	0
gandhāśma	gandhāśma	gandhāśman	NOUN	dcs:427243	48	0
trāmāṇam	trāmānam	trāman	NOUN	dcs:650165_5	48	0
bhūyasyā	bhūyasyā	bhūyas	ADJ	dcs:642148	47	0
hotārā	hotārā	hotṛ	NOUN	dcs:650561	47	0
pramāṇataḥ	pramānata	pramāṇa	NOUN	dcs:99544	47	0
prātassavane	prātassavane	prātaḥsavana	NOUN	dcs:709312	47	0
sārddhaṃ	sārddham	sārdham	ADV	dcs:331975	47	0
yonā	yonā	yoni	NOUN	dcs:638245	47	0
devataḥ	devata	devatā	NOUN	dcs:650045_1	46	0
kratve	kratve	kratu	NOUN	dcs:649049	46	0
yajīyān	yajīyān	yajīyas	ADJ	dcs:652645_3	46	0
sakhyuḥ	sakhyu	sakhi	NOUN	dcs:589912	45	0
śriyo	śriyo	śrī	NOUN	dcs:652045	45	0
śāstrataḥ	śāstrata	śāstra	NOUN	dcs:76517	45	0
vartmā	vartmā	vartman	NOUN	dcs:647623	44	0
viprāsa	viprāsa	vipra	NOUN	dcs:640679	44	0
yavīyāḥ	yavīyā	yavīyas	ADJ	dcs:488119	44	0
yogataḥ	yogata	yoga	NOUN	dcs:584240	44	0
dadhinas	dadhinas	dadhi	NOUN	dcs:506124	43	0
uṣāsā	uṣāsā	uṣas	NOUN	dcs:648877	43	0
vārtā	vārtā	vārttā	NOUN	dcs:590414	43	0
āpriyaḥ	āpriya	āprī	NOUN	dcs:650552	43	0
achidreṇa	achidrena	acchidra	ADJ	dcs:651099	42	0
jyotīḥ	jyotī	jyotis	NOUN	dcs:90804	42	0
vṛṣo	vṛṣo	vṛṣa	NOUN	dcs:589988	42	0
chatraiḥ	chatrai	chattra	NOUN	dcs:644114	41	0
iyān	iyān	iyat	ADJ	dcs:650673_7	41	0
vidvasā	vidvasā	vidvas	ADJ	dcs:35747	41	0
viśas	viśas	viś	NOUN	dcs:647099	41	0
aṅgulām	angulām	aṅgula	NOUN	dcs:28936	40	0
dampatiyoḥ	dampatiyo	dampati	NOUN	dcs:102874	40	0
dhairyāḥ	dhairyā	dhairya	NOUN	dcs:641980	40	0
janimā	janimā	janiman	NOUN	dcs:646215	40	0
kan	kan	ka	PRON	dcs:652384	40	0
paramasyāṃ	paramasyām	parama	ADJ	dcs:646913	40	0
sāmataḥ	sāmata	sāman	NOUN	dcs:749127	40	0
tanuvam	tanuvam	tanū	NOUN	dcs:669430_1	40	0
tanuvā	tanuvā	tanū	NOUN	dcs:669709	40	0
tṛtīyasyāṃ	tṛtīyasyām	tṛtīya	ADJ	dcs:464587	40	0
upadhāt	upadhāt	upadhā	NOUN	dcs:551652	40	0
vegām	vegām	vega	NOUN	dcs:31269	40	0
vārtāṃ	vārtām	vārttā	NOUN	dcs:88359	40	0
śāśvatām	śāśvatām	śāśvata	ADJ	dcs:583724	40	0
aprayucchan	aprayucchan	aprayucchat	ADJ	dcs:650434_1	39	0
avāc	avāc	ava	NOUN	dcs:555420	39	0
ekasmāt	ekasmāt	eka	NUM	dcs:331199	39	0
maghonī	maghonī	maghavan	ADJ	dcs:474336	39	0
viśuddhitaḥ	viśuddhita	viśuddhi	NOUN	dcs:645091	39	0
amuṣyai	amuṣyai	adas	PRON	dcs:435155	38	0
ayāsi	ayāsi	ayās	ADJ	dcs:669716	38	0
datraḥ	datra	dattra	NOUN	dcs:649064	38	0
nāsaḥ	nāsa	nāsā	NOUN	dcs:643265	38	0
padām	padām	pada	NOUN	dcs:650923	38	0
stomebhiḥ	stomebhi	stoma	NOUN	dcs:651520	38	0
vaktrām	vaktrām	vaktra	NOUN	dcs:568401	38	0
yajuṣṭaḥ	yajuṣṭa	yajus	NOUN	dcs:652168	38	0
yuvānā	yuvānā	yuvan	ADJ	dcs:651990	38	0
ākhyaiḥ	ākhyai	ākhyā	NOUN	dcs:28472	38	0
bhūyāṃsaṃ	bhūyānsam	bhūyas	ADJ	dcs:652536	37	0
dhūr	dhūr	dhū	NOUN	dcs:671381	37	0
kiyantaḥ	kiyanta	kiyat	ADJ	dcs:644098	37	0
paramārthataḥ	paramārthata	paramārtha	NOUN	dcs:555955	37	0
vyāhṛtībhiḥ	vyāhṛtībhi	vyāhṛti	NOUN	dcs:436450_1	37	0
vīryān	vīryān	vīrya	NOUN	dcs:39990	37	0
aṅgīm	angīm	aṅga	ADJ	dcs:94837	36	0
rājānā	rājānā	rājan	NOUN	dcs:686750	36	0
vaḍavā	vaḍavā	vaḍabā	NOUN	dcs:76670	36	0
āyasām	āyasām	āyasa	ADJ	dcs:36436	36	0
ṛkta	ṛkta	ṛc	NOUN	dcs:652168	36	0
amuṣyām	amuṣyām	adas	PRON	dcs:651648	35	0
atichandāḥ	atichandā	aticchandas	NOUN	dcs:651860	35	0
gāyatriyā	gāyatriyā	gāyatrī	NOUN	dcs:377621	35	0
martāsa	martāsa	marta	NOUN	dcs:639759	35	0
mūrdhanaḥ	mūrdhana	mūrdhan	NOUN	dcs:31129	35	0
uc	uc	ud	ADP	dcs:650987	35	0
vidvase	vidvase	vidvas	ADJ	dcs:570690	35	0
śīrṣata	śīrṣata	śīrṣa	NOUN	dcs:649888	35	0
abhidhānā	abhidhānā	abhidhāna	NOUN	dcs:30008	34	0
avajñam	avajnam	avajñā	NOUN	dcs:577991	34	0
aṅgulāni	angulāni	aṅgula	NOUN	dcs:29202	34	0
marutvāṁ	marutvām	marutvat	ADJ	dcs:748727_1	34	0
mittra	mittra	mitra	NOUN	dcs:613944	34	0
mṛtyunaḥ	mṛtyuna	mṛtyu	NOUN	dcs:641955	34	0
narāṃ	narām	nṛ	NOUN	dcs:716440	34	0
niṣ	niṣ	niḥ	ADP	dcs:646374	34	0
parijmā	parijmā	parijman	ADJ	dcs:636713	34	0
pūrvakām	pūrvakām	pūrvaka	ADJ	dcs:331292	34	0
tanuvaḥ	tanuva	tanū	NOUN	dcs:670210_1	34	0
yuktitaḥ	yuktita	yukti	NOUN	dcs:26819	34	0
ākhyau	ākhyau	ākhyā	NOUN	dcs:551800	34	0
ṣmā	ṣmā	sma	PART	dcs:641398	34	0
garīyān	garīyān	garīyas	ADJ	dcs:27291	33	0
japoḥ	japo	jap	NOUN	dcs:552338	33	0
mūlataḥ	mūlata	mūla	NOUN	dcs:29743	33	0
satra	satra	sattra	NOUN	dcs:651892	33	0
striyai	striyai	strī	NOUN	dcs:748894	33	0
amo	amo	ama	NOUN	dcs:651146	32	0
bhūyāṃsaḥ	bhūyānsa	bhūyas	ADJ	dcs:651187	32	0
mahima	mahima	mahiman	NOUN	dcs:89417	32	0
mīḍhva	mīḍhva	mīḍhvas	ADJ	dcs:651822	32	0
pratyayāni	pratyayāni	pratyaya	NOUN	dcs:642689	32	0
saṃbhārāṇi	sambhārāni	sambhāra	NOUN	dcs:642689	32	0
stanām	stanām	stana	NOUN	dcs:91745	32	0
vedasam	vedasam	vedas	NOUN	dcs:651953	32	0
vicārataḥ	vicārata	vicāra	NOUN	dcs:99051	32	0
yavīyān	yavīyān	yavīyas	ADJ	dcs:490303	32	0
āyudhau	āyudhau	āyudha	NOUN	dcs:647040	32	0
amṛtāsaḥ	amṛtāsa	amṛta	ADJ	dcs:647327_1	31	0
ekasmai	ekasmai	eka	NUM	dcs:749453	31	0
guṇāni	gunāni	guṇa	NOUN	dcs:180949	31	0
maghāni	maghāni	magha	NOUN	dcs:597018	31	0
mantrataḥ	mantrata	mantra	NOUN	dcs:645592	31	0
prasādataḥ	prasādata	prasāda	NOUN	dcs:98411	31	0
putrāsaḥ	putrāsa	putra	NOUN	dcs:687773	31	0
sāmbhiḥ	sāmbhi	sāman	NOUN	dcs:486233	31	0
uṣāsaḥ	uṣāsa	uṣas	NOUN	dcs:647526	31	0
dhiyām	dhiyām	dhī	NOUN	dcs:89172	30	0
ekaikasyāṃ	ekaikasyām	ekaika	PRON	dcs:642998	30	0
kanīyāṃsam	kanīyānsam	kanīyas	ADJ	dcs:651902_4	30	0
kṛtavarma	kṛtavarma	kṛtavarman	NOUN	dcs:577003	30	0
māno	māno	māna	NOUN	dcs:687540	30	0
mūtrāḥ	mūtrā	mūtra	NOUN	dcs:35520	30	0
paśvaḥ	paśva	paśu	NOUN	dcs:636711	30	0
puruspṛham	puruspṛham	puruspṛh	ADJ	dcs:592887	30	0
rom	rom	roman	NOUN	dcs:76372	30	0
svadhāvas	svadhāvas	svadhāvat	ADJ	dcs:647683	30	0
un	un	ud	ADP	dcs:651255	30	0
vyacasam	vyacasam	vyacas	NOUN	dcs:641669	30	0
ātmanau	ātmanau	ātman	NOUN	dcs:174310	30	0
pradhānataḥ	pradhānata	pradhāna	NOUN	dcs:519134	29	0
tamasas	tamasas	tamas	NOUN	dcs:647755	29	0
yathārhataḥ	yathārhata	yathārha	ADJ	dcs:40705	29	0
śirasta	śirasta	śiras	NOUN	dcs:435223	29	0
ayāsaḥ	ayāsa	ayās	ADJ	dcs:687713	28	0
aṃśukā	anśukā	aṃśuka	NOUN	dcs:38565	28	0
chandasam	chandasam	chandas	NOUN	dcs:651056	28	0
nidraḥ	nidra	nidrā	NOUN	dcs:484297	28	0
padoḥ	pado	pad	NOUN	dcs:648541_1	28	0
rādhasam	rādhasam	rādhas	NOUN	dcs:752987_2	28	0
udā	udā	uda	NOUN	dcs:440527	28	0
vājebhiḥ	vājebhi	vāja	NOUN	dcs:705724	28	0
vājāṁ	vājām	vāja	NOUN	dcs:652903	28	0
vīrāsaḥ	vīrāsa	vīra	NOUN	dcs:648704	28	0
śaṃbhuvā	śambhuvā	śambhu	ADJ	dcs:650440_1	28	0
śīrṣāṇam	śīrṣānam	śīrṣan	NOUN	dcs:484092	28	0
brāhmām	brāhmām	brāhma	ADJ	dcs:483839	27	0
dhīrāsaḥ	dhīrāsa	dhīra	ADJ	dcs:650537_1	27	0
dvitīyasyāṃ	dvitīyasyām	dvitīya	ADJ	dcs:464587	27	0
prem	prem	preman	NOUN	dcs:102903	27	0
rudrebhiḥ	rudrebhi	rudra	NOUN	dcs:648720	27	0
rāyas	rāyas	rai	NOUN	dcs:652055	27	0
upāyataḥ	upāyata	upāya	NOUN	dcs:521987	27	0
vidvasam	vidvasam	vidvas	ADJ	dcs:570620_1	27	0
ārto	ārto	ārta	ADJ	dcs:92424	27	0
adhiṣṭhānāḥ	adhiṣṭhānā	adhiṣṭhāna	NOUN	dcs:42685	26	0
akṣāyāḥ	akṣāyā	akṣa	ADJ	dcs:487768	26	0
aśram	aśram	asra	NOUN	dcs:520393	26	0
aṃśāni	anśāni	aṃśa	NOUN	dcs:33288	26	0
bastiḥ	basti	vasti	NOUN	dcs:549934	26	0
bhāñji	bhānji	bhāj	ADJ	dcs:581442	26	0
devatam	devatam	devatā	NOUN	dcs:727683	26	0
duṣvapnyam	duṣvapnyam	duḥṣvapnya	NOUN	dcs:646950_1	26	0
kasyām	kasyām	ka	PRON	dcs:527056	26	0
kiyān	kiyān	kiyat	ADJ	dcs:33970	26	0
lakṣmāṇam	lakṣmānam	lakṣman	NOUN	dcs:737320	26	0
maghavn	maghavn	maghavan	NOUN	dcs:473833_1	26	0
mūrcchāṃ	mūrcchām	mūrchā	NOUN	dcs:59130	26	0
nāsam	nāsam	nāsā	NOUN	dcs:484245	26	0
prajñācakṣūḥ	prajnācakṣū	prajñācakṣus	NOUN	dcs:575081	26	0
rākṣasām	rākṣasām	rākṣasa	NOUN	dcs:522219	26	0
spṛham	spṛham	spṛhā	NOUN	dcs:585009	26	0
āyatanā	āyatanā	āyatana	NOUN	dcs:748939	26	0
agruvaḥ	agruva	agru	ADJ	dcs:646609_1	25	0
dhenvaḥ	dhenva	dhenu	NOUN	dcs:466181	25	0
jyāyāṃsaṃ	jyāyānsam	jyāyas	ADJ	dcs:662425	25	0
patnayaḥ	patnaya	patnī	NOUN	dcs:672912	25	0
valagān	valagān	valaga	NOUN	dcs:675228	25	0
śubhas	śubhas	śubh	NOUN	dcs:636160	25	0
apāt	apāt	apa	NOUN	dcs:590436	24	1
aṣṭāpadī	aṣṭāpadī	aṣṭāpada	ADJ	dcs:687169	24	0
bodhisatvāḥ	bodhisatvā	bodhisattva	NOUN	dcs:365006	24	0
ekatamam	ekatamam	ekatama	ADJ	dcs:386339	24	0
haviṣam	haviṣam	havis	NOUN	dcs:687902	24	0
kuvit	kuvit	kuvid	PART	dcs:647454	24	0
nāmānaḥ	nāmāna	nāman	NOUN	dcs:650817	24	0
parvā	parvā	parvan	NOUN	dcs:640229	24	0
patrāḥ	patrā	pattra	NOUN	dcs:648866	24	0
peśasam	peśasam	peśas	NOUN	dcs:649688	24	0
pūjanām	pūjanām	pūjanī	NOUN	dcs:644096	24	0
sahasas	sahasas	sahas	NOUN	dcs:649527	24	0
satreṣu	satreṣu	sattra	NOUN	dcs:749568	24	0
stambho	stambho	stambha	NOUN	dcs:590504	24	0
udām	udām	uda	NOUN	dcs:197686	24	0
ukthebhiḥ	ukthebhi	uktha	NOUN	dcs:742765	24	0
vasanau	vasanau	vasana	NOUN	dcs:473812_1	24	0
vṛdham	vṛdham	vṛdh	ADJ	dcs:647549	24	0
yajani	yajani	yajana	ADJ	dcs:437397	24	0
ārttim	ārttim	ārti	NOUN	dcs:687908	24	0
āsthaḥ	āstha	āsthā	NOUN	dcs:477537	24	0
adevīḥ	adevī	adeva	ADJ	dcs:652590	23	1
anyonyasmin	anyonyasmin	anyonya	PRON	dcs:651214	23	0
bhūyasīm	bhūyasīm	bhūyas	ADJ	dcs:641772	23	0
pāma	pāma	pāman	NOUN	dcs:76278	23	0
