rank	root_iast	dcs_lemma	grammar_class	dcs_status	attested_count	coverage_pct	top_attested_forms
11	ah	ah	1	matched	9447	43.1545	āha:6731; āhuḥ:1800; āhur:704; āttha:103; āhus:52; āhatuḥ:28; āhuś:15; āhū:6; au1:1; āhatuś:1; āhatus:1; visratetyādi:1; styānatvarahitam:1; 'pravartanam:1; śukraśoṇitaśuddhyanantaraṃ:1
12	sthā	sthā	1	matched	9268	44.841	sthitaḥ:903; tiṣṭhati:877; sthitam:622; sthitā:462; tiṣṭha:449; tasthau:419; sthitāḥ:383; sthito:328; tiṣṭhanti:326; tiṣṭhan:313; sthitaṃ:285; sthitvā:275; sthite:245; tiṣṭhet:161; sthita:119
13	jan	jan	4	matched	9247	46.5236	jāyate:2346; jāta:663; jātaḥ:634; jajñe:515; jāyante:425; jāto:407; jātā:406; jātam:365; jātaṃ:298; ajāyata:287; jātāḥ:250; jāte:223; jajñire:167; ajījanat:114; jātasya:113
14	han	han	8	matched	8744	48.1147	hanti:1000; hatvā:917; hata:839; jaghāna:473; hataḥ:423; jahi:407; hate:371; hato:311; hataṃ:291; hanyāt:239; hatāḥ:230; hatam:200; ghnanti:175; hatā:173; hantuṃ:172
15	yaj	yaj	2	matched	6755	49.3439	yajamānaḥ:530; yajate:443; yajati:441; yajamāno:433; yajeta:385; yajamānasya:381; iṣṭvā:364; yajamāna:327; yaja:272; yajamānam:244; yajamānāya:236; yajamānaṃ:226; yajet:177; yajante:135; yajanti:127
16	hu	hu	3	matched	6418	50.5118	juhoti:2019; juhuyāt:853; hutvā:853; hutam:213; juhvati:182; juhuyād:180; juhomi:172; juhoty:159; huta:142; hutaṃ:116; hute:80; hūyate:77; ajuhot:77; hotavyam:63; juhāva:42
17	yuj	yuj	1	matched	5933	51.5914	yuktam:757; yuktaḥ:722; yuktaṃ:425; yuktā:336; yuktāḥ:289; yukto:286; yujyate:261; yukta:228; yuktena:219; yuktasya:135; yunakti:135; yuktāni:119; yojyaṃ:119; yukte:89; yuktaiḥ:82
18	yā	yā	2	matched	5649	52.6193	yāti:1175; yayau:970; yānti:671; yāhi:321; yayuḥ:263; yāte:126; yāmi:119; yātam:114; yāsyāmi:107; yātu:102; yātaḥ:93; yāto:81; yātaṃ:76; yāsyati:76; yāsi:72
19	1 pā / 2 pā / 3 pā	pā	1,2,3	homonym_shared	5393	53.6007	pibet:1035; pāhi:558; pītvā:420; pātu:284; piba:152; pibati:138; pibed:132; pītaṃ:132; pāta:130; pibanti:121; pīta:108; pītam:79; pāti:76; pibā:68; pāntu:67
20	jñā	jñā	4	matched	5041	54.518	jñātvā:995; jñeyā:308; jānāti:283; jñeyaṃ:258; jñeyaḥ:214; jñeyam:210; jānāmi:198; jāne:136; jñeyo:135; jānanti:128; jānan:123; jānāsi:97; jñāyate:88; jñātum:83; jānīyāt:79
21	1 iṣ / 2 iṣ / ich	iṣ	1,6	homonym_shared	4842	55.3991	icchāmi:805; icchasi:465; icchati:408; iṣyate:372; icchanti:237; icchet:202; iṣṭa:194; iṣṭam:170; icchatā:156; icchan:152; iṣṭaṃ:75; aicchat:70; iyeṣa:57; iṣṭā:53; iṣṭaḥ:52
22	1 paś / 2 paś	paś	4	homonym_shared	4732	56.2601	paśya:869; apaśyat:575; paśyāmi:395; paśyati:277; paśyet:223; apaśyan:177; paśyasi:175; paśyata:129; paśyan:122; apaśyaṃ:120; paśyanti:107; apaśyam:98; apaśyāma:96; apaśyad:79; 'paśyat:61
23	man	man	1	matched	4697	57.1148	manye:620; mataḥ:359; manyate:351; manyase:324; matvā:305; matam:290; matā:287; manyante:200; mene:197; manyeta:180; amanyata:130; matāḥ:119; menire:95; mato:77; maṃsyante:76
24	1 dhā / 2 dhā	dhā	1,4	homonym_shared	4694	57.969	dadhāti:914; dhatte:368; dhehi:354; dadhātu:171; dadhe:159; dhīmahi:120; dadhāmi:107; dadhire:95; dhatta:89; dadhati:78; hitam:77; dhattam:66; dhīyate:65; dhāḥ:61; adhatta:58
25	smṛ	smṛ	1	matched	4142	58.7227	smṛtaḥ:1133; smṛtam:708; smṛtāḥ:547; smṛtā:404; smṛtvā:148; smaran:131; smarāmi:88; sasmāra:84; smṛto:80; smaret:77; smṛtaṃ:67; smṛtau:62; smarati:59; smaranti:51; smara:43
26	1 ji / 2 ji	ji	9	homonym_shared	4082	59.4655	jita:719; jayati:459; jitvā:331; jayet:312; jaya:240; jetuṃ:121; jitam:103; ajayat:93; jitaḥ:84; jitā:79; jayanti:77; jitāḥ:68; jayema:59; jayatāṃ:58; jetum:54
27	car	car	1	matched	4027	60.1983	carati:618; caret:540; caranti:342; cacāra:247; caran:244; cara:109; cared:101; caritvā:89; cariṣyāmi:84; carāmi:83; carita:74; carataḥ:64; carantam:56; cariṣyati:53; carato:52
28	vad	vad	1	matched	3914	60.9105	vadanti:546; vada:381; vadati:308; uditam:251; vadet:237; avadat:218; vadāmi:147; vadatāṃ:141; vadasva:103; vadasi:96; avādīt:94; vadan:80; uditaḥ:76; vadantaḥ:76; uditā:50
29	muc	muc	6	matched	3850	61.6111	mucyate:442; mukta:358; muktvā:262; mumoca:237; muñcati:228; muktaḥ:208; muñca:131; mukto:120; muktā:97; muñcāmi:78; muktāḥ:73; mucyante:71; muñcatam:68; muktam:67; mucyeta:67
30	1 i / 2 i	i	5,9	homonym_shared	3673	62.2794	eti:1096; yanti:405; etu:211; ihi:154; āyan:150; yantu:129; iyāt:124; eṣyati:102; ita:65; ety:54; yanty:51; emi:44; eṣyasi:39; eṣi:39; ait:38
31	labh	labh	1	matched	3345	62.8881	labhate:684; labdha:401; labdhvā:391; labhet:276; lebhe:262; labhyate:132; labhante:112; labheta:97; labdhaṃ:82; labdham:59; lebhire:46; labdhā:42; labdhaḥ:35; labdhavān:35; lapsyase:33
32	1 pat / 2 pat	pat	1	homonym_shared	3123	63.4564	papāta:419; patati:237; patitaṃ:203; patanti:192; patitā:129; apatat:122; patita:109; patitaḥ:96; patito:96; patatāṃ:68; petur:65; patite:59; patitāḥ:57; petuḥ:54; pata:53
33	prach	pracch	1	aliased	2851	63.9752	papraccha:427; pṛṣṭaḥ:291; pṛṣṭo:250; pṛcchati:222; pṛcchāmi:135; apṛcchat:122; pṛṣṭvā:106; pṛṣṭā:91; papracchuḥ:60; pṛcchasi:53; pṛṣṭavān:52; pṛccha:51; pṛcchate:45; pṛcchataḥ:41; pṛcchanti:36
34	1 hṛ / 2 hṛ / har	hṛ	2,9	homonym_shared	2792	64.4832	harati:320; haret:314; hṛta:239; haranti:163; jahāra:145; hṛtvā:133; hṛtā:95; hṛtaṃ:79; hared:65; harate:62; hṛtam:59; harāmi:58; hṛte:52; hara:50; hriyate:46
35	sṛj	sṛj	2	matched	2749	64.9835	asṛjata:359; asṛjat:187; sasarja:177; sṛṣṭvā:140; sṛṣṭā:120; sṛja:113; sṛjate:79; sṛjati:77; sṛṣṭaḥ:70; sṛṣṭāḥ:69; sṛṣṭa:63; sṛṣṭam:61; sṛṣṭaṃ:55; sasṛje:47; asṛjyata:45
36	1 hā / 2 hā	hā	1,3	homonym_shared	2739	65.4819	hīna:394; hitvā:343; hīnaḥ:223; hīnam:209; hīyate:154; jahāti:117; hīnāḥ:95; hīnā:85; jahyāt:71; hīnaṃ:69; hīne:56; heya:46; jahau:44; hīnasya:43; hīnān:40
37	1 bhuj / 2 bhuj	bhuj	6	homonym_shared	2725	65.9777	bhuktvā:381; bhuñjīta:275; bhuṅkte:264; bhuñjate:124; bhukta:93; bhuktaṃ:81; bhuṅkṣva:77; bhujyate:66; bhuñjāno:63; bhuktam:59; bhogya:49; bhoktuṃ:48; bhoktum:47; bubhuje:42; bhoktavyaṃ:35
38	bandh	bandh	4	matched	2654	66.4607	baddhvā:532; baddha:483; baddhaḥ:219; baddham:138; badhnāti:134; badhyate:121; baddho:120; baddhaṃ:90; baddhā:87; badhnīyāt:63; babandha:53; baddhāḥ:51; badhāna:36; baddhe:36; baddhasya:36
39	1 mṛ / 2 mṛ	mṛ	4,9	homonym_shared	2615	66.9365	mṛta:478; mriyate:381; mṛtaṃ:353; mṛto:145; mṛte:127; mṛtaḥ:127; mṛtam:119; mṛtā:93; mṛtasya:80; mamāra:61; mriyante:59; mṛtāḥ:58; mriyeta:45; mṛtānāṃ:37; mṛtān:27
40	1 vas / 2 vas / 3 vas	vas	1,2,6	homonym_shared	2538	67.3984	vaset:213; vasati:209; vasanti:176; uvāsa:134; vasan:104; uṣitaḥ:85; uṣitvā:71; avasat:61; vasa:60; uṣitam:44; vased:42; uṣya:41; vasānaḥ:40; uṣitāḥ:37; vatsyāmi:36
41	vṛt	vṛt	3	matched	2479	67.8495	vartate:637; vartamāne:152; vartante:136; avartata:116; vṛttaṃ:105; vṛttam:96; varteta:84; vṛtte:62; vṛttaḥ:61; vartamānasya:59; vartamānaḥ:54; vartamāno:49; vartase:42; vartamānaṃ:37; vṛtta:35
42	kṣip	kṣip	6	matched	2461	68.2973	kṣipet:746; kṣiptvā:639; cikṣepa:216; kṣiptaṃ:95; kṣipan:62; kṣipta:49; kṣiptaḥ:43; kṣiptā:42; kṣipto:40; kṣiptam:37; kṣipati:36; kṣiped:26; akṣipat:21; kṣipte:20; kṣepyaṃ:20
43	tyaj	tyaj	3	matched	2417	68.7371	tyaktvā:685; tyajet:318; tyakta:222; tyaja:100; tyajati:81; tatyāja:65; tyajanti:65; tyaktum:48; tyajed:44; tyaktā:44; tyaktaṃ:37; tyaktuṃ:34; tyajāmi:33; tyakṣyāmi:27; tyajan:26
44	śudh	śudh	7	matched	2410	69.1756	śuddha:680; śuddhaṃ:356; śudhyati:246; śuddham:148; śuddhaḥ:135; śuddhā:85; śuddho:83; śudhyate:58; śudhyanti:55; śuddhe:50; śundhasva:46; śuddhāḥ:43; śuddhasya:41; śuddhena:37; śudhyet:28
45	arh	arh	1	matched	2380	69.6087	arhasi:1204; arhati:732; arhanti:108; arhatha:85; 'rhati:38; arhate:26; arhāmi:25; arhataḥ:24; arhase:16; arhan:12; arhaty:12; arhasy:11; 'rhasi:7; arhata:7; arhathaḥ:7
46	nī	nī	2	matched	2350	70.0363	nayet:180; nītvā:164; nayati:123; naya:121; nayanti:107; nītā:76; nināya:75; nīyate:73; anayat:69; nayāmi:60; nayatu:57; ninye:54; nīto:52; nītaḥ:52; netuṃ:31
47	āp	āp	1	matched	2314	70.4574	āpnoti:943; āpnuyāt:345; āptvā:119; āptam:76; āpa:69; āpnuhi:58; āpnuvanti:56; āpta:54; āpyate:40; āptavān:35; āpsyasi:28; āpnuvan:27; āpuḥ:26; āpnuyuḥ:25; āptaṃ:25
48	dah	dah	2	matched	2275	70.8714	dagdha:248; dahati:169; dahet:145; dagdhvā:126; dagdhaṃ:94; dagdhā:94; dadāha:94; dahyate:79; daha:72; dagdham:62; dagdhaḥ:51; dagdhāḥ:50; dahyamānā:39; dahed:37; adahat:35
49	jīv	jīv	1	matched	2222	71.2757	jīvati:445; jīvet:302; jīvan:158; jīvanti:152; jīvase:119; jīvitum:92; jīva:79; jīved:62; jīvāmi:49; jīvataḥ:45; jīvato:40; jīvat:34; jīvatu:32; jīvasi:31; jīvann:25
50	1 stu / 2 stu	stu	1	homonym_shared	2204	71.6768	stuvanti:191; stuvate:125; tuṣṭāva:107; stutvā:101; stuta:87; tuṣṭuvuḥ:79; tuṣṭuvānaḥ:79; stute:76; stutaḥ:65; stuto:57; astuvata:52; stuvīta:50; astuvan:42; stuhi:42; stūyamāno:40
51	pū	pū	1	matched	2162	72.0702	pavasva:217; pavate:205; pūtam:127; pūtaḥ:116; pūta:95; punāti:87; pavamāna:74; punātu:71; pūto:65; punantu:62; pūtā:53; pūtaṃ:50; pavamānaḥ:50; pavata:46; pūtāḥ:41
52	chid	chid	1	matched	2139	72.4594	cicheda:469; chinna:371; chittvā:318; chinnam:69; chinddhi:64; chinatti:60; chinnaṃ:50; chinnā:45; chinnaḥ:45; achinat:43; chinne:32; chindyāt:31; chidyate:29; chinnāḥ:29; chettum:29
53	1 vṛ / 2 vṛ	vṛ	1,5	homonym_shared	2083	72.8385	vṛtaḥ:445; vṛṇīṣva:137; vṛtam:137; vṛto:116; vavre:99; vṛṇīmahe:86; vṛṇīte:79; vṛtā:79; vṛtāḥ:62; vṛtaṃ:55; vṛṇe:47; avṛṇīta:37; vṛṇīta:32; vṛtām:30; vṛtvā:28
54	tap	tap	4	matched	2065	73.2142	tapta:233; tapati:223; taptaṃ:164; taptvā:133; tepe:109; taptam:94; 'tapyata:60; tapyate:58; taptāni:39; tapte:36; atapyata:32; tatāpa:31; tapanti:30; taptena:26; taptasya:24
55	pac	pac	1	matched	2058	73.5887	pacet:976; pacyāt:156; paktvā:131; pācyaṃ:104; pacyate:100; pacati:91; paced:55; pacyante:35; pacanti:31; apacat:22; pacyasva:22; paca:21; pācyam:21; pacyād:15; pacyata:10
56	bhid	bhid	3	matched	2047	73.9612	bhinna:434; bhittvā:294; bibheda:115; bhidyate:115; bhinnam:77; bhinnaṃ:74; bhinne:67; bhinnā:52; bhinnaḥ:43; bhinatti:43; bhinddhi:41; bhidyante:40; bhinnāḥ:33; bhidyeta:31; bhindyāt:27
57	1 sidh / 2 sidh	sidh	1,4	homonym_shared	2028	74.3302	siddham:389; siddhaṃ:302; sidhyati:218; siddha:208; siddhaḥ:131; sidhyanti:99; siddhā:87; siddhena:74; siddhe:69; siddho:59; siddhāḥ:49; siddhaiḥ:33; siddhasya:29; siddhāni:25; sidhyet:25
58	ās	ās	1,2,4	matched	1955	74.686	āste:455; āsate:171; āsīnaḥ:170; āsīnam:170; āsīta:146; āsīnaṃ:111; āsīno:61; āsata:61; āsta:39; āsyatām:30; āstāṃ:28; āstām:26; āsīnāya:25; āsīnā:24; āssva:23
59	śak	śak	4	matched	1952	75.0412	śakyate:221; śakto:160; śaktaḥ:140; śaknoti:126; śaśāka:82; śaknomi:62; śakṣyāmi:55; śekuḥ:54; aśakat:52; śakeyam:51; śaktā:49; śaktāḥ:49; aśaknuvan:47; aśaknot:43; śaknuyāt:40
60	1 aś / 2 aś	aś	1	homonym_shared	1948	75.3956	aśnute:374; aśnīyāt:258; aśnāti:192; aśīya:105; aśnanti:76; aśnan:52; aśita:37; aśnīyād:34; aśyāma:30; āśata:29; ānaśe:25; aśīmahi:24; ānaśuḥ:22; 'śnute:21; aṣṭu:21
61	rakṣ	rakṣ	4	matched	1929	75.7467	rakṣa:139; rakṣati:131; rakṣatu:109; rakṣanti:76; rakṣet:75; rakṣitam:71; rakṣan:65; rakṣasva:53; rakṣitā:50; rakṣitaḥ:45; rakṣyate:44; rakṣitāḥ:44; rakṣed:39; rakṣantu:39; rakṣituṃ:36
62	1 gā / 2 gā	gā	2,4	homonym_shared	1911	76.0944	gāyati:211; agāt:185; gāyet:116; gīyate:86; gāyanti:83; jaguḥ:69; jagau:61; gāyata:57; gāya:46; agād:41; jigāti:37; geyam:32; gītaṃ:30; agām:29; gāyan:29
63	vah / vāh	vah	2	homonym_shared	1845	76.4301	vahanti:208; vahati:200; vaha:199; vahantu:71; vahet:53; vahan:45; uvāha:40; vahate:31; vakṣi:30; vahata:26; avahan:25; vahasi:24; voḍhuṃ:24; voḍhum:24; avahat:24
64	bhṛ	bhṛ	1	matched	1822	76.7617	bibharti:261; bhara:172; bibhrat:74; bibhrad:65; bibhratī:52; bibhṛyāt:41; bibharṣi:37; babhāra:37; bibhrataḥ:36; bibhrati:34; bhṛtam:30; bhṛta:25; bharā:24; bibhran:24; bhare:22
65	śaṃs	śaṃs	2	matched	1785	77.0865	śaṃsati:339; śasyate:222; śaśaṃsa:96; śaṃsanti:92; śaṃsa:90; śastaṃ:58; śastvā:55; śaṃsaty:47; śasyante:47; śaṃsed:46; śastam:46; śaṃset:40; śastaḥ:35; śasta:32; śastā:25
66	prī	prī	9	matched	1770	77.4086	prītaḥ:337; prīṇāti:313; prīto:234; prīta:153; prītā:104; prītāḥ:77; prītena:44; prīyatām:32; prītau:31; prīyate:25; prīyatāṃ:25; prīyante:20; prīṇātu:20; prīyamāṇo:19; prīṇāmi:18
67	jap	jap	4	matched	1702	77.7183	japet:470; japati:394; japtvā:124; japitvā:112; japan:104; japed:91; japen:41; jajāpa:37; japatāṃ:33; japanti:31; japaty:23; japann:17; japtaṃ:15; japataḥ:13; japtavyaṃ:9
68	krudh	krudh	4	matched	1659	78.0202	kruddho:448; kruddhaḥ:404; kruddhā:102; kruddhaṃ:83; kruddhasya:81; kruddha:70; kruddhāḥ:55; kruddhena:49; cukrodha:39; kruddhau:35; kruddham:34; kruddhe:29; kruddhān:20; kruddhas:17; krudhaḥ:16
69	snā	snā	4	matched	1648	78.32	snātvā:899; snātaḥ:111; snāyāt:77; snāto:59; snāta:52; snāti:49; snātā:41; snātāḥ:33; snātam:30; snāyād:26; snātasya:24; snātuṃ:22; snātām:20; snātaṃ:16; snātum:13
70	vyadh	vyadh	4	matched	1636	78.6177	vivyādha:511; viddhvā:225; viddhaḥ:85; vidhyati:83; avidhyat:68; viddho:65; vidhyet:53; viddha:41; viddhā:40; viddhaṃ:35; vidhya:34; viddham:34; viddhasya:30; avidhyad:29; vivyadhuḥ:20
71	vṛdh	vṛdh	6	matched	1619	78.9123	vardhate:276; vavṛdhe:78; vṛddham:70; vṛddha:60; vāvṛdhe:51; avardhata:48; vardhante:47; vardhasva:45; vṛdhe:45; vṛddhaḥ:39; vṛddhāḥ:27; vardhanti:26; vāvṛdhānaḥ:24; vardhatāṃ:23; vṛddhaiḥ:21
72	ram	ram	4	matched	1553	79.1949	rataḥ:328; ramate:179; ratāḥ:169; reme:78; ramante:55; ratam:53; ratā:52; ramasva:38; ramadhvam:27; remire:22; ramamāṇasya:21; ratān:20; rame:19; ratasya:18; rata:17
73	bhāṣ	bhāṣ	1	matched	1532	79.4737	abhāṣata:488; bhāṣitam:151; babhāṣe:150; bhāṣate:147; bhāṣase:60; bhāṣante:53; bhāṣitaṃ:42; abhāṣanta:30; bhāṣitum:24; bhāṣitaḥ:21; bhāṣeta:21; bhāṣitā:20; bhāṣiṣye:17; bhāṣamāṇasya:17; bhāṣamāṇaṃ:14
74	1 pṛ / 2 pṛ / 3 pṛ	pṛ	1,5	homonym_shared	1512	79.7488	pūrṇa:333; pūrṇe:134; pūrṇam:132; pūrṇaṃ:107; pūrṇā:95; pūrṇaḥ:61; pūrṇām:44; pūrṇāṃ:38; pūrṇāḥ:31; pūrṇāni:26; parṣad:22; pūrṇena:20; pūrṇo:20; pūrṇayā:20; pṛṇīhi:16
75	1 naś / 2 naś	naś	1	homonym_shared	1418	80.0069	naṣṭa:296; naśyati:204; naṣṭe:112; naśyanti:106; naṣṭaṃ:78; naśyate:43; naṣṭam:41; naṣṭā:39; naśyet:31; naṣṭāḥ:24; naṣṭaḥ:22; ānaṭ:20; naṣṭeṣu:17; naśyed:16; anīnaśat:14
76	1 jṛ / 2 jṛ	jṛ	1,6	homonym_shared	1414	80.2642	jīrṇe:340; jīrṇa:214; jīryati:87; jīrṇaḥ:87; jīrṇam:82; jīrṇaṃ:73; jīryate:72; jīrṇasya:52; jarat:45; jarati:33; jīrṇo:25; jīryataḥ:21; jīryanti:20; jāryaṃ:19; jīrṇā:18
77	bhī	bhī	1	matched	1384	80.516	bhītā:138; bhītaḥ:131; bhīta:107; bhītāḥ:88; bhīto:84; bibheti:50; bibhemi:47; bhetavyaṃ:39; bibhyati:31; abibhayuḥ:29; abibhet:28; bhaiḥ:27; bhītasya:24; bhītaṃ:24; bhaiṣṭa:22
78	dviṣ	dviṣ	1	matched	1343	80.7604	dveṣṭi:296; dviṣmaḥ:96; dviṣatāṃ:94; dviṣato:76; dviṣantaṃ:73; dviṣyāt:69; dviṣat:49; dviṣataḥ:43; dviṣmas:42; dviṣan:40; dviṣantam:39; dviṣma:39; dviṣmo:35; dviṣatām:29; dviṣate:28
79	sev	sev	4	matched	1328	81.0021	seveta:185; sevitam:154; sevate:87; sevitaḥ:77; sevyaṃ:71; sevitaṃ:67; sevite:39; sevitām:37; sevitā:35; sevyate:34; sevyā:31; siṣeve:27; sevante:24; sevyamāno:24; sevyaḥ:22
80	yudh	yudh	2	matched	1267	81.2326	yudhyasva:96; yoddhum:73; yoddhuṃ:52; yuyudhe:52; yudhyamānasya:47; yotsye:46; yudhyamānaṃ:31; yudhyate:28; yudhyataḥ:28; yuyudhāte:27; yudhyante:27; yudhyeta:27; ayudhyata:26; yudhyatāṃ:25; ayudhyanta:24
81	vadh	vadh	4	matched	1236	81.4575	vadhyaḥ:144; avadhīt:113; vadhyamānā:69; vadhyamānāḥ:61; vadhya:59; vadhyāḥ:48; vadhyo:42; vadhyate:33; vadhyam:31; vadhiṣyāmi:31; vadhyamānaṃ:30; vadhiṣyati:27; vadhīḥ:25; avadhīḥ:23; vadhyā:22
82	dhṛ	dhṛ	4	matched	1229	81.6812	dhṛta:262; dādhāra:111; dhṛtvā:106; dhṛtaḥ:74; dadhāra:68; dhṛtā:62; dhṛtam:62; dhṛtaṃ:45; dhṛto:40; dadhre:29; dhriyate:28; dhṛte:18; dhriyamāṇena:15; dhriyante:14; dhriyatām:13
83	juṣ	juṣ	6	matched	1226	81.9043	juṣṭaṃ:191; juṣasva:176; juṣṭam:151; juṣāṇā:48; juṣāṇo:46; juṣṭā:34; juṣṭām:30; juṣṭaḥ:29; juṣṭo:29; juṣanta:29; juṣantām:26; juṣāṇaḥ:25; juṣantāṃ:21; juṣatām:21; juṣṭāṃ:19
84	vraj	vraj	1	matched	1202	82.123	vrajet:465; vraja:127; vrajati:105; vrajanti:91; vrajan:74; vrajāmi:57; vrajed:24; vrajantaṃ:19; vrajataḥ:14; vrajaty:13; vrajanty:11; vrajata:11; vrajann:10; vrajantam:9; vrajato:9
85	1 kṣi / 2 kṣi	kṣi	4	homonym_shared	1181	82.3379	kṣīṇa:347; kṣīṇe:105; kṣīyate:95; kṣīyante:40; kṣīṇaḥ:39; kṣīṇaṃ:36; kṣīṇasya:34; kṣīṇā:33; kṣeti:25; kṣiṇoti:21; kṣeṣṭhā:18; kṣīṇam:17; kṣitam:16; kṣitaḥ:15; kṣīṇāḥ:15
86	bhaj	bhaj	1	matched	1164	82.5497	bhajet:130; bhajate:120; bheje:89; bhaja:83; bhajasva:81; bhajante:61; bhejire:53; bhajeta:43; bhajati:35; bhajanti:28; bhakṣīya:28; bhaje:16; bhaktam:16; bhajatāṃ:14; bhajed:13
87	dhyā	dhyā	3	matched	1164	82.7615	dhyātvā:258; dhyāyet:154; dhyāyan:110; dhyāyati:73; dadhyau:50; dhyāyanti:36; dhyeyaḥ:28; dhyāyed:27; dhyāyate:24; dhyeya:20; dhyāyann:19; dhyāta:18; dhyāyataḥ:15; dhyeyaṃ:14; dhyāyanto:13
88	dham	dham	1	matched	1162	82.9729	dhamet:361; dhmātaṃ:225; dhaman:50; dhmātaḥ:45; dhmātvā:45; dhmātam:40; dhāmyaṃ:39; dhmāte:36; dhamed:34; dhmāto:27; dhmātā:22; dadhmau:21; dadhmuḥ:19; dhmātāḥ:17; dhāmyam:16
89	dīp	dīp	4	matched	1162	83.1844	dīpta:393; dīptaṃ:96; dīptam:68; dīpyate:66; dīpyamānaṃ:39; dīptāṃ:35; dīpte:32; dīptaḥ:30; dīptā:29; dīptaiḥ:28; dīptena:24; dīpyamānā:21; dīpto:20; dīpyamānam:20; dīptām:17
90	1 śam / 2 śam / 3 śam	śam	9	homonym_shared	1159	83.3953	śānta:245; śāmyati:101; śāntaḥ:98; śāntaṃ:81; śāntā:74; śāntam:68; śānto:55; śāntāḥ:51; śāntāya:43; śānte:38; śāmyanti:32; śāmyet:11; śāntena:9; śāmya:9; śāntaiḥ:8
91	hṛṣ	hṛṣ	1	matched	1147	83.604	hṛṣṭa:291; hṛṣṭaḥ:176; hṛṣṭā:123; hṛṣṭāḥ:108; hṛṣṭo:103; hṛṣyati:33; hṛṣyanti:21; jaharṣa:20; hṛṣṭau:16; hṛṣṭaṃ:14; hṛṣṭena:12; hṛṣyet:12; hṛṣṭam:11; hṛṣṭānāṃ:10; hṛṣṭaiḥ:10
92	budh	budh	1	matched	1118	83.8074	buddhvā:278; budhyate:77; boddhavyam:50; bubudhe:50; budhyase:32; boddhavyaṃ:31; budhyeta:27; budhyasva:26; bodhyam:23; bodhyaḥ:23; buddha:22; abudhyata:22; budhyante:20; buddhaḥ:17; abodhi:16
93	1 śī / 2 śī	śī	4	homonym_shared	1116	84.0105	śete:271; śayānaṃ:124; śayīta:113; śerate:65; śayānam:41; śeṣe:40; śaye:39; śayānaḥ:35; śayāno:28; śayānasya:24; śiśye:23; śayitā:16; śayānau:13; śayānān:13; śayānāṃ:11
