root	preverb	sense	gita_count	prefixus_forms	prefixus_sample_form	class_freqs	sources
abhimarṣay						10:1	classfreq
abhimih						1:1	classfreq
abhimlā						4:1	classfreq
abhimohay						10:1	classfreq
abhimuc						6:2	classfreq
abhimuh						4:1	classfreq
abhimukhībhū						1:10	classfreq
abhimukhīkṛ						8:1	classfreq
abhimānay						10:2	classfreq
abhimūrch						1:7	classfreq
abhimṛ						1:3	classfreq
abhimṛd						9:1	classfreq
abhimṛś						6:67	classfreq
abhinad						1:6	classfreq
abhinah						4:2	classfreq
abhinakṣ						1:3	classfreq
abhinam						1:3	classfreq
abhinand						1:333	classfreq
abhinanday						10:9	classfreq
abhinard						1:8	classfreq
abhinarday						10:1	classfreq
abhinidhyai						4:1	classfreq
abhinidhā						3:8	classfreq
abhinihan						4:10	classfreq
abhinikūj						1:1	classfreq
abhinimruc						1:3	classfreq
abhinind						1:2	classfreq
abhinipad						4:1	classfreq
abhinipat						1:2	classfreq
abhinipīḍay						10:6	classfreq
abhiniras						4:1	classfreq
abhinirbharts						1:1	classfreq
abhinirbhid						7:3	classfreq
abhinirdiś						6:15	classfreq
abhinirgam						1:4	classfreq
abhinirhṛ						2:12	classfreq
abhinirji						2:9	classfreq
abhinirmi						5:1	classfreq
abhinirmuc						6:5	classfreq
abhinirmā						3:27	classfreq
abhinirvad						1:1	classfreq
abhinirvap						1:2	classfreq
abhinirvartay						10:33	classfreq
abhinirvṛt						1:62	classfreq
abhiniryā						2:23	classfreq
abhinirīkṣ						4:2	classfreq
abhinirṇud						6:1	classfreq
abhinisṛ						3:1	classfreq
abhinivartay						10:1	classfreq
abhiniveday						10:1	classfreq
abhiniveśay						10:5	classfreq
abhiniviś						6:59	classfreq
abhinivāsay						10:1	classfreq
abhinivṛt						1:5	classfreq
abhiniyojay						10:1	classfreq
abhiniḥsṛ						1:13	classfreq
abhiniḥśvas						2:4	classfreq
abhiniṣad						1:3	classfreq
abhiniṣañj						1:1	classfreq
abhiniṣic						6:2	classfreq
abhiniṣkram						1:55	classfreq
abhiniṣkrāmay						10:1	classfreq
abhiniṣkṛ						8:1	classfreq
abhiniṣpad						4:11	classfreq
abhiniṣpat						1:3	classfreq
abhiniṣpū						9:1	classfreq
abhinoday						10:1	classfreq
abhinud						6:1	classfreq
abhinyas						4:2	classfreq
abhināday						10:8	classfreq
abhinī						1:31	classfreq
abhipac						1:1	classfreq
abhipad						4:173	classfreq
abhipariglā						4:1	classfreq
abhipariplu						1:23	classfreq
abhiparistṛ						9:1	classfreq
abhiparivāray						10:1	classfreq
abhipariṣkṛ						8:1	classfreq
abhipariṣvañj						1:1	classfreq
abhiparyukṣ						6:1	classfreq
abhiparyāsic						6:2	classfreq
abhiparyāvṛt						1:1	classfreq
abhiparī						2:17	classfreq
abhipat						1:174	classfreq
abhipaś						4:11	classfreq
abhipaṭh						1:2	classfreq
abhipiṣ						7:1	classfreq
abhiplu						1:29	classfreq
abhiplāvay						10:3	classfreq
abhipracakṣ						2:1	classfreq
abhiprach						6:7	classfreq
abhipracoday						10:7	classfreq
abhipradhāv						1:1	classfreq
abhipradūṣay						10:1	classfreq
abhipradṛ						2:1	classfreq
abhipragrah						9:1	classfreq
abhiprahan						2:2	classfreq
abhiprahi						5:1	classfreq
abhiprajan						4:2	classfreq
abhiprajval						1:2	classfreq
abhiprajñā						9:1	classfreq
abhiprakamp						1:1	classfreq
abhiprakram						1:3	classfreq
abhiprakṛ						6:4	classfreq
abhipralamb						1:6	classfreq
abhipralambay						10:1	classfreq
abhipraman						8:1	classfreq
abhipramand						1:1	classfreq
abhipramanthay						10:1	classfreq
abhipranṛt						4:1	classfreq
abhiprapac						1:1	classfreq
abhiprapad						4:19	classfreq
abhiprapīḍay						10:2	classfreq
abhiprapūjay						10:1	classfreq
abhiprapūray						10:1	classfreq
abhipraruh						1:1	classfreq
abhiprasad						1:40	classfreq
abhiprasah						1:1	classfreq
abhiprasthā						1:6	classfreq
abhiprasthāpay						10:3	classfreq
abhiprasvap						2:1	classfreq
abhiprasāday						10:36	classfreq
abhiprasāray						10:6	classfreq
abhiprasū						2:1	classfreq
abhipratan						8:1	classfreq
abhipratap						4:3	classfreq
abhipratarpay						10:1	classfreq
abhiprathay						10:1	classfreq
abhipratipad						4:4	classfreq
abhipratipāday						10:1	classfreq
abhipratī						2:2	classfreq
abhipravardhay						10:5	classfreq
abhipravartay						10:2	classfreq
abhipraviś						6:1	classfreq
abhipravraj						1:3	classfreq
abhipravāday						10:1	classfreq
abhipravṛdh						1:6	classfreq
abhipravṛt						1:13	classfreq
abhipravṛṣ						1:8	classfreq
abhiprayā						2:13	classfreq
abhipraśaṁs						1:10	classfreq
abhipraśodhay						10:1	classfreq
abhipraśāmay						10:1	classfreq
abhipraṇam						1:21	classfreq
abhipraṇud						6:1	classfreq
abhipre						2:146	classfreq
abhiprekṣ						1:82	classfreq
abhipreray						10:2	classfreq
abhipreṣay						10:1	classfreq
abhiprāp						5:2	classfreq
abhiprāṇ						1:5	classfreq
abhiprīṇay						10:2	classfreq
abhipuṣ						9:1	classfreq
abhipā						2:7	classfreq
abhipālay						10:15	classfreq
abhipātay						10:7	classfreq
abhipīḍay						10:40	classfreq
abhipūjay						10:191	classfreq
abhipūray						10:13	classfreq
abhipṛ						9:6	classfreq
abhirakṣ						1:139	classfreq
abhiram						1:93	classfreq
abhiramay						10:5	classfreq
abhirañj						4:6	classfreq
abhirañjay						10:2	classfreq
abhiribh						1:1	classfreq
abhiriṣ						6:1	classfreq
abhirocay						10:12	classfreq
abhiropay						10:3	classfreq
abhiru						2:15	classfreq
abhiruc						1:9	classfreq
abhirud						6:1	classfreq
abhirudh						7:1	classfreq
abhiruh						6:42	classfreq
abhirādhay						10:2	classfreq
abhirāj						1:2	classfreq
abhirāmay						10:2	classfreq
abhisamas						4:2	classfreq
abhisambandh						9:15	classfreq
abhisambhū						1:13	classfreq
abhisame						2:6	classfreq
abhisami						2:6	classfreq
abhisamindh						1:3	classfreq
abhisamman						4:2	classfreq
abhisampad						4:14	classfreq
abhisampat						1:4	classfreq
abhisamplu						1:4	classfreq
abhisamprapad						4:1	classfreq
abhisampravartay						10:1	classfreq
abhisamprayā						2:1	classfreq
abhisamprekṣ						1:16	classfreq
abhisamprāp						5:5	classfreq
abhisampūjay						10:10	classfreq
abhisamubj						6:1	classfreq
abhisamujh						6:1	classfreq
abhisamādhā						3:1	classfreq
abhisamāgam						1:3	classfreq
abhisamāhṛ						1:1	classfreq
abhisamāsic						6:1	classfreq
abhisamāsāday						10:1	classfreq
abhisamāvṛt						1:6	classfreq
abhisamāyā						2:1	classfreq
abhisamīkṣ						1:53	classfreq
abhisamīray						10:5	classfreq
abhisamūh						1:1	classfreq
abhisarjay						10:1	classfreq
abhisatkṛ						8:12	classfreq
abhisaṁbhañj						7:1	classfreq
abhisaṁbhṛ						3:1	classfreq
abhisaṁbudh						4:101	classfreq
abhisaṁcar						1:1	classfreq
abhisaṁchad						1:1	classfreq
abhisaṁcintay						10:1	classfreq
abhisaṁdarśay						10:1	classfreq
abhisaṁdhā						3:67	classfreq
abhisaṁdih						6:1	classfreq
abhisaṁgam						1:7	classfreq
abhisaṁgrah						9:2	classfreq
abhisaṁgup						1:2	classfreq
abhisaṁhan						2:2	classfreq
abhisaṁhṛṣ						4:1	classfreq
abhisaṁjvar						1:1	classfreq
abhisaṁkhyā						2:1	classfreq
abhisaṁkram						6:6	classfreq
abhisaṁkrudh						4:14	classfreq
abhisaṁkruś						1:1	classfreq
abhisaṁkṛ						6:1	classfreq
abhisaṁkṣip						6:13	classfreq
abhisaṁmad						4:1	classfreq
abhisaṁmuh						4:1	classfreq
abhisaṁnah						4:1	classfreq
abhisaṁnam						1:2	classfreq
abhisaṁnī						1:1	classfreq
abhisaṁprasthā						1:11	classfreq
abhisaṁpāday						10:3	classfreq
abhisaṁrabh						1:9	classfreq
abhisaṁrañj						6:1	classfreq
abhisaṁrudh						7:1	classfreq
abhisaṁskṛ						8:25	classfreq
abhisaṁsmṛ						1:1	classfreq
abhisaṁspṛś						6:1	classfreq
abhisaṁstambh						9:1	classfreq
abhisaṁsthā						1:1	classfreq
abhisaṁsthāpay						10:2	classfreq
abhisaṁstu						2:2	classfreq
abhisaṁsvañj						1:1	classfreq
abhisaṁsīv						4:1	classfreq
abhisaṁsṛj						6:1	classfreq
abhisaṁtan						8:2	classfreq
abhisaṁtap						1:53	classfreq
abhisaṁtras						4:1	classfreq
abhisaṁtyaj						1:3	classfreq
abhisaṁtṛ						1:1	classfreq
abhisaṁvas						2:1	classfreq
abhisaṁveṣṭ						1:1	classfreq
abhisaṁviś						6:17	classfreq
abhisaṁvyadh						4:1	classfreq
abhisaṁvṛ						5:66	classfreq
abhisaṁvṛdh						1:2	classfreq
abhisaṁyam						1:2	classfreq
abhisaṁyat						1:1	classfreq
abhisaṁyuj						7:6	classfreq
abhisaṁyā						2:1	classfreq
abhisaṁśliṣ						4:2	classfreq
abhisaṁśri						1:15	classfreq
abhisev						1:3	classfreq
abhisidh						4:7	classfreq
abhiskand						1:1	classfreq
abhismi						1:1	classfreq
abhispṛś						6:5	classfreq
abhisru						1:2	classfreq
abhistṛ						5:1	classfreq
abhisvar						1:2	classfreq
abhisāray						10:3	classfreq
abhisṛ						3:47	classfreq
abhisṛj						6:12	classfreq
abhisṛp						1:6	classfreq
abhitap						4:137	classfreq
abhitarjay						10:4	classfreq
abhitarpay						10:3	classfreq
abhitoṣay						10:1	classfreq
abhitsar						1:1	classfreq
abhitud						6:2	classfreq
abhituṣ						4:3	classfreq
abhitvar						1:8	classfreq
abhitvaray						10:1	classfreq
abhityaj						1:2	classfreq
abhitāpay						10:9	classfreq
abhitāḍay						10:19	classfreq
abhitṛ						1:1	classfreq
abhitṛd						7:4	classfreq
abhitṛp						4:3	classfreq
abhivac						3:34	classfreq
abhivad						1:144	classfreq
abhivadh						1:1	classfreq
abhivah						1:13	classfreq
abhivalg						1:2	classfreq
abhivan						8:2	classfreq
abhivand						1:59	classfreq
abhivanday						10:1	classfreq
abhivap						1:2	classfreq
abhivardhay						10:32	classfreq
abhivarjay						10:2	classfreq
abhivartay						10:3	classfreq
abhivarṣay						10:3	classfreq
abhiveday						10:2	classfreq
abhiveśay						10:1	classfreq
abhiveṣṭay						10:12	classfreq
abhivibhaj						1:1	classfreq
abhivicar						1:1	classfreq
abhivicintay						10:1	classfreq
abhivid						6:4	classfreq
abhividru						1:2	classfreq
abhividīpay						10:2	classfreq
abhividṛ						4:1	classfreq
abhivigāh						1:1	classfreq
abhivihā						3:1	classfreq
abhivihṛ						1:1	classfreq
abhivijval						1:1	classfreq
abhivijñapay						10:1	classfreq
abhivijñā						9:2	classfreq
abhivikhyā						2:26	classfreq
abhivikṣip						6:1	classfreq
abhivilī						10:1	classfreq
abhivimarday						10:1	classfreq
abhiviniḥsṛ						3:1	classfreq
abhivinoday						10:1	classfreq
abhivinyas						4:1	classfreq
abhivinī						1:14	classfreq
abhiviruc						1:3	classfreq
abhivirāj						1:14	classfreq
abhivistṛ						9:1	classfreq
abhivisṛj						6:5	classfreq
abhivivas						6:1	classfreq
abhiviś						6:3	classfreq
abhiviśram						4:2	classfreq
abhiviśru						5:17	classfreq
abhiviśvas						2:3	classfreq
abhiviśvāsay						10:2	classfreq
abhiviśṛ						9:1	classfreq
abhiviṣañj						1:1	classfreq
abhiviṣyand						1:1	classfreq
abhivlag						1:2	classfreq
abhivraj						1:8	classfreq
abhivyadh						4:24	classfreq
abhivyañj						7:63	classfreq
abhivyañjay						10:2	classfreq
abhivyādā						3:1	classfreq
abhivyāhāray						10:2	classfreq
abhivyāhṛ						1:20	classfreq
abhivyākhyā						4:2	classfreq
abhivyāp						5:7	classfreq
abhivā						2:5	classfreq
abhivāday						10:450	classfreq
abhivāray						10:11	classfreq
abhivāñch						1:28	classfreq
abhivāś						4:2	classfreq
abhivī						2:1	classfreq
abhivījay						10:1	classfreq
abhivīkṣ						1:81	classfreq
abhivṛ						5:12|9:6	classfreq
abhivṛdh						1:57	classfreq
abhivṛt						1:218	classfreq
abhivṛṣ						1:128	classfreq
abhiyaj						1:7	classfreq
abhiyam						6:1	classfreq
abhiyojay						10:7	classfreq
abhiyudh						4:5	classfreq
abhiyuj						7:160	classfreq
abhiyā						2:260	classfreq
abhiyāc						1:19	classfreq
abhiśap						1:16	classfreq
abhiśaṁs						1:60	classfreq
abhiśaṅk						1:11	classfreq
abhiścotay						10:1	classfreq
abhiśikṣay						10:1	classfreq
abhiśobhay						10:4	classfreq
abhiśodhay						10:1	classfreq
abhiśraddhā						3:47	classfreq
abhiśram						4:18	classfreq
abhiśri						1:1	classfreq
abhiśru						5:6	classfreq
abhiśrāvay						10:1	classfreq
abhiśrī						9:1	classfreq
abhiśubh						1:2	classfreq
abhiśuc						1:2	classfreq
abhiśvas						2:1	classfreq
abhiśāpay						10:2	classfreq
abhiśās						2:2	classfreq
abhiṣah						1:1	classfreq
abhiṣan						8:1	classfreq
abhiṣañj						1:11	classfreq
abhiṣecay						10:83	classfreq
abhiṣekay						10:6	classfreq
abhiṣic						4:479	classfreq
abhiṣidh						1:2	classfreq
abhiṣu						5:29	classfreq
abhiṣvaj						1:3	classfreq
abhiṣyand						1:8	classfreq
abhiṣyanday						10:2	classfreq
abhiṣū						4:3	classfreq
abhiṣūday						10:2	classfreq
abhiṣṭan						1:3	classfreq
abhiṣṭhā						1:11	classfreq
abhiṣṭu						5:100	classfreq
abhyah						1:2	classfreq
abhyaj						1:1	classfreq
abhyalaṁkṛ						8:2	classfreq
abhyan						2:3	classfreq
abhyantarīkṛ						8:3	classfreq
abhyanugam						1:1	classfreq
abhyanujñā						9:182	classfreq
abhyanujñāpay						10:11	classfreq
abhyanuman						8:1	classfreq
abhyanumoday						10:1	classfreq
abhyanunī						1:1	classfreq
abhyanuvac						3:6	classfreq
abhyanuvartay						10:1	classfreq
abhyanuveṣṭ						1:1	classfreq
abhyanuśās						2:1	classfreq
abhyapakram						1:1	classfreq
abhyapān						1:2	classfreq
abhyarc						1:190	classfreq
abhyarcay						10:87	classfreq
abhyarday						10:22	classfreq
abhyarh						1:2	classfreq
abhyas						1:256|2:1	classfreq
abhyatidru						1:2	classfreq
abhyatihṛ						2:1	classfreq
abhyatikram						1:18	classfreq
abhyatiric						7:5	classfreq
abhyatisṛj						6:7	classfreq
abhyativad						1:4	classfreq
abhyativṛt						1:1	classfreq
abhyatyṛj						1:1	classfreq
abhyatī						2:14	classfreq
abhyavacāray						10:1	classfreq
abhyavadah						1:1	classfreq
abhyavadhā						3:1	classfreq
abhyavagāh						1:1	classfreq
abhyavahāray						10:5	classfreq
abhyavahṛ						1:43	classfreq
abhyavakṛ						6:20	classfreq
abhyavaman						4:2	classfreq
abhyavanij						3:7	classfreq
abhyavanāmay						10:1	classfreq
abhyavanī						1:1	classfreq
abhyavapad						4:15	classfreq
abhyavapat						1:3	classfreq
abhyavaskand						1:3	classfreq
abhyavasṛ						3:1	classfreq
abhyavasṛj						6:4	classfreq
abhyave						2:4	classfreq
abhyavekṣ						4:7	classfreq
abhyañj						7:188	classfreq
abhyañjay						10:2	classfreq
abhyaś						5:3	classfreq
abhye						2:240	classfreq
abhyucchri						1:9	classfreq
abhyudavasā						6:2	classfreq
abhyuddhṛ						1:20	classfreq
abhyudgam						1:47	classfreq
abhyudgṛ						9:1	classfreq
abhyudi						2:70	classfreq
abhyudyam						1:46	classfreq
abhyudyā						2:13	classfreq
abhyudānī						1:1	classfreq
abhyudīkṣ						1:7	classfreq
abhyudīr						2:4	classfreq
abhyudīray						10:2	classfreq
abhyujjīv						1:2	classfreq
abhyukṣ						6:68	classfreq
abhyukṣay						10:3	classfreq
abhyullas						1:1	classfreq
abhyund						7:5	classfreq
abhyunnam						1:5	classfreq
abhyunnamay						10:3	classfreq
abhyunnī						1:1	classfreq
abhyupadhāv						1:1	classfreq
abhyupadiś						6:1	classfreq
abhyupagam						1:72	classfreq
abhyupagamay						10:2	classfreq
abhyupapad						4:8	classfreq
abhyupasthā						1:3	classfreq
abhyupaviś						6:1	classfreq
abhyupayā						2:5	classfreq
abhyupaśam						4:1	classfreq
abhyupe						2:155	classfreq
abhyupekṣ						1:3	classfreq
abhyupāgam						1:11	classfreq
abhyupāhṛ						1:2	classfreq
abhyupākṛ						8:1	classfreq
abhyupās						4:1	classfreq
abhyupāvṛt						1:1	classfreq
abhyupāyā						2:1	classfreq
abhyutkramay						10:1	classfreq
abhyutkrāmay						10:1	classfreq
abhyutkṣip						6:3	classfreq
abhyutpat						1:6	classfreq
abhyutsad						6:1	classfreq
abhyutsah						1:5	classfreq
abhyutsmi						1:6	classfreq
abhyutsu						5:1	classfreq
abhyutsāday						10:2	classfreq
abhyutsṛj						6:3	classfreq
abhyutthā						1:23	classfreq
abhyābhū						1:2	classfreq
abhyācar						1:1	classfreq
abhyādhā						3:21	classfreq
abhyādiś						6:2	classfreq
abhyādru						1:6	classfreq
abhyādā						3:7	classfreq
abhyāgam						1:201	classfreq
abhyāgā						3:19	classfreq
abhyāhan						4:45	classfreq
abhyāhvā						4:2	classfreq
abhyāhṛ						1:3	classfreq
abhyāj						1:1	classfreq
abhyākhyā						2:7	classfreq
abhyākṛ						6:2	classfreq
abhyālabh						1:1	classfreq
abhyānanday						10:2	classfreq
abhyānī						1:1	classfreq
abhyāp						5:2	classfreq
abhyāpat						1:7	classfreq
abhyāpay						10:2	classfreq
abhyārabh						1:6	classfreq
abhyāruh						1:11	classfreq
abhyāsad						1:5	classfreq
abhyāsay						10:3	classfreq
abhyāsic						6:9	classfreq
abhyāsthā						1:1	classfreq
abhyāsāday						10:1	classfreq
abhyāsībhāvay						10:1	classfreq
abhyāsīkṛ						8:1	classfreq
abhyātañc						7:1	classfreq
abhyāvah						1:3	classfreq
abhyāviś						6:4	classfreq
abhyāvṛt						1:15	classfreq
abhyāyam						1:7	classfreq
abhyāyu						6:1	classfreq
abhyāyā						2:29	classfreq
abhyāśrāvay						10:1	classfreq
abhyūh						1:7	classfreq
abhyūhay						10:1	classfreq
abhyṛch						6:3	classfreq
abhyṛṣ						6:1	classfreq
abhī						4:186	classfreq
abhīkṣ						1:1	classfreq
abhīndh						1:5	classfreq
abhīṣ						6:72|9:1	classfreq
acchāvad						1:7	classfreq
acchīkṛ						8:1	classfreq
ad				1	ad	2:359	prefixus+classfreq
adharībhū						1:1	classfreq
adharīkṛ						8:7	classfreq
adhibhuj						7:1	classfreq
adhibhāṣ						1:6	classfreq
adhibhū						1:1	classfreq
adhibrū						2:1	classfreq
adhicar						1:3	classfreq
adhidhā						3:3	classfreq
adhidhāv						1:1	classfreq
adhigam						1:562	classfreq
adhigaṇay						10:1	classfreq
adhigā						3:16|4:2	classfreq
adhihṛ						1:1	classfreq
adhijan						4:9	classfreq
adhiji						1:1	classfreq
adhikalpay						10:1	classfreq
adhikram						1:2	classfreq
adhikup						4:1	classfreq
adhikībhū						1:4	classfreq
adhikīkṛ						8:2	classfreq
adhikṛ						8:203	classfreq
adhikṣi						2:6	classfreq
adhikṣip						6:22	classfreq
adhiman						4:1	classfreq
adhimath						9:1	classfreq
adhimih						1:1	classfreq
adhimokṣay						10:7	classfreq
adhimuc						6:56	classfreq
adhinidhā						3:5	classfreq
adhinivas						1:1	classfreq
adhiropay						10:16	classfreq
adhiruh						1:149	classfreq
adhisaṁbhū						1:1	classfreq
adhisaṁdhā						3:2	classfreq
adhisaṁviś						6:1	classfreq
adhisṛj						6:1	classfreq
adhitan						8:1	classfreq
adhivac						3:2	classfreq
adhivah						4:21	classfreq
adhivarjay						10:2	classfreq
adhivas						1:73	classfreq
adhiveṣṭay						10:1	classfreq
adhivid						6:12	classfreq
adhivikṣip						6:2	classfreq
adhivyadh						4:1	classfreq
adhivye						4:1	classfreq
adhivāhay						10:1	classfreq
adhivāsay						10:101	classfreq
adhivṛt						1:1	classfreq
adhiśri						1:34	classfreq
adhiśāyay						10:2	classfreq
adhiśī						2:32	classfreq
adhiṣkand						1:1	classfreq
adhiṣṭhā						1:458	classfreq
adhiṣṭhāpay						10:5	classfreq
adhyah						1:1	classfreq
adhyas						4:8	classfreq
adhyavaso						6:48	classfreq
adhyaś						9:1	classfreq
adhyeṣay						10:6	classfreq
adhyupekṣ						4:5	classfreq
adhyābhū						1:1	classfreq
adhyācar						1:2	classfreq
adhyādhā						3:8	classfreq
adhyāgam						1:1	classfreq
adhyāhṛ						1:11	classfreq
adhyākram						1:3	classfreq
adhyālamb						1:5	classfreq
adhyāpay						10:98	classfreq
adhyāropay						10:3	classfreq
adhyāruh						6:18	classfreq
adhyās						2:107	classfreq
adhyāsay						10:1	classfreq
adhyāsthā						1:1	classfreq
adhyāvas						1:23	classfreq
adhyāyay						10:1	classfreq
adhyāśri						1:1	classfreq
adhyūh						1:9	classfreq
adhyṛdh						5:1	classfreq
adhī						4:548	classfreq
adhīṣ						6:19	classfreq
agrībhū						1:1	classfreq
ah		speak	15	1	ah	1:5988	prefixus+semantics+classfreq
ah	abhy-			1	abhyah		prefixus
ah	anv-			1	anvah		prefixus
ah	aty-			1	atyah		prefixus
ah	pra-	declare					semantics
ah	praty-			1	pratyah		prefixus
ahaṁkṛ						8:2	classfreq
aj						1:35	classfreq
ajarīkṛ						8:1	classfreq
akhilīkṛ						8:1	classfreq
akhkhalīkṛ						8:1	classfreq
akṣ						5:4	classfreq
alasībhū						1:3	classfreq
alavaṇīkṛ						8:1	classfreq
alaṁkāray						10:1	classfreq
alaṁkṛ						8:541	classfreq
alpībhū						1:2	classfreq
alpīkṛ						8:4	classfreq
am						1:9	classfreq
amalīkṛ						8:1	classfreq
amarīkṛ						8:4	classfreq
amlībhū						1:2	classfreq
amṛtasādbhū						1:1	classfreq
amṛtībhū						1:5	classfreq
amṛtīkṛ						8:4	classfreq
an						1:8	classfreq
anaikāntikīkṛ						8:1	classfreq
andhakārīkṛ						8:2	classfreq
andhamūṣīkṛ						8:1	classfreq
andhībhū						1:6	classfreq
andhīkṛ						8:4	classfreq
antarbhā						2:1	classfreq
antarbhū						1:32	classfreq
antardhā						3:720	classfreq
antardhāpay						10:7	classfreq
antardhāray						10:4	classfreq
antargam						1:134	classfreq
antargā						3:1	classfreq
antari						2:97	classfreq
antarmukhībhū						1:2	classfreq
antarīkṛ						8:4	classfreq
antaḥkṛ						8:2	classfreq
anubandh						9:93	classfreq
anubandhay						10:1	classfreq
anubhaj						1:3	classfreq
anubhikṣ						1:1	classfreq
anubhram						4:1	classfreq
anubhrāmay						10:1	classfreq
anubhuj						7:3	classfreq
anubhā						2:2	classfreq
anubhāvay						10:12	classfreq
anubhāṣ						1:18	classfreq
anubhāṣay						10:1	classfreq
anubhū						1:347	classfreq
anubhṛ						3:1	classfreq
anubodhay						10:2	classfreq
anubrū						2:62	classfreq
anubudh						4:30	classfreq
anubādh						1:1	classfreq
anubūm						6:2	classfreq
anucakṣ						2:1	classfreq
anucar						1:63	classfreq
anucchid						7:3	classfreq
anuci						5:1	classfreq
anucintay						10:75	classfreq
anucoday						10:3	classfreq
anucāray						10:3	classfreq
anudah						1:5	classfreq
anudarśay						10:22	classfreq
anudhvaṁs						1:1	classfreq
anudhyā						4:24	classfreq
anudhā						3:1	classfreq
anudhāpay						10:1	classfreq
anudhāv						1:63	classfreq
anudiś						6:2	classfreq
anudru						1:22	classfreq
anuduṣ						4:1	classfreq
anudviṣ						2:1	classfreq
anudā						3:2	classfreq
anudāpay						10:1	classfreq
anudṛ						2:7	classfreq
anudṛś						4:20	classfreq
anugam						1:638	classfreq
anugamay						10:2	classfreq
anugarj						1:1	classfreq
anughuṣ						1:1	classfreq
anugrah						9:243	classfreq
anugup						1:16	classfreq
anugā						3:50|4:15	classfreq
anugāh						1:1	classfreq
anugṛdh						4:1	classfreq
anuhan						2:2	classfreq
